Season,Champion(s),Record,Coach,Selector(s)
1906,Princeton,9–0–1,William Roper, NCF
1906,Yale,9–0–1,Foster Rockwell,BR
1906,Yale,9–0–1,Foster Rockwell, CW
1906,Yale,9–0–1,Foster Rockwell, PD
1907,Yale,9–0–1,William F. Knox,BR
1907,Yale,9–0–1,William F. Knox, CW
1907,Yale,9–0–1,William F. Knox, HAF
1907,Yale,9–0–1,William F. Knox, HS
1907,Yale,9–0–1,William F. Knox, NCF
1907,Yale,9–0–1,William F. Knox, PD
1908,Harvard,9–0–1,Percy Haughton,BR
1908,LSU,10–0,Edgar Wingard,NCF
1908,Penn,11–0–1,Sol Metzger,HAF
1908,Penn,11–0–1,Sol Metzger, HS
1908,Penn,11–0–1,Sol Metzger, NCF
1908,Penn,11–0–1,Sol Metzger, PD
1909,Yale,10–0,Howard Jones,BR
1909,Yale,10–0,Howard Jones, HAF
1909,Yale,10–0,Howard Jones, HS
1909,Yale,10–0,Howard Jones, NCF
1909,Yale,10–0,Howard Jones, PD
1910,Harvard,8–0–1,Percy Haughton,BR
1910,Harvard,8–0–1,Percy Haughton, HAF
1910,Harvard,8–0–1,Percy Haughton, HS
1910,Harvard,8–0–1,Percy Haughton, NCF
1910,Pittsburgh,9–0,Joseph Thompson,NCF
1911,Penn State,8–0–1,Bill Hollenback,NCF
1911,Princeton,8–0–2,William Roper,BR
1911,Princeton,8–0–2,William Roper, HAF
1911,Princeton,8–0–2,William Roper, HS
1911,Princeton,8–0–2,William Roper, NCF
1911,Princeton,8–0–2,William Roper, PD
1912,Harvard,9–0,Percy Haughton,BR
1912,Harvard,9–0,Percy Haughton, HAF
1912,Harvard,9–0,Percy Haughton, HS
1912,Harvard,9–0,Percy Haughton, NCF
1912,Harvard,9–0,Percy Haughton, PD
1912,Penn State,8–0,Bill Hollenback,NCF
1913,Auburn,8–0,Mike Donahue,BR
1913,Chicago,7–0,Amos Alonzo Stagg,PD
1913,Harvard,9–0,Percy Haughton,HAF
1913,Harvard,9–0,Percy Haughton, HS
1913,Harvard,9–0,Percy Haughton, NCF
1913,Harvard,9–0,Percy Haughton, PD
1914,Army,9–0,Charles Daly,HAF
1914,Army,9–0,Charles Daly, HS
1914,Army,9–0,Charles Daly, NCF
1914,Army,9–0,Charles Daly, PD
1914,Illinois,7–0,Robert Zuppke,PD
1914,Texas,8–0,Dave Allerdice,BR
1915,Cornell,9–0,Albert Sharpe,HAF
1915,Cornell,9–0,Albert Sharpe, HS
1915,Cornell,9–0,Albert Sharpe, NCF
1915,Cornell,9–0,Albert Sharpe, PD
1915,Oklahoma,10–0,Bennie Owen,BR
1915,Pittsburgh,8–0,"Glenn ""Pop"" Warner",PD
1916,Army,9–0,Charles Daly,PD
1916,Pittsburgh,8–0,"Glenn ""Pop"" Warner",BR
1916,Pittsburgh,8–0,"Glenn ""Pop"" Warner", HAF
1916,Pittsburgh,8–0,"Glenn ""Pop"" Warner", HS
1916,Pittsburgh,8–0,"Glenn ""Pop"" Warner", NCF
1916,Pittsburgh,8–0,"Glenn ""Pop"" Warner", PD
1917,Georgia Tech,9–0,John Heisman,BR
1917,Georgia Tech,9–0,John Heisman, HAF
1917,Georgia Tech,9–0,John Heisman, HS
1917,Georgia Tech,9–0,John Heisman, NCF
1918,Michigan,5–0,Fielding H. Yost,BR
1918,Michigan,5–0,Fielding H. Yost, NCF
1918,Pittsburgh,4–1,"Glenn ""Pop"" Warner",HAF
1918,Pittsburgh,4–1,"Glenn ""Pop"" Warner", HS
1918,Pittsburgh,4–1,"Glenn ""Pop"" Warner", NCF
1919,Centre,9–0,Charley Moran,SR
1919,Harvard,9–0–1,Bob Fisher,CFRA
1919,Harvard,9–0–1,Bob Fisher, HAF
1919,Harvard,9–0–1,Bob Fisher, HS
1919,Harvard,9–0–1,Bob Fisher, NCF
1919,Harvard,9–0–1,Bob Fisher, PD
1919,Illinois,6–1,Robert Zuppke,BS
1919,Illinois,6–1,Robert Zuppke, CFRA
1919,Illinois,6–1,Robert Zuppke, PD
1919,Illinois,6–1,Robert Zuppke, SR
1919,Notre Dame,9–0,Knute Rockne,NCF
1919,Notre Dame,9–0,Knute Rockne, PD
1919,Texas A&M,10–0,Dana X. Bible,BR
1919,Texas A&M,10–0,Dana X. Bible, NCF
1920,California,9–0,Andy Smith,CFRA
1920,California,9–0,Andy Smith, HAF
1920,California,9–0,Andy Smith, HS
1920,California,9–0,Andy Smith, NCF
1920,California,9–0,Andy Smith, SR
1920,Harvard,8–0–1,Bob Fisher,BS
1920,Notre Dame,9–0,Knute Rockne,BR
1920,Notre Dame,9–0,Knute Rockne, PD
1920,Princeton,6–0–1,William Roper,BS
1920,Princeton,6–0–1,William Roper, PD
1920,Georgia,8–0–1,Herman Stegeman,B(QPRS)
1921,California,9–0–1,Andy Smith,BR
1921,California,9–0–1,Andy Smith, BS
1921,California,9–0–1,Andy Smith, CFRA
1921,California,9–0–1,Andy Smith, SR
1921,Cornell,8–0,Gil Dobie,HAF
1921,Cornell,8–0,Gil Dobie, HS
1921,Cornell,8–0,Gil Dobie, NCF
1921,Cornell,8–0,Gil Dobie, PD
1921,Iowa,7–0,Howard Jones,PD
1921,Lafayette,9–0,Jock Sutherland,BS
1921,Lafayette,9–0,Jock Sutherland, PD
1921,Washington & Jefferson,10–0–1,Greasy Neale,BS
1921,Vanderbilt,7–0–1,Dan McGugin,B(QPRS)
1922,California,9–0,Andy Smith,BR
1922,California,9–0,Andy Smith, HS
1922,California,9–0,Andy Smith, NCF
1922,California,9–0,Andy Smith, SR
1922,Cornell,8–0,Gil Dobie,HAF
1922,Cornell,8–0,Gil Dobie, PD
1922,Princeton,8–0,William Roper,BS
1922,Princeton,8–0,William Roper, CFRA
1922,Princeton,8–0,William Roper, NCF
1922,Princeton,8–0,William Roper, PD
1922,Princeton,8–0,William Roper, SR
1922,Vanderbilt,8–0–1,Dan McGugin,B(QPRS)
1923,California,9–0–1,Andy Smith,HS
1923,Cornell,8–0,Gil Dobie,SR
1923,Illinois,8–0,Robert Zuppke,BS
1923,Illinois,8–0,Robert Zuppke, CFRA
1923,Illinois,8–0,Robert Zuppke, HAF
1923,Illinois,8–0,Robert Zuppke, NCF
1923,Illinois,8–0,Robert Zuppke, PD
1923,Illinois,8–0,Robert Zuppke, SR 
1923,Illinois,8–0,Robert Zuppke, B(QPRS)
1923,Michigan,8–0,Fielding H. Yost,BR
1923,Michigan,8–0,Fielding H. Yost, NCF
1923,Yale,8–0,Tad Jones,B(QPRS)
1924,Notre Dame,10–0,Knute Rockne,BR
1924,Notre Dame,10–0,Knute Rockne, BS
1924,Notre Dame,10–0,Knute Rockne, CFRA
1924,Notre Dame,10–0,Knute Rockne, DiS
1924,Notre Dame,10–0,Knute Rockne, HAF
1924,Notre Dame,10–0,Knute Rockne, HS
1924,Notre Dame,10–0,Knute Rockne, NCF
1924,Notre Dame,10–0,Knute Rockne, PS
1924,Notre Dame,10–0,Knute Rockne, SR
1924,Notre Dame,10–0,Knute Rockne, B(QPRS)
1924,Penn,9–1–1,Lou Young,PD
1925,Alabama,10–0,Wallace Wade,BR
1925,Alabama,10–0,Wallace Wade, BS
1925,Alabama,10–0,Wallace Wade, CFRA
1925,Alabama,10–0,Wallace Wade, HAF
1925,Alabama,10–0,Wallace Wade, HS
1925,Alabama,10–0,Wallace Wade, NCF
1925,Alabama,10–0,Wallace Wade, PS
1925,Alabama,10–0,Wallace Wade, SR
1925,Alabama,10–0,Wallace Wade, B(QPRS)
1925,Dartmouth,8–0,Jesse Hawley,DiS
1925,Dartmouth,8–0,Jesse Hawley, PD
1925,Michigan,7–1,Fielding H. Yost,SR
1926,Alabama,9–0–1,Wallace Wade,BR
1926,Alabama,9–0–1,Wallace Wade, CFRA
1926,Alabama,9–0–1,Wallace Wade, HAF
1926,Alabama,9–0–1,Wallace Wade, NCF
1926,Alabama,9–0–1,Wallace Wade, PS
1926,Alabama,9–0–1,Wallace Wade, B(QPRS)
1926,Lafayette,9–0,Herb McCracken,PD
1926,Michigan,7–1,Fielding H. Yost,SR
1926,Navy,9–0–1,Bill Ingram,BS
1926,Navy,9–0–1,Bill Ingram, HS
1926,Stanford,10–0–1,"Glenn ""Pop"" Warner",DiS
1926,Stanford,10–0–1,"Glenn ""Pop"" Warner", HAF
1926,Stanford,10–0–1,"Glenn ""Pop"" Warner", NCF
1926,Stanford,10–0–1,"Glenn ""Pop"" Warner", SR
1927,Georgia,9–1,George Cecil Woodruff,BS
1927,Georgia,9–1,George Cecil Woodruff, PS
1927,Georgia,9–1,George Cecil Woodruff, B(QPRS)
1927,Illinois,7–0–1,Robert Zuppke,BR
1927,Illinois,7–0–1,Robert Zuppke, DiS
1927,Illinois,7–0–1,Robert Zuppke, HAF
1927,Illinois,7–0–1,Robert Zuppke, NCF
1927,Illinois,7–0–1,Robert Zuppke, PD
1927,Notre Dame,7–1–1,Knute Rockne,HS
1927,Texas A&M,8–0–1,Dana X. Bible,SR
1927,Yale,7–1,Thomas Jones,CFRA
1928,Detroit,9–0,Gus Dorais,PD
1928,Georgia Tech,10–0,William Alexander,BR
1928,Georgia Tech,10–0,William Alexander, BS
1928,Georgia Tech,10–0,William Alexander, CFRA
1928,Georgia Tech,10–0,William Alexander, HAF
1928,Georgia Tech,10–0,William Alexander, HS
1928,Georgia Tech,10–0,William Alexander, NCF
1928,Georgia Tech,10–0,William Alexander, PD
1928,Georgia Tech,10–0,William Alexander, PS
1928,Georgia Tech,10–0,William Alexander, SR
1928,Georgia Tech,10–0,William Alexander, B(QPRS)
1928,USC,9–0–1,Howard Jones,DiS
1928,USC,9–0–1,Howard Jones, SR
1929,Notre Dame,9–0,Knute Rockne,BR
1929,Notre Dame,9–0,Knute Rockne, BS
1929,Notre Dame,9–0,Knute Rockne, CFRA
1929,Notre Dame,9–0,Knute Rockne, DiS
1929,Notre Dame,9–0,Knute Rockne, DuS
1929,Notre Dame,9–0,Knute Rockne, HAF
1929,Notre Dame,9–0,Knute Rockne, NCF
1929,Notre Dame,9–0,Knute Rockne, PS
1929,Notre Dame,9–0,Knute Rockne, SR
1929,Pittsburgh,9–1,Jock Sutherland,PD
1929,USC,10–2,Howard Jones,HS
1929,USC,10–2,Howard Jones, SR
1929,USC,10–2,Howard Jones, B(QPRS)
1930,Alabama,10–0,Wallace Wade,CFRA
1930,Alabama,10–0,Wallace Wade, PD
1930,Alabama,10–0,Wallace Wade, SR
1930,Alabama,10–0,Wallace Wade, B(QPRS)
1930,Notre Dame,10–0,Knute Rockne,BR
1930,Notre Dame,10–0,Knute Rockne, BS
1930,Notre Dame,10–0,Knute Rockne, DiS
1930,Notre Dame,10–0,Knute Rockne, DuS
1930,Notre Dame,10–0,Knute Rockne, HAF
1930,Notre Dame,10–0,Knute Rockne, HS
1930,Notre Dame,10–0,Knute Rockne, NCF
1930,Notre Dame,10–0,Knute Rockne, PD
1930,Notre Dame,10–0,Knute Rockne, PS
1931,Pittsburgh,8–1,Jock Sutherland,PD
1931,Purdue,9–1,Noble Kizer,PD
1931,USC,10–1,Howard Jones,BR
1931,USC,10–1,Howard Jones, BS
1931,USC,10–1,Howard Jones, CFRA
1931,USC,10–1,Howard Jones, DiS
1931,USC,10–1,Howard Jones, DuS
1931,USC,10–1,Howard Jones, HAF
1931,USC,10–1,Howard Jones, HS
1931,USC,10–1,Howard Jones, NCF
1931,USC,10–1,Howard Jones, PS
1931,USC,10–1,Howard Jones, SR
1931,USC,10–1,Howard Jones, WS
1931,USC,10–1,Howard Jones, B(QPRS)
1932,Colgate,9–0,Andrew Kerr,PD
1932,Michigan,8–0,Harry Kipke,DiS
1932,Michigan,8–0,Harry Kipke, PD
1932,Michigan,8–0,Harry Kipke, SR
1932,USC,10–0,Howard Jones,BR
1932,USC,10–0,Howard Jones, BS
1932,USC,10–0,Howard Jones, CFRA
1932,USC,10–0,Howard Jones, DuS
1932,USC,10–0,Howard Jones, HAF
1932,USC,10–0,Howard Jones, HS
1932,USC,10–0,Howard Jones, NCF
1932,USC,10–0,Howard Jones, PD
1932,USC,10–0,Howard Jones, PS
1932,USC,10–0,Howard Jones, SR
1932,USC,10–0,Howard Jones, WS
1932,USC,10–0,Howard Jones, B(QPRS)
1933,Michigan,7–0–1,Harry Kipke,BR
1933,Michigan,7–0–1,Harry Kipke, BS
1933,Michigan,7–0–1,Harry Kipke, CFRA
1933,Michigan,7–0–1,Harry Kipke, DiS
1933,Michigan,7–0–1,Harry Kipke, HAF
1933,Michigan,7–0–1,Harry Kipke, HS
1933,Michigan,7–0–1,Harry Kipke, NCF
1933,Michigan,7–0–1,Harry Kipke, PD
1933,Michigan,7–0–1,Harry Kipke, PS
1933,Michigan,7–0–1,Harry Kipke, SR
1933,Michigan,7–0–1,Harry Kipke, B(QPRS)
1933,Ohio State,7–1,Sam Willaman,DuS
1933,Princeton,9–0,Fritz Crisler,PD
1933,USC,10–1–1,Howard Jones,WS
1934,Alabama,10–0,Frank Thomas,DuS
1934,Alabama,10–0,Frank Thomas, HS
1934,Alabama,10–0,Frank Thomas, PS
1934,Alabama,10–0,Frank Thomas, WS
1934,Alabama,10–0,Frank Thomas, B(QPRS)
1934,Minnesota,8–0,Bernie Bierman,BR
1934,Minnesota,8–0,Bernie Bierman, BS
1934,Minnesota,8–0,Bernie Bierman, CFRA
1934,Minnesota,8–0,Bernie Bierman, DiS
1934,Minnesota,8–0,Bernie Bierman, HAF
1934,Minnesota,8–0,Bernie Bierman, L
1934,Minnesota,8–0,Bernie Bierman, NCF
1934,Minnesota,8–0,Bernie Bierman, SR
1935,LSU,9–2,Bernie Moore,WS
1935,Minnesota,8–0,Bernie Bierman,BR
1935,Minnesota,8–0,Bernie Bierman, BS
1935,Minnesota,8–0,Bernie Bierman, CFRA
1935,Minnesota,8–0,Bernie Bierman, HAF
1935,Minnesota,8–0,Bernie Bierman, L
1935,Minnesota,8–0,Bernie Bierman, NCF
1935,Minnesota,8–0,Bernie Bierman, PS
1935,Princeton,9–0,Fritz Crisler,DuS
1935,SMU,12–1,Matty Bell,DiS
1935,SMU,12–1,Matty Bell, HS
1935,SMU,12–1,Matty Bell, SR
1935,SMU,12–1,Matty Bell, B(QPRS)
1935,TCU,12–1,Dutch Meyer,WS
1936,LSU,9–1–1,Bernie Moore,SR
1936,LSU,9–1–1,Bernie Moore, WS
1936,Minnesota,7–1,Bernie Bierman,AP
1936,Minnesota,7–1,Bernie Bierman, BR
1936,Minnesota,7–1,Bernie Bierman, DiS
1936,Minnesota,7–1,Bernie Bierman, DuS
1936,Minnesota,7–1,Bernie Bierman, HAF
1936,Minnesota,7–1,Bernie Bierman, L
1936,Minnesota,7–1,Bernie Bierman, NCF
1936,Minnesota,7–1,Bernie Bierman, PS
1936,Pittsburgh,8–1–1,Jock Sutherland,BS
1936,Pittsburgh,8–1–1,Jock Sutherland, CFRA
1936,Pittsburgh,8–1–1,Jock Sutherland, HS
1936,Duke,9–1,Wallace Wade,B(QPRS)
1937,California,10–0–1,Stub Allison,DuS
1937,California,10–0–1,Stub Allison, HAF
1937,Pittsburgh,9–0–1,Jock Sutherland,AP
1937,Pittsburgh,9–0–1,Jock Sutherland, BR
1937,Pittsburgh,9–0–1,Jock Sutherland, BS
1937,Pittsburgh,9–0–1,Jock Sutherland, CFRA
1937,Pittsburgh,9–0–1,Jock Sutherland, DiS
1937,Pittsburgh,9–0–1,Jock Sutherland, HS
1937,Pittsburgh,9–0–1,Jock Sutherland, L
1937,Pittsburgh,9–0–1,Jock Sutherland, NCF
1937,Pittsburgh,9–0–1,Jock Sutherland, PS
1937,Pittsburgh,9–0–1,Jock Sutherland, SR
1937,Pittsburgh,9–0–1,Jock Sutherland, WS
1937,Pittsburgh,9–0–1,Jock Sutherland, B(QPRS)
1938,Notre Dame,8–1,Elmer Layden,DiS
1938,TCU,11–0,Dutch Meyer,AP
1938,TCU,11–0,Dutch Meyer, HAF
1938,TCU,11–0,Dutch Meyer, NCF
1938,TCU,11–0,Dutch Meyer, WS
1938,Tennessee,11–0,Robert Neyland,BR
1938,Tennessee,11–0,Robert Neyland, BS
1938,Tennessee,11–0,Robert Neyland, CFRA
1938,Tennessee,11–0,Robert Neyland, DuS
1938,Tennessee,11–0,Robert Neyland, HS
1938,Tennessee,11–0,Robert Neyland, L
1938,Tennessee,11–0,Robert Neyland, PS
1938,Tennessee,11–0,Robert Neyland, SR
1938,Tennessee,11–0,Robert Neyland, B(QPRS)
1939,Cornell,8–0,Carl Snavely,L
1939,Cornell,8–0,Carl Snavely, SR
1939,Texas A&M,11–0,Homer Norton,AP
1939,Texas A&M,11–0,Homer Norton, BR
1939,Texas A&M,11–0,Homer Norton, BS
1939,Texas A&M,11–0,Homer Norton, CFRA
1939,Texas A&M,11–0,Homer Norton, DeS
1939,Texas A&M,11–0,Homer Norton, DuS
1939,Texas A&M,11–0,Homer Norton, HAF
1939,Texas A&M,11–0,Homer Norton, HS
1939,Texas A&M,11–0,Homer Norton, NCF
1939,Texas A&M,11–0,Homer Norton, PS
1939,Texas A&M,11–0,Homer Norton, SR
1939,Texas A&M,11–0,Homer Norton, WS
1939,Texas A&M,11–0,Homer Norton, B(QPRS)
1939,USC,8–0–2,Howard Jones,DiS
1940,Minnesota,8–0,Bernie Bierman,AP
1940,Minnesota,8–0,Bernie Bierman, B(QPRS)
1940,Minnesota,8–0,Bernie Bierman, BS
1940,Minnesota,8–0,Bernie Bierman, CFRA
1940,Minnesota,8–0,Bernie Bierman, DeS
1940,Minnesota,8–0,Bernie Bierman, DiS
1940,Minnesota,8–0,Bernie Bierman, HS
1940,Minnesota,8–0,Bernie Bierman, L
1940,Minnesota,8–0,Bernie Bierman, NCF
1940,Minnesota,8–0,Bernie Bierman, SR
1940,Stanford,10–0,Clark Shaughnessy,BR
1940,Stanford,10–0,Clark Shaughnessy, HAF
1940,Stanford,10–0,Clark Shaughnessy, PS
1940,Tennessee,10–1,Robert Neyland,DuS
1940,Tennessee,10–1,Robert Neyland, WS
1941,Alabama,9–2,Frank Thomas,HS
1941,Minnesota,8–0,Bernie Bierman,AP
1941,Minnesota,8–0,Bernie Bierman, BR
1941,Minnesota,8–0,Bernie Bierman, BS
1941,Minnesota,8–0,Bernie Bierman, CFRA
1941,Minnesota,8–0,Bernie Bierman, DeS
1941,Minnesota,8–0,Bernie Bierman, DuS
1941,Minnesota,8–0,Bernie Bierman, HAF
1941,Minnesota,8–0,Bernie Bierman, L
1941,Minnesota,8–0,Bernie Bierman, NCF
1941,Minnesota,8–0,Bernie Bierman, PS
1941,Minnesota,8–0,Bernie Bierman, SR
1941,Texas,8–1–1,Dana X. Bible,B(QPRS)
1941,Texas,8–1–1,Dana X. Bible, WS
1942,Georgia,11–1,Wally Butts,B(QPRS)
1942,Georgia,11–1,Wally Butts, BR
1942,Georgia,11–1,Wally Butts, DeS
1942,Georgia,11–1,Wally Butts, HS
1942,Georgia,11–1,Wally Butts, L
1942,Georgia,11–1,Wally Butts, PS
1942,Georgia,11–1,Wally Butts, SR
1942,Georgia,11–1,Wally Butts, WS
1942,Ohio State,9–1,Paul Brown,AP
1942,Ohio State,9–1,Paul Brown, BS
1942,Ohio State,9–1,Paul Brown, DuS
1942,Ohio State,9–1,Paul Brown, CFRA
1942,Ohio State,9–1,Paul Brown, NCF
1942,Wisconsin,8–1–1,Harry Stuhldreher,HAF
1943,Notre Dame,9–1,Frank Leahy,AP
1943,Notre Dame,9–1,Frank Leahy, B(QPRS)
1943,Notre Dame,9–1,Frank Leahy, BR
1943,Notre Dame,9–1,Frank Leahy, BS
1943,Notre Dame,9–1,Frank Leahy, CFRA
1943,Notre Dame,9–1,Frank Leahy, DeS
1943,Notre Dame,9–1,Frank Leahy, DuS
1943,Notre Dame,9–1,Frank Leahy, HAF
1943,Notre Dame,9–1,Frank Leahy, HS
1943,Notre Dame,9–1,Frank Leahy, L
1943,Notre Dame,9–1,Frank Leahy, NCF
1943,Notre Dame,9–1,Frank Leahy, PS
1943,Notre Dame,9–1,Frank Leahy, SR
1943,Notre Dame,9–1,Frank Leahy, WS
1944,Army,9–0,Earl Blaik,AP
1944,Army,9–0,Earl Blaik, B(QPRS)
1944,Army,9–0,Earl Blaik, BR
1944,Army,9–0,Earl Blaik, BS
1944,Army,9–0,Earl Blaik, CFRA
1944,Army,9–0,Earl Blaik, DeS
1944,Army,9–0,Earl Blaik, DuS
1944,Army,9–0,Earl Blaik, HAF
1944,Army,9–0,Earl Blaik, HS
1944,Army,9–0,Earl Blaik, L
1944,Army,9–0,Earl Blaik, NCF
1944,Army,9–0,Earl Blaik, PS
1944,Army,9–0,Earl Blaik, SR
1944,Army,9–0,Earl Blaik, WS
