FIPS_Code,State,Area_name,City/Suburb/Town/Rural,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009
6001,CA,"Alameda County, CA",City,"768,654","741,264","27,390",3.6,"776,398","739,045","37,353",4.8,"771,356","719,228","52,128",6.8,"754,430","702,182","52,248",6.9,"741,445","697,890","43,555",5.9,"734,383","696,983","37,400",5.1,"735,010","702,439","32,571",4.4,"746,245","711,529","34,716",4.7,"756,795","709,639","47,156",6.2,"764,554","682,769","81,785",10.7
6013,CA,"Contra Costa County, CA",City,"500,681","483,153","17,528",3.5,"507,353","486,677","20,676",4.1,"510,793","481,390","29,403",5.8,"508,389","477,075","31,314",6.2,"507,634","480,045","27,589",5.4,"509,956","485,332","24,624",4.8,"511,241","489,391","21,850",4.3,"515,040","491,176","23,864",4.6,"523,981","491,295","32,686",6.2,"527,243","472,520","54,723",10.4
6017,CA,"El Dorado County, CA",City,"82,122","78,763","3,359",4.1,"83,837","80,212","3,625",4.3,"86,134","81,591","4,543",5.3,"87,454","82,538","4,916",5.6,"88,815","84,134","4,681",5.3,"91,067","86,721","4,346",4.8,"91,704","87,484","4,220",4.6,"90,504","85,874","4,630",5.1,"90,644","84,284","6,360",7.0,"92,136","81,706","10,430",11.3
6037,CA,"Los Angeles County, CA",City,"4,665,167","4,413,213","251,954",5.4,"4,729,827","4,458,721","271,106",5.7,"4,742,509","4,418,100","324,409",6.8,"4,733,044","4,401,817","331,227",7.0,"4,747,221","4,440,564","306,657",6.5,"4,787,286","4,532,874","254,412",5.3,"4,794,479","4,565,724","228,755",4.8,"4,864,654","4,614,575","250,079",5.1,"4,923,903","4,553,013","370,890",7.5,"4,936,966","4,357,147","579,819",11.7
6041,CA,"Marin County, CA",City,"141,747","137,758","3,989",2.8,"139,733","134,793","4,940",3.5,"134,484","127,874","6,610",4.9,"130,611","124,145","6,466",5.0,"129,117","123,406","5,711",4.4,"129,120","124,128","4,992",3.9,"130,787","126,177","4,610",3.5,"132,106","127,331","4,775",3.6,"132,263","126,011","6,252",4.7,"132,442","122,046","10,396",7.8
6059,CA,"Orange County, CA",City,"1,480,373","1,428,975","51,398",3.5,"1,509,124","1,449,080","60,044",4.0,"1,524,180","1,447,724","76,456",5.0,"1,545,325","1,470,827","74,498",4.8,"1,568,647","1,502,003","66,644",4.2,"1,586,227","1,527,005","59,222",3.7,"1,600,366","1,546,035","54,331",3.4,"1,608,580","1,546,709","61,871",3.8,"1,616,256","1,530,120","86,136",5.3,"1,595,687","1,451,508","144,179",9.0
6061,CA,"Placer County, CA",City,"132,043","127,349","4,694",3.6,"138,727","133,127","5,600",4.0,"146,155","138,881","7,274",5.0,"152,705","144,840","7,865",5.2,"158,479","150,890","7,589",4.8,"164,281","157,225","7,056",4.3,"169,126","162,094","7,032",4.2,"172,718","164,566","8,152",4.7,"177,065","165,535","11,530",6.5,"180,575","161,396","19,179",10.6
6065,CA,"Riverside County, CA",City,"680,221","644,150","36,071",5.3,"709,270","670,047","39,223",5.5,"746,220","697,630","48,590",6.5,"775,987","724,882","51,105",6.6,"817,506","768,504","49,002",6.0,"852,711","807,102","45,609",5.3,"882,641","838,261","44,380",5.0,"903,169","849,266","53,903",6.0,"912,039","833,559","78,480",8.6,"921,434","795,712","125,722",13.6
6067,CA,"Sacramento County, CA",City,"608,389","582,325","26,064",4.3,"623,012","594,647","28,365",4.6,"641,929","605,352","36,577",5.7,"652,106","613,395","38,711",5.9,"658,903","621,900","37,003",5.6,"664,444","631,679","32,765",4.9,"669,881","638,067","31,814",4.7,"676,692","640,320","36,372",5.4,"679,749","630,472","49,277",7.2,"684,611","605,996","78,615",11.5
6069,CA,"San Benito County, CA",City,"27,430","25,802","1,628",5.9,"27,391","25,642","1,749",6.4,"26,276","23,924","2,352",9.0,"25,513","22,947","2,566",10.1,"25,073","22,672","2,401",9.6,"24,503","22,532","1,971",8.0,"24,203","22,471","1,732",7.2,"24,032","22,312","1,720",7.2,"24,852","22,442","2,410",9.7,"25,026","21,390","3,636",14.5
6071,CA,"San Bernardino County, CA",City,"738,895","703,922","34,973",4.7,"761,198","722,382","38,816",5.1,"786,610","738,711","47,899",6.1,"802,215","751,490","50,725",6.3,"828,995","781,215","47,780",5.8,"851,617","807,388","44,229",5.2,"861,389","819,981","41,408",4.8,"863,306","815,449","47,857",5.5,"862,596","793,074","69,522",8.1,"862,804","749,047","113,757",13.2
6073,CA,"San Diego County, CA",City,"1,375,223","1,322,119","53,104",3.9,"1,405,911","1,346,728","59,183",4.2,"1,442,325","1,367,542","74,783",5.2,"1,457,231","1,380,708","76,523",5.3,"1,478,132","1,408,251","69,881",4.7,"1,490,071","1,426,095","63,976",4.3,"1,498,544","1,439,206","59,338",4.0,"1,517,503","1,449,165","68,338",4.5,"1,546,617","1,453,044","93,573",6.1,"1,561,162","1,408,178","152,984",9.8
6075,CA,"San Francisco County/city, CA",City,"472,525","456,633","15,892",3.4,"468,227","444,257","23,970",5.1,"448,084","416,744","31,340",7.0,"429,313","400,129","29,184",6.8,"418,405","394,208","24,197",5.8,"413,409","392,855","20,554",5.0,"416,418","398,955","17,463",4.2,"433,197","415,008","18,189",4.2,"457,204","433,111","24,093",5.3,"461,298","419,496","41,802",9.1
6081,CA,"San Mateo County, CA",City,"397,997","386,727","11,270",2.8,"391,776","376,734","15,042",3.8,"377,649","356,068","21,581",5.7,"366,838","345,243","21,595",5.9,"361,389","343,829","17,560",4.9,"360,365","345,111","15,254",4.2,"364,595","351,228","13,367",3.7,"370,061","356,109","13,952",3.8,"372,532","354,267","18,265",4.9,"375,635","343,453","32,182",8.6
6085,CA,"Santa Clara County, CA",City,"940,298","911,499","28,799",3.1,"937,026","889,216","47,810",5.1,"886,770","812,008","74,762",8.4,"844,000","772,994","71,006",8.4,"821,441","768,603","52,838",6.4,"815,499","772,259","43,240",5.3,"822,881","786,077","36,804",4.5,"844,626","805,447","39,179",4.6,"869,347","816,863","52,484",6.0,"879,339","782,289","97,050",11.0
6113,CA,"Yolo County, CA",City,"86,130","81,841","4,289",5.0,"88,097","83,561","4,536",5.1,"90,437","84,951","5,486",6.1,"91,284","85,403","5,881",6.4,"91,887","86,304","5,583",6.1,"92,375","87,261","5,114",5.5,"93,756","88,913","4,843",5.2,"97,644","92,108","5,536",5.7,"98,348","91,039","7,309",7.4,"99,246","87,851","11,395",11.5
8001,CO,"Adams County, CO",City,"186,637","181,511","5,126",2.7,"187,740","180,168","7,572",4.0,"193,647","181,517","12,130",6.3,"200,973","186,591","14,382",7.2,"205,757","192,416","13,341",6.5,"210,632","198,527","12,105",5.7,"218,642","208,193","10,449",4.8,"221,445","212,201","9,244",4.2,"227,365","215,050","12,315",5.4,"229,197","208,259","20,938",9.1
8005,CO,"Arapahoe County, CO",City,"281,688","274,886","6,802",2.4,"282,682","272,307","10,375",3.7,"285,915","269,359","16,556",5.8,"292,403","274,148","18,255",6.2,"296,885","280,156","16,729",5.6,"299,727","284,458","15,269",5.1,"304,824","291,978","12,846",4.2,"307,557","296,142","11,415",3.7,"314,696","299,269","15,427",4.9,"313,359","288,803","24,556",7.8
8014,CO,"Broomfield County/city, CO",City,"22,552","22,014",538,2.4,"22,398","21,583",815,3.6,"22,655","21,345","1,310",5.8,"23,749","22,232","1,517",6.4,"24,178","22,786","1,392",5.8,"24,586","23,391","1,195",4.9,"25,620","24,538","1,082",4.2,"30,245","29,189","1,056",3.5,"31,046","29,639","1,407",4.5,"30,919","28,620","2,299",7.4
8019,CO,"Clear Creek County, CO",City,"6,042","5,878",164,2.7,"5,948","5,748",200,3.4,"5,998","5,687",311,5.2,"6,022","5,683",339,5.6,"5,888","5,552",336,5.7,"5,856","5,579",277,4.7,"5,831","5,599",232,4.0,"5,696","5,490",206,3.6,"5,689","5,427",262,4.6,"5,441","5,018",423,7.8
8031,CO,"Denver County/city, CO",City,"305,042","295,868","9,174",3.0,"302,872","289,446","13,426",4.4,"300,814","280,534","20,280",6.7,"303,172","281,300","21,872",7.2,"304,032","284,045","19,987",6.6,"303,022","285,717","17,305",5.7,"308,123","293,533","14,590",4.7,"317,494","304,470","13,024",4.1,"325,465","307,910","17,555",5.4,"325,469","296,981","28,488",8.8
8035,CO,"Douglas County, CO",City,"105,548","103,389","2,159",2.0,"113,522","109,857","3,665",3.2,"120,985","114,512","6,473",5.4,"128,900","122,103","6,797",5.3,"136,903","130,546","6,357",4.6,"143,367","137,397","5,970",4.2,"152,150","146,813","5,337",3.5,"156,306","151,479","4,827",3.1,"162,039","155,246","6,793",4.2,"161,640","150,859","10,781",6.7
8039,CO,"Elbert County, CO",City,"11,599","11,340",259,2.2,"11,977","11,592",385,3.2,"12,359","11,719",640,5.2,"12,591","11,895",696,5.5,"12,761","12,136",625,4.9,"12,938","12,345",593,4.6,"13,214","12,696",518,3.9,"12,909","12,438",471,3.6,"13,105","12,475",630,4.8,"12,967","11,986",981,7.6
8047,CO,"Gilpin County, CO",City,"3,307","3,225",82,2.5,"3,242","3,129",113,3.5,"3,251","3,086",165,5.1,"3,303","3,108",195,5.9,"3,319","3,137",182,5.5,"3,349","3,187",162,4.8,"3,430","3,293",137,4.0,"3,444","3,325",119,3.5,"3,492","3,344",148,4.2,"3,682","3,441",241,6.5
8059,CO,"Jefferson County, CO",City,"309,216","301,984","7,232",2.3,"304,872","294,351","10,521",3.5,"304,019","287,512","16,507",5.4,"306,160","288,155","18,005",5.9,"306,184","289,662","16,522",5.4,"305,519","290,445","15,074",4.9,"306,370","293,732","12,638",4.1,"305,986","294,922","11,064",3.6,"309,867","295,301","14,566",4.7,"304,742","281,264","23,478",7.7
8093,CO,"Park County, CO",City,"8,524","8,309",215,2.5,"8,729","8,426",303,3.5,"9,081","8,602",479,5.3,"9,378","8,861",517,5.5,"9,608","9,087",521,5.4,"9,669","9,212",457,4.7,"9,809","9,427",382,3.9,"9,684","9,339",345,3.6,"9,741","9,275",466,4.8,"9,360","8,656",704,7.5
9003,CT,"Hartford County, CT",City,"434,286","424,221","10,065",2.3,"431,101","417,678","13,423",3.1,"434,677","413,789","20,888",4.8,"435,455","409,068","26,387",6.1,"432,772","408,322","24,450",5.6,"437,213","414,347","22,866",5.2,"446,246","424,758","21,488",4.8,"452,702","430,719","21,983",4.9,"459,529","432,011","27,518",6.0,"464,189","423,624","40,565",8.7
9007,CT,"Middlesex County, CT",City,"86,509","84,884","1,625",1.9,"86,124","84,000","2,124",2.5,"87,698","84,403","3,295",3.8,"88,156","83,920","4,236",4.8,"87,863","84,054","3,809",4.3,"89,164","85,412","3,752",4.2,"91,373","87,981","3,392",3.7,"93,003","89,392","3,611",3.9,"94,388","89,871","4,517",4.8,"94,949","88,320","6,629",7.0
9013,CT,"Tolland County, CT",City,"76,613","75,314","1,299",1.7,"76,609","74,917","1,692",2.2,"78,213","75,496","2,717",3.5,"79,089","75,611","3,478",4.4,"79,482","76,102","3,380",4.3,"80,703","77,354","3,349",4.1,"82,777","79,616","3,161",3.8,"83,960","80,737","3,223",3.8,"85,152","81,087","4,065",4.8,"86,378","80,367","6,011",7.0
10003,DE,"New Castle County, DE",City,"270,201","260,831","9,370",3.5,"275,178","265,546","9,632",3.5,"268,702","256,933","11,769",4.4,"266,305","253,960","12,345",4.6,"266,557","254,421","12,136",4.6,"270,827","257,751","13,076",4.8,"276,128","264,775","11,353",4.1,"276,948","266,780","10,168",3.7,"279,751","265,800","13,951",5.0,"271,845","248,960","22,885",8.4
11001,DC,District of Columbia,City,"309,977","292,299","17,678",5.7,"311,232","291,080","20,152",6.5,"308,760","287,196","21,564",7.0,"308,454","285,997","22,457",7.3,"313,735","288,323","25,412",8.1,"318,130","295,907","22,223",7.0,"320,581","300,323","20,258",6.3,"326,557","307,071","19,486",6.0,"334,487","311,588","22,899",6.8,"338,113","304,277","33,836",10.0
12003,FL,"Baker County, FL",City,"10,487","10,168",319,3.0,"10,557","10,129",428,4.1,"10,426","9,985",441,4.2,"10,331","9,900",431,4.2,"10,520","10,172",348,3.3,"11,039","10,761",278,2.5,"11,469","11,220",249,2.2,"11,856","11,503",353,3.0,"12,171","11,529",642,5.3,"11,979","10,856","1,123",9.4
12011,FL,"Broward County, FL",City,"862,804","831,089","31,715",3.7,"891,817","851,866","39,951",4.5,"894,419","847,008","47,411",5.3,"896,303","853,621","42,682",4.8,"915,950","880,496","35,454",3.9,"950,331","923,158","27,173",2.9,"975,912","952,733","23,179",2.4,"995,871","966,723","29,148",2.9,"1,000,985","950,653","50,332",5.0,"970,562","888,508","82,054",8.5
12019,FL,"Clay County, FL",City,"74,520","72,244","2,276",3.1,"76,142","73,253","2,889",3.8,"76,430","73,019","3,411",4.5,"77,437","74,365","3,072",4.0,"80,983","78,119","2,864",3.5,"86,034","83,740","2,294",2.7,"90,973","88,886","2,087",2.3,"93,384","90,686","2,698",2.9,"95,447","90,694","4,753",5.0,"93,803","85,748","8,055",8.6
12031,FL,"Duval County, FL",City,"411,949","398,144","13,805",3.4,"414,843","397,354","17,489",4.2,"407,214","386,757","20,457",5.0,"403,974","384,872","19,102",4.7,"407,077","390,046","17,031",4.2,"418,048","405,061","12,987",3.1,"428,511","416,933","11,578",2.7,"438,685","423,659","15,026",3.4,"443,919","418,382","25,537",5.8,"436,659","394,060","42,599",9.8
12053,FL,"Hernando County, FL",City,"50,040","47,837","2,203",4.4,"50,804","48,160","2,644",5.2,"51,236","48,074","3,162",6.2,"52,142","49,217","2,925",5.6,"55,215","52,579","2,636",4.8,"56,497","54,344","2,153",3.8,"59,239","57,197","2,042",3.4,"61,131","58,194","2,937",4.8,"62,591","57,571","5,020",8.0,"61,470","53,902","7,568",12.3
12057,FL,"Hillsborough County, FL",City,"533,645","516,062","17,583",3.3,"542,598","520,197","22,401",4.1,"543,277","516,758","26,519",4.9,"544,950","520,508","24,442",4.5,"564,277","543,539","20,738",3.7,"565,819","549,313","16,506",2.9,"580,917","566,204","14,713",2.5,"591,899","571,863","20,036",3.4,"595,242","559,987","35,255",5.9,"590,111","532,167","57,944",9.8
12069,FL,"Lake County, FL",City,"94,129","90,721","3,408",3.6,"97,871","93,542","4,329",4.4,"98,978","93,835","5,143",5.2,"102,676","97,988","4,688",4.6,"109,599","105,455","4,144",3.8,"117,411","113,953","3,458",2.9,"125,330","122,117","3,213",2.6,"131,984","127,458","4,526",3.4,"135,919","127,800","8,119",6.0,"134,272","120,405","13,867",10.3
12086,FL,"Miami-Dade County, FL",City,"1,091,659","1,043,046","48,613",4.5,"1,075,145","1,026,885","48,260",4.5,"1,053,110","1,008,222","44,888",4.3,"1,065,762","1,026,479","39,283",3.7,"1,080,088","1,046,521","33,567",3.1,"1,133,105","1,106,002","27,103",2.4,"1,180,505","1,155,886","24,619",2.1,"1,227,055","1,194,185","32,870",2.7,"1,222,595","1,169,309","53,286",4.4,"1,191,175","1,083,040","108,135",9.1
12089,FL,"Nassau County, FL",City,"30,549","29,531","1,018",3.3,"30,885","29,654","1,231",4.0,"30,470","29,132","1,338",4.4,"30,423","29,140","1,283",4.2,"31,004","29,941","1,063",3.4,"32,499","31,661",838,2.6,"33,858","33,114",744,2.2,"35,043","34,073",970,2.8,"36,068","34,256","1,812",5.0,"35,542","32,376","3,166",8.9
12095,FL,"Orange County, FL",City,"504,054","488,469","15,585",3.1,"512,064","490,776","21,288",4.2,"505,055","479,157","25,898",5.1,"509,073","485,942","23,131",4.5,"526,175","506,351","19,824",3.8,"549,848","534,473","15,375",2.8,"571,003","557,274","13,729",2.4,"591,776","573,278","18,498",3.1,"599,559","566,785","32,774",5.5,"589,318","532,347","56,971",9.7
12097,FL,"Osceola County, FL",City,"90,374","87,372","3,002",3.3,"94,135","90,013","4,122",4.4,"96,361","91,250","5,111",5.3,"101,085","96,281","4,804",4.8,"108,661","104,335","4,326",4.0,"115,535","112,105","3,430",3.0,"123,982","120,761","3,221",2.6,"132,114","127,460","4,654",3.5,"137,160","129,078","8,082",5.9,"137,167","122,861","14,306",10.4
12099,FL,"Palm Beach County, FL",City,"546,593","523,327","23,266",4.3,"571,046","542,569","28,477",5.0,"578,208","545,924","32,284",5.6,"579,613","550,204","29,409",5.1,"592,012","566,247","25,765",4.4,"599,387","579,306","20,081",3.4,"613,813","596,474","17,339",2.8,"622,198","599,605","22,593",3.6,"624,078","585,877","38,201",6.1,"608,457","548,109","60,348",9.9
12101,FL,"Pasco County, FL",City,"151,610","145,960","5,650",3.7,"155,978","148,768","7,210",4.6,"158,310","149,757","8,553",5.4,"161,831","153,782","8,049",5.0,"171,972","164,630","7,342",4.3,"176,082","170,032","6,050",3.4,"185,313","179,817","5,496",3.0,"191,833","183,976","7,857",4.1,"196,070","182,451","13,619",6.9,"192,835","171,526","21,309",11.1
12103,FL,"Pinellas County, FL",City,"475,357","459,600","15,757",3.3,"473,931","453,527","20,404",4.3,"463,893","440,302","23,591",5.1,"456,280","435,023","21,257",4.7,"461,074","443,807","17,267",3.7,"449,841","436,165","13,676",3.0,"449,501","437,927","11,574",2.6,"447,795","432,618","15,177",3.4,"444,720","418,164","26,556",6.0,"435,605","392,019","43,586",10.0
12109,FL,"St. Johns County, FL",City,"67,048","65,047","2,001",3.0,"69,450","66,913","2,537",3.7,"70,114","67,306","2,808",4.0,"72,016","69,369","2,647",3.7,"76,752","74,387","2,365",3.1,"82,994","81,028","1,966",2.4,"88,002","86,177","1,825",2.1,"92,058","89,590","2,468",2.7,"95,847","91,354","4,493",4.7,"95,640","88,208","7,432",7.8
12117,FL,"Seminole County, FL",City,"214,509","207,963","6,546",3.1,"215,618","207,076","8,542",4.0,"212,864","202,234","10,630",5.0,"212,845","203,322","9,523",4.5,"217,182","209,457","7,725",3.6,"225,480","219,600","5,880",2.6,"232,638","227,412","5,226",2.2,"237,532","230,464","7,068",3.0,"239,743","227,177","12,566",5.2,"233,139","211,892","21,247",9.1
13013,GA,"Barrow County, GA",City,"25,014","24,267",747,3.0,"25,893","24,864","1,029",4.0,"26,881","25,498","1,383",5.1,"27,559","26,164","1,395",5.1,"28,796","27,403","1,393",4.8,"30,571","29,017","1,554",5.1,"32,018","30,555","1,463",4.6,"33,812","32,275","1,537",4.5,"35,217","32,811","2,406",6.8,"35,260","31,340","3,920",11.1
13015,GA,"Bartow County, GA",City,"40,350","38,875","1,475",3.7,"41,443","39,615","1,828",4.4,"42,459","39,968","2,491",5.9,"42,913","40,491","2,422",5.6,"43,325","40,871","2,454",5.7,"44,737","41,986","2,751",6.1,"44,933","42,560","2,373",5.3,"45,827","43,388","2,439",5.3,"46,819","43,209","3,610",7.7,"46,539","40,630","5,909",12.7
13035,GA,"Butts County, GA",City,"9,026","8,615",411,4.6,"9,185","8,771",414,4.5,"9,506","8,948",558,5.9,"9,622","9,087",535,5.6,"8,879","8,350",529,6.0,"9,134","8,540",594,6.5,"10,059","9,476",583,5.8,"10,145","9,577",568,5.6,"10,433","9,589",844,8.1,"10,164","8,883","1,281",12.6
13045,GA,"Carroll County, GA",City,"44,637","42,986","1,651",3.7,"46,112","43,920","2,192",4.8,"46,893","44,257","2,636",5.6,"47,956","45,303","2,653",5.5,"48,878","46,284","2,594",5.3,"50,817","47,814","3,003",5.9,"50,915","48,226","2,689",5.3,"53,193","50,420","2,773",5.2,"53,780","49,871","3,909",7.3,"52,772","46,703","6,069",11.5
13057,GA,"Cherokee County, GA",City,"82,374","80,258","2,116",2.6,"85,646","83,163","2,483",2.9,"88,906","85,044","3,862",4.3,"91,542","87,549","3,993",4.4,"94,466","90,551","3,915",4.1,"99,913","95,459","4,454",4.5,"104,467","100,312","4,155",4.0,"109,496","105,188","4,308",3.9,"111,944","105,550","6,394",5.7,"110,278","100,023","10,255",9.3
13063,GA,"Clayton County, GA",City,"125,561","121,368","4,193",3.3,"129,259","124,008","5,251",4.1,"131,352","123,158","8,194",6.2,"132,472","124,115","8,357",6.3,"133,128","124,776","8,352",6.3,"136,606","126,622","9,984",7.3,"135,605","127,020","8,585",6.3,"136,196","127,764","8,432",6.2,"136,326","125,133","11,193",8.2,"133,393","116,941","16,452",12.3
13067,GA,"Cobb County, GA",City,"358,689","348,740","9,949",2.8,"362,891","350,654","12,237",3.4,"365,192","347,245","17,947",4.9,"362,703","345,568","17,135",4.7,"363,009","345,931","17,078",4.7,"370,100","351,000","19,100",5.2,"373,102","355,979","17,123",4.6,"379,948","363,385","16,563",4.4,"380,211","357,151","23,060",6.1,"375,048","339,129","35,919",9.6
13077,GA,"Coweta County, GA",City,"48,441","46,854","1,587",3.3,"49,791","48,031","1,760",3.5,"50,998","48,582","2,416",4.7,"52,099","49,578","2,521",4.8,"53,172","50,832","2,340",4.4,"55,950","53,040","2,910",5.2,"57,750","55,141","2,609",4.5,"59,580","57,012","2,568",4.3,"61,181","57,395","3,786",6.2,"61,383","55,051","6,332",10.3
13085,GA,"Dawson County, GA",City,"8,980","8,739",241,2.7,"9,212","8,921",291,3.2,"9,489","9,036",453,4.8,"9,768","9,362",406,4.2,"9,905","9,485",420,4.2,"10,306","9,835",471,4.6,"10,634","10,198",436,4.1,"11,081","10,636",445,4.0,"11,334","10,612",722,6.4,"11,267","10,089","1,178",10.5
13089,GA,"DeKalb County, GA",City,"379,055","366,653","12,402",3.3,"377,958","362,407","15,551",4.1,"375,467","352,783","22,684",6.0,"368,804","347,334","21,470",5.8,"364,652","343,292","21,360",5.9,"369,408","345,356","24,052",6.5,"386,680","365,302","21,378",5.5,"393,477","372,948","20,529",5.2,"391,727","364,679","27,048",6.9,"381,692","341,611","40,081",10.5
13097,GA,"Douglas County, GA",City,"51,166","49,661","1,505",2.9,"52,030","50,313","1,717",3.3,"52,999","50,368","2,631",5.0,"54,030","51,296","2,734",5.1,"56,127","53,215","2,912",5.2,"59,662","56,070","3,592",6.0,"62,282","58,917","3,365",5.4,"64,762","61,488","3,274",5.1,"66,163","61,546","4,617",7.0,"65,280","57,878","7,402",11.3
13113,GA,"Fayette County, GA",City,"49,508","48,201","1,307",2.6,"49,996","48,568","1,428",2.9,"50,118","48,194","1,924",3.8,"50,568","48,576","1,992",3.9,"51,197","49,147","2,050",4.0,"53,279","50,659","2,620",4.9,"53,676","51,372","2,304",4.3,"53,459","51,233","2,226",4.2,"53,063","50,054","3,009",5.7,"51,085","46,569","4,516",8.8
