Subtitle,Band - Title,Label,Price
D,Defloration - Abused With Gods Blessing,War Anthem Records,0
D,Disarticulating Extinguishment - Psalms Of Wrath,17,0
D,Disentomb - Sunken Chambers Of Nephilim,2,0
D,Dysentery - From Past Suffering Comes New Flesh,2,0
E,Enthrallment - People From The Lands Of Vit,18,0
E,Enthrallment - Immerse Into Bloody Bliss,19,0
E,Endless Distrust - Collateral Damage,15,0
E,Engorgement - Excruciating Intestinal Lacerations,4,0
E,Envenomation - Pyogenic Harvest ,5,0
E,Extirpated - Decomposition And Decay,5,0
E,Eternal Ruin / Leukorrhea - Denied Existence,2,0
E,Epicedium - Anthropogenic,20,0
E,Ease Of Disgust - The Shell,Gigawatt Music,0
E,Exulcerate - Remnants Of A Cannibalistic Debauchery,4,0
E,Extermination Dismemberment - Butcher Basement,17,0
E,"Extirpating The Infected - Beheading The Dead
",0,0
F,Fecalizer / Paracoccidioidomicosisproctitissarcomucosis (Split),18,0
F,Fleshless - Hate Is Born,19,0
F,Face Of Oblivion - The Embers Of Man,4,0
G,Goratory - Rice On Suede,2,0
G,Goratory - Orgasm Induced Diarrhea,2,0
G,Gastrorrexis - Grotesque Human Disfigurement,0,0
G,Gorevent / Embryonic Depravity - Malignant Opus Of Inherited,0,0
G,Gorevent - Worship Paganism,Macabre Mementos Records,0
G,Gortuary - Awakening Pestilent Beings,0,0
G,Grotesque Formation - Basement Decomposition,0,0
G,Gut / Satan's Revenge On Mankind - The Green Slime Are Coming!,12,0
G,Gurglectomy / Desvirginizagore / Inhumation - Grinding Your Brain,Venal Productions,0
G,Gutfed - The Reign Of Pure Madness And Contagious Perversion,14,0
G,Grace Disgraced - Enthrallment Traced,More Hate Productions ,0
H,Horror God - Planet Of Ruins,8,0
H,Hideous Rebirth - Partially Devoured,21,0
H,Hedonistic Exility - Deevolutional Stasis,8,0
H,Horde Casket - Landscape Of Cadavers,5,0
H,Horde Casket - Slab Of Infinite Butchery,0,0
H,Haemophagia - From Sickness To Cult,5,0
H,Hate Division - Strategy Of Obsolescence ,5,0
H,Hellskuad - Knife Of Perfect Mutilation,3,0
H,Human Mastication - Persecute To Bloodbath,0,0
I,Ingurgitate - Bleeding His Sacred Kingship,6,0
I,Ingurgitate - Blackest Origins...,4,0
I,Infernal Revulsion - Dead But Breathing ,Revenge Productions,1
I,Infernal Revulsion - An Epic Conviction,0,0
I,Inferia - No Sperm Shall Be Spared,Sevared Redords,0
I,Inopexia - Myocardical Biopsy Had A Lethal Outcome,3,0
I,Intracranial Butchery - Keepin' It Grind,3,0
I,Intestinal Disgorge / Smallpox Aroma - The Abysmal Morgue,3,0
I,Intestinal Disgorge - Sociopath,12,0
I,Infected Malignity - The Malignity Born From Despair,9,2
I,Ingurgitating Oblivion - Voyage Towards Abhorrence,9,2
I,I Shit On Your Face - Anal Barbeque,Proud To Be Loud Records,0
I,Insidious Decrepancy - Decadent Orgy Of Atrocious Suffering ,0,0
I,Impure - Corpses... Intense Stench,1,0
I,Intestinal Alien Reflux - Exogenocide,0,0
I,Intestinal Alien Reflux - Illegal Aliens,0,0
I,Introrectalgestation - Hooves Of Human Teeth,2,0
J,Jehacktet - Ehec[tet],14,1
K,Kataplexia - Morgue's Reality,Severe Records,3
K,Kraanium - Post Mortal Coital Fixation,4,0
K,Kraanium / Epicardiectomy / Dormant Carnivore - Goresoaked Slamassacre ,5,0
L,Loathsome - Born From Rot,21,0
L,Lapidate - Sex Sells But Who's Paying,9,2
M,Modus Delicti / Clitoridus Invaginatus / Dismemberment (Split),6,0
M,Modus Delicti - S/T ,The Spew Records,0
M,Mourning - Mourning The New Dawn,6,0
M,Mourning - Blinded By Hate,6,0
M,Mincing Fury and Guttural Clamour of Queer Decay - Devolution,18,0
M,Medic Vomiting Pus - S/T,13,5
M,Magistral Flatulences - Pussyfist,8,0
M,Malodorous - Amaranthine Redolence,2,0
M,Membro Genitali Befurcator - Human Destruction,3,0
M,Malamor - Dead To The World,2,0
M,Massmurder - Slaughtered For Snuff,9,2
M,Mucupurulent - Monsters Of Carnage,12,2
M,Mucupurulent - Horny Like Hell,12,0
M,Mixomatosis - Neurofibroma Mixoide ,12,0
M,Mucopus - Mulch?!?,2,0
N,Necrovile - The Pungency Of Carnage,18,0
N,Necrotic Disgorgement - Suffocated In Shrinkwrap,4,0
N,Nerve Abscess / Affinity Hypothesis (Split) ,17,0
O,Orifice - These Are The Flowers That I Love To Smell,8,5
P,Plerosis - Pulverizing Gore Machine,Cadaver Cart Productions ,6
P,Putrid Pile - Collection Of Butchery,18,1
P,Putrid Pile - Blood Fetish,0,0
P,Putrid Pile - The Pleasure In Suffering Revisited,0,0
P,Putrid Pile - House Of Dementia,0,0
P,Pathology - The Time Of Great Purification,10,6
P,Pathology - Awaken To The Suffering,10,6
P,Pathology - Legacy Of The Ancients,10,$13
P,Pathology - Age Of Onset,4,0
P,Pathology - Incisions Of Perverse Debauchery,4,1
P,Pathology - Surgically Hacked,2,1
P,Prostitute Disfigurement - Deeds Of Derangement,4,0
P,Pyrexia - System Of The Animal ,5,2
P,Putrefying Cadaverment - Necrosadistic Defilement,11,0
P,Peshmerga - Murderous Acts Of Cruelty,0,0
R,Rabid Dogs - Beasts With Guns,8,0
R,Remnants Of Flesh - Degenerated Human Cells,20,0
R,Relics Of Humanity - Guided By The Soulless Call,2,0
R,Regurgitation - Clitoraldectomy,4,0
R,Raped By Pigs - Gushing Orgasm 2 ,5,0
R,Resection - Zenith,9,2
R,Razor Rape - Revenge Of The Hermaphrodite Whores,12,0
R,Repulsive Dissection - Murder-Suicide,17,0
R,Repulsive Dissection - Cut Open The Aberration,0,0
R,Rest In Gore - Culinary Buffet Of Hacked Innards,0,0
S,Sickening - Against The Wall Of Pretence,2,0
S,Severed Crotch - The Nature Of Entropy,2,0
S,Severance - Progression Towards Purgatory,0,0
S,Sikfuk - Teabagged At Birth,0,0
S,Syphilic - A Composition Of Murder,0,0
S,Skinned - Morbid Tokens Of Perversion And Homicide,17,0
S,Skinned - Contortion of Reality,17,0
S,Spasm - Taboo Tales,12,0
S,SCID - Injected,9,2
S,Suture - Skeletal Vortex,9,2
S,Sadistic Mutilation - Psychopath's Aberrations,Gore And Blood Productions,0
S,Suture - Morbid Sculpture: Demo[n]ology,2,0
S,Sexcrement - Sloppy Seconds,4,0
S,Sikfuk - Shitfisted Superman... The Man Of Stool,4,0
S,Sarcophagy - The Summoning,0,0
S,Sepsism - Distorting The Mortal Visage,0,0
S,Septicopyemia / Ebanath / Stickoxydal 3 Way Split,8,0
S,Stalino - Conflict ,8,0
S,Svin Killer - Drowning Into The Green Mass,8,0
S,Splattered Entrails - Depth Of Obscurity,15,2
S,Scattered Remains - Led To The Slaughter,6,0
T,Truculency - Eviscerate The Paraplegic,2,0
T,Trifixion - A Utopia For The Damned ,5,0
T,Thirst Of Revenge - The Beginning Of The End ,5,0
T,Torture Krypt - Resurrecting The Krypts ,5,0
T,Tombthroat - Eden Apocalypse,Blast Head Records,0
T,TSUBO - ...Con Cognizione Di Causa,8,0
U,Unfathomable Ruination - S/T,0,0
U,Ultimo Mondo Cannibale - Drink My Milk,12,0
V,Vulvectomy Putrescent Clitoral Fermentation,2,0
V,Vulvectomy - Post-Abortion Slut Fuck,0,1
V,Viral Load - Brutalized Beyond Belief,2,0
V,Viral Load - Hillbilly Whore Hackin' Revival,0,0
V,Viral Load - Practitioners Of Perversion,2,0
V,Viral Load - Backwoods Bludgeoning (Sick Hicks From The Sticks),2,0
V,Vermis Antecessor - The Subliminal Ways Of Flesh ,5,0
V,VX / Coprobaptized Cunthunter / Oneroid Blood Pressure Split CD,17,0
V,"VX / AbnormyNdeffect Split CD
",17,0
V,Vomitous - Surgical Abominations Of Disfigurement,0,0
V,Vomepotro - Liturgy Of Dissection,0,0
V,Visceral Disgorge - Ingesting Putridity,2,0
W,Welding Torture - S/T,0,5
W,Whoretopsy - They Did Unspeakable Things,Torture Music Records,0
