Band - Title,Label,Price
Intestinal Disgorge / Smallpox Aroma - The Abysmal Morgue,3,0
Intestinal Disgorge - Sociopath,12,0
Infected Malignity - The Malignity Born From Despair,9,2
Ingurgitating Oblivion - Voyage Towards Abhorrence,9,2
I Shit On Your Face - Anal Barbeque,Proud To Be Loud Records,0
Insidious Decrepancy - Decadent Orgy Of Atrocious Suffering ,0,0
Impure - Corpses... Intense Stench,1,0
Intestinal Alien Reflux - Exogenocide,0,0
Intestinal Alien Reflux - Illegal Aliens,0,0
Introrectalgestation - Hooves Of Human Teeth,2,0
J,,
Jehacktet - Ehec[tet],14,1
K,,
Kataplexia - Morgue's Reality,Severe Records,3
Kraanium - Post Mortal Coital Fixation,4,0
Kraanium / Epicardiectomy / Dormant Carnivore - Goresoaked Slamassacre ,5,0
L,,
Loathsome - Born From Rot,21,0
Lapidate - Sex Sells But Who's Paying,9,2
M,,
Modus Delicti / Clitoridus Invaginatus / Dismemberment (Split),6,0
Modus Delicti - S/T ,The Spew Records,0
Mourning - Mourning The New Dawn,6,0
Mourning - Blinded By Hate,6,0
Mincing Fury and Guttural Clamour of Queer Decay - Devolution,18,0
Medic Vomiting Pus - S/T,13,5
Magistral Flatulences - Pussyfist,8,0
Malodorous - Amaranthine Redolence,2,0
Membro Genitali Befurcator - Human Destruction,3,0
Malamor - Dead To The World,2,0
Massmurder - Slaughtered For Snuff,9,2
Mucupurulent - Monsters Of Carnage,12,2
Mucupurulent - Horny Like Hell,12,0
Mixomatosis - Neurofibroma Mixoide ,12,0
Mucopus - Mulch?!?,2,0
N,,
Necrovile - The Pungency Of Carnage,18,0
Necrotic Disgorgement - Suffocated In Shrinkwrap,4,0
Nerve Abscess / Affinity Hypothesis (Split) ,17,0
O,,
Orifice - These Are The Flowers That I Love To Smell,8,5
P,,
Plerosis - Pulverizing Gore Machine,Cadaver Cart Productions ,6
Putrid Pile - Collection Of Butchery,18,1
Putrid Pile - Blood Fetish,0,0
Putrid Pile - The Pleasure In Suffering Revisited,0,0
Putrid Pile - House Of Dementia,0,0
Pathology - The Time Of Great Purification,10,6
Pathology - Awaken To The Suffering,10,6
Pathology - Legacy Of The Ancients,10,$13
Pathology - Age Of Onset,4,0
Pathology - Incisions Of Perverse Debauchery,4,1
Pathology - Surgically Hacked,2,1
Prostitute Disfigurement - Deeds Of Derangement,4,0
Pyrexia - System Of The Animal ,5,2
Putrefying Cadaverment - Necrosadistic Defilement,11,0
Peshmerga - Murderous Acts Of Cruelty,0,0
R,,
Rabid Dogs - Beasts With Guns,8,0
Remnants Of Flesh - Degenerated Human Cells,20,0
Relics Of Humanity - Guided By The Soulless Call,2,0
Regurgitation - Clitoraldectomy,4,0
Raped By Pigs - Gushing Orgasm 2 ,5,0
Resection - Zenith,9,2
Razor Rape - Revenge Of The Hermaphrodite Whores,12,0
Repulsive Dissection - Murder-Suicide,17,0
Repulsive Dissection - Cut Open The Aberration,0,0
Rest In Gore - Culinary Buffet Of Hacked Innards,0,0
S,,
Sickening - Against The Wall Of Pretence,2,0
Severed Crotch - The Nature Of Entropy,2,0
Severance - Progression Towards Purgatory,0,0
Sikfuk - Teabagged At Birth,0,0
Syphilic - A Composition Of Murder,0,0
Skinned - Morbid Tokens Of Perversion And Homicide,17,0
Skinned - Contortion of Reality,17,0
Spasm - Taboo Tales,12,0
SCID - Injected,9,2
Suture - Skeletal Vortex,9,2
Sadistic Mutilation - Psychopath's Aberrations,Gore And Blood Productions,0
Suture - Morbid Sculpture: Demo[n]ology,2,0
Sexcrement - Sloppy Seconds,4,0
Sikfuk - Shitfisted Superman... The Man Of Stool,4,0
Sarcophagy - The Summoning,0,0
Sepsism - Distorting The Mortal Visage,0,0
Septicopyemia / Ebanath / Stickoxydal 3 Way Split,8,0
Stalino - Conflict ,8,0
Svin Killer - Drowning Into The Green Mass,8,0
Splattered Entrails - Depth Of Obscurity,15,2
Scattered Remains - Led To The Slaughter,6,0
T,,
Truculency - Eviscerate The Paraplegic,2,0
Trifixion - A Utopia For The Damned ,5,0
Thirst Of Revenge - The Beginning Of The End ,5,0
Torture Krypt - Resurrecting The Krypts ,5,0
Tombthroat - Eden Apocalypse,Blast Head Records,0
TSUBO - ...Con Cognizione Di Causa,8,0
U,,
Unfathomable Ruination - S/T,0,0
Ultimo Mondo Cannibale - Drink My Milk,12,0
V,,
Vulvectomy Putrescent Clitoral Fermentation,2,0
Vulvectomy - Post-Abortion Slut Fuck,0,1
Viral Load - Brutalized Beyond Belief,2,0
Viral Load - Hillbilly Whore Hackin' Revival,0,0
Viral Load - Practitioners Of Perversion,2,0
Viral Load - Backwoods Bludgeoning (Sick Hicks From The Sticks),2,0
Vermis Antecessor - The Subliminal Ways Of Flesh ,5,0
VX / Coprobaptized Cunthunter / Oneroid Blood Pressure Split CD,17,0
"VX / AbnormyNdeffect Split CD
",17,0
Vomitous - Surgical Abominations Of Disfigurement,0,0
Vomepotro - Liturgy Of Dissection,0,0
Visceral Disgorge - Ingesting Putridity,2,0
W,,
Welding Torture - S/T,0,5
Whoretopsy - They Did Unspeakable Things,Torture Music Records,0
