movie_title,actor_1,actor_2,actor_3,fb_like_1,fb_like_2,fb_like_3
Titanic,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,29000.0,14000.0,794.0
Captain America: Civil War,Robert Downey Jr.,Scarlett Johansson,Chris Evans,21000.0,19000.0,11000.0
Battleship,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,14000.0,10000.0,627.0
Jurassic World,Bryce Dallas Howard,Judy Greer,Omar Sy,3000.0,2000.0,1000.0
Skyfall,Albert Finney,Helen McCrory,Rory Kinnear,883.0,563.0,393.0
Spider-Man 2,J.K. Simmons,James Franco,Kirsten Dunst,24000.0,11000.0,4000.0
Iron Man 3,Robert Downey Jr.,Jon Favreau,Don Cheadle,21000.0,4000.0,3000.0
Alice in Wonderland,Johnny Depp,Alan Rickman,Anne Hathaway,40000.0,25000.0,11000.0
X-Men: The Last Stand,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,20000.0,808.0,560.0
Monsters University,Steve Buscemi,Tyler Labine,Sean Hayes,12000.0,779.0,760.0
Transformers: Revenge of the Fallen,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,894.0,581.0,464.0
Transformers: Age of Extinction,Bingbing Li,Sophia Myles,Kelsey Grammer,974.0,956.0,808.0
Oz the Great and Powerful,Tim Holmes,Mila Kunis,James Franco,44000.0,15000.0,11000.0
The Amazing Spider-Man 2,Emma Stone,Andrew Garfield,B.J. Novak,15000.0,10000.0,825.0
TRON: Legacy,Jeff Bridges,Olivia Wilde,James Frain,12000.0,10000.0,1000.0
Cars 2,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,1000.0,919.0,776.0
Green Lantern,Ryan Reynolds,Temuera Morrison,Taika Waititi,16000.0,368.0,326.0
Toy Story 3,Tom Hanks,John Ratzenberger,Don Rickles,15000.0,1000.0,721.0
Terminator Salvation,Christian Bale,Bryce Dallas Howard,Common,23000.0,3000.0,988.0
Furious 7,Jason Statham,Paul Walker,Vin Diesel,26000.0,23000.0,14000.0
World War Z,Peter Capaldi,Brad Pitt,Mireille Enos,17000.0,11000.0,1000.0
X-Men: Days of Future Past,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,34000.0,22000.0,20000.0
Star Trek Into Darkness,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,19000.0,981.0,928.0
Jack the Giant Slayer,Eddie Marsan,Ewen Bremner,Ralph Brown,979.0,557.0,140.0
The Great Gatsby,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,29000.0,509.0,77.0
Prince of Persia: The Sands of Time,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,15000.0,567.0,236.0
Pacific Rim,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,16000.0,968.0,919.0
Transformers: Dark of the Moon,Glenn Morshower,Lester Speight,Kevin Dunn,894.0,829.0,581.0
Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford,Ray Winstone,Jim Broadbent,11000.0,1000.0,1000.0
The Good Dinosaur,A.J. Buckley,Jack McGraw,Peter Sohn,275.0,150.0,113.0
Brave,Kelly Macdonald,John Ratzenberger,Julie Walters,2000.0,1000.0,838.0
Star Trek Beyond,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,998.0,119.0,105.0
WALL·E,John Ratzenberger,Fred Willard,Jeff Garlin,1000.0,729.0,522.0
Rush Hour 3,Tzi Ma,Dana Ivey,Noémie Lenoir,268.0,268.0,173.0
2012,Oliver Platt,Liam James,Tom McCarthy,1000.0,468.0,310.0
A Christmas Carol,Robin Wright,Colin Firth,Gary Oldman,18000.0,14000.0,10000.0
Jupiter Ascending,Channing Tatum,Mila Kunis,Eddie Redmayne,17000.0,15000.0,13000.0
The Legend of Tarzan,Christoph Waltz,Alexander Skarsgård,Casper Crump,11000.0,10000.0,103.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Jim Broadbent,Kiran Shah,Shane Rangi,1000.0,190.0,82.0
X-Men: Apocalypse,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,34000.0,13000.0,1000.0
The Dark Knight,Christian Bale,Heath Ledger,Morgan Freeman,23000.0,13000.0,11000.0
Up,John Ratzenberger,Delroy Lindo,Jess Harnell,1000.0,848.0,262.0
Monsters vs. Aliens,Amy Poehler,Rainn Wilson,Stephen Colbert,1000.0,973.0,459.0
Iron Man,Robert Downey Jr.,Jeff Bridges,Jon Favreau,21000.0,12000.0,4000.0
Hugo,Chloë Grace Moretz,Christopher Lee,Ray Winstone,17000.0,16000.0,1000.0
Wild Wild West,Will Smith,Salma Hayek,Bai Ling,10000.0,4000.0,582.0
The Mummy: Tomb of the Dragon Emperor,Jet Li,Brendan Fraser,Russell Wong,5000.0,3000.0,595.0
Suicide Squad,Will Smith,Robin Atkin Downes,Ike Barinholtz,10000.0,336.0,329.0
Evan Almighty,Jimmy Bennett,Morgan Freeman,Steve Carell,87000.0,11000.0,7000.0
Edge of Tomorrow,Tom Cruise,Lara Pulver,Noah Taylor,10000.0,854.0,509.0
Waterworld,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,711.0,60.0,60.0
G.I. Joe: The Rise of Cobra,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,23000.0,2000.0,570.0
Inside Out,Amy Poehler,Mindy Kaling,Phyllis Smith,1000.0,767.0,384.0
The Jungle Book,Scarlett Johansson,Bill Murray,Garry Shandling,19000.0,13000.0,591.0
Iron Man 2,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,21000.0,19000.0,4000.0
Snow White and the Huntsman,Chris Hemsworth,Kristen Stewart,Sam Claflin,26000.0,17000.0,11000.0
Maleficent,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,11000.0,2000.0,846.0
Dawn of the Planet of the Apes,Gary Oldman,Judy Greer,Kodi Smit-McPhee,10000.0,2000.0,884.0
The Lovers,Tamsin Egerton,Alice Englert,Bipasha Basu,622.0,525.0,283.0
47 Ronin,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,18000.0,1000.0,982.0
Captain America: The Winter Soldier,Scarlett Johansson,Chris Evans,Hayley Atwell,19000.0,11000.0,2000.0
Shrek Forever After,Jon Hamm,Kathy Griffin,Mary Kay Place,4000.0,225.0,213.0
Tomorrowland,Judy Greer,Chris Bauer,Thomas Robinson,2000.0,638.0,604.0
Big Hero 6,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,756.0,719.0,562.0
Wreck-It Ralph,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,975.0,931.0,833.0
The Polar Express,Tom Hanks,Eddie Deezen,Peter Scolari,15000.0,726.0,267.0
Independence Day: Resurgence,Vivica A. Fox,Sela Ward,Judd Hirsch,890.0,812.0,535.0
How to Train Your Dragon,Gerard Butler,America Ferrera,Craig Ferguson,18000.0,953.0,759.0
Terminator 3: Rise of the Machines,Nick Stahl,M.C. Gainey,Carolyn Hennesy,648.0,284.0,191.0
Guardians of the Galaxy,Bradley Cooper,Vin Diesel,Djimon Hounsou,14000.0,14000.0,3000.0
Interstellar,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,11000.0,11000.0,6000.0
Inception,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,29000.0,27000.0,23000.0
Godzilla Resurgence,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,544.0,106.0,12.0
The Hobbit: An Unexpected Journey,Aidan Turner,Adam Brown,James Nesbitt,5000.0,972.0,773.0
The Fast and the Furious,Paul Walker,Vin Diesel,Jordana Brewster,23000.0,14000.0,4000.0
The Curious Case of Benjamin Button,Brad Pitt,Jason Flemyng,Julia Ormond,11000.0,1000.0,919.0
X-Men: First Class,Jennifer Lawrence,Michael Fassbender,Oliver Platt,34000.0,13000.0,1000.0
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,34000.0,22000.0,14000.0
The Sorcerer's Apprentice,Nicolas Cage,Omar Benson Miller,Robert Capron,12000.0,418.0,370.0
Poseidon,Jimmy Bennett,Mike Vogel,Andre Braugher,87000.0,2000.0,702.0
Alice Through the Looking Glass,Johnny Depp,Alan Rickman,Anne Hathaway,40000.0,25000.0,11000.0
Shrek the Third,Justin Timberlake,Eric Idle,Rupert Everett,3000.0,795.0,692.0
Warcraft,Dominic Cooper,Callum Rennie,Ruth Negga,3000.0,716.0,648.0
Terminator Genisys,J.K. Simmons,Emilia Clarke,Matt Smith,24000.0,10000.0,2000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Bruce Spence,Shane Rangi,Laura Brent,531.0,82.0,59.0
Pearl Harbor,Jennifer Garner,Jaime King,Mako,3000.0,961.0,691.0
Transformers,Zack Ward,Michael O'Neill,Kevin Dunn,662.0,599.0,581.0
Alexander,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,12000.0,11000.0,591.0
Harry Potter and the Order of the Phoenix,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,21000.0,11000.0,687.0
Harry Potter and the Goblet of Fire,Robert Pattinson,Daniel Radcliffe,Rupert Grint,21000.0,11000.0,10000.0
Hancock,Will Smith,Charlize Theron,Eddie Marsan,10000.0,9000.0,979.0
I Am Legend,Will Smith,Alice Braga,Willow Smith,10000.0,1000.0,558.0
Charlie and the Chocolate Factory,Johnny Depp,Christopher Lee,David Kelly,40000.0,16000.0,588.0
Ratatouille,Janeane Garofalo,John Ratzenberger,Brian Dennehy,1000.0,1000.0,954.0
Batman Begins,Christian Bale,Liam Neeson,Morgan Freeman,23000.0,14000.0,11000.0
Madagascar: Escape 2 Africa,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,1000.0,851.0,436.0
Night at the Museum: Battle of the Smithsonian,Robin Williams,Rami Malek,Steve Coogan,49000.0,3000.0,1000.0
X-Men Origins: Wolverine,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,20000.0,16000.0,2000.0
The Matrix Revolutions,Essie Davis,Collin Chou,Nona Gaye,309.0,269.0,233.0
Frozen,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,1000.0,523.0,490.0
The Matrix Reloaded,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,234.0,198.0,30.0
Thor: The Dark World,Chris Hemsworth,Natalie Portman,Anthony Hopkins,26000.0,20000.0,12000.0
Mad Max: Fury Road,Tom Hardy,Charlize Theron,Zoë Kravitz,27000.0,9000.0,943.0
Angels & Demons,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,15000.0,745.0,294.0
Thor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,26000.0,20000.0,12000.0
Bolt,Chloë Grace Moretz,Diedrich Bader,James Lipton,17000.0,759.0,699.0
G-Force,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,730.0,607.0,182.0
Wrath of the Titans,Liam Neeson,Edgar Ramírez,Lily James,14000.0,897.0,502.0
Dark Shadows,Johnny Depp,Chloë Grace Moretz,Christopher Lee,40000.0,17000.0,16000.0
Mission: Impossible - Rogue Nation,Tom Cruise,Jeremy Renner,Sean Harris,10000.0,10000.0,641.0
The Wolfman,Anthony Hopkins,Simon Merrells,Art Malik,12000.0,490.0,162.0
Bee Movie,Matthew Broderick,Oprah Winfrey,Rip Torn,2000.0,852.0,826.0
Kung Fu Panda 2,Angelina Jolie Pitt,Gary Oldman,Mike Bell,11000.0,10000.0,15.0
The Last Airbender,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,1000.0,756.0,346.0
Mission: Impossible III,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,22000.0,10000.0,979.0
White House Down,Channing Tatum,Jake Weber,Matt Craven,17000.0,551.0,256.0
Mars Needs Moms,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,921.0,562.0,433.0
Flushed Away,Hugh Jackman,Kate Winslet,David Suchet,20000.0,14000.0,586.0
Pan,Hugh Jackman,Cara Delevingne,Nonso Anozie,20000.0,548.0,394.0
Mr. Peabody & Sherman,Ty Burrell,Zach Callison,Karan Brar,3000.0,1000.0,517.0
Troy,Brad Pitt,Orlando Bloom,Julian Glover,11000.0,5000.0,844.0
Madagascar 3: Europe's Most Wanted,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,851.0,770.0,436.0
Die Another Day,Toby Stephens,Colin Salmon,Rick Yune,769.0,766.0,746.0
Ghostbusters,Ed Begley Jr.,Kate McKinnon,Zach Woods,783.0,370.0,322.0
Armageddon,Bruce Willis,Steve Buscemi,Will Patton,13000.0,12000.0,537.0
Men in Black II,Will Smith,Rosario Dawson,Rip Torn,10000.0,3000.0,826.0
Beowulf,Robin Wright,Anthony Hopkins,Sebastian Roché,18000.0,12000.0,964.0
Kung Fu Panda 3,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,24000.0,11000.0,967.0
Mission: Impossible - Ghost Protocol,Tom Cruise,Jeremy Renner,Michael Nyqvist,10000.0,10000.0,690.0
Rise of the Guardians,Hugh Jackman,Kamil McFadden,Khamani Griffin,20000.0,315.0,161.0
Fun with Dick and Jane,John Michael Higgins,Richard Burgi,David Herman,957.0,550.0,233.0
The Last Samurai,Tom Cruise,Tony Goldwyn,Chad Lindberg,10000.0,956.0,445.0
Exodus: Gods and Kings,Christian Bale,María Valverde,Ben Mendelsohn,23000.0,893.0,748.0
Star Trek,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,26000.0,12000.0,981.0
Spider-Man,J.K. Simmons,James Franco,Kirsten Dunst,24000.0,11000.0,4000.0
How to Train Your Dragon 2,Gerard Butler,Djimon Hounsou,America Ferrera,18000.0,3000.0,953.0
Gods of Egypt,Gerard Butler,Elodie Yung,Bryan Brown,18000.0,934.0,284.0
Stealth,Sam Shepard,Joe Morton,Richard Roxburgh,820.0,780.0,653.0
Watchmen,Matt Frewer,Billy Crudup,Stephen McHattie,986.0,745.0,413.0
Lethal Weapon 4,Jet Li,Rene Russo,Darlene Love,5000.0,808.0,91.0
Hulk,Kevin Rankin,Regi Davis,Celia Weston,820.0,300.0,258.0
G.I. Joe: Retaliation,Channing Tatum,Dwayne Johnson,Elodie Yung,17000.0,12000.0,934.0
Sahara,Matthew McConaughey,Rainn Wilson,Delroy Lindo,11000.0,973.0,848.0
Final Fantasy: The Spirits Within,Steve Buscemi,Ming-Na Wen,Jean Simmons,12000.0,2000.0,422.0
Captain America: The First Avenger,Chris Evans,Dominic Cooper,Hayley Atwell,11000.0,3000.0,2000.0
The World Is Not Enough,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,766.0,536.0,244.0
Master and Commander: The Far Side of the World,James D'Arcy,Lee Ingleby,David Threlfall,613.0,172.0,168.0
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson,Kristen Stewart,Taylor Lautner,21000.0,17000.0,12000.0
Happy Feet 2,Robin Williams,Brad Pitt,Common,49000.0,11000.0,988.0
The Incredible Hulk,Ty Burrell,Peter Mensah,William Hurt,3000.0,1000.0,882.0
Miami Vice,Don Johnson,Philip Michael Thomas,John Diehl,982.0,321.0,184.0
The BFG,Mark Rylance,Penelope Wilton,Rafe Spall,535.0,400.0,358.0
The Revenant,Leonardo DiCaprio,Tom Hardy,Lukas Haas,29000.0,27000.0,733.0
Turbo,Ryan Reynolds,Snoop Dogg,Ben Schwartz,16000.0,881.0,463.0
Rango,Johnny Depp,Ray Winstone,Stephen Root,40000.0,1000.0,939.0
Penguins of Madagascar,Benedict Cumberbatch,Annet Mahendru,Andy Richter,19000.0,411.0,179.0
The Bourne Ultimatum,Matt Damon,Edgar Ramírez,Albert Finney,13000.0,897.0,883.0
Kung Fu Panda,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,11000.0,967.0,562.0
Ant-Man,Judy Greer,Hayley Atwell,T.I.,2000.0,2000.0,680.0
The Hunger Games: Catching Fire,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,34000.0,14000.0,523.0
Home,Jim Parsons,Matt Jones,April Winchell,17000.0,523.0,183.0
War of the Worlds,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,10000.0,1000.0,807.0
Bad Boys II,Will Smith,Henry Rollins,Jordi Mollà,10000.0,898.0,877.0
Puss in Boots,Salma Hayek,Constance Marie,Amy Sedaris,4000.0,442.0,397.0
Salt,Angelina Jolie Pitt,Andre Braugher,August Diehl,11000.0,702.0,282.0
Noah,Anthony Hopkins,Emma Watson,Logan Lerman,12000.0,9000.0,8000.0
The Adventures of Tintin,Toby Jones,Mackenzie Crook,Tony Curran,2000.0,871.0,845.0
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe,Gary Oldman,Rupert Grint,11000.0,10000.0,10000.0
Australia,Essie Davis,Bryan Brown,Eddie Baroo,309.0,284.0,165.0
After Earth,Will Smith,Zoë Kravitz,Glenn Morshower,10000.0,943.0,894.0
Dinosaur,Alfre Woodard,D.B. Sweeney,Della Reese,1000.0,558.0,388.0
Harry Potter and the Deathly Hallows: Part II,Rupert Grint,Dave Legeno,Ralph Ineson,10000.0,570.0,159.0
Night at the Museum: Secret of the Tomb,Robin Williams,Rami Malek,Steve Coogan,49000.0,3000.0,1000.0
Megamind,J.K. Simmons,Brad Pitt,Will Ferrell,24000.0,11000.0,8000.0
Harry Potter and the Sorcerer's Stone,Daniel Radcliffe,Fiona Shaw,Verne Troyer,11000.0,687.0,645.0
R.I.P.D.,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,16000.0,12000.0,1000.0
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Orlando Bloom,Jack Davenport,40000.0,5000.0,1000.0
Harry Potter and the Deathly Hallows: Part I,Rupert Grint,Toby Jones,Alfred Enoch,10000.0,2000.0,1000.0
The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,34000.0,22000.0,14000.0
The Da Vinci Code,Tom Hanks,Seth Gabel,Jürgen Prochnow,15000.0,574.0,362.0
Rio 2,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,688.0,237.0,56.0
X-Men 2,Hugh Jackman,Bruce Davison,Aaron Stanford,20000.0,505.0,346.0
Fast Five,Paul Walker,Vin Diesel,Dwayne Johnson,23000.0,14000.0,12000.0
Sherlock Holmes: A Game of Shadows,Robert Downey Jr.,Eddie Marsan,Paul Anderson,21000.0,979.0,154.0
Clash of the Titans,Liam Neeson,Jason Flemyng,Alexa Davalos,14000.0,1000.0,850.0
Total Recall,Ronny Cox,Rachel Ticotin,Marshall Bell,605.0,308.0,217.0
The 13th Warrior,Tony Curran,Vladimir Kulich,Clive Russell,845.0,372.0,241.0
The Bourne Legacy,Jeremy Renner,Scott Glenn,Stacy Keach,10000.0,826.0,602.0
Batman & Robin,Michael Gough,Vivica A. Fox,John Glover,920.0,890.0,409.0
How the Grinch Stole Christmas,Clint Howard,T.J. Thyne,Molly Shannon,1000.0,722.0,636.0
The Day After Tomorrow,Jake Gyllenhaal,Dennis Quaid,Sela Ward,15000.0,2000.0,812.0
Mission: Impossible II,Tom Cruise,Dougray Scott,Richard Roxburgh,10000.0,794.0,653.0
The Perfect Storm,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,784.0,638.0,461.0
Fantastic 4: Rise of the Silver Surfer,Chris Evans,Ioan Gruffudd,Andre Braugher,11000.0,2000.0,702.0
Life of Pi,Suraj Sharma,Rafe Spall,Tabu,774.0,358.0,341.0
Ghost Rider,Nicolas Cage,Matt Long,Peter Fonda,12000.0,701.0,402.0
Jason Bourne,Matt Damon,Riz Ahmed,Ato Essandoh,13000.0,365.0,265.0
Charlie's Angels: Full Throttle,Demi Moore,Bernie Mac,Justin Theroux,2000.0,1000.0,1000.0
Prometheus,Michael Fassbender,Charlize Theron,Sean Harris,13000.0,9000.0,641.0
Stuart Little 2,Nathan Lane,Brad Garrett,Melanie Griffith,886.0,799.0,537.0
Elysium,Matt Damon,Sharlto Copley,Alice Braga,13000.0,2000.0,1000.0
The Chronicles of Riddick,Vin Diesel,Alexa Davalos,Christina Cox,14000.0,850.0,567.0
RoboCop,Gary Oldman,Abbie Cornish,Jennifer Ehle,10000.0,2000.0,1000.0
Speed Racer,Scott Porter,Kick Gurry,Nicholas Elia,690.0,107.0,87.0
How Do You Know,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,273.0,216.0,157.0
Knight and Day,Tom Cruise,Marc Blucas,Jordi Mollà,10000.0,973.0,877.0
Oblivion,Morgan Freeman,Tom Cruise,Zoë Bell,11000.0,10000.0,1000.0
Star Wars: Episode III - Revenge of the Sith,Natalie Portman,Christopher Lee,Hayden Christensen,20000.0,16000.0,4000.0
Star Wars: Episode II - Attack of the Clones,Natalie Portman,Christopher Lee,Hayden Christensen,20000.0,16000.0,4000.0
"Monsters, Inc.",Steve Buscemi,John Ratzenberger,James Coburn,12000.0,1000.0,773.0
The Wolverine,Hugh Jackman,Tao Okamoto,Rila Fukushima,20000.0,992.0,929.0
Star Wars: Episode I - The Phantom Menace,Natalie Portman,Liam Neeson,Ian McDiarmid,20000.0,14000.0,1000.0
The Croods,Ryan Reynolds,Emma Stone,Nicolas Cage,16000.0,15000.0,12000.0
Asterix at the Olympic Games,Alain Delon,Santiago Segura,Vanessa Hessler,936.0,276.0,141.0
Windtalkers,Nicolas Cage,Roger Willie,Noah Emmerich,12000.0,836.0,617.0
The Huntsman: Winter's War,Chris Hemsworth,Sam Claflin,Charlize Theron,26000.0,11000.0,9000.0
Teenage Mutant Ninja Turtles,Noel Fisher,Danny Woodburn,Jeremy Howard,833.0,809.0,429.0
Gravity,Phaldut Sharma,Basher Savage,Amy Warren,39.0,23.0,13.0
Dante's Peak,Jamie Renée Smith,Grant Heslov,Tzi Ma,650.0,293.0,268.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Stephen Amell,Noel Fisher,Brad Garrett,5000.0,833.0,799.0
Fantastic Four,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,596.0,360.0,78.0
Night at the Museum,Robin Williams,Rami Malek,Steve Coogan,49000.0,3000.0,1000.0
San Andreas,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi,12000.0,2000.0,884.0
Tomorrow Never Dies,Vincent Schiavelli,Colin Salmon,Joe Don Baker,811.0,766.0,387.0
The Patriot,Heath Ledger,Adam Baldwin,Tom Wilkinson,13000.0,2000.0,1000.0
Ocean's Twelve,Brad Pitt,Julia Roberts,Mini Anden,11000.0,8000.0,350.0
Mr. & Mrs. Smith,Brad Pitt,Angelina Jolie Pitt,Stephanie March,11000.0,11000.0,322.0
Insurgent,Kate Winslet,Theo James,Mekhi Phifer,14000.0,5000.0,1000.0
The Aviator,Leonardo DiCaprio,Adam Scott,Frances Conroy,29000.0,3000.0,827.0
Gulliver's Travels,James Corden,Catherine Tate,Olly Alexander,480.0,392.0,116.0
The Green Hornet,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,11000.0,1000.0,741.0
The A-Team,George Peppard,Dirk Benedict,Dwight Schultz,669.0,554.0,432.0
300: Rise of an Empire,Eva Green,Sullivan Stapleton,Peter Mensah,6000.0,1000.0,1000.0
The Smurfs,Mahadeo Shivraj,Tim Gunn,Madison McKinley,383.0,113.0,111.0
Home on the Range,Steve Buscemi,Roseanne Barr,G.W. Bailey,12000.0,513.0,421.0
Allegiant,Naomi Watts,Theo James,Zoë Kravitz,6000.0,5000.0,943.0
Real Steel,Hugh Jackman,Torey Michael Adkins,Olga Fonda,20000.0,929.0,544.0
The Smurfs 2,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui,681.0,71.0,40.0
Speed 2: Cruise Control,Jason Patric,Temuera Morrison,Lois Chiles,673.0,368.0,202.0
Ender's Game,Harrison Ford,Moises Arias,Aramis Knight,11000.0,635.0,430.0
Live Free or Die Hard,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli,13000.0,300.0,297.0
The Lord of the Rings: The Fellowship of the Ring,Christopher Lee,Orlando Bloom,Billy Boyd,16000.0,5000.0,857.0
Around the World in 80 Days,Jim Broadbent,Steve Coogan,Cécile De France,1000.0,1000.0,447.0
Ali,Will Smith,Jada Pinkett Smith,Joe Morton,10000.0,851.0,780.0
The Cat in the Hat,Sean Hayes,Kelly Preston,Spencer Breslin,760.0,743.0,434.0
"I, Robot",Will Smith,Bruce Greenwood,Chi McBride,10000.0,981.0,466.0
Kingdom of Heaven,Liam Neeson,Orlando Bloom,Philip Glenister,14000.0,5000.0,195.0
Stuart Little,Chazz Palminteri,Nathan Lane,Jeffrey Jones,979.0,886.0,692.0
The Princess and the Frog,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,852.0,578.0,525.0
The Martian,Matt Damon,Donald Glover,Benedict Wong,13000.0,801.0,372.0
"10,000 B.C.",Mathew Buck,,,5.0,,
The Island,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,19000.0,12000.0,3000.0
Town & Country,Del Zamora,Warren Beatty,Garry Shandling,752.0,631.0,591.0
Gone in Sixty Seconds,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,12000.0,11000.0,3000.0
