League,Season,Date,game_id,Var,Goal,Team,Win,d_rating,o_rating
Bundesliga,2017-2018,10/1/2017,4026,Away,2,Hoffenheim,0,0.90303695,0.027211897
Bundesliga,2017-2018,10/1/2017,4026,Home,3,Freiburg,1,0.77617604,0.0
Bundesliga,2017-2018,10/1/2017,4027,Away,2,Bayern Munich,0,0.77612025,0.9281217
Bundesliga,2017-2018,10/1/2017,4027,Home,2,Hertha BSC,0,1.2627095,1.0828635
Bundesliga,2017-2018,10/1/2017,4028,Away,2,RB Leipzig,1,0.77617604,0.542611
Bundesliga,2017-2018,10/1/2017,4028,Home,1,Köln,0,1.0621268,0.1596776
Bundesliga,2017-2018,10/13/2017,4029,Away,1,Köln,0,0.98307073,0.29744878
Bundesliga,2017-2018,10/13/2017,4029,Home,2,Stuttgart,1,0.8618732,0.4957882
Bundesliga,2017-2018,10/14/2017,4030,Away,0,Freiburg,0,1.1941053,0.3865343
Bundesliga,2017-2018,10/14/2017,4030,Home,5,Bayern Munich,1,0.61419404,2.185885
Bundesliga,2017-2018,10/14/2017,4031,Away,2,Eint Frankfurt,1,0.7896419,0.21502787
Bundesliga,2017-2018,10/14/2017,4031,Home,1,Hannover 96,0,0.77617604,0.86681956
Bundesliga,2017-2018,10/14/2017,4032,Away,2,Hamburger SV,0,0.90836793,0.7859076
Bundesliga,2017-2018,10/14/2017,4032,Home,3,Mainz 05,1,0.77617604,0.14335735
Bundesliga,2017-2018,10/14/2017,4033,Away,2,Schalke 04,1,1.4236951,1.9994192
Bundesliga,2017-2018,10/14/2017,4033,Home,0,Hertha BSC,0,1.2977685,0.7731922
Bundesliga,2017-2018,10/14/2017,4034,Away,2,Augsburg,0,0.81673074,0.18988839
Bundesliga,2017-2018,10/14/2017,4034,Home,2,Hoffenheim,0,0.92911,0.0
Bundesliga,2017-2018,10/14/2017,4035,Away,3,RB Leipzig,1,0.9224721,0.77152723
Bundesliga,2017-2018,10/14/2017,4035,Home,2,Dortmund,0,0.8483576,0.3260384
Bundesliga,2017-2018,10/15/2017,4036,Away,2,Wolfsburg,0,0.77617604,0.9484988
Bundesliga,2017-2018,10/15/2017,4036,Home,2,Leverkusen,0,0.8587712,0.5011123
Bundesliga,2017-2018,10/15/2017,4037,Away,2,M'Gladbach,1,1.0194777,2.774517
Bundesliga,2017-2018,10/15/2017,4037,Home,0,Werder Bremen,0,0.97680897,0.74930763
Bundesliga,2017-2018,10/20/2017,4038,Away,0,Mainz 05,0,0.77617604,0.2774915
Bundesliga,2017-2018,10/20/2017,4038,Home,2,Schalke 04,1,2.6509168,1.1451426
Bundesliga,2017-2018,10/21/2017,4039,Away,0,Stuttgart,0,0.866854,0.07491303
Bundesliga,2017-2018,10/21/2017,4039,Home,1,RB Leipzig,1,0.86326486,0.37076437
Bundesliga,2017-2018,10/21/2017,4040,Away,2,Hannover 96,1,0.8498103,0.67594266
Bundesliga,2017-2018,10/21/2017,4040,Home,1,Augsburg,0,0.9103132,0.001036748
Bundesliga,2017-2018,10/21/2017,4041,Away,5,Leverkusen,1,1.3979251,0.6473129
Bundesliga,2017-2018,10/21/2017,4041,Home,1,M'Gladbach,0,1.3181331,1.0115665
Bundesliga,2017-2018,10/21/2017,4042,Away,2,Dortmund,0,0.90752673,0.8755961
Bundesliga,2017-2018,10/21/2017,4042,Home,2,Eint Frankfurt,0,0.78965795,0.19586527
Bundesliga,2017-2018,10/21/2017,4043,Away,1,Bayern Munich,1,1.5149746,1.1536539
Bundesliga,2017-2018,10/21/2017,4043,Home,0,Hamburger SV,0,1.1299801,0.4785378
Bundesliga,2017-2018,10/22/2017,4044,Away,0,Werder Bremen,0,0.77617604,0.5690593
Bundesliga,2017-2018,10/22/2017,4044,Home,0,Köln,0,0.9356771,0.4266341
Bundesliga,2017-2018,10/22/2017,4045,Away,1,Hertha BSC,0,0.83888865,0.25434196
Bundesliga,2017-2018,10/22/2017,4045,Home,1,Freiburg,0,0.8296319,0.017067641
Bundesliga,2017-2018,10/22/2017,4046,Away,1,Hoffenheim,0,0.87566125,0.3534667
Bundesliga,2017-2018,10/22/2017,4046,Home,1,Wolfsburg,0,1.383985,0.21341449
Bundesliga,2017-2018,10/27/2017,4047,Away,1,Eint Frankfurt,0,0.77617604,0.96879786
Bundesliga,2017-2018,10/27/2017,4047,Home,1,Mainz 05,0,0.77617604,0.31893256
Bundesliga,2017-2018,10/28/2017,4048,Away,1,Hamburger SV,0,0.77617604,0.0
Bundesliga,2017-2018,10/28/2017,4048,Home,2,Hertha BSC,1,0.77617604,0.4375209
Bundesliga,2017-2018,10/28/2017,4049,Away,1,Wolfsburg,0,1.3524818,0.42255816
Bundesliga,2017-2018,10/28/2017,4049,Home,1,Schalke 04,0,1.3896451,0.52476496
Bundesliga,2017-2018,10/28/2017,4050,Away,3,M'Gladbach,1,0.7998051,2.503612
Bundesliga,2017-2018,10/28/2017,4050,Home,1,Hoffenheim,0,1.1656382,0.49034572
Bundesliga,2017-2018,10/28/2017,4051,Away,2,Dortmund,0,0.875839,0.15376729
Bundesliga,2017-2018,10/28/2017,4051,Home,4,Hannover 96,1,0.77617604,0.83448327
Bundesliga,2017-2018,10/28/2017,4052,Away,1,Köln,0,0.7979259,0.3207333
Bundesliga,2017-2018,10/28/2017,4052,Home,2,Leverkusen,1,1.0129261,0.5046642
Bundesliga,2017-2018,10/28/2017,4053,Away,0,RB Leipzig,0,1.1707827,0.50336117
Bundesliga,2017-2018,10/28/2017,4053,Home,2,Bayern Munich,1,1.8344696,1.5597808
Bundesliga,2017-2018,10/29/2017,4054,Away,3,Augsburg,1,0.77617604,1.6481514
Bundesliga,2017-2018,10/29/2017,4054,Home,0,Werder Bremen,0,0.77995384,0.08048869
Bundesliga,2017-2018,10/29/2017,4055,Away,0,Freiburg,0,1.0485829,0.43476143
Bundesliga,2017-2018,10/29/2017,4055,Home,3,Stuttgart,1,1.9344473,1.8281089
Bundesliga,2017-2018,11/17/2017,4065,Away,1,Dortmund,0,0.9186228,0.3706281
Bundesliga,2017-2018,11/17/2017,4065,Home,2,Stuttgart,1,0.77617604,0.38968924
Bundesliga,2017-2018,11/18/2017,4066,Away,0,Köln,0,0.8644608,0.14057487
Bundesliga,2017-2018,11/18/2017,4066,Home,1,Mainz 05,1,1.1497567,1.1580694
Bundesliga,2017-2018,11/18/2017,4067,Away,2,RB Leipzig,0,0.87377024,0.6263689
Bundesliga,2017-2018,11/18/2017,4067,Home,2,Leverkusen,0,0.9995615,0.0
Bundesliga,2017-2018,11/18/2017,4068,Away,1,Eint Frankfurt,0,1.0122248,0.98008543
Bundesliga,2017-2018,11/18/2017,4068,Home,1,Hoffenheim,0,1.0452163,1.3335011
Bundesliga,2017-2018,11/18/2017,4069,Away,0,Augsburg,0,1.1074405,0.43245962
Bundesliga,2017-2018,11/18/2017,4069,Home,3,Bayern Munich,1,2.049608,2.7814167
Bundesliga,2017-2018,11/18/2017,4070,Away,1,Freiburg,0,0.9945667,1.213001
Bundesliga,2017-2018,11/18/2017,4070,Home,3,Wolfsburg,1,1.1976714,0.18339899
Bundesliga,2017-2018,11/18/2017,4071,Away,4,M'Gladbach,1,0.812136,1.8643401
Bundesliga,2017-2018,11/18/2017,4071,Home,2,Hertha BSC,0,1.286288,0.62395155
Bundesliga,2017-2018,11/19/2017,4072,Away,0,Hamburger SV,0,0.7799586,0.17138077
Bundesliga,2017-2018,11/19/2017,4072,Home,2,Schalke 04,1,0.9914946,0.80882883
Bundesliga,2017-2018,11/19/2017,4073,Away,0,Hannover 96,0,0.97729015,0.6494933
Bundesliga,2017-2018,11/19/2017,4073,Home,4,Werder Bremen,1,1.1322622,0.85680616
Bundesliga,2017-2018,11/24/2017,4074,Away,1,Stuttgart,0,0.9295379,0.22037005
Bundesliga,2017-2018,11/24/2017,4074,Home,1,Hannover 96,0,0.77617604,0.28658357
Bundesliga,2017-2018,11/25/2017,4075,Away,1,Mainz 05,0,0.8592579,0.18839276
Bundesliga,2017-2018,11/25/2017,4075,Home,2,Freiburg,1,1.0300515,0.20190355
Bundesliga,2017-2018,11/25/2017,4076,Away,1,Wolfsburg,0,1.124944,0.16961113
Bundesliga,2017-2018,11/25/2017,4076,Home,2,Augsburg,1,0.9515591,1.3341643
Bundesliga,2017-2018,11/25/2017,4077,Away,1,Leverkusen,1,0.875577,0.42543945
Bundesliga,2017-2018,11/25/2017,4077,Home,0,Eint Frankfurt,0,1.2653027,0.0
Bundesliga,2017-2018,11/25/2017,4078,Away,0,Werder Bremen,0,1.01836,0.0
Bundesliga,2017-2018,11/25/2017,4078,Home,2,RB Leipzig,1,1.0285363,0.8601753
Bundesliga,2017-2018,11/25/2017,4079,Away,4,Schalke 04,0,0.9173893,0.008917205
Bundesliga,2017-2018,11/25/2017,4079,Home,4,Dortmund,0,1.2194712,0.09685279
Bundesliga,2017-2018,11/25/2017,4080,Away,1,Bayern Munich,0,1.0620971,0.69901353
Bundesliga,2017-2018,11/25/2017,4080,Home,2,M'Gladbach,1,0.77617604,0.31277156
Bundesliga,2017-2018,11/26/2017,4081,Away,0,Hoffenheim,0,0.86795884,0.49882123
Bundesliga,2017-2018,11/26/2017,4081,Home,3,Hamburger SV,1,0.77617604,0.4579379
Bundesliga,2017-2018,11/26/2017,4082,Away,2,Hertha BSC,1,1.5666137,1.3460119
Bundesliga,2017-2018,11/26/2017,4082,Home,0,Köln,0,1.4731569,0.7602524
Bundesliga,2017-2018,11/3/2017,4056,Away,1,Werder Bremen,0,0.77617604,0.0
Bundesliga,2017-2018,11/3/2017,4056,Home,2,Eint Frankfurt,1,0.8012234,0.0
Bundesliga,2017-2018,11/4/2017,4057,Away,1,Schalke 04,1,1.1812075,0.5912343
Bundesliga,2017-2018,11/4/2017,4057,Home,0,Freiburg,0,1.2872589,0.121276185
Bundesliga,2017-2018,11/4/2017,4058,Away,1,Hannover 96,0,0.77617604,0.4743184
Bundesliga,2017-2018,11/4/2017,4058,Home,2,RB Leipzig,1,1.0105331,0.71206045
Bundesliga,2017-2018,11/4/2017,4059,Away,1,Mainz 05,0,1.0505613,0.8164978
Bundesliga,2017-2018,11/4/2017,4059,Home,1,M'Gladbach,0,1.73352,0.5637318
Bundesliga,2017-2018,11/4/2017,4060,Away,1,Stuttgart,0,1.0092961,0.42239103
Bundesliga,2017-2018,11/4/2017,4060,Home,3,Hamburger SV,1,1.4665308,0.8172012
Bundesliga,2017-2018,11/4/2017,4061,Away,1,Leverkusen,0,1.0296766,0.76147544
Bundesliga,2017-2018,11/4/2017,4061,Home,1,Augsburg,0,1.2589632,0.060720712
Bundesliga,2017-2018,11/4/2017,4062,Away,3,Bayern Munich,1,0.89181566,1.03465
Bundesliga,2017-2018,11/4/2017,4062,Home,1,Dortmund,0,1.1976124,0.18988042
Bundesliga,2017-2018,11/5/2017,4063,Away,3,Hoffenheim,1,1.1254714,2.349309
Bundesliga,2017-2018,11/5/2017,4063,Home,0,Köln,0,0.97510356,0.012820721
Bundesliga,2017-2018,11/5/2017,4064,Away,3,Hertha BSC,0,1.3502562,0.3930817
Bundesliga,2017-2018,11/5/2017,4064,Home,3,Wolfsburg,0,1.2066398,0.71591383
Bundesliga,2017-2018,12/1/2017,4083,Away,0,Hamburger SV,0,1.0314537,0.34232807
Bundesliga,2017-2018,12/1/2017,4083,Home,0,Freiburg,0,0.8410988,0.20607227
Bundesliga,2017-2018,12/10/2017,4098,Away,4,Freiburg,1,0.94321626,0.2974265
Bundesliga,2017-2018,12/10/2017,4098,Home,3,Köln,0,0.77617604,0.3245289
Bundesliga,2017-2018,12/10/2017,4099,Away,0,Hoffenheim,0,1.1056099,0.025888056
Bundesliga,2017-2018,12/10/2017,4099,Home,2,Hannover 96,1,0.78514206,0.87123245
Bundesliga,2017-2018,12/10/2017,4100,Away,1,Hertha BSC,0,0.77617604,0.37366328
Bundesliga,2017-2018,12/10/2017,4100,Home,1,Augsburg,0,0.80194783,0.006003715
Bundesliga,2017-2018,12/12/2017,4101,Away,1,RB Leipzig,0,1.4746255,0.6116952
Bundesliga,2017-2018,12/12/2017,4101,Home,1,Wolfsburg,0,1.2238221,2.4102848
Bundesliga,2017-2018,12/12/2017,4102,Away,0,M'Gladbach,0,1.3652885,0.38965374
Bundesliga,2017-2018,12/12/2017,4102,Home,1,Freiburg,1,0.967133,0.6543137
Bundesliga,2017-2018,12/12/2017,4103,Away,2,Dortmund,1,1.6890714,0.86557335
Bundesliga,2017-2018,12/12/2017,4103,Home,0,Mainz 05,0,1.0425055,0.11067525
Bundesliga,2017-2018,12/12/2017,4104,Away,2,Eint Frankfurt,1,0.77617604,0.3610271
Bundesliga,2017-2018,12/12/2017,4104,Home,1,Hamburger SV,0,0.89781785,0.12524544
Bundesliga,2017-2018,12/13/2017,4105,Away,0,Stuttgart,0,1.2370338,0.35633734
Bundesliga,2017-2018,12/13/2017,4105,Home,1,Hoffenheim,1,1.6325171,0.35493156
Bundesliga,2017-2018,12/13/2017,4106,Away,2,Augsburg,0,0.77617604,0.21276474
Bundesliga,2017-2018,12/13/2017,4106,Home,3,Schalke 04,1,1.062388,0.5515077
Bundesliga,2017-2018,12/13/2017,4107,Away,0,Werder Bremen,0,1.3057508,0.18272394
Bundesliga,2017-2018,12/13/2017,4107,Home,1,Leverkusen,1,0.83880377,0.64022964
Bundesliga,2017-2018,12/13/2017,4108,Away,1,Hannover 96,0,1.2373246,0.6594097
Bundesliga,2017-2018,12/13/2017,4108,Home,3,Hertha BSC,1,0.7872242,0.8142695
Bundesliga,2017-2018,12/13/2017,4109,Away,0,Köln,0,1.0738337,0.7863101
Bundesliga,2017-2018,12/13/2017,4109,Home,1,Bayern Munich,1,2.0738049,1.2573886
Bundesliga,2017-2018,12/15/2017,4110,Away,1,Hamburger SV,0,1.4064003,0.07459429
Bundesliga,2017-2018,12/15/2017,4110,Home,3,M'Gladbach,1,0.5837115,0.6734196
Bundesliga,2017-2018,12/16/2017,4111,Away,0,Wolfsburg,0,1.5800104,0.3739726
Bundesliga,2017-2018,12/16/2017,4111,Home,1,Köln,1,0.93284523,0.979043
Bundesliga,2017-2018,12/16/2017,4112,Away,1,Bayern Munich,1,1.0639832,0.9135663
Bundesliga,2017-2018,12/16/2017,4112,Home,0,Stuttgart,0,0.962076,0.1973781
Bundesliga,2017-2018,12/16/2017,4113,Away,3,Freiburg,0,0.7884196,0.6051091
Bundesliga,2017-2018,12/16/2017,4113,Home,3,Augsburg,0,0.8457958,0.03473933
Bundesliga,2017-2018,12/16/2017,4114,Away,2,Schalke 04,0,0.95785326,0.05550299
Bundesliga,2017-2018,12/16/2017,4114,Home,2,Eint Frankfurt,0,0.77617604,0.61562276
Bundesliga,2017-2018,12/16/2017,4115,Away,2,Mainz 05,0,0.7402677,0.17713314
Bundesliga,2017-2018,12/16/2017,4115,Home,2,Werder Bremen,0,0.77617604,0.45809305
Bundesliga,2017-2018,12/16/2017,4116,Away,1,Hoffenheim,0,1.2174935,0.4646265
Bundesliga,2017-2018,12/16/2017,4116,Home,2,Dortmund,1,1.17212,0.40338877
Bundesliga,2017-2018,12/17/2017,4117,Away,4,Leverkusen,0,0.77617604,0.068600856
Bundesliga,2017-2018,12/17/2017,4117,Home,4,Hannover 96,0,0.82765216,0.21675012
Bundesliga,2017-2018,12/17/2017,4118,Away,3,Hertha BSC,1,0.77617604,0.8747049
Bundesliga,2017-2018,12/17/2017,4118,Home,2,RB Leipzig,0,1.110074,0.46985933
Bundesliga,2017-2018,12/2/2017,4084,Away,1,Dortmund,0,1.7020166,0.45442834
Bundesliga,2017-2018,12/2/2017,4084,Home,1,Leverkusen,0,0.8495035,0.5691207
Bundesliga,2017-2018,12/2/2017,4085,Away,0,RB Leipzig,0,0.91026545,0.29433802
Bundesliga,2017-2018,12/2/2017,4085,Home,4,Hoffenheim,1,1.0651093,0.8912401
Bundesliga,2017-2018,12/2/2017,4086,Away,0,Stuttgart,0,0.9222963,0.14273472
Bundesliga,2017-2018,12/2/2017,4086,Home,1,Werder Bremen,1,1.1687105,1.4075476
Bundesliga,2017-2018,12/2/2017,4087,Away,1,Hannover 96,0,1.0119135,0.608355
Bundesliga,2017-2018,12/2/2017,4087,Home,3,Bayern Munich,1,1.1893538,1.5593915
Bundesliga,2017-2018,12/2/2017,4088,Away,3,Augsburg,1,0.77617604,0.848632
Bundesliga,2017-2018,12/2/2017,4088,Home,1,Mainz 05,0,0.7889507,0.17355749
Bundesliga,2017-2018,12/2/2017,4089,Away,2,Köln,0,0.86872536,0.3883021
Bundesliga,2017-2018,12/2/2017,4089,Home,2,Schalke 04,0,1.2196777,0.5107913
Bundesliga,2017-2018,12/3/2017,4090,Away,2,Eint Frankfurt,1,1.2110326,0.016759574
Bundesliga,2017-2018,12/3/2017,4090,Home,1,Hertha BSC,0,0.93492734,0.4848811
Bundesliga,2017-2018,12/3/2017,4091,Away,0,M'Gladbach,0,0.74910253,0.42662272
Bundesliga,2017-2018,12/3/2017,4091,Home,3,Wolfsburg,1,0.8505291,0.5306335
Bundesliga,2017-2018,12/8/2017,4092,Away,2,Leverkusen,1,0.9204527,0.6078619
Bundesliga,2017-2018,12/8/2017,4092,Home,0,Stuttgart,0,1.2008286,0.2931083
Bundesliga,2017-2018,12/9/2017,4093,Away,0,Wolfsburg,0,0.9103001,0.12525931
Bundesliga,2017-2018,12/9/2017,4093,Home,0,Hamburger SV,0,1.0519806,0.21198806
Bundesliga,2017-2018,12/9/2017,4094,Away,2,Mainz 05,0,0.77617604,0.5066297
Bundesliga,2017-2018,12/9/2017,4094,Home,2,RB Leipzig,0,0.8149638,0.24812144
Bundesliga,2017-2018,12/9/2017,4095,Away,2,Werder Bremen,1,0.77617604,0.57296616
Bundesliga,2017-2018,12/9/2017,4095,Home,1,Dortmund,0,1.5474195,0.43916747
Bundesliga,2017-2018,12/9/2017,4096,Away,1,Bayern Munich,1,1.274772,1.03758
Bundesliga,2017-2018,12/9/2017,4096,Home,0,Eint Frankfurt,0,1.1365819,0.013613634
Bundesliga,2017-2018,12/9/2017,4097,Away,1,Schalke 04,0,1.3984088,0.6248627
Bundesliga,2017-2018,12/9/2017,4097,Home,1,M'Gladbach,0,1.1924692,0.71457374
Bundesliga,2017-2018,2/10/2018,4156,Away,2,Mainz 05,0,0.7826459,0.0
Bundesliga,2017-2018,2/10/2018,4156,Home,4,Hoffenheim,1,0.826939,0.07289848
Bundesliga,2017-2018,2/10/2018,4157,Away,2,Hertha BSC,1,0.77617604,0.8901993
Bundesliga,2017-2018,2/10/2018,4157,Home,0,Leverkusen,0,0.92066896,0.5779778
Bundesliga,2017-2018,2/10/2018,4158,Away,1,Freiburg,0,0.87206066,0.13024268
Bundesliga,2017-2018,2/10/2018,4158,Home,2,Hannover 96,1,0.79909486,0.75779235
Bundesliga,2017-2018,2/10/2018,4159,Away,2,Köln,0,0.860697,0.10361544
Bundesliga,2017-2018,2/10/2018,4159,Home,4,Eint Frankfurt,1,0.8930694,0.15423918
Bundesliga,2017-2018,2/10/2018,4160,Away,0,Hamburger SV,0,0.7886151,0.0
Bundesliga,2017-2018,2/10/2018,4160,Home,2,Dortmund,1,1.3994865,0.9007033
Bundesliga,2017-2018,2/10/2018,4161,Away,1,Schalke 04,0,1.5141327,0.4083288
Bundesliga,2017-2018,2/10/2018,4161,Home,2,Bayern Munich,1,1.3944626,0.89120454
Bundesliga,2017-2018,2/11/2018,4162,Away,0,M'Gladbach,0,1.222394,0.5492941
Bundesliga,2017-2018,2/11/2018,4162,Home,1,Stuttgart,1,0.94893944,0.35545805
Bundesliga,2017-2018,2/11/2018,4163,Away,1,Wolfsburg,0,1.0443764,0.39101422
Bundesliga,2017-2018,2/11/2018,4163,Home,3,Werder Bremen,1,1.2111952,0.0
Bundesliga,2017-2018,2/16/2018,4164,Away,2,Mainz 05,1,0.8380457,0.5119661
Bundesliga,2017-2018,2/16/2018,4164,Home,0,Hertha BSC,0,1.1880245,0.0
Bundesliga,2017-2018,2/17/2018,4165,Away,1,Hannover 96,0,0.82252395,0.3846884
Bundesliga,2017-2018,2/17/2018,4165,Home,1,Köln,0,0.82014936,0.8811978
Bundesliga,2017-2018,2/17/2018,4166,Away,0,Werder Bremen,0,1.3467948,0.0
Bundesliga,2017-2018,2/17/2018,4166,Home,1,Freiburg,1,1.0335543,0.40880182
Bundesliga,2017-2018,2/17/2018,4167,Away,2,Bayern Munich,1,1.4233109,1.1392139
Bundesliga,2017-2018,2/17/2018,4167,Home,1,Wolfsburg,0,0.77617604,0.47757992
Bundesliga,2017-2018,2/17/2018,4168,Away,2,Leverkusen,1,0.9653357,2.2661781
Bundesliga,2017-2018,2/17/2018,4168,Home,1,Hamburger SV,0,0.952952,0.1372195
Bundesliga,2017-2018,2/17/2018,4169,Away,1,Hoffenheim,0,0.93779016,0.022035964
Bundesliga,2017-2018,2/17/2018,4169,Home,2,Schalke 04,1,0.77617604,0.7871719
Bundesliga,2017-2018,2/18/2018,4170,Away,1,Stuttgart,1,0.77617604,0.78044426
Bundesliga,2017-2018,2/18/2018,4170,Home,0,Augsburg,0,0.91263974,0.09266752
Bundesliga,2017-2018,2/18/2018,4171,Away,1,Dortmund,1,1.1060458,1.4061178
Bundesliga,2017-2018,2/18/2018,4171,Home,0,M'Gladbach,0,0.8551368,0.45128915
Bundesliga,2017-2018,2/19/2018,4172,Away,1,RB Leipzig,0,0.8148127,0.50812525
Bundesliga,2017-2018,2/19/2018,4172,Home,2,Eint Frankfurt,1,0.77092224,0.09774115
Bundesliga,2017-2018,2/2/2018,4146,Away,3,Dortmund,1,0.9481977,1.2666166
Bundesliga,2017-2018,2/2/2018,4146,Home,2,Köln,0,0.8471626,0.730928
Bundesliga,2017-2018,2/23/2018,4173,Away,1,Wolfsburg,0,1.3470447,0.0
Bundesliga,2017-2018,2/23/2018,4173,Home,1,Mainz 05,0,0.82761514,0.5199767
Bundesliga,2017-2018,2/24/2018,4174,Away,0,Eint Frankfurt,0,1.0429128,0.0
Bundesliga,2017-2018,2/24/2018,4174,Home,1,Stuttgart,1,0.8525551,0.17807367
Bundesliga,2017-2018,2/24/2018,4175,Away,1,M'Gladbach,1,0.77617604,0.5101918
Bundesliga,2017-2018,2/24/2018,4175,Home,0,Hannover 96,0,1.0754693,0.5022943
Bundesliga,2017-2018,2/24/2018,4176,Away,1,Freiburg,0,1.0661987,0.5029169
Bundesliga,2017-2018,2/24/2018,4176,Home,1,Hoffenheim,0,1.4992192,0.0
