Item #,Description,On Hand,Reg.,Special,Disc. %
SAV96709,SAVAGE 93R17-F 17HMR,3.0,360.0,288.0,20.0
SAV47001,SAVAGE A17 SEMI 17 HMR,2.0,635.0,508.0,20.0
SAV96901,SAVAGE BMAG SYN 17 WSM,2.0,510.0,408.0,20.0
SAV28700,SAVAGE MKII FV 22 LR,3.0,310.0,265.0,14.52000046
SAV13780,SAVAGE RASCAL PINK 22 LR,2.0,250.0,220.0,12.0
SAV13795,SAVAGE RASCAL RED 22 LR,2.0,250.0,220.0,12.0
SAV13805,SAVAGE RASCAL YELLOW 22 LR,2.0,250.0,220.0,12.0
UB2200,"UBERTI SILVERBOY 22 LR 19""",1.0,815.0,675.0,17.18000031
Shotguns,,,,,
DEMOM2,"BENELLI M2 TAC 18"" 12GA",1.0,1300.0,875.0,32.68999863
ST20000,"BENELLI NOVA 3.5"" 12 GA 28""",1.0,660.0,528.0,20.0
BEN20071,"BENELLI NOVA MAX-5 12 GA 3.5"" 28""",1.0,775.0,620.0,20.0
20051,"BENELLI NOVA TACT 3.5"" 12GA",1.0,595.0,476.0,20.0
BEN20100,"BENELLI SUPER NOVA 3.5"" 12 GA",1.0,775.0,620.0,20.0
A0389400,"BENELLI SUPER NOVA TAC 3.5"" 12GA 14""",2.0,1000.0,800.0,20.0
7H31816215040,"BERETTA A350 XTREMA SYN 12 GA 28""",1.0,1725.0,1250.0,27.54000092
12271204,"BROWNING BPS 12GA 3.5"" MAG MOSG",1.0,1095.0,930.75,15.00000095
12274204,"BROWNING BPS MAX5 12 GA 3.5"" 28""",1.0,1120.0,952.0,15.00000095
11403204,"BROWNING SILVER MOSGB DT,12-3.5,28 +",1.0,1595.0,1355.75,15.00000095
FR40841,"FRANCHI AFFINITY CMPT 12 GA 26""",1.0,1350.0,1147.5,15.00000095
FRA0426200,"FRANCHI INTENSITY 12 GA 3.5"" 28""",1.0,1495.0,1270.75,15.00000095
MKA1919KM,MKA 1919 KEY MOD 12GA,1.0,1050.0,892.5,15.00000095
MKA1919,MKA 1919 QUAD RAIL 12GA,1.0,1050.0,892.5,15.00000095
MOS50460,MOSSBERG 500 CHAINSAW 12GA,1.0,675.0,525.0,22.21999931
MOS51672,MOSSBERG 590 TACT 12G ADJ STK,1.0,820.0,656.0,20.0
R25012,REM 870 MARINE MAG 12GA,1.0,995.0,796.0,20.0
R81045,"REM VERSAMAX SPRTSMN 12GA 28""",1.0,1385.0,1108.0,20.0
512298395,"WINCHESTER SXP ULT DEF 12-3,18 INV+1",2.0,585.0,468.0,20.0
512299395,"WINCHESTER SXP ULT MAR DEF,12-3,18 INV+1",2.0,630.0,504.0,20.0
