Site,Business Unit,Product,Method,Category,Var,Act-For,Bud,Gap
Publix,Toys,Anvil,Drop,Roadrunner,Dec,45.92,80.3,46.19
Publix,Toys,Anvil,Drop,Roadrunner,Feb,99.22,114.44,4.35
Publix,Toys,Anvil,Drop,Roadrunner,Jan,100.25,121.02,13.09
Publix,Toys,Anvil,Drop,Roadrunner,Jul,97.63,91.56,2.25
Publix,Toys,Anvil,Drop,Roadrunner,Jun,77.52,85.59,5.04
Publix,Toys,Anvil,Drop,Roadrunner,Mar,110.24,117.17,-16.14
Publix,Toys,Anvil,Drop,Roadrunner,May,65.01,65.56,48.21
Publix,Toys,Anvil,Drop,Roadrunner,Nov,79.9,86.24,-7.7
Publix,Toys,Anvil,Drop,Roadrunner,Oct,76.44,86.87,18.8
Publix,Toys,Anvil,Drop,Roadrunner,Sep,145.22,87.61,-48.55
Safeway,Toys,Anvil,Drop,Roadrunner,Apr,9.95,93.39,-58.64
Safeway,Toys,Anvil,Drop,Roadrunner,Aug,123.87,96.48,-26.46
Safeway,Toys,Anvil,Drop,Roadrunner,Dec,42.02,70.4,44.59
Safeway,Toys,Anvil,Drop,Roadrunner,Feb,106.62,115.94,2.25
Safeway,Toys,Anvil,Drop,Roadrunner,Jan,105.85,115.82,15.89
Safeway,Toys,Anvil,Drop,Roadrunner,Jul,88.33,85.26,10.35
Safeway,Toys,Anvil,Drop,Roadrunner,Jun,87.42,79.49,14.14
Safeway,Toys,Anvil,Drop,Roadrunner,Mar,103.44,121.57,-17.24
Safeway,Toys,Anvil,Drop,Roadrunner,May,55.31,64.36,48.91
Safeway,Toys,Anvil,Drop,Roadrunner,Nov,82.0,87.24,-17.3
Safeway,Toys,Anvil,Drop,Roadrunner,Oct,74.74,78.67,27.5
Safeway,Toys,Anvil,Drop,Roadrunner,Sep,145.72,82.91,-57.55
Target,Toys,Anvil,Drop,Roadrunner,Apr,10.95,87.69,-47.04
Target,Toys,Anvil,Drop,Roadrunner,Aug,128.67,86.18,-27.86
Target,Toys,Anvil,Drop,Roadrunner,Dec,55.12,78.9,46.79
Target,Toys,Anvil,Drop,Roadrunner,Feb,97.62,115.34,14.35
Target,Toys,Anvil,Drop,Roadrunner,Jan,104.45,120.52,10.99
Target,Toys,Anvil,Drop,Roadrunner,Jul,106.13,85.76,-3.65
Target,Toys,Anvil,Drop,Roadrunner,Jun,83.12,75.69,13.24
Target,Toys,Anvil,Drop,Roadrunner,Mar,112.34,110.77,-13.44
Target,Toys,Anvil,Drop,Roadrunner,May,68.71,71.66,55.31
Target,Toys,Anvil,Drop,Roadrunner,Nov,73.6,92.64,-7.0
Target,Toys,Anvil,Drop,Roadrunner,Oct,72.14,77.87,8.9
Target,Toys,Anvil,Drop,Roadrunner,Sep,153.82,87.71,-48.05
Walmart,Toys,Anvil,Drop,Roadrunner,Apr,18.45,91.19,-57.04
Walmart,Toys,Anvil,Drop,Roadrunner,Aug,121.77,96.18,-20.56
Walmart,Toys,Anvil,Drop,Roadrunner,Dec,57.32,86.0,52.19
Walmart,Toys,Anvil,Drop,Roadrunner,Feb,101.52,120.04,9.85
Walmart,Toys,Anvil,Drop,Roadrunner,Jan,112.85,117.52,10.89
Walmart,Toys,Anvil,Drop,Roadrunner,Jul,114.83,88.06,-7.85
Walmart,Toys,Anvil,Drop,Roadrunner,Jun,79.12,68.89,5.64
Walmart,Toys,Anvil,Drop,Roadrunner,Mar,105.84,120.77,-4.14
Walmart,Toys,Anvil,Drop,Roadrunner,May,74.41,66.56,62.01
Walmart,Toys,Anvil,Drop,Roadrunner,Nov,63.7,83.34,-7.6
Walmart,Toys,Anvil,Drop,Roadrunner,Oct,78.14,84.67,18.7
Walmart,Toys,Anvil,Drop,Roadrunner,Sep,153.42,83.31,-53.75
