Team,Nickname,City,State,Current Conference,Former Conferences,First Played,Joined FBS
Boston College,Eagles,Chestnut Hill,Massachusetts,ACC,Big East,1893,
Bowling Green,Falcons,Bowling Green,Ohio,MAC,Northwest Ohio Intercollegiate Athletic Association,1919,
Bowling Green,Falcons,Bowling Green,Ohio,MAC, OAC,1919,
Buffalo,Bulls,Buffalo,New York,MAC,New York State Conference,1894,1999.0
BYU,Cougars,Provo,Utah,Independent,Rocky Mountain,1921,
BYU,Cougars,Provo,Utah,Independent, Mountain States,1921,
BYU,Cougars,Provo,Utah,Independent, WAC,1921,
BYU,Cougars,Provo,Utah,Independent, MW,1921,
California,Golden Bears,Berkeley,California,Pac-12,PCC,1882,
Fresno State,Bulldogs,Fresno,California,Mountain West,California Coast Conference,1921,
Fresno State,Bulldogs,Fresno,California,Mountain West, NCAC,1921,
Fresno State,Bulldogs,Fresno,California,Mountain West, CCAA,1921,
Fresno State,Bulldogs,Fresno,California,Mountain West, Big West,1921,
Fresno State,Bulldogs,Fresno,California,Mountain West, WAC,1921,
UCLA,Bruins,Los Angeles,California,Pac-12,SCIAC,1919,
UCLA,Bruins,Los Angeles,California,Pac-12, PCC,1919,
UCF,Knights,Orlando,Florida,American,MAC,1979,1996.0
UCF,Knights,Orlando,Florida,American, C-USA,1979,1996.0
Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC,MCC,1896,
Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC, IIAC,1896,
Charlotte,49ers,Charlotte,North Carolina,C-USA,Sun Belt,2013,2015.0
Charlotte,49ers,Charlotte,North Carolina,C-USA, C-USA,2013,2015.0
Charlotte,49ers,Charlotte,North Carolina,C-USA, A-10,2013,2015.0
Cincinnati,Bearcats,Cincinnati,Ohio,American,OAC,1885,
Cincinnati,Bearcats,Cincinnati,Ohio,American, Buckeye Intercollegiate Athletic Association,1885,
Cincinnati,Bearcats,Cincinnati,Ohio,American, MAC,1885,
Cincinnati,Bearcats,Cincinnati,Ohio,American, MVC,1885,
Cincinnati,Bearcats,Cincinnati,Ohio,American, C-USA,1885,
Cincinnati,Bearcats,Cincinnati,Ohio,American, Big East,1885,
Clemson,Tigers,Clemson,South Carolina,ACC,SIAA,1896,
Clemson,Tigers,Clemson,South Carolina,ACC, SAIAA,1896,
Clemson,Tigers,Clemson,South Carolina,ACC, SoCon,1896,
Colorado,Buffaloes,Boulder,Colorado,Pac-12,Colorado Football Association,1890,
Colorado,Buffaloes,Boulder,Colorado,Pac-12, Rocky Mountain,1890,
Colorado,Buffaloes,Boulder,Colorado,Pac-12, Mountain States,1890,
Colorado,Buffaloes,Boulder,Colorado,Pac-12, Big Eight,1890,
Colorado,Buffaloes,Boulder,Colorado,Pac-12, Big 12,1890,
Colorado State,Rams,Fort Collins,Colorado,Mountain West,Colorado Football Association,1890,
Colorado State,Rams,Fort Collins,Colorado,Mountain West, Rocky Mountain,1890,
Colorado State,Rams,Fort Collins,Colorado,Mountain West, Mountain States,1890,
Colorado State,Rams,Fort Collins,Colorado,Mountain West, WAC,1890,
Connecticut,Huskies,Storrs,Connecticut,American,Yankee,1896,2000.0
Connecticut,Huskies,Storrs,Connecticut,American, A-10,1896,2000.0
Connecticut,Huskies,Storrs,Connecticut,American, Big East,1896,2000.0
Duke,Blue Devils,Durham,North Carolina,ACC,SoCon,1888,
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC,MIAA,1891,
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC, MCC,1891,
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC, IIAC,1891,
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC, PAC,1891,
East Carolina,Pirates,Greenville,North Carolina,American,NSC,1932,
East Carolina,Pirates,Greenville,North Carolina,American, Carolinas,1932,
East Carolina,Pirates,Greenville,North Carolina,American, SoCon,1932,
East Carolina,Pirates,Greenville,North Carolina,American, C-USA,1932,
FIU,Panthers,Miami,Florida,C-USA,Sun Belt,2002,2006.0
Florida,Gators,Gainesville,Florida,SEC,SIAA,1906,
Florida,Gators,Gainesville,Florida,SEC, SoCon,1906,
Florida Atlantic,Owls,Boca Raton,Florida,C-USA,Sun Belt,2001,2006.0
Florida State,Seminoles,Tallahassee,Florida,ACC,Dixie,1947,
Georgia,Bulldogs,Athens,Georgia,SEC,SIAA,1892,
Georgia,Bulldogs,Athens,Georgia,SEC, SoCon,1892,
Georgia Southern,Eagles,Statesboro,Georgia,Sun Belt,SoCon,1924,2014.0
Georgia State,Panthers,Atlanta,Georgia,Sun Belt,CAA,2010,2013.0
Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC,SIAA,1892,
Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC, SoCon,1892,
Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC, SEC,1892,
Hawai'i,Rainbow Warriors,Honolulu,Hawai'i,Mountain West,WAC,1909,
Houston,Cougars,Houston,Texas,American,Lone Star,1946,
Houston,Cougars,Houston,Texas,American, Gulf Coast,1946,
Houston,Cougars,Houston,Texas,American, MVC,1946,
Houston,Cougars,Houston,Texas,American, SWC,1946,
Houston,Cougars,Houston,Texas,American, C-USA,1946,
Idaho,Vandals,Moscow,Idaho,Sun Belt,PCC,1893,1996.0
Idaho,Vandals,Moscow,Idaho,Sun Belt, Big Sky,1893,1996.0
Idaho,Vandals,Moscow,Idaho,Sun Belt, Big West,1893,1996.0
Idaho,Vandals,Moscow,Idaho,Sun Belt, Sun Belt,1893,1996.0
Idaho,Vandals,Moscow,Idaho,Sun Belt, WAC,1893,1996.0
Illinois,Fighting Illini,Urbana–Champaign,Illinois,Big Ten,Illinois Intercollegiate Football League,1890,
Indiana,Hoosiers,Bloomington,Indiana,Big Ten,IIAA,1887,
Iowa,Hawkeyes,Iowa City,Iowa,Big Ten,WIUFA,1889,
Iowa,Hawkeyes,Iowa City,Iowa,Big Ten, MVC,1889,
Iowa State,Cyclones,Ames,Iowa,Big 12,MVC,1892,
Iowa State,Cyclones,Ames,Iowa,Big 12, Big 8,1892,
Kansas,Jayhawks,Lawrence,Kansas,Big 12,KCAC,1890,
Kansas,Jayhawks,Lawrence,Kansas,Big 12, WIUFA,1890,
Kansas,Jayhawks,Lawrence,Kansas,Big 12, MVC,1890,
Kansas,Jayhawks,Lawrence,Kansas,Big 12, Big 8,1890,
Kansas State,Wildcats,Manhattan,Kansas,Big 12,MVC,1896,
Kansas State,Wildcats,Manhattan,Kansas,Big 12, Big 8,1896,
Kent State,Golden Flashes,Kent,Ohio,MAC,OAC,1920,
Kentucky,Wildcats,Lexington,Kentucky,SEC,SIAA,1881,
Kentucky,Wildcats,Lexington,Kentucky,SEC, SoCon,1881,
LSU,Tigers,Baton Rouge,Louisiana,SEC,SIAA,1893,
LSU,Tigers,Baton Rouge,Louisiana,SEC, SoCon,1893,
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA,Louisiana Intercollegiate Athletic Association,1901,1989.0
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA, Louisiana Intercollegiate Conference,1901,1989.0
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA, Gulf States Conference,1901,1989.0
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA, SIAA,1901,1989.0
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA, Southland,1901,1989.0
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA, Big West,1901,1989.0
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA, WAC,1901,1989.0
Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt,Louisiana Intercollegiate Athletic Association,1902,
Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt, Louisiana Intercollegiate Conference,1902,
Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt, Gulf States Conference,1902,
Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt, SIAA,1902,
Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt, Southland,1902,
Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt, Big West,1902,
Louisiana-Monroe,Warhawks,Monroe,Louisiana,Sun Belt,Gulf States Conference,1951,1994.0
Louisiana-Monroe,Warhawks,Monroe,Louisiana,Sun Belt, Southland,1951,1994.0
Louisiana-Monroe,Warhawks,Monroe,Louisiana,Sun Belt, Independent,1951,1994.0
Louisville,Cardinals,Louisville,Kentucky,ACC,KIAC,1910,
Louisville,Cardinals,Louisville,Kentucky,ACC, SIAA,1910,
Louisville,Cardinals,Louisville,Kentucky,ACC, KIAC,1910,
Louisville,Cardinals,Louisville,Kentucky,ACC, OVC,1910,
Louisville,Cardinals,Louisville,Kentucky,ACC, MVC,1910,
Louisville,Cardinals,Louisville,Kentucky,ACC, C-USA,1910,
Louisville,Cardinals,Louisville,Kentucky,ACC, Big East,1910,
Louisville,Cardinals,Louisville,Kentucky,ACC, American,1910,
Marshall,Thundering Herd,Huntington,West Virginia,C-USA,WVIAC,1895,1997.0
Marshall,Thundering Herd,Huntington,West Virginia,C-USA, Buckeye Conference,1895,1997.0
Marshall,Thundering Herd,Huntington,West Virginia,C-USA, OVC,1895,1997.0
Marshall,Thundering Herd,Huntington,West Virginia,C-USA, MAC,1895,1997.0
Marshall,Thundering Herd,Huntington,West Virginia,C-USA, SoCon,1895,1997.0
Maryland,Terrapins,College Park,Maryland,Big Ten,MIFA,1888,
Maryland,Terrapins,College Park,Maryland,Big Ten, SAIAA,1888,
Maryland,Terrapins,College Park,Maryland,Big Ten, SoCon,1888,
Maryland,Terrapins,College Park,Maryland,Big Ten, ACC,1888,
Massachusetts,Minutemen,Amherst,Massachusetts,Independent,Yankee,1879,2012.0
Massachusetts,Minutemen,Amherst,Massachusetts,Independent, A-10,1879,2012.0
Massachusetts,Minutemen,Amherst,Massachusetts,Independent, CAA,1879,2012.0
Massachusetts,Minutemen,Amherst,Massachusetts,Independent, MAC,1879,2012.0
Memphis,Tigers,Memphis,Tennessee,American,Mississippi Valley Conference,1912,
Memphis,Tigers,Memphis,Tennessee,American, SIAA,1912,
Memphis,Tigers,Memphis,Tennessee,American, MVC,1912,
Memphis,Tigers,Memphis,Tennessee,American, C-USA,1912,
Miami (FL),Hurricanes,Coral Gables,Florida,ACC,SIAA,1926,
Miami (FL),Hurricanes,Coral Gables,Florida,ACC, Big East,1926,
Miami (OH),RedHawks,Oxford,Ohio,MAC,OAC,1888,
Miami (OH),RedHawks,Oxford,Ohio,MAC, Buckeye Conference,1888,
Michigan,Wolverines,Ann Arbor,Michigan,Big Ten,nan,1878,
Michigan State,Spartans,East Lansing,Michigan,Big Ten,MIAA,1885,
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA,VSAC,1911,1999.0
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA, SIAA,1911,1999.0
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA, OVC,1911,1999.0
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA, Sun Belt,1911,1999.0
Minnesota,Golden Gophers,Minneapolis,Minnesota,Big Ten,nan,1882,
Ole Miss,Rebels,Oxford,Mississippi,SEC,SIAA,1890,
Ole Miss,Rebels,Oxford,Mississippi,SEC, SoCon,1890,
Mississippi State,Bulldogs,Starkville,Mississippi,SEC,SIAA,1895,
Mississippi State,Bulldogs,Starkville,Mississippi,SEC, SoCon,1895,
Missouri,Tigers,Columbia,Missouri,SEC,WIUFA,1890,
Missouri,Tigers,Columbia,Missouri,SEC, Big 8,1890,
Missouri,Tigers,Columbia,Missouri,SEC, Big 12,1890,
Navy,Midshipmen,Annapolis,Maryland,American,Independent,1879,
Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten,WIUFA,1890,
Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten, MVC,1890,
Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten, Big 8,1890,
Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten, Big 12,1890,
Nevada,Wolf Pack,Reno,Nevada,Mountain West,NCAC,1896,1992.0
Nevada,Wolf Pack,Reno,Nevada,Mountain West, Big Sky,1896,1992.0
Nevada,Wolf Pack,Reno,Nevada,Mountain West, Big West,1896,1992.0
Nevada,Wolf Pack,Reno,Nevada,Mountain West, WAC,1896,1992.0
UNLV,Rebels,Las Vegas,Nevada,Mountain West,Big West,1968,1978.0
UNLV,Rebels,Las Vegas,Nevada,Mountain West, WAC,1968,1978.0
New Mexico,Lobos,Albuquerque,New Mexico,Mountain West,BIAA,1892,
New Mexico,Lobos,Albuquerque,New Mexico,Mountain West, WAC,1892,
New Mexico State,Aggies,Las Cruces,New Mexico,Sun Belt,BIAA,1893,
New Mexico State,Aggies,Las Cruces,New Mexico,Sun Belt, MVC,1893,
New Mexico State,Aggies,Las Cruces,New Mexico,Sun Belt, Big West,1893,
New Mexico State,Aggies,Las Cruces,New Mexico,Sun Belt, Sun Belt,1893,
New Mexico State,Aggies,Las Cruces,New Mexico,Sun Belt, WAC,1893,
North Carolina,Tar Heels,Chapel Hill,North Carolina,ACC,SAIAA,1888,
North Carolina,Tar Heels,Chapel Hill,North Carolina,ACC, SIAA,1888,
North Carolina,Tar Heels,Chapel Hill,North Carolina,ACC, SoCon,1888,
NC State,Wolfpack,Raleigh,North Carolina,ACC,SAIAA,1892,
NC State,Wolfpack,Raleigh,North Carolina,ACC, SIAA,1892,
NC State,Wolfpack,Raleigh,North Carolina,ACC, SoCon,1892,
North Texas,Mean Green,Denton,Texas,C-USA,TIAA,1913,1995.0
North Texas,Mean Green,Denton,Texas,C-USA, Lone Star,1913,1995.0
North Texas,Mean Green,Denton,Texas,C-USA, Gulf Coast Conference,1913,1995.0
North Texas,Mean Green,Denton,Texas,C-USA, MVC,1913,1995.0
North Texas,Mean Green,Denton,Texas,C-USA, Southland,1913,1995.0
North Texas,Mean Green,Denton,Texas,C-USA, Big West,1913,1995.0
North Texas,Mean Green,Denton,Texas,C-USA, Sun Belt,1913,1995.0
NIU,Huskies,DeKalb,Illinois,MAC,IIAC,1899,
NIU,Huskies,DeKalb,Illinois,MAC, Big West,1899,
Northwestern,Wildcats,Evanston,Illinois,Big Ten,nan,1875,
Notre Dame,Fighting Irish,South Bend,Indiana,Independent,nan,1887,
Ohio,Bobcats,Athens,Ohio,MAC,OAC,1894,
Ohio,Bobcats,Athens,Ohio,MAC, Buckeye Conference,1894,
Ohio State,Buckeyes,Columbus,Ohio,Big Ten,OAC,1889,
Oklahoma,Sooners,Norman,Oklahoma,Big 12,Oklahoma Intercollegiate Conference,1895,
Oklahoma,Sooners,Norman,Oklahoma,Big 12, SWC,1895,
Oklahoma,Sooners,Norman,Oklahoma,Big 12, MVC,1895,
Oklahoma,Sooners,Norman,Oklahoma,Big 12, Big 8,1895,
Oklahoma State,Cowboys,Stillwater,Oklahoma,Big 12,Oklahoma Intercollegiate Conference,1901,
Oklahoma State,Cowboys,Stillwater,Oklahoma,Big 12, SWC,1901,
Oklahoma State,Cowboys,Stillwater,Oklahoma,Big 12, MVC,1901,
Oklahoma State,Cowboys,Stillwater,Oklahoma,Big 12, Big 8,1901,
Old Dominion,Monarchs,Norfolk,Virginia,C-USA,CAA,2009,2014.0
Oregon,Ducks,Eugene,Oregon,Pac-12,PCC,1894,
Oregon,Ducks,Eugene,Oregon,Pac-12, Independent,1894,
Oregon State,Beavers,Corvallis,Oregon,Pac-12,PCC,1893,
Oregon State,Beavers,Corvallis,Oregon,Pac-12, Independent,1893,
Penn State,Nittany Lions,State College,Pennsylvania,Big Ten,nan,1881,
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,ACC,Big East,1890,
Purdue,Boilermakers,West Lafayette,Indiana,Big Ten,IIAA,1887,
Rice,Owls,Houston,Texas,C-USA,TIAA,1912,
Rice,Owls,Houston,Texas,C-USA, SWC,1912,
Rice,Owls,Houston,Texas,C-USA, WAC,1912,
Rutgers,Scarlet Knights,Piscataway,New Jersey,Big Ten,Middle Atlantic,1869,
Rutgers,Scarlet Knights,Piscataway,New Jersey,Big Ten, Big East,1869,
Rutgers,Scarlet Knights,Piscataway,New Jersey,Big Ten, American,1869,
San Diego State,Aztecs,San Diego,California,Mountain West,Southern California Junior College Conference,1921,
San Diego State,Aztecs,San Diego,California,Mountain West, SCIAC,1921,
San Diego State,Aztecs,San Diego,California,Mountain West, CCAA,1921,
San Diego State,Aztecs,San Diego,California,Mountain West, Big West,1921,
San Diego State,Aztecs,San Diego,California,Mountain West, WAC,1921,
San Jose State,Spartans,San Jose,California,Mountain West,California Coast Conference,1892,
San Jose State,Spartans,San Jose,California,Mountain West, NCAC,1892,
San Jose State,Spartans,San Jose,California,Mountain West, California Collegiate,1892,
San Jose State,Spartans,San Jose,California,Mountain West, Big West,1892,
San Jose State,Spartans,San Jose,California,Mountain West, WAC,1892,
South Alabama,Jaguars,Mobile,Alabama,Sun Belt,nan,2009,2012.0
South Carolina,Gamecocks,Columbia,South Carolina,SEC,SIAA,1892,
South Carolina,Gamecocks,Columbia,South Carolina,SEC, SoCon,1892,
South Carolina,Gamecocks,Columbia,South Carolina,SEC, ACC,1892,
South Florida,Bulls,Tampa,Florida,American,C-USA,1997,2001.0
South Florida,Bulls,Tampa,Florida,American, Big East,1997,2001.0
USC,Trojans,Los Angeles,California,Pac-12,PCC,1888,
SMU,Mustangs,University Park,Texas,American,TIAA,1915,
SMU,Mustangs,University Park,Texas,American, SWC,1915,
SMU,Mustangs,University Park,Texas,American, WAC,1915,
SMU,Mustangs,University Park,Texas,American, C-USA,1915,
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,C-USA,Gulf States Conference,1912,
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,C-USA, SIAA,1912,
Stanford,Cardinal,Stanford,California,Pac-12,PCC,1891,
Syracuse,Orange,Syracuse,New York,ACC,Big East,1889,
TCU,Horned Frogs,Fort Worth,Texas,Big 12,TIAA,1896,
TCU,Horned Frogs,Fort Worth,Texas,Big 12, SWC,1896,
TCU,Horned Frogs,Fort Worth,Texas,Big 12, WAC,1896,
TCU,Horned Frogs,Fort Worth,Texas,Big 12, C-USA,1896,
TCU,Horned Frogs,Fort Worth,Texas,Big 12, MW,1896,
Temple,Owls,Philadelphia,Pennsylvania,American,Middle Atlantic,1894,
Temple,Owls,Philadelphia,Pennsylvania,American, Big East,1894,
Temple,Owls,Philadelphia,Pennsylvania,American, MAC,1894,
Temple,Owls,Philadelphia,Pennsylvania,American, Big East,1894,
Tennessee,Volunteers,Knoxville,Tennessee,SEC,SIAA,1891,
Tennessee,Volunteers,Knoxville,Tennessee,SEC, SoCon,1891,
Texas,Longhorns,Austin,Texas,Big 12,SIAA,1893,
Texas,Longhorns,Austin,Texas,Big 12, TIAA,1893,
Texas,Longhorns,Austin,Texas,Big 12, SWC,1893,
Texas A&M,Aggies,College Station,Texas,SEC,SIAA,1894,
Texas A&M,Aggies,College Station,Texas,SEC, SWC,1894,
Texas A&M,Aggies,College Station,Texas,SEC, Big 12,1894,
Texas State,Bobcats,San Marcos,Texas,Sun Belt,TIAA,1904,2012.0
Texas State,Bobcats,San Marcos,Texas,Sun Belt, Lone Star,1904,2012.0
Texas State,Bobcats,San Marcos,Texas,Sun Belt, Gulf Star,1904,2012.0
Texas State,Bobcats,San Marcos,Texas,Sun Belt, Southland,1904,2012.0
Texas State,Bobcats,San Marcos,Texas,Sun Belt, WAC,1904,2012.0
Texas Tech,Red Raiders,Lubbock,Texas,Big 12,BIAA,1925,
Texas Tech,Red Raiders,Lubbock,Texas,Big 12, SWC,1925,
UTEP,Miners,El Paso,Texas,C-USA,BIAA,1914,
UTEP,Miners,El Paso,Texas,C-USA, WAC,1914,
UTSA,Roadrunners,San Antonio,Texas,C-USA,WAC,2011,2012.0
Toledo,Rockets,Toledo,Ohio,MAC,Northwestern Ohio Intercollegiate Athletic Association,1917,
Toledo,Rockets,Toledo,Ohio,MAC, OAC,1917,
Troy,Trojans,Troy,Alabama,Sun Belt,Alabama Intercollegiate Conference,1909,2002.0
Troy,Trojans,Troy,Alabama,Sun Belt, SIAA,1909,2002.0
Troy,Trojans,Troy,Alabama,Sun Belt, Alabama Collegiate Conference,1909,2002.0
Troy,Trojans,Troy,Alabama,Sun Belt, Mid-South Athletic Conference,1909,2002.0
Troy,Trojans,Troy,Alabama,Sun Belt, Gulf South,1909,2002.0
Troy,Trojans,Troy,Alabama,Sun Belt, Southland,1909,2002.0
Tulane,Green Wave,New Orleans,Louisiana,American,SIAA,1893,
Tulane,Green Wave,New Orleans,Louisiana,American, SoCon,1893,
Tulane,Green Wave,New Orleans,Louisiana,American, SEC,1893,
Tulane,Green Wave,New Orleans,Louisiana,American, C-USA,1893,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American,Oklahoma Intercollegiate Conference,1895,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American, Big 4 Conference,1895,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American, MVC,1895,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American, WAC,1895,
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American, C-USA,1895,
Utah,Utes,Salt Lake City,Utah,Pac-12,Colorado Football Association,1892,
Utah,Utes,Salt Lake City,Utah,Pac-12, RMAC,1892,
Utah,Utes,Salt Lake City,Utah,Pac-12, Mountain States,1892,
Utah,Utes,Salt Lake City,Utah,Pac-12, WAC,1892,
Utah,Utes,Salt Lake City,Utah,Pac-12, MW,1892,
Utah State,Aggies,Logan,Utah,Mountain West,Colorado Football Association,1892,
Utah State,Aggies,Logan,Utah,Mountain West, RMAC,1892,
Utah State,Aggies,Logan,Utah,Mountain West, Mountain States,1892,
Utah State,Aggies,Logan,Utah,Mountain West, Big West,1892,
Utah State,Aggies,Logan,Utah,Mountain West, Independent,1892,
Utah State,Aggies,Logan,Utah,Mountain West, Sun Belt,1892,
Utah State,Aggies,Logan,Utah,Mountain West, WAC,1892,
Vanderbilt,Commodores,Nashville,Tennessee,SEC,SIAA,1890,
Vanderbilt,Commodores,Nashville,Tennessee,SEC, SoCon,1890,
Virginia,Cavaliers,Charlottesville,Virginia,ACC,SAIAA,1888,
Virginia,Cavaliers,Charlottesville,Virginia,ACC, SoCon,1888,
Virginia Tech,Hokies,Blacksburg,Virginia,ACC,SAIAA,1892,
Virginia Tech,Hokies,Blacksburg,Virginia,ACC, SIAA,1892,
Virginia Tech,Hokies,Blacksburg,Virginia,ACC, SoCon,1892,
Virginia Tech,Hokies,Blacksburg,Virginia,ACC, Big East,1892,
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,ACC,Big Five Conference,1888,
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,ACC, SoCon,1888,
Washington,Huskies,Seattle,Washington,Pac-12,PCC,1889,
Washington State,Cougars,Pullman,Washington,Pac-12,PCC,1893,
Washington State,Cougars,Pullman,Washington,Pac-12, Independent,1893,
West Virginia,Mountaineers,Morgantown,West Virginia,Big 12,SoCon,1891,
West Virginia,Mountaineers,Morgantown,West Virginia,Big 12, WVIAC,1891,
West Virginia,Mountaineers,Morgantown,West Virginia,Big 12, Big East,1891,
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA,SIAA,1913,2009.0
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA, KIAC,1913,2009.0
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA, OVC,1913,2009.0
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA, MVFC,1913,2009.0
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA, Sun Belt,1913,2009.0
Western Michigan,Broncos,Kalamazoo,Michigan,MAC,MCC,1905,
Wisconsin,Badgers,Madison,Wisconsin,Big Ten,nan,1889,
Wyoming,Cowboys,Laramie,Wyoming,Mountain West,Colorado Football Association,1893,
Wyoming,Cowboys,Laramie,Wyoming,Mountain West, RMAC,1893,
Wyoming,Cowboys,Laramie,Wyoming,Mountain West, WAC,1893,
