Index,date,group,name,quantity,unit_cogs
67,2018-01-09,GENERAL_ITEMS,BELLA PODPASKI PERF.BLUE 10,6,4.27
68,2018-01-09,GENERAL_ITEMS,EVA MYDLO W PLYNIE Z DOZOW.500 ML,1,3.71
69,2018-01-09,GENERAL_ITEMS,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,2,5.49
70,2018-01-09,GENERAL_ITEMS,PLYN KAMIEN I RDZA 750 ML,1,5.49
71,2018-01-09,GENERAL_ITEMS,WATA 100G BELLA,2,1.98
72,2018-01-10,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.49
73,2018-01-10,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,3,1.8566666666666698
74,2018-01-10,GENERAL_ITEMS,BELLA PODPASKI PERF.BLUE 10,4,4.27
75,2018-01-10,GENERAL_ITEMS,BELLA PODPASKI PERFECTA GREEN,1,3.19
76,2018-01-10,GENERAL_ITEMS,EVA MYDLO W PLYNIE Z DOZOW.500 ML,1,3.71
77,2018-01-10,GENERAL_ITEMS,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,1,5.49
78,2018-01-10,GENERAL_ITEMS,PLYN KAMIEN I RDZA 750 ML,1,5.49
79,2018-01-10,GENERAL_ITEMS,TAMPON BELLA A/8 REGULAR,1,3.15
80,2018-01-11,GENERAL_ITEMS,BAMBINO SZAMPON 400 ML,2,6.75
81,2018-01-11,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,3,1.86
82,2018-01-11,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,2,2.09
83,2018-01-11,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,4,2.525
84,2018-01-11,GENERAL_ITEMS,BELLA PODPASKI PERF.BLUE 10,2,3.19
85,2018-01-11,GENERAL_ITEMS,ODSWIEZACZ SZYSZKA ZAPAS,2,3.6
86,2018-01-11,GENERAL_ITEMS,PLYN DO ?AZIENKI 1 L ZÓ?TY,1,4.39
87,2018-01-11,GENERAL_ITEMS,SZAMPON HEADS SHOULDERS 400 ML PIELEGNAC,1,10.99
88,2018-01-11,GENERAL_ITEMS,TAMPON BELLA A/8 REGULAR,1,3.25
89,2018-01-11,GENERAL_ITEMS,TAMPONY BELLA A/8 SUPER,2,3.25
90,2018-01-12,GENERAL_ITEMS,BAMBINO SZAMPON 400 ML,2,6.75
91,2018-01-12,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.49
92,2018-01-12,GENERAL_ITEMS,BELLA PODPASKI BLUE MAX,2,3.19
93,2018-01-12,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,3,1.88
94,2018-01-12,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,2,2.09
95,2018-01-12,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,3,2.5833333333333304
96,2018-01-12,GENERAL_ITEMS,BELLA PODPASKI PERF.BLUE 10,1,3.05
97,2018-01-12,GENERAL_ITEMS,BELLA PODPASKI PERFECTA GREEN,4,3.085
98,2018-01-12,GENERAL_ITEMS,ODSWIEZACZ SZYSZKA ZAPAS,1,3.6
99,2018-01-12,GENERAL_ITEMS,PODPASKI BELLA  NOVA 10 SZT,1,2.15
100,2018-01-12,GENERAL_ITEMS,TAMPONY BELLA A/8 SUPER PLUS,1,3.25
101,2018-01-01,GENERAL_ITEMS,BIBULA KOLOR,2,0.75
102,2018-01-01,GENERAL_ITEMS,ZESZYT W LINIE 32 K,1,0.49
103,2018-01-02,GENERAL_ITEMS,BALON KOLOR,12,0.21
104,2018-01-02,GENERAL_ITEMS,BIBULA KOLOR,1,0.75
105,2018-01-02,GENERAL_ITEMS,ZESZYT W LINIE 32 K,2,0.49
106,2018-01-03,GENERAL_ITEMS,BALON KOLOR,16,0.21
107,2018-01-03,GENERAL_ITEMS,PAPIER KOLOROWY A4,1,0.84
108,2018-01-03,GENERAL_ITEMS,SERWETKI WIELKANOCNE 20 SZT,3,1.99
109,2018-01-03,GENERAL_ITEMS,ZESZYT W LINIE 16 K,4,0.59
110,2018-01-04,GENERAL_ITEMS,BALON KOLOR,3,0.21
111,2018-01-04,GENERAL_ITEMS,ZESZYT W LINIE 16 K,8,0.59
112,2018-01-04,GENERAL_ITEMS,ZESZYT W LINIE 32 K,2,0.49
113,2018-01-05,GENERAL_ITEMS,BALON KOLOR,3,0.21
114,2018-01-05,GENERAL_ITEMS,KOREKTOR  W PISAKU,1,1.69
115,2018-01-05,GENERAL_ITEMS,ZESZYT W LINIE 16 K,4,0.59
116,2018-01-06,GENERAL_ITEMS,BALON KOLOR,8,0.21
117,2018-01-07,GENERAL_ITEMS,BALON KOLOR,3,0.21
118,2018-01-07,GENERAL_ITEMS,ZESZYT W LINIE 16 K,2,0.59
119,2018-01-08,GENERAL_ITEMS,DLUGOPIS PSTRYKANY,1,0.74
120,2018-01-09,GENERAL_ITEMS,BALON KOLOR,2,0.21
121,2018-01-09,GENERAL_ITEMS,DLUGOPIS PSTRYKANY,2,0.74
122,2018-01-12,GENERAL_ITEMS,BALON KOLOR,2,0.21
123,2018-01-12,GENERAL_ITEMS,DLUGOPIS PSTRYKANY,3,0.74
124,2018-01-12,GENERAL_ITEMS,ZESZYT W LINIE 16 K,1,0.59
125,2018-01-01,ALCOHOL,PIWO BOJAN  WIELKOP.0_5 L B/ZW,3,2.5
126,2018-01-01,ALCOHOL,PIWO BOJAN FAJRANT 0_5 L B/ZWR,7,1.61
127,2018-01-01,ALCOHOL,PIWO BOJAN KOKOS 0_5 L B/ZWR,1,3.02
128,2018-01-01,ALCOHOL,PIWO BOJAN STRAZACKIE 0_5 L B/ZW,1,2.5
129,2018-01-01,ALCOHOL,PIWO BOJAN SZWEJK 0_5 L B/ZWROT,5,2.37
130,2018-01-01,ALCOHOL,PIWO BRACKIE 0_5 L B/ZWROT,12,1.35
131,2018-01-01,ALCOHOL,PIWO CIECHAN MIODOWE 0_5 L B/ZW,4,3.78
132,2018-01-01,ALCOHOL,PIWO DEBOWE MOCNE 0_5L BUTELKA,60,1.79
133,2018-01-01,ALCOHOL,PIWO DEBOWE MOCNE 0_5L PUSZKA,4,2.34
134,2018-01-01,ALCOHOL,PIWO DESPERADOS 0_4 L,24,2.42
135,2018-01-01,ALCOHOL,PIWO DESPERADOS 0_4 L 6%  B/BEZW,2,2.67
136,2018-01-01,ALCOHOL,PIWO DESPERADOS 0_4 NOCTURN 7%,3,2.93
137,2018-01-01,ALCOHOL,PIWO EB 0_5 L B/ZWR,2,1.7
138,2018-01-01,ALCOHOL,PIWO EB 0_5 L PUSZKA,8,2.05
139,2018-01-01,ALCOHOL,PIWO FOX 0_5 L PUSZKA MOCNE,61,1.26
140,2018-01-01,ALCOHOL,PIWO FOX 0_5L PUSZKA JASNE,1,1.07
141,2018-01-01,ALCOHOL,PIWO HARNAS 0_5L BUTELKA,1,1.23
142,2018-01-01,ALCOHOL,PIWO HEINEKEN 0_5L B BEZ ZWROT,19,2.19578947368421
143,2018-01-01,ALCOHOL,PIWO KARMI 0_5L BUT /ZWROT,2,2.13
144,2018-01-01,ALCOHOL,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,2,2.43
145,2018-01-01,ALCOHOL,PIWO LECH LITE 0_33 BUT BEZ/ZW,1,1.55
146,2018-01-01,ALCOHOL,PIWO LECH LITE 0_33 PUSZKA,1,1.5
147,2018-01-01,ALCOHOL,PIWO LECH PILS 0_5L BUTELKA,76,1.75
148,2018-01-01,ALCOHOL,PIWO LECH PILS 0_5L PUSZKA,4,2.2
149,2018-01-01,ALCOHOL,PIWO LECH PREMIUM 0_5L  PUSZKA,32,1.92
150,2018-01-01,ALCOHOL,PIWO LECH PREMIUM 0_5L BUTELKA,87,1.68
151,2018-01-01,ALCOHOL,PIWO LEZAJSK 0_5 L B/BEZW,3,1.55
152,2018-01-01,ALCOHOL,PIWO LEZAJSK CHMIEL 0_5 L B/BEZ,2,1.55
153,2018-01-01,ALCOHOL,PIWO LOMZA EXPORT 0_5L BUT/BEZ.,1,1.58
154,2018-01-01,ALCOHOL,PIWO LWOWEK 0_5L B/ZW,1,2.15
155,2018-01-01,ALCOHOL,PIWO LWOWEK MALINA 0_5 L B/ZW,2,2.6
156,2018-01-01,ALCOHOL,PIWO MOCNE POLSKIE 0_33L,36,0.86
157,2018-01-01,ALCOHOL,PIWO MUSCOVADO 0_5 L B/ZWR,5,3.56
158,2018-01-01,ALCOHOL,PIWO OKOCIM 0_5 L RADLER B/Z LIMON,2,1.82
159,2018-01-01,ALCOHOL,PIWO OKOCIM PILS 0_5 B/ZWROTNA,6,1.57
160,2018-01-01,ALCOHOL,PIWO PILSNER URQUELL 0_5L BUTELKA,1,3.82
161,2018-01-01,ALCOHOL,PIWO PRAZUBR NIEP.0_5 B/ZW,10,1.81
162,2018-01-01,ALCOHOL,PIWO REDDS MALINOWE PUSZKA 0_5L,2,2.53
163,2018-01-01,ALCOHOL,PIWO REEDS 0_5L PUSZKA JABLKOWE,3,2.53
164,2018-01-01,ALCOHOL,PIWO SAMERSBY  0_500 ML PUSZKA,2,2.7
165,2018-01-01,ALCOHOL,PIWO SAMERSBY BLACKBERRY 0_5 L PUSZKA,1,2.65
166,2018-01-01,ALCOHOL,PIWO TATRA JASNE PE?NE 0_5L BUTELKA ZÓ?T,277,1.39
167,2018-01-01,ALCOHOL,PIWO TATRA PILS 0_5L PUSZKA,29,1.72
168,2018-01-01,ALCOHOL,PIWO TYSKIE 0_5 L BUT.NIEPAST.,1,1.74
169,2018-01-01,ALCOHOL,PIWO TYSKIE 0_5L BUTELKA,275,1.53305454545455
170,2018-01-01,ALCOHOL,PIWO TYSKIE PUSZKA 0_5L,99,1.9343434343434298
171,2018-01-01,ALCOHOL,PIWO WARKA 0_5L BUT.JASNE PE?NE,1,1.45
172,2018-01-01,ALCOHOL,PIWO WARKA RADLER 0_5 L BUT.,16,1.95
173,2018-01-01,ALCOHOL,PIWO WARKA RADLER 0_5 PUSZKA,8,2.3325
174,2018-01-01,ALCOHOL,PIWO WARKA RADLER MAL+CYTR .0_5 B/ZWR,5,1.59
175,2018-01-01,ALCOHOL,PIWO WARKA STRONG BUTELKA,6,2.14
176,2018-01-01,ALCOHOL,PIWO WARKA STRONG PUSZKA,4,2.47
177,2018-01-01,ALCOHOL,PIWO WOJAK 0_5 L BUTELKA JASNE,281,1.1855871886121
178,2018-01-01,ALCOHOL,PIWO ZUBR 0_5L BUTELKA,1222,1.3091407528641599
179,2018-01-01,ALCOHOL,PIWO ZUBR 0_5L PUSZKA,199,1.68
180,2018-01-01,ALCOHOL,PIWO ZYWIEC 0_5L BUTELKA,25,1.71
181,2018-01-01,ALCOHOL,PIWO ZYWIEC PUSZKA 0_5L,33,1.97
182,2018-01-02,ALCOHOL,PIWO BOJAN  WIELKOP.0_5 L B/ZW,1,2.5
183,2018-01-02,ALCOHOL,PIWO BOJAN FAJRANT 0_5 L B/ZWR,11,1.65909090909091
184,2018-01-02,ALCOHOL,PIWO BOJAN KOKOS 0_5 L B/ZWR,1,3.02
185,2018-01-02,ALCOHOL,PIWO BOJAN STRAZACKIE 0_5 L B/ZW,6,2.5
186,2018-01-02,ALCOHOL,PIWO CIECHAN LAGEROWE 0_5 L B/ZW,2,2.45
187,2018-01-02,ALCOHOL,PIWO CIECHAN MIODOWE 0_5 L B/ZW,9,3.78
188,2018-01-02,ALCOHOL,PIWO DEBOWE MOCNE 0_5L BUTELKA,32,1.799375
189,2018-01-02,ALCOHOL,PIWO DEBOWE MOCNE 0_5L PUSZKA,8,2.36
190,2018-01-02,ALCOHOL,PIWO DESPERADOS 0_4 L,12,2.485
191,2018-01-02,ALCOHOL,PIWO DESPERADOS 0_4 L 6%  B/BEZW,5,2.67
192,2018-01-02,ALCOHOL,PIWO DESPERADOS 580 ML,3,3.09
193,2018-01-02,ALCOHOL,PIWO DESPERADOS RED 0_4 L,6,2.57
194,2018-01-02,ALCOHOL,PIWO EB 0_5 L B/ZWR,9,1.73333333333333
195,2018-01-02,ALCOHOL,PIWO EB 0_5 L PUSZKA,12,2.07
196,2018-01-02,ALCOHOL,PIWO FOX 0_5 L PUSZKA MOCNE,59,1.26457627118644
197,2018-01-02,ALCOHOL,PIWO FOX 0_5L PUSZKA JASNE,47,1.0748936170212802
198,2018-01-02,ALCOHOL,PIWO HEINEKEN 0_5L B BEZ ZWROT,11,2.33
199,2018-01-02,ALCOHOL,PIWO KARMI 0_5L BUT /ZWROT,1,2.13
200,2018-01-02,ALCOHOL,PIWO KASZTELAN 0_5 BUTELKA,1,1.39
201,2018-01-02,ALCOHOL,PIWO KSIAZECE IPA 0_5 B/ZWR,9,3.15
202,2018-01-02,ALCOHOL,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,3,2.43
203,2018-01-02,ALCOHOL,PIWO LECH  FREE 0_5 L  B/ZWR,3,2.02
204,2018-01-02,ALCOHOL,PIWO LECH LITE 0_33 BUT BEZ/ZW,1,1.55
205,2018-01-02,ALCOHOL,PIWO LECH PILS 0_5L BUTELKA,149,1.8348322147651002
206,2018-01-02,ALCOHOL,PIWO LECH PILS 0_5L PUSZKA,20,2.2
207,2018-01-02,ALCOHOL,PIWO LECH PREMIUM 0_5L  PUSZKA,29,2.0031034482758603
208,2018-01-02,ALCOHOL,PIWO LECH PREMIUM 0_5L BUTELKA,77,1.6957142857142902
209,2018-01-02,ALCOHOL,PIWO LWOWEK PORTER 0_5 L B/ZWR,2,3.89
210,2018-01-02,ALCOHOL,PIWO LWÓWEK 0_5 L B/ZWR,2,2.45
211,2018-01-02,ALCOHOL,PIWO MOCNE POLSKIE 0_33L,42,0.56
212,2018-01-02,ALCOHOL,PIWO MUSCOVADO 0_5 L B/ZWR,1,3.95
213,2018-01-02,ALCOHOL,PIWO OKOCIM 0_5 L RADLER B/Z LIMON,1,1.82
214,2018-01-02,ALCOHOL,PIWO OKOCIM PILS 0_5 B/ZWROTNA,12,1.57
215,2018-01-02,ALCOHOL,PIWO PILSNER URQUELL 0_5L BUTELKA,1,3.82
216,2018-01-02,ALCOHOL,PIWO PRAZUBR 0_5 L PUSZKA,4,2.3
217,2018-01-02,ALCOHOL,PIWO PRAZUBR NIEP.0_5 B/ZW,21,1.7542857142857098
218,2018-01-02,ALCOHOL,PIWO REDD`S APPLE 0_4L BUT.B\ZWR.,2,2.58
219,2018-01-02,ALCOHOL,PIWO REDDS MALINOWE PUSZKA 0_5L,1,2.53
220,2018-01-02,ALCOHOL,PIWO REDDS MALINOWY 0_4  BEZ/ZWR,2,2.58
221,2018-01-02,ALCOHOL,PIWO REEDS 0_5L PUSZKA JABLKOWE,1,2.53
222,2018-01-02,ALCOHOL,PIWO SAMERSBY  0_500 ML PUSZKA,2,2.7
223,2018-01-02,ALCOHOL,PIWO SAMERSBY BLACKBERRY 0_5 L PUSZKA,3,2.65
224,2018-01-02,ALCOHOL,PIWO TATRA JASNE PE?NE 0_5L BUTELKA ZÓ?T,206,1.39
225,2018-01-02,ALCOHOL,PIWO TYSKIE 0_5 L BUT.NIEPAST.,2,1.74
226,2018-01-02,ALCOHOL,PIWO TYSKIE 0_5L BUTELKA,221,1.5497285067873303
227,2018-01-02,ALCOHOL,PIWO TYSKIE 0_65L BUT,2,3.09
228,2018-01-02,ALCOHOL,PIWO TYSKIE PUSZKA 0_5L,112,1.9642857142857097
229,2018-01-02,ALCOHOL,PIWO WARKA 0_5L BUT.JASNE PE?NE,2,1.45
230,2018-01-02,ALCOHOL,PIWO WARKA 0_5L PUSZKA,8,1.97
231,2018-01-02,ALCOHOL,PIWO WARKA RADLER 0_5 L BUT.,14,1.95
232,2018-01-02,ALCOHOL,PIWO WARKA RADLER 0_5 PUSZKA,10,2.15
233,2018-01-02,ALCOHOL,PIWO WARKA RADLER MAL+CYTR .0_5 B/ZWR,7,1.59
234,2018-01-02,ALCOHOL,PIWO WARKA STRONG BUTELKA,3,2.14
235,2018-01-02,ALCOHOL,PIWO WOJAK 0_5 L BUTELKA JASNE,225,1.2
236,2018-01-02,ALCOHOL,PIWO ZUBR 0_5L BUTELKA,1297,1.31661526599846
237,2018-01-02,ALCOHOL,PIWO ZUBR 0_5L PUSZKA,187,1.7210695187165799
238,2018-01-02,ALCOHOL,PIWO ZYWIEC 0_5L BUTELKA,20,1.7225
239,2018-01-02,ALCOHOL,PIWO ZYWIEC PUSZKA 0_5L,26,1.92307692307692
240,2018-01-03,ALCOHOL,PIWO BOJAN FAJRANT 0_5 L B/ZWR,2,1.79
241,2018-01-03,ALCOHOL,PIWO BOJAN KOKOS 0_5 L B/ZWR,1,3.02
242,2018-01-03,ALCOHOL,PIWO BOJAN STRAZACKIE 0_5 L B/ZW,8,2.63
243,2018-01-03,ALCOHOL,PIWO CIECHAN LAGEROWE 0_5 L B/ZW,1,2.45
244,2018-01-03,ALCOHOL,PIWO CIECHAN MIODOWE 0_5 L B/ZW,1,3.78
245,2018-01-03,ALCOHOL,PIWO CIECHAN PRZENICZNE 0_5 L B/ZWROT,3,3.78
246,2018-01-03,ALCOHOL,PIWO DEBOWE MOCNE 0_5L BUTELKA,55,1.78345454545455
247,2018-01-03,ALCOHOL,PIWO DEBOWE MOCNE 0_5L PUSZKA,7,2.44
248,2018-01-03,ALCOHOL,PIWO DESPERADOS 0_4 L,10,2.5789999999999997
249,2018-01-03,ALCOHOL,PIWO DESPERADOS 0_4 L 6%  B/BEZW,5,2.67
250,2018-01-03,ALCOHOL,PIWO EB 0_5 L B/ZWR,9,1.75
251,2018-01-03,ALCOHOL,PIWO EB 0_5 L PUSZKA,1,1.69
252,2018-01-03,ALCOHOL,PIWO FOX 0_5 L PUSZKA MOCNE,46,1.16
253,2018-01-03,ALCOHOL,PIWO FOX 0_5L PUSZKA JASNE,23,1.12
254,2018-01-03,ALCOHOL,PIWO HARNAS 0_5L BUTELKA,6,1.23
255,2018-01-03,ALCOHOL,PIWO HARNAS 0_5L PUSZKA,1,1.8
256,2018-01-03,ALCOHOL,PIWO HEINEKEN 0_5L B BEZ ZWROT,6,2.2
257,2018-01-03,ALCOHOL,PIWO KSIAZECE IPA 0_5 B/ZWR,12,3.15
258,2018-01-03,ALCOHOL,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,6,2.43
259,2018-01-03,ALCOHOL,PIWO LECH  FREE 0_5 L  B/ZWR,7,2.02
260,2018-01-03,ALCOHOL,PIWO LECH  MOITO 0_5 L B/ZW,5,0.82
261,2018-01-03,ALCOHOL,PIWO LECH PILS 0_5L BUTELKA,166,1.87
262,2018-01-03,ALCOHOL,PIWO LECH PILS 0_5L PUSZKA,24,1.99
263,2018-01-03,ALCOHOL,PIWO LECH PREMIUM 0_5L  PUSZKA,54,2.06222222222222
264,2018-01-03,ALCOHOL,PIWO LECH PREMIUM 0_5L BUTELKA,116,1.71
265,2018-01-03,ALCOHOL,PIWO LECH SHANDY 0_5 BUT,3,1.97
266,2018-01-03,ALCOHOL,PIWO LOMZA EXPORT 0_5L BUT/BEZ.,2,1.68
267,2018-01-03,ALCOHOL,PIWO LWOWEK MALINA 0_5 L B/ZW,3,2.78
268,2018-01-03,ALCOHOL,PIWO LWOWEK PORTER 0_5 L B/ZWR,1,3.89
269,2018-01-03,ALCOHOL,PIWO MOCNE POLSKIE 0_33L,30,1.06
270,2018-01-03,ALCOHOL,PIWO NAMYS?OW 0_5 B/BEZW,6,1.63
271,2018-01-03,ALCOHOL,PIWO OKOCIM 0_5 L RADLER B/Z LIMON,2,1.82
272,2018-01-03,ALCOHOL,PIWO OKOCIM PILS 0_5 B/ZWROTNA,19,1.57
273,2018-01-03,ALCOHOL,PIWO PRAZUBR NIEP.0_5 B/ZW,4,1.45
274,2018-01-03,ALCOHOL,PIWO REDDS MALINOWY 0_4  BEZ/ZWR,4,2.58
275,2018-01-03,ALCOHOL,PIWO SOMERSBI APPLE SECCO 0_5 PUSZKA,3,1.48
276,2018-01-03,ALCOHOL,PIWO SOMERSBY  0_4 B/BEZW,3,2.77
277,2018-01-03,ALCOHOL,PIWO SOMERSBY 0_4 L BUTELKA BLACKBERRY,3,2.77
278,2018-01-03,ALCOHOL,PIWO TATRA JASNE PE?NE 0_5L BUTELKA ZÓ?T,180,1.39
279,2018-01-03,ALCOHOL,PIWO TATRA PILS 0_5L PUSZKA,8,1.81
280,2018-01-03,ALCOHOL,PIWO TYSKIE 0_5L BUTELKA,213,1.55140845070423
281,2018-01-03,ALCOHOL,PIWO TYSKIE 0_65L BUT,2,3.09
282,2018-01-03,ALCOHOL,PIWO TYSKIE KLASYCZNE 0_5 BUT.ZW,2,1.64
283,2018-01-03,ALCOHOL,PIWO TYSKIE PUSZKA 0_5L,110,1.9607272727272702
284,2018-01-03,ALCOHOL,PIWO WARKA 0_5L BUT.JASNE PE?NE,4,1.45
285,2018-01-03,ALCOHOL,PIWO WARKA 0_5L PUSZKA,10,1.764
286,2018-01-03,ALCOHOL,PIWO WARKA RADL JAB+GRUSZKA 0_5 L PUSZ,2,2.29
287,2018-01-03,ALCOHOL,PIWO WARKA RADLER 0% MIETA B/ZWROT,1,2.05
