token,is_authority,is_ingredient,is_ailment,is_body_part,is_treatment
cleansing,False,False,False,False,True
clove,False,True,False,False,False
coal,False,True,False,False,False
coan,True,False,False,False,False
coco-grass,False,True,False,False,False
cocoon,False,True,False,False,False
coitus,False,False,True,False,False
colchicum,False,True,False,False,False
cold,False,False,True,False,False
coldness,False,False,True,False,False
colera,True,False,False,False,False
colic,False,False,True,False,False
collyrium,False,False,False,False,True
colocynth,False,True,False,False,False
coma,False,False,True,False,False
conception,False,False,True,False,False
concoction,False,False,False,False,True
congeal,False,False,False,False,True
congestion,False,False,True,False,False
conium,False,True,False,False,False
conjunctiva,False,False,True,False,False
conjunctivitis,False,False,True,False,False
constipation,False,False,True,False,False
consumption,False,False,True,False,False
contraception,False,False,False,False,True
contraceptive,False,False,False,False,True
convolvulus,False,True,False,False,False
convulsion,False,False,True,False,False
copper,False,True,False,False,False
coral,False,True,False,False,False
cordial,False,True,False,False,False
coriander,False,True,False,False,False
corn,False,True,False,False,False
cornea,False,False,False,True,False
corneal,False,False,False,True,False
corona,False,False,False,True,False
cosmetic,False,False,False,False,True
costus,False,True,False,False,False
cotton,False,True,False,False,False
couching,False,False,False,False,True
cough,False,False,True,False,False
coughing,False,False,True,False,False
cow,False,True,False,False,False
crack,False,False,True,False,False
cracked,False,False,True,False,False
cramp,False,False,True,False,False
cream,False,False,False,False,True
cress,False,True,False,False,False
crippled,False,False,True,False,False
crisis,False,False,True,False,False
critical,False,False,True,False,False
crocus,False,True,False,False,False
cry,False,False,True,False,False
cubeb,False,True,False,False,False
cubital,False,False,False,True,False
cucumber,False,True,False,False,False
cumin,False,True,False,False,False
cupping,False,False,False,False,True
curability,False,False,False,False,True
curative,False,False,False,False,True
curcuma,False,True,False,False,False
cure,False,False,False,False,True
cured,False,False,False,False,True
curing,False,False,False,False,True
cut,False,False,False,False,True
cutting,False,False,False,False,True
cyclamen,False,True,False,False,False
cyperus,False,True,False,False,False
cypress,False,True,False,False,False
cytinus,False,True,False,False,False
dairy,False,True,False,False,False
dead,False,False,True,False,False
deadly,False,False,True,False,False
deafness,False,False,True,False,False
death,False,False,True,False,False
debilitating,False,False,True,False,False
decay,False,False,True,False,False
deficiency,False,False,True,False,False
deficient,False,False,True,False,False
deformed,False,False,True,False,False
delusion,False,False,True,False,False
dental,False,False,True,False,False
dentifrice,False,False,False,False,True
dentist,True,False,False,False,False
dentistry,False,False,False,False,True
depilatory,False,False,False,False,True
depression,False,False,True,False,False
dermatitis,False,False,True,False,False
dermatological,False,False,False,False,True
dermatology,False,False,False,False,True
diabetes,False,False,True,False,False
diamond,False,True,False,False,False
diaphoretic,False,False,False,False,True
diarrhoea,False,False,True,False,False
die,False,False,True,False,False
died,False,False,True,False,False
diet,False,False,False,False,True
dietary,False,False,False,False,True
dietetic,False,False,False,False,True
dietetics,False,False,False,False,True
digestion,False,False,True,False,False
digestive,False,False,True,False,False
dilatation,False,False,False,False,True
dill,False,True,False,False,False
dimness,False,False,True,False,False
dioscorides,True,False,False,False,False
diphtheria,False,False,True,False,False
dipping,False,False,False,False,True
disabled,False,False,True,False,False
discharge,False,False,True,False,False
discolouration,False,False,True,False,False
disease,False,False,True,False,False
diseased,False,False,True,False,False
disintegration,False,False,True,False,False
dislocation,False,False,True,False,False
disorder,False,False,True,False,False
dispensary,False,False,False,False,True
dispenses,False,False,False,False,True
dissolution,False,False,False,False,True
dissolve,False,False,False,False,True
dissolved,False,False,False,False,True
distorted,False,False,False,False,True
distress,False,False,True,False,False
diuretic,False,False,False,False,True
divination,False,False,False,False,True
divinatory,False,False,False,False,True
doctor,True,False,False,False,False
dodder,False,True,False,False,False
doe,False,True,False,False,False
dog,False,True,False,False,False
doronicum,False,True,False,False,False
dosage,False,False,False,False,True
dropsy,False,False,True,False,False
druggist,True,False,False,False,False
drunk,False,False,True,False,False
drunkenness,False,False,True,False,False
dryness,False,False,True,False,False
dying,False,False,True,False,False
dysentry,False,False,True,False,False
dysmenorrhea,False,False,True,False,False
dyspnoea,False,False,True,False,False
dysuria,False,False,True,False,False
ear,False,False,False,True,False
earache,False,False,True,False,False
eardrop,False,False,True,False,False
ectropion,False,False,True,False,False
eczema,False,False,True,False,False
egg,False,True,False,False,False
ejaculation,False,False,True,False,False
elderly,False,False,True,False,False
elecampane,False,True,False,False,False
electuaries,False,False,False,False,True
electuary,False,False,False,False,True
element,False,True,False,False,False
elephantiasis,False,False,True,False,False
elettaria,False,True,False,False,False
elimination,False,False,False,False,True
elixir,False,False,False,False,True
embrocation,False,False,False,False,True
embryo,False,False,False,True,False
embryology,False,False,False,True,False
emesis,False,False,False,False,True
emetic,False,False,False,False,True
emicrania,False,False,True,False,False
emmenagogue,False,False,False,False,True
endive,False,True,False,False,False
endive-water,False,True,False,False,False
enema,False,False,False,False,True
enlargement,False,False,True,False,False
entropion,False,False,True,False,False
epidemic,False,False,True,False,False
epilepsy,False,False,True,False,False
epiphora,False,False,True,False,False
epistaxis,False,False,True,False,False
epithelium,False,False,False,True,False
epizootic,False,False,True,False,False
erection,False,False,False,True,False
eruca,False,True,False,False,False
eruption,False,False,True,False,False
erysipelas,False,False,True,False,False
euphorbia,False,True,False,False,False
evacuation,False,False,False,False,True
examination,False,False,False,False,True
excess,False,False,True,False,False
excrement,False,False,False,True,False
excretion,False,False,False,True,False
exhaustion,False,False,True,False,False
exophthalmos,False,False,True,False,False
expectorant,False,False,False,False,True
expectorate,False,False,False,False,True
expectoration,False,False,False,False,True
eye,False,False,False,True,False
eye-pain,False,False,True,False,False
eye-washes,False,False,False,False,True
eyeball,False,False,False,True,False
eyebrow,False,False,False,True,False
eyelash,False,False,False,True,False
eyelid,False,False,False,True,False
eyesight,False,False,False,True,False
face,False,False,False,True,False
facial,False,False,False,True,False
facultatibus,True,False,False,False,False
faeces,False,False,False,True,False
failing,False,False,True,False,False
faint,False,False,True,False,False
famine,False,False,True,False,False
fasting,False,False,False,False,True
fat,False,False,True,False,False
fava,False,True,False,False,False
fear,False,False,True,False,False
febrium,True,False,False,False,False
fennel,False,True,False,False,False
fenugreek,False,True,False,False,False
fertility,False,False,True,False,False
fever,False,False,True,False,False
feverish,False,False,True,False,False
fig,False,True,False,False,False
finger,False,False,False,True,False
fire,False,True,False,False,False
fish,False,True,False,False,False
fissure,False,False,True,False,False
fistula,False,False,True,False,False
flask,False,True,False,False,False
flatulence,False,False,True,False,False
flax,False,True,False,False,False
flea-wort,False,True,False,False,False
fleawort,False,True,False,False,False
flour,False,True,False,False,False
flower,False,True,False,False,False
flu,False,False,True,False,False
fluid,False,False,True,False,False
flush,False,False,False,False,True
flux,False,False,True,False,False
foetus,False,False,False,True,False
foot,False,False,False,True,False
forearm,False,False,False,True,False
forehead,False,False,False,True,False
forgetfulness,False,False,True,False,False
fracture,False,False,True,False,False
frankincense,False,True,False,False,False
freckle,False,False,False,True,False
fruit,False,True,False,False,False
fumaria,False,True,False,False,False
fumigant,False,False,False,False,True
fumigating,False,False,False,False,True
fumitory,False,False,False,False,True
galbanum,False,True,False,False,False
galen,True,False,False,False,False
galenic,True,False,False,False,False
galingale,False,True,False,False,False
gall-nut,False,True,False,False,False
gallic,False,True,False,False,False
gallnut,False,True,False,False,False
gallnuts,False,True,False,False,False
gangrene,False,False,True,False,False
gangrenous,False,False,True,False,False
gargle,False,False,False,False,True
gargling,False,False,False,False,True
garlic,False,True,False,False,False
gas,False,False,True,False,False
gasping,False,False,True,False,False
gastric,False,False,False,True,False
gastro-intestinal,False,False,False,True,False
gentian,False,True,False,False,False
giddiness,False,False,True,False,False
ginger,False,True,False,False,False
gingivitis,False,False,True,False,False
gland,False,False,False,True,False
glaucon,True,False,False,False,False
glauconem,True,False,False,False,False
goat,False,True,False,False,False
gold,False,True,False,False,False
goose,False,True,False,False,False
gourd,False,True,False,False,False
gout,False,False,True,False,False
grape,False,True,False,False,False
grass,False,True,False,False,False
groin,False,False,False,True,False
growth,False,False,False,True,False
gum,False,True,False,False,False
gummifera,False,True,False,False,False
gustatory,False,False,False,True,False
gut,False,False,False,True,False
gynaecological,False,False,False,True,False
gynaecology,False,False,False,True,False
gypsophila,False,True,False,False,False
haematite,False,True,False,False,False
haematuria,False,False,True,False,False
haemorrhage,False,False,True,False,False
haemorrhoid,False,False,True,False,False
hair,False,False,False,True,False
hairy,False,False,True,False,False
halitosis,False,False,True,False,False
hallucination,False,False,True,False,False
hand,False,False,False,True,False
harmala,False,True,False,False,False
hazelnut,False,True,False,False,False
head,False,False,False,True,False
headache,False,False,True,False,False
heal,False,False,False,False,True
healing,False,False,False,False,True
health,False,False,False,False,True
healthy,False,False,False,False,True
hearing,False,False,True,False,False
heart,False,False,False,True,False
heat,False,False,False,False,True
heel,False,False,False,True,False
hellebore,False,True,False,False,False
helminthicides,False,False,False,False,True
hematite,False,True,False,False,False
hemicrania,False,False,True,False,False
hemlock,False,True,False,False,False
hemp,False,True,False,False,False
hen,False,True,False,False,False
henna,False,True,False,False,False
hepatic,False,False,True,False,False
herb,False,True,False,False,False
hernia,False,False,True,False,False
herpes,False,False,True,False,False
hiccough,False,False,True,False,False
hiccup,False,False,True,False,False
hippocrates,True,False,False,False,False
hippocratic,True,False,False,False,False
hirsutism,False,False,True,False,False
hoarse,False,False,True,False,False
hoarseness,False,False,True,False,False
honey,False,True,False,False,False
horehound,False,True,False,False,False
horn,False,True,False,False,False
hospital,False,False,False,False,True
human,False,False,False,True,False
humoral,False,False,False,False,True
humour,False,False,False,False,True
hunger,False,False,True,False,False
hyacinth,False,True,False,False,False
hydrophobia,False,False,True,False,False
hygiene,False,False,False,False,True
hygienic,False,False,False,False,True
hypocistis,False,True,False,False,False
hypopyon,False,False,True,False,False
hyssop,False,True,False,False,False
illness,False,False,True,False,False
immobility,False,False,True,False,False
impairing,False,False,True,False,False
impotence,False,False,True,False,False
impurity,False,False,True,False,False
incantation,False,False,False,False,True
incense,False,False,False,False,True
incontinence,False,False,True,False,False
incurable,False,False,True,False,False
indigestion,False,False,True,False,False
indigo,False,True,False,False,False
induced,False,False,False,False,True
infant,False,False,False,True,False
infected,False,False,True,False,False
infection,False,False,True,False,False
infertility,False,False,True,False,False
infestation,False,False,True,False,False
inflamed,False,False,True,False,False
inflammation,False,False,True,False,False
inflammatory,False,False,True,False,False
infusion,False,False,False,False,True
injection,False,False,False,False,True
injury,False,False,True,False,False
insomnia,False,False,True,False,False
insufflation,False,False,False,False,True
intercourse,False,False,True,False,False
internal,False,False,True,False,False
intestinal,False,False,False,True,False
intestine,False,False,False,True,False
intoxication,False,False,True,False,False
invalid,False,False,True,False,False
iris,False,False,False,True,False
iron,False,True,False,False,False
irregular,False,False,True,False,False
irritates,False,False,True,False,False
irritation,False,False,True,False,False
ischiectomy,False,False,False,False,True
itch,False,False,True,False,False
itching,False,False,True,False,False
itchy,False,False,True,False,False
jalap,False,True,False,False,False
jasmine,False,True,False,False,False
jaundice,False,False,True,False,False
jaw,False,False,False,True,False
joint,False,False,False,True,False
juice,False,True,False,False,False
jujube,False,True,False,False,False
julep,False,True,False,False,False
juma,False,True,False,False,False
jumayʿ,True,False,False,False,False
keratitis,False,False,True,False,False
kernel,False,True,False,False,False
kidney,False,False,False,True,False
kneading,False,False,False,False,True
knee,False,False,False,True,False
kohl,False,True,False,False,False
laceration,False,False,True,False,False
lachrymal,False,False,False,True,False
lachrymation,False,False,True,False,False
lacrimation,False,False,True,False,False
ladaniferus,False,True,False,False,False
lambdoid,False,False,False,True,False
lancet,False,False,False,False,True
lancing,False,False,False,False,True
lapis,False,True,False,False,False
lard,False,True,False,False,False
laurel,False,True,False,False,False
lavandula,False,True,False,False,False
lavender,False,True,False,False,False
laxative,False,False,False,False,True
lazuli,False,True,False,False,False
lead,False,True,False,False,False
leech,False,False,False,False,True
leek,False,True,False,False,False
leek-water,False,True,False,False,False
left-hand,False,False,False,True,False
leg,False,False,False,True,False
lemon,False,True,False,False,False
lemongrass,False,True,False,False,False
lens,False,False,False,True,False
lentil,False,True,False,False,False
lentisk,False,True,False,False,False
leper,False,False,True,False,False
leproid,False,False,True,False,False
leprosy,False,False,True,False,False
lethal,False,False,True,False,False
lethargy,False,False,True,False,False
lettuce,False,True,False,False,False
leucoderma,False,False,True,False,False
leucoma,False,False,True,False,False
leukoderma,False,False,True,False,False
lichen,False,True,False,False,False
licorice,False,True,False,False,False
lienteric,False,False,True,False,False
lientery,False,False,True,False,False
lightheadedness,False,False,True,False,False
lily,False,True,False,False,False
limb,False,False,False,True,False
lime,False,True,False,False,False
limpness,False,False,True,False,False
linctus,False,False,False,False,True
linseed,False,True,False,False,False
lip,False,False,False,True,False
liquorice,False,True,False,False,False
litharge,False,False,True,False,False
liver,False,False,False,True,False
lobe,False,False,False,True,False
long-sightedness,False,False,True,False,False
looseness,False,False,True,False,False
lotion,False,False,False,False,True
lotus,False,True,False,False,False
louse,False,False,True,False,False
lozenge,False,False,False,False,True
lumbar,False,False,False,True,False
lung,False,False,False,True,False
lupine,False,True,False,False,False
lutum,False,True,False,False,False
lycium,False,True,False,False,False
lymph,False,False,False,True,False
mace,False,True,False,False,False
maculatum,False,True,False,False,False
madder,False,True,False,False,False
madness,False,False,True,False,False
magical,False,False,False,False,True
magico-medical,False,False,False,False,True
magnesium,False,True,False,False,False
mahaleb,False,True,False,False,False
maimonides,True,False,False,False,False
malar,False,False,True,False,False
mallow,False,True,False,False,False
mandrake,False,True,False,False,False
mania,False,False,True,False,False
manna,False,True,False,False,False
marcasite,False,True,False,False,False
marjoram,False,True,False,False,False
marrow,False,True,False,False,False
marrubium,False,True,False,False,False
marsh,False,True,False,False,False
marsh-mallow,False,True,False,False,False
marshmallow,False,True,False,False,False
massage,False,False,False,False,True
massaging,False,False,False,False,True
mastic,False,True,False,False,False
mater,False,False,False,True,False
maturation,False,False,False,False,True
measles,False,False,True,False,False
meat,False,True,False,False,False
meat-based,False,True,False,False,False
medendi,True,False,False,False,False
medical-pharmaceutical,False,False,False,False,True
medicament,False,False,False,False,True
medicated,False,False,False,False,True
medication,False,False,False,False,True
medicinal,False,False,False,False,True
medicine,False,False,False,False,True
medico-astrological,False,False,False,False,True
medico-cosmetic,False,False,False,False,True
medico-magical,False,False,False,False,True
medico-mystical,False,False,False,False,True
mehleb,True,False,False,False,False
melaena,False,False,True,False,False
melancholia,False,False,True,False,False
melancholic,False,False,True,False,False
melancholy,False,False,True,False,False
melissa,False,True,False,False,False
melitot,False,True,False,False,False
melon,False,True,False,False,False
member,False,False,False,True,False
membrane,False,False,False,True,False
meninges,False,False,False,True,False
meningitis,False,False,True,False,False
menorrhea,False,False,True,False,False
menstrual,False,False,True,False,False
menstruation,False,False,True,False,False
mental,False,False,True,False,False
mercury,False,True,False,False,False
metal,False,True,False,False,False
metel,False,True,False,False,False
mezereum,False,True,False,False,False
migraine,False,False,True,False,False
migrane,False,False,True,False,False
milk,False,True,False,False,False
millet,False,True,False,False,False
mimosa,False,True,False,False,False
mineral,False,True,False,False,False
minium,False,True,False,False,False
mint,False,True,False,False,False
mint-water,False,True,False,False,False
miscarriage,False,False,True,False,False
miswāk,False,True,False,False,False
miyrobalan,False,True,False,False,False
mouth,False,False,False,True,False
mucilaginous,False,True,False,False,False
mucus,False,False,True,False,False
mulberry,False,True,False,False,False
mumie,False,True,False,False,False
mung,False,True,False,False,False
muscle,False,False,False,True,False
muscular,False,False,False,True,False
mushroom,False,True,False,False,False
musk,False,True,False,False,False
mustard,False,True,False,False,False
mutibb,False,False,True,False,False
myristica,False,True,False,False,False
myrobalan,False,True,False,False,False
myrrh,False,True,False,False,False
myrtle,False,True,False,False,False
myrtle-water,False,True,False,False,False
nail,False,False,False,True,False
narcissus,False,True,False,False,False
nard,False,True,False,False,False
nasal,False,False,False,True,False
natron,False,True,False,False,False
nausea,False,False,True,False,False
neck,False,False,False,True,False
necrotic,False,False,True,False,False
nenuphar,False,True,False,False,False
neoplasm,False,False,True,False,False
nerve,False,False,False,True,False
nervous,False,False,True,False,False
nightmare,False,False,True,False,False
nightshade,False,True,False,False,False
nilotica,False,True,False,False,False
nipple,False,False,False,True,False
nitrate,False,True,False,False,False
nitre,False,True,False,False,False
nose,False,False,False,True,False
nosebleed,False,False,True,False,False
numbing,False,False,True,False,False
numbness,False,False,True,False,False
nut,False,True,False,False,False
nutmeg,False,True,False,False,False
nutrition,False,False,False,False,True
nutritional,False,False,False,False,True
obstetrics,False,False,False,False,True
oculist,False,False,False,False,True
oil,False,True,False,False,False
ointment,False,False,False,False,True
oleracea-water,False,True,False,False,False
oligospermia,False,True,False,False,False
olive,False,True,False,False,False
onion,False,True,False,False,False
operation,False,False,False,False,True
ophthalmia,False,False,True,False,False
ophthalmological,False,False,False,False,True
ophthalmology,False,False,False,False,True
opium,False,True,False,False,False
opopanax,False,True,False,False,False
opthalmology,False,False,False,False,True
optic,False,False,False,True,False
optical,False,False,False,True,False
optician,False,False,False,False,True
oral,False,False,False,True,False
orally,False,False,False,True,False
orange,False,True,False,False,False
oregano,False,True,False,False,False
organ,False,False,False,True,False
orgasm,False,False,False,True,False
oribasius,True,False,False,False,False
origan,False,True,False,False,False
origanum,False,True,False,False,False
over-eat,False,False,True,False,False
overweight,False,False,True,False,False
ox,False,True,False,False,False
oxide,False,True,False,False,False
oxymel,False,True,False,False,False
paediatrics,False,False,False,False,True
pain,False,False,True,False,False
painful,False,False,True,False,False
palm,False,False,False,True,False
palmatum,False,True,False,False,False
palpebral,False,False,True,False,False
palpitation,False,False,True,False,False
palsy,False,False,True,False,False
panacea,False,False,False,False,True
pannus,False,False,True,False,False
paralysed,False,False,True,False,False
paralysis,False,False,True,False,False
parasite,False,False,True,False,False
paresis,False,False,True,False,False
parsley,False,True,False,False,False
paste,False,True,False,False,False
pastille,False,True,False,False,False
pathological,False,False,True,False,False
pathology,False,False,True,False,False
patient,False,False,False,True,False
peach,False,True,False,False,False
peanut,False,True,False,False,False
pear,False,True,False,False,False
pearl,False,True,False,False,False
peel,False,True,False,False,False
peganum,False,True,False,False,False
pellitory,False,True,False,False,False
penile,False,False,False,True,False
penis,False,False,False,True,False
peony,False,True,False,False,False
pepper,False,True,False,False,False
perforation,False,False,True,False,False
pessary,False,False,False,False,True
pestilence,False,False,True,False,False
pestilential,False,False,True,False,False
petroselinum,False,True,False,False,False
phalanx,False,False,False,True,False
pharmaceutical,False,False,False,False,True
pharmacist,False,False,False,False,True
pharmacist/perfumer,False,False,False,False,True
pharmacological,False,False,False,False,True
pharmacology,False,False,False,False,True
pharmacopeia,False,False,False,False,True
pharmacopoeia,False,False,False,False,True
pharmacopoeial,False,False,False,False,True
pharmacopoeic,False,False,False,False,True
pharmacopoiea,False,False,False,False,True
philosophorum,False,True,False,False,False
phlebotomy,False,False,False,False,True
phlegm,False,False,False,True,False
phlegmatic,False,False,True,False,False
phthisic,False,False,True,False,False
phthisis,False,False,True,False,False
physician,False,False,False,False,True
physiognomy,False,False,False,False,True
physiological,False,False,False,False,True
physiology,False,False,False,False,True
pig,False,True,False,False,False
pigeon,False,True,False,False,False
pill,False,False,False,False,True
pine,False,True,False,False,False
piperita,False,True,False,False,False
pistachio,False,True,False,False,False
pith,False,True,False,False,False
plague,False,False,True,False,False
plant,False,True,False,False,False
plantago,False,True,False,False,False
plantain,False,True,False,False,False
plaster,False,False,False,False,True
plegia,False,True,False,False,False
pleurisy,False,False,True,False,False
plotinus,True,False,False,False,False
plum,False,True,False,False,False
pneuma,False,False,False,True,False
pneumata,False,False,False,True,False
pneumonia,False,False,True,False,False
poison,False,False,True,False,False
poisoning,False,False,True,False,False
poisonous,False,False,True,False,False
polypody,False,True,False,False,False
pomegranate,False,True,False,False,False
poppy,False,True,False,False,False
pore,False,False,False,True,False
portulaca,False,True,False,False,False
potash,False,True,False,False,False
potassium,False,True,False,False,False
potion,False,False,False,False,True
poultice,False,False,False,False,True
pregnancy,False,False,True,False,False
pregnant,False,False,True,False,False
