deployDate,recoveryDate,between_days
1/28/2013,5/6/2013, 2013-03-19
1/28/2013,5/6/2013, 2013-03-20
1/28/2013,5/6/2013,2013-03-21
1/28/2013,5/6/2013, 2013-03-22
1/28/2013,5/6/2013, 2013-03-23
1/28/2013,5/6/2013, 2013-03-24
1/28/2013,5/6/2013,2013-03-25
1/28/2013,5/6/2013, 2013-03-26
1/28/2013,5/6/2013, 2013-03-27
1/28/2013,5/6/2013, 2013-03-28
1/28/2013,5/6/2013,2013-03-29
1/28/2013,5/6/2013, 2013-03-30
1/28/2013,5/6/2013, 2013-03-31
1/28/2013,5/6/2013, 2013-04-01
1/28/2013,5/6/2013,2013-04-02
1/28/2013,5/6/2013, 2013-04-03
1/28/2013,5/6/2013, 2013-04-04
1/28/2013,5/6/2013, 2013-04-05
1/28/2013,5/6/2013,2013-04-06
1/28/2013,5/6/2013, 2013-04-07
1/28/2013,5/6/2013, 2013-04-08
1/28/2013,5/6/2013, 2013-04-09
1/28/2013,5/6/2013,2013-04-10
1/28/2013,5/6/2013, 2013-04-11
1/28/2013,5/6/2013, 2013-04-12
1/28/2013,5/6/2013, 2013-04-13
1/28/2013,5/6/2013,2013-04-14
1/28/2013,5/6/2013, 2013-04-15
1/28/2013,5/6/2013, 2013-04-16
1/28/2013,5/6/2013, 2013-04-17
1/28/2013,5/6/2013,2013-04-18
1/28/2013,5/6/2013, 2013-04-19
1/28/2013,5/6/2013, 2013-04-20
1/28/2013,5/6/2013, 2013-04-21
1/28/2013,5/6/2013,2013-04-22
1/28/2013,5/6/2013, 2013-04-23
1/28/2013,5/6/2013, 2013-04-24
1/28/2013,5/6/2013, 2013-04-25
1/28/2013,5/6/2013,2013-04-26
1/28/2013,5/6/2013, 2013-04-27
1/28/2013,5/6/2013, 2013-04-28
1/28/2013,5/6/2013, 2013-04-29
1/28/2013,5/6/2013,2013-04-30
1/28/2013,5/6/2013, 2013-05-01
1/28/2013,5/6/2013, 2013-05-02
1/28/2013,5/6/2013, 2013-05-03
1/28/2013,5/6/2013,2013-05-04
1/28/2013,5/6/2013, 2013-05-05
1/28/2013,5/6/2013, 2013-05-06
3/1/2014,5/21/2014,2014-03-01
3/1/2014,5/21/2014, 2014-03-02
3/1/2014,5/21/2014, 2014-03-03
3/1/2014,5/21/2014, 2014-03-04
3/1/2014,5/21/2014,2014-03-05
3/1/2014,5/21/2014, 2014-03-06
3/1/2014,5/21/2014, 2014-03-07
3/1/2014,5/21/2014, 2014-03-08
3/1/2014,5/21/2014,2014-03-09
3/1/2014,5/21/2014, 2014-03-10
3/1/2014,5/21/2014, 2014-03-11
3/1/2014,5/21/2014, 2014-03-12
3/1/2014,5/21/2014,2014-03-13
3/1/2014,5/21/2014, 2014-03-14
3/1/2014,5/21/2014, 2014-03-15
3/1/2014,5/21/2014, 2014-03-16
3/1/2014,5/21/2014,2014-03-17
3/1/2014,5/21/2014, 2014-03-18
3/1/2014,5/21/2014, 2014-03-19
3/1/2014,5/21/2014, 2014-03-20
3/1/2014,5/21/2014,2014-03-21
3/1/2014,5/21/2014, 2014-03-22
3/1/2014,5/21/2014, 2014-03-23
3/1/2014,5/21/2014, 2014-03-24
3/1/2014,5/21/2014,2014-03-25
3/1/2014,5/21/2014, 2014-03-26
3/1/2014,5/21/2014, 2014-03-27
3/1/2014,5/21/2014, 2014-03-28
3/1/2014,5/21/2014,2014-03-29
3/1/2014,5/21/2014, 2014-03-30
3/1/2014,5/21/2014, 2014-03-31
3/1/2014,5/21/2014, 2014-04-01
3/1/2014,5/21/2014,2014-04-02
3/1/2014,5/21/2014, 2014-04-03
3/1/2014,5/21/2014, 2014-04-04
3/1/2014,5/21/2014, 2014-04-05
3/1/2014,5/21/2014,2014-04-06
3/1/2014,5/21/2014, 2014-04-07
3/1/2014,5/21/2014, 2014-04-08
3/1/2014,5/21/2014, 2014-04-09
3/1/2014,5/21/2014,2014-04-10
3/1/2014,5/21/2014, 2014-04-11
3/1/2014,5/21/2014, 2014-04-12
3/1/2014,5/21/2014, 2014-04-13
3/1/2014,5/21/2014,2014-04-14
3/1/2014,5/21/2014, 2014-04-15
3/1/2014,5/21/2014, 2014-04-16
3/1/2014,5/21/2014, 2014-04-17
3/1/2014,5/21/2014,2014-04-18
3/1/2014,5/21/2014, 2014-04-19
3/1/2014,5/21/2014, 2014-04-20
3/1/2014,5/21/2014, 2014-04-21
3/1/2014,5/21/2014,2014-04-22
3/1/2014,5/21/2014, 2014-04-23
3/1/2014,5/21/2014, 2014-04-24
3/1/2014,5/21/2014, 2014-04-25
3/1/2014,5/21/2014,2014-04-26
3/1/2014,5/21/2014, 2014-04-27
3/1/2014,5/21/2014, 2014-04-28
3/1/2014,5/21/2014, 2014-04-29
3/1/2014,5/21/2014,2014-04-30
3/1/2014,5/21/2014, 2014-05-01
3/1/2014,5/21/2014, 2014-05-02
3/1/2014,5/21/2014, 2014-05-03
3/1/2014,5/21/2014,2014-05-04
3/1/2014,5/21/2014, 2014-05-05
3/1/2014,5/21/2014, 2014-05-06
3/1/2014,5/21/2014, 2014-05-07
3/1/2014,5/21/2014,2014-05-08
3/1/2014,5/21/2014, 2014-05-09
3/1/2014,5/21/2014, 2014-05-10
3/1/2014,5/21/2014, 2014-05-11
3/1/2014,5/21/2014,2014-05-12
3/1/2014,5/21/2014, 2014-05-13
3/1/2014,5/21/2014, 2014-05-14
3/1/2014,5/21/2014, 2014-05-15
3/1/2014,5/21/2014,2014-05-16
3/1/2014,5/21/2014, 2014-05-17
3/1/2014,5/21/2014, 2014-05-18
3/1/2014,5/21/2014, 2014-05-19
3/1/2014,5/21/2014,2014-05-20
3/1/2014,5/21/2014, 2014-05-21
2/17/2015,5/21/2015,2015-02-17
2/17/2015,5/21/2015, 2015-02-18
2/17/2015,5/21/2015, 2015-02-19
2/17/2015,5/21/2015, 2015-02-20
2/17/2015,5/21/2015,2015-02-21
2/17/2015,5/21/2015, 2015-02-22
2/17/2015,5/21/2015, 2015-02-23
2/17/2015,5/21/2015, 2015-02-24
2/17/2015,5/21/2015,2015-02-25
2/17/2015,5/21/2015, 2015-02-26
2/17/2015,5/21/2015, 2015-02-27
2/17/2015,5/21/2015, 2015-02-28
2/17/2015,5/21/2015,2015-03-01
2/17/2015,5/21/2015, 2015-03-02
2/17/2015,5/21/2015, 2015-03-03
2/17/2015,5/21/2015, 2015-03-04
2/17/2015,5/21/2015,2015-03-05
2/17/2015,5/21/2015, 2015-03-06
2/17/2015,5/21/2015, 2015-03-07
2/17/2015,5/21/2015, 2015-03-08
2/17/2015,5/21/2015,2015-03-09
2/17/2015,5/21/2015, 2015-03-10
2/17/2015,5/21/2015, 2015-03-11
2/17/2015,5/21/2015, 2015-03-12
2/17/2015,5/21/2015,2015-03-13
2/17/2015,5/21/2015, 2015-03-14
2/17/2015,5/21/2015, 2015-03-15
2/17/2015,5/21/2015, 2015-03-16
2/17/2015,5/21/2015,2015-03-17
2/17/2015,5/21/2015, 2015-03-18
2/17/2015,5/21/2015, 2015-03-19
2/17/2015,5/21/2015, 2015-03-20
2/17/2015,5/21/2015,2015-03-21
2/17/2015,5/21/2015, 2015-03-22
2/17/2015,5/21/2015, 2015-03-23
2/17/2015,5/21/2015, 2015-03-24
2/17/2015,5/21/2015,2015-03-25
2/17/2015,5/21/2015, 2015-03-26
2/17/2015,5/21/2015, 2015-03-27
2/17/2015,5/21/2015, 2015-03-28
2/17/2015,5/21/2015,2015-03-29
2/17/2015,5/21/2015, 2015-03-30
2/17/2015,5/21/2015, 2015-03-31
2/17/2015,5/21/2015, 2015-04-01
2/17/2015,5/21/2015,2015-04-02
2/17/2015,5/21/2015, 2015-04-03
2/17/2015,5/21/2015, 2015-04-04
2/17/2015,5/21/2015, 2015-04-05
2/17/2015,5/21/2015,2015-04-06
2/17/2015,5/21/2015, 2015-04-07
2/17/2015,5/21/2015, 2015-04-08
2/17/2015,5/21/2015, 2015-04-09
2/17/2015,5/21/2015,2015-04-10
2/17/2015,5/21/2015, 2015-04-11
2/17/2015,5/21/2015, 2015-04-12
2/17/2015,5/21/2015, 2015-04-13
2/17/2015,5/21/2015,2015-04-14
2/17/2015,5/21/2015, 2015-04-15
2/17/2015,5/21/2015, 2015-04-16
2/17/2015,5/21/2015, 2015-04-17
2/17/2015,5/21/2015,2015-04-18
2/17/2015,5/21/2015, 2015-04-19
2/17/2015,5/21/2015, 2015-04-20
2/17/2015,5/21/2015, 2015-04-21
2/17/2015,5/21/2015,2015-04-22
2/17/2015,5/21/2015, 2015-04-23
2/17/2015,5/21/2015, 2015-04-24
2/17/2015,5/21/2015, 2015-04-25
2/17/2015,5/21/2015,2015-04-26
2/17/2015,5/21/2015, 2015-04-27
2/17/2015,5/21/2015, 2015-04-28
2/17/2015,5/21/2015, 2015-04-29
2/17/2015,5/21/2015,2015-04-30
2/17/2015,5/21/2015, 2015-05-01
2/17/2015,5/21/2015, 2015-05-02
2/17/2015,5/21/2015, 2015-05-03
2/17/2015,5/21/2015,2015-05-04
2/17/2015,5/21/2015, 2015-05-05
2/17/2015,5/21/2015, 2015-05-06
2/17/2015,5/21/2015, 2015-05-07
2/17/2015,5/21/2015,2015-05-08
2/17/2015,5/21/2015, 2015-05-09
2/17/2015,5/21/2015, 2015-05-10
2/17/2015,5/21/2015, 2015-05-11
2/17/2015,5/21/2015,2015-05-12
2/17/2015,5/21/2015, 2015-05-13
2/17/2015,5/21/2015, 2015-05-14
2/17/2015,5/21/2015, 2015-05-15
2/17/2015,5/21/2015,2015-05-16
2/17/2015,5/21/2015, 2015-05-17
2/17/2015,5/21/2015, 2015-05-18
2/17/2015,5/21/2015, 2015-05-19
2/17/2015,5/21/2015,2015-05-20
2/17/2015,5/21/2015, 2015-05-21
2/15/2016,5/25/2016,2016-02-15
2/15/2016,5/25/2016, 2016-02-16
2/15/2016,5/25/2016, 2016-02-17
2/15/2016,5/25/2016, 2016-02-18
2/15/2016,5/25/2016,2016-02-19
2/15/2016,5/25/2016, 2016-02-20
2/15/2016,5/25/2016, 2016-02-21
2/15/2016,5/25/2016, 2016-02-22
2/15/2016,5/25/2016,2016-02-23
2/15/2016,5/25/2016, 2016-02-24
2/15/2016,5/25/2016,2016-05-16
2/15/2016,5/25/2016, 2016-05-17
2/15/2016,5/25/2016, 2016-05-18
2/15/2016,5/25/2016, 2016-05-19
2/15/2016,5/25/2016,2016-05-20
2/15/2016,5/25/2016, 2016-05-21
2/15/2016,5/25/2016, 2016-05-22
2/15/2016,5/25/2016, 2016-05-23
2/15/2016,5/25/2016,2016-05-24
2/15/2016,5/25/2016, 2016-05-25
2/21/2017,5/16/2017,2017-02-21
2/21/2017,5/16/2017, 2017-02-22
2/21/2017,5/16/2017, 2017-02-23
2/21/2017,5/16/2017, 2017-02-24
2/21/2017,5/16/2017,2017-02-25
2/21/2017,5/16/2017, 2017-02-26
2/21/2017,5/16/2017, 2017-02-27
2/21/2017,5/16/2017, 2017-02-28
2/21/2017,5/16/2017,2017-03-01
2/21/2017,5/16/2017, 2017-03-02
2/21/2017,5/16/2017, 2017-03-03
2/21/2017,5/16/2017, 2017-03-04
2/21/2017,5/16/2017,2017-03-05
2/21/2017,5/16/2017, 2017-03-06
2/21/2017,5/16/2017, 2017-03-07
2/21/2017,5/16/2017, 2017-03-08
2/21/2017,5/16/2017,2017-03-09
2/21/2017,5/16/2017, 2017-03-10
2/21/2017,5/16/2017, 2017-03-11
2/21/2017,5/16/2017, 2017-03-12
2/21/2017,5/16/2017,2017-03-13
2/21/2017,5/16/2017, 2017-03-14
2/21/2017,5/16/2017, 2017-03-15
2/21/2017,5/16/2017, 2017-03-16
2/21/2017,5/16/2017,2017-03-17
2/21/2017,5/16/2017, 2017-03-18
2/21/2017,5/16/2017, 2017-03-19
2/21/2017,5/16/2017, 2017-03-20
2/21/2017,5/16/2017,2017-03-21
2/21/2017,5/16/2017, 2017-03-22
