"Product Code
nieuw",VPE,Opmerking,Omschrijving 2,MOQ,EAN code,Omschrijving 1,Bruto systeemprijs
30800,,,Fibre Strip LC,,4011391308008.0,Jokari Kabelstripper Fibre Strip LC,56.45
30810,,,LC-PUR,,4011391308107.0,Jokari Kabelstripper LC-PUR,56.45
30900,,,Allrounder,,4011391309005.0,Jokari Kabelstripper Allrounder,26.8
30910,,,Locator Box,,4011391309104.0,Jokari Kabelstripper Locator,27.15
Micro Wire Stripper,,,,,,,
40024,,,PWS-Plus 001,,4011391400245.0,Jokari Micro-precisie Draadstripper PWS-Plus 001,35.45000000000001
40025,,,PWS-Plus 002,,4011391400252.0,Jokari Micro-precisie Draadstripper PWS-Plus 002,35.45000000000001
40026,,,PWS-Plus 003 ,,4011391400269.0,Jokari Draadstripper PWS-Plus 003,35.45000000000001
40027,,,ESD-Plus 001,,4011391400276.0,Jokari Micro Draadstripper ESD-Plus 001,45.5
40028,,,ESD-Plus 002,,4011391400283.0,Jokari Micro Draadstripper ESD-Plus 002,45.5
40029,,,ESD-Plus 003,,4011391400290.0,Jokari Micro Draadstripper ESD-Plus 003,45.5
40015,,,SWS-Plus 012,,4011391400153.0,Jokari Micro Draadstripper SWS-Plus 012,27.1
40035,,,SWS-Plus 016,,4011391400351.0,Jokari Micro Draadstripper SWS-Plus 016,27.1
40045,,,SWS-Plus 020,,4011391400450.0,Jokari Micro Draadstripper SWS-Plus 020,27.1
40055,,,SWS-Plus 025,,4011391400559.0,Jokari Micro Draadstripper SWS-Plus 025,27.1
40065,,,SWS-Plus 030,,4011391400658.0,Jokari Micro Draadstripper SWS-Plus 030,27.1
40075,,,SWS-Plus 040,,4011391400757.0,Jokari Micro Draadstripper SWS-Plus 040,27.1
40085,,,SWS-Plus 050,,4011391400856.0,Jokari Micro Draadstripper SWS-Plus 050,27.1
40095,,,SWS-Plus 060,,4011391400955.0,Jokari Micro Draadstripper SWS-Plus 060,27.1
40105,,,SWS-Plus 080,,4011391401051.0,Jokari Micro Draadstripper SWS-Plus 080,27.1
40115,,,SWS-Plus 100,,4011391401150.0,Jokari Micro Draadstripper SWS-Plus 100,27.1
Various models,,,,,,,
50000,,,BK Stripper,,4011391500006.0,Jokari BK Stripper,149.5
59099,,,Spare-Set BK,,,Jokari Onderdeel-Set BK,40.90000000000001
60000,,,QUADRO Set,,4011391600003.0,Jokari Stripper Quadro Set,293.5
61000,,,QUADRO bulk,,4011391610002.0,Jokari Stripper Quadro Bulk,260.55
60100,,,QUADRO Cartridge,,4011391601000.0,Jokari Stripper Quadro Cartridge,17.0
Accessoires,,,,,,,
29100,,,EM-Set Secura 2K,,,Jokari Secura 2K Set reservemesjes,17.650000000000006
29050,,,EM-Set Super 4plus,,,Jokari Super 4plus Set reservemesjes,10.75
29450,,,EM-Set High-Strip,,,Jokari Set reservemesjes,27.4
29060,,,EM-Set Special,,,Jokari Special Set reservemesjes,25.0
29070,,,EM-Set AS-Interface,,,Jokari AS-Interface Set reservemesjes,35.75
29090,,,EM-Set 6-16,,4011391290907.0,Jokari 6-16 Set reservemesjes,37.45
29030,,,EM-Set FKZ,,,Jokari FKZ Set reservemesjes,30.4
29300,,,EM-Set Sensor Special ,,,Jokari Sensor Special Set reservemesjes,60.35
29310,,,EM-Set Sensor Mini ,,,Jokari Sensor Mini Set reservemesjes,60.35
60150,1000.0,,End sleeves 0.50,,,"Jokari Adereindhuls  wit- 0,50mm (500st)",17.8
60175,1000.0,,End sleeves 0.75,,4011391601758.0,"Jokari Adereindhuls grijs - 0,75mm (500st)",17.8
60110,1000.0,,End sleeves 1.00,,,Jokari Adereindhuls  rood - 1.00mm (500st),17.8
60115,1000.0,,End sleeves 1.50,,4011391601154.0,"Jokari Adereindhuls zwart - 1,5mm (500st)",17.8
60125,1000.0,,End sleeves 2.50,,4011391601253.0,"Jokari Adereindhuls blauw - 2,5mm 100 st",20.35
