No. overall,No. in season,Title,Animation directors,Written by,Storyboard supervisors,Original air date,U.S. viewers (millions)
187a,9a,"""Don't Look Now""",Tom Yasumi,"Marc Ceccarelli, Luke Brookshier, and Mr. Lawrence",Clint Bond,14-Oct-13,3.42
187b,9b,"""Séance Shméance""",Alan Smart and Tom Yasumi,"Casey Alexander, Zeus Cervas, and Mr. Lawrence",Clint Bond,14-Oct-13,3.42
188a,10a,"""Kenny the Cat""",Tom Yasumi,"Casey Alexander, Zeus Cervas, Blake Lemons, and Mr. Lawrence",Clint Bond,29-Mar-14,4.33
188b,10b,"""Yeti Krabs""",Alan Smart,"Casey Alexander, Zeus Cervas, and Mr. Lawrence",Clint Bond,29-Mar-15,2.25
189,11,"""SpongeBob You're Fired""",Alan Smart and Tom Yasumi,"Marc Ceccarelli, Luke Brookshier, and Mr. Lawrence",Clint Bond,11-Nov-13,5.19
190a,12a,"""Lost in Bikini Bottom""",Alan Smart and Tom Yasumi,Jack Pendarvis,Sherm Cohen,16-Jul-15,3.2
190b,12b,"""Tutor Sauce""",Alan Smart and Tom Yasumi,Jack Pendarvis,Sherm Cohen,16-Jul-15,3.2
191a,13a,"""Squid Plus One""",Alan Smart and Tom Yasumi,Kyle McCulloch and Jack Pendarvis,Sherm Cohen and Dave Cunningham,7-Sep-15,1.98
191b,13b,"""The Executive Treatment""",Alan Smart and Tom Yasumi,Jack Pendarvis,Sherm Cohen and Dave Cunningham,7-Sep-15,1.98
192a,14a,"""Company Picnic""",Alan Smart and Tom Yasumi,Kyle McCulloch and Jack Pendarvis,Sherm Cohen,25-Sep-15,1.61
192b,14b,"""Pull Up a Barrel"" ""The Navy Days""",Alan Smart and Tom Yasumi,Jack Pendarvis,Sherm Cohen,18-Sep-15,2.09
193a,15a,"""Sanctuary!"" ""One Snail Sponge""",Alan Smart and Tom Yasumi,Kyle McCulloch,Sherm Cohen and Dave Cunningham,16-Oct-15,1.28
193b,15b,"""What's Eating Patrick?""",Alan Smart and Tom Yasumi,Kyle McCulloch and Jack Pendarvis,Sherm Cohen,2-Oct-15,1.77
194a,16a,"""Patrick! The Game""",Alan Smart and Tom Yasumi,Kyle McCulloch,Sherm Cohen and Dave Cunningham,11-Nov-15,2.05
194b,16b,"""The Sewers of Bikini Bottom""",Alan Smart and Tom Yasumi,Kaz,Dave Cunningham,11-Nov-15,2.05
195a,17a,"""SpongeBob LongPants""",Alan Smart and Tom Yasumi,Kaz,Dave Cunningham,15-Feb-16,2.93
195b,17b,"""Larry's Gym""",Alan Smart and Tom Yasumi,Jack Pendarvis,Sherm Cohen and Dave Cunningham,15-Feb-16,2.93
196a,18a,"""The Fish Bowl""",Alan Smart and Tom Yasumi,Kyle McCulloch and Jack Pendarvis,Dave Cunningham,2-May-16,1.96
196b,18b,"""Married to Money""",Alan Smart and Tom Yasumi,Josh Androsky and Daniel Dominguez,Sherm Cohen,3-May-16,1.76
197a,19a,"""Mall Girl Pearl""",Alan Smart and Tom Yasumi,Clare O'Kane,Sherm Cohen,12-Mar-16,3.11
197b,19b,"""Two Thumbs Down""",Alan Smart and Tom Yasumi,Kyle McCulloch,Dave Cunningham,12-Mar-16,3.11
198a,20a,"""Sharks vs. Pods""",Tom Yasumi,Solomon Georgio,Sherm Cohen,4-May-16,1.81
198b,20b,"""CopyBob DittoPants""",Alan Smart,Kaz,Dave Cunningham,5-May-16,1.71
199a,21a,"""Sold!""",Alan Smart and Tom Yasumi,Kyle McCulloch and Kaz,Dave Cunningham,6-May-16,1.8
199b,21b,"""Lame and Fortune""",Alan Smart and Tom Yasumi,Mr. Lawrence,Sherm Cohen,11-Jul-16,1.96
200,22,"""Goodbye, Krabby Patty?"" ""Factory Fresh""",Alan Smart and Tom Yasumi,Kyle McCulloch,Sherm Cohen and Dave Cunningham,20-Feb-17,2.67
201a,23a,"""Sandy's Nutmare""",Alan Smart and Tom Yasumi,Andrew Goodman,Sherm Cohen,12-Jul-16,2
201b,23b,"""Bulletin Board""",Alan Smart and Tom Yasumi,Jack Pendarvis,Dave Cunningham,1-Oct-16,2.11
202a,24a,"""Food Con Castaways""",Alan Smart,Josh Androsky and Daniel Dominguez,Sherm Cohen,13-Jul-16,2.02
202b,24b,"""Snail Mail""",Tom Yasumi,Clare O'Kane,Dave Cunningham,22-Oct-16,1.67
203a,25a,"""Pineapple Invasion""",Alan Smart,Kaz,Sherm Cohen,14-Jul-16,2.24
203b,25b,"""Salsa Imbecilicus""",Tom Yasumi,Kaz,Dave Cunningham,15-Jul-16,1.83
204a,26a,"""Mutiny on the Krusty""",Tom Yasumi,Kaz,Sherm Cohen,8-Oct-16,1.93
204b,26b,"""The Whole Tooth"" ""The Tooth, the Whole Tooth, and Nothing But the Tooth""",Alan Smart,Kyle McCulloch,Dave Cunningham,3-Dec-16,2.12
