Year,Album details,Certifications,var,value
1980,Voices,RIAA: Platinum[8],AUS,19
1981,Private Eyes,RIAA: Platinum[8],AUS,27
1982,H2O,RIAA: 2× Platinum[8],AUS,3
1984,Big Bam Boom,RIAA: 2× Platinum[8],AUS,20
1988,Ooh Yeah!,RIAA: Platinum[8],AUS,46
1990,Change of Season,RIAA: Gold[8],AUS,137
1997,Marigold Sky,,AUS,—
2003,Do It for Love,,AUS,—
2004,Our Kind of Soul,,AUS,—
2006,Home for Christmas,,AUS,—
1972,Whole Oats,,CAN,—
1973,Abandoned Luncheonette,RIAA: Platinum[8],CAN,—
1974,War Babies,,CAN,91
1975,Daryl Hall & John Oates,RIAA: Gold[8],CAN,35
1976,Bigger Than Both of Us,RIAA: Gold[8],CAN,11
1977,Beauty on a Back Street,RIAA: Gold[8],CAN,54
1978,Along the Red Ledge,RIAA: Gold[8],CAN,52
1979,X-Static,,CAN,79
1980,Voices,RIAA: Platinum[8],CAN,—
1981,Private Eyes,RIAA: Platinum[8],CAN,14
1982,H2O,RIAA: 2× Platinum[8],CAN,1
1984,Big Bam Boom,RIAA: 2× Platinum[8],CAN,12
1988,Ooh Yeah!,RIAA: Platinum[8],CAN,15
1990,Change of Season,RIAA: Gold[8],CAN,39
1997,Marigold Sky,,CAN,—
2003,Do It for Love,,CAN,—
2004,Our Kind of Soul,,CAN,—
2006,Home for Christmas,,CAN,—
1972,Whole Oats,,NL,—
1973,Abandoned Luncheonette,RIAA: Platinum[8],NL,—
1974,War Babies,,NL,—
1975,Daryl Hall & John Oates,RIAA: Gold[8],NL,13
1976,Bigger Than Both of Us,RIAA: Gold[8],NL,—
1977,Beauty on a Back Street,RIAA: Gold[8],NL,—
1978,Along the Red Ledge,RIAA: Gold[8],NL,—
1979,X-Static,,NL,—
1980,Voices,RIAA: Platinum[8],NL,—
1981,Private Eyes,RIAA: Platinum[8],NL,13
1982,H2O,RIAA: 2× Platinum[8],NL,30
1984,Big Bam Boom,RIAA: 2× Platinum[8],NL,43
1988,Ooh Yeah!,RIAA: Platinum[8],NL,47
1990,Change of Season,RIAA: Gold[8],NL,—
1997,Marigold Sky,,NL,—
2003,Do It for Love,,NL,—
2004,Our Kind of Soul,,NL,—
2006,Home for Christmas,,NL,—
1972,Whole Oats,,NZ,—
1973,Abandoned Luncheonette,RIAA: Platinum[8],NZ,—
1974,War Babies,,NZ,—
1975,Daryl Hall & John Oates,RIAA: Gold[8],NZ,—
1976,Bigger Than Both of Us,RIAA: Gold[8],NZ,—
1977,Beauty on a Back Street,RIAA: Gold[8],NZ,—
1978,Along the Red Ledge,RIAA: Gold[8],NZ,—
1979,X-Static,,NZ,—
1980,Voices,RIAA: Platinum[8],NZ,—
1981,Private Eyes,RIAA: Platinum[8],NZ,9
1982,H2O,RIAA: 2× Platinum[8],NZ,3
1984,Big Bam Boom,RIAA: 2× Platinum[8],NZ,12
1988,Ooh Yeah!,RIAA: Platinum[8],NZ,35
1990,Change of Season,RIAA: Gold[8],NZ,—
1997,Marigold Sky,,NZ,—
2003,Do It for Love,,NZ,—
2004,Our Kind of Soul,,NZ,—
2006,Home for Christmas,,NZ,—
1972,Whole Oats,,SWE,—
1973,Abandoned Luncheonette,RIAA: Platinum[8],SWE,—
1974,War Babies,,SWE,—
1975,Daryl Hall & John Oates,RIAA: Gold[8],SWE,—
1976,Bigger Than Both of Us,RIAA: Gold[8],SWE,45
1977,Beauty on a Back Street,RIAA: Gold[8],SWE,—
1978,Along the Red Ledge,RIAA: Gold[8],SWE,—
1979,X-Static,,SWE,—
1980,Voices,RIAA: Platinum[8],SWE,—
1981,Private Eyes,RIAA: Platinum[8],SWE,17
1982,H2O,RIAA: 2× Platinum[8],SWE,8
1984,Big Bam Boom,RIAA: 2× Platinum[8],SWE,16
1988,Ooh Yeah!,RIAA: Platinum[8],SWE,27
1990,Change of Season,RIAA: Gold[8],SWE,38
1997,Marigold Sky,,SWE,—
2003,Do It for Love,,SWE,54
2004,Our Kind of Soul,,SWE,—
2006,Home for Christmas,,SWE,—
1972,Whole Oats,,UK,—
1973,Abandoned Luncheonette,RIAA: Platinum[8],UK,—
1974,War Babies,,UK,—
1975,Daryl Hall & John Oates,RIAA: Gold[8],UK,56
1976,Bigger Than Both of Us,RIAA: Gold[8],UK,25
1977,Beauty on a Back Street,RIAA: Gold[8],UK,40
1978,Along the Red Ledge,RIAA: Gold[8],UK,—
1979,X-Static,,UK,—
1980,Voices,RIAA: Platinum[8],UK,—
1981,Private Eyes,RIAA: Platinum[8],UK,8
1982,H2O,RIAA: 2× Platinum[8],UK,24
1984,Big Bam Boom,RIAA: 2× Platinum[8],UK,28
1988,Ooh Yeah!,RIAA: Platinum[8],UK,52
1990,Change of Season,RIAA: Gold[8],UK,44
1997,Marigold Sky,,UK,179
2003,Do It for Love,,UK,37
2004,Our Kind of Soul,,UK,86
2006,Home for Christmas,,UK,—
