city,cuisine_style,ranking,rating,reviews_number
Budapest,unknown,1982.0,3.5,8.0
Barcelona,"Japanese, Asian, Fusion, Vegetarian Friendly, Gluten Free Options",534.0,4.0,1060.0
Barcelona,"Seafood, Mediterranean, Spanish",2069.0,4.0,112.0
Paris,unknown,8650.0,4.5,3.0
Paris,"Chinese, Asian",2274.0,4.0,157.0
Oslo,"Italian, Pizza",644.0,4.0,19.0
Zurich,"Swiss, European",855.0,4.5,12.0
Dublin,"French, Irish, European",794.0,5.0,8.0
Milan,unknown,6032.0,2.5,2.0
London,"Bar, International",7131.0,4.0,79.0
Dublin,unknown,1250.0,5.0,3.0
Lisbon,"European, Portuguese, Mediterranean, Contemporary, Wine Bar, Vegetarian Friendly",888.0,4.5,66.0
Amsterdam,"Italian, European, Vegetarian Friendly, Gluten Free Options",775.0,4.0,138.0
Madrid,"Spanish, Cafe",6028.0,3.5,20.0
Budapest,"Seafood, Mediterranean, European, Greek, Soups, Vegetarian Friendly, Vegan Options, Gluten Free Options",36.0,4.5,2340.0
London,"Mexican, Fast Food, South American, Central American, Vegetarian Friendly",13825.0,3.5,28.0
Helsinki,"Japanese, Sushi, Asian",1013.0,3.0,19.0
Rome,"Italian, Pizza, Mediterranean, Barbecue, Grill, Vegetarian Friendly",362.0,4.5,288.0
Berlin,Sushi,3672.0,4.5,10.0
Berlin,"Mediterranean, Grill, Italian, German, European, Vegetarian Friendly",2173.0,3.5,130.0
Milan,"Chinese, Japanese, Seafood, Sushi, Vegetarian Friendly",1463.0,3.5,283.0
Amsterdam,unknown,1485.0,5.0,12.0
Zurich,Italian,1370.0,3.5,25.0
Oslo,"Indian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",9.0,4.5,956.0
Brussels,unknown,1019.0,4.5,45.0
Lyon,unknown,500.0,4.5,45.0
Vienna,"Middle Eastern, Turkish",1467.0,4.0,21.0
London,"Fast Food, Healthy",7823.0,4.0,21.0
Vienna,"South American, Latin, Central American, Venezuelan",690.0,4.5,29.0
Edinburgh,"Pub, Bar",1728.0,2.0,26.0
Paris,"French, Seafood, European",3704.0,3.5,1135.0
Prague,unknown,3419.0,3.5,27.0
Munich,"Healthy, Central European, Vegetarian Friendly",542.0,4.5,59.0
Munich,"Italian, Pizza",1447.0,4.0,21.0
Amsterdam,Chinese,1842.0,4.5,17.0
Vienna,Italian,2906.0,3.5,3.0
Madrid,"Mediterranean, Spanish, Vegetarian Friendly",2042.0,3.5,339.0
Budapest,"French, European, Hungarian",1410.0,5.0,
Lyon,"French, European",198.0,4.0,370.0
Lisbon,"European, Portuguese",3345.0,3.5,3.0
Lyon,"European, French, Seafood",1941.0,3.0,354.0
Milan,unknown,2928.0,4.0,28.0
Madrid,unknown,8247.0,2.5,25.0
Prague,"Italian, Mediterranean",2050.0,5.0,
Berlin,German,4593.0,4.0,29.0
Milan,Chinese,4281.0,3.5,83.0
Rome,Italian,5298.0,4.0,9.0
Geneva,"French, Swiss, European, Vegetarian Friendly, Gluten Free Options",6.0,4.5,1222.0
Madrid,"Italian, Pizza",6014.0,3.5,48.0
Madrid,"Pizza, Vegetarian Friendly, Vegan Options",679.0,4.5,95.0
Bratislava,unknown,888.0,1.0,3.0
Paris,"Indian, Middle Eastern, Pakistani",4634.0,4.0,62.0
Barcelona,Italian,3437.0,4.0,26.0
Lyon,unknown,1490.0,5.0,2.0
London,unknown,11612.0,4.0,16.0
Milan,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly",2771.0,3.5,346.0
Milan,unknown,4119.0,3.5,30.0
Zurich,"Italian, Mediterranean, European, Vegetarian Friendly",200.0,4.0,211.0
Rome,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Gluten Free Options",3016.0,3.0,1012.0
Madrid,"Peruvian, Asian, South American",1657.0,5.0,11.0
London,"Italian, Mediterranean, Vegetarian Friendly, Gluten Free Options",2863.0,4.0,459.0
Rome,"Italian, Pizza, Mediterranean, European, Delicatessen, Vegetarian Friendly",2424.0,3.5,481.0
Paris,unknown,10345.0,3.5,6.0
Madrid,"Mediterranean, European, Spanish",8456.0,2.5,566.0
Paris,unknown,9011.0,4.5,2.0
Edinburgh,Cafe,1252.0,4.5,15.0
Paris,Cafe,7473.0,4.0,28.0
London,"Cafe, British",6592.0,4.5,29.0
Bratislava,Greek,874.0,3.0,3.0
Warsaw,"Bar, Polish, European, Eastern European, Steakhouse, Pub, Vegetarian Friendly",271.0,4.0,85.0
Stockholm,"Swedish, Scandinavian, Vegetarian Friendly, Gluten Free Options",238.0,4.5,154.0
Madrid,Spanish,4656.0,4.0,18.0
Rome,"Italian, Pizza, Vegetarian Friendly",821.0,5.0,134.0
Hamburg,"Asian, Tibetan, Nepali",1725.0,4.0,3.0
Budapest,"European, Wine Bar, Eastern European, Central European, Hungarian, Contemporary, Vegetarian Friendly, Gluten Free Options",87.0,4.5,1256.0
Barcelona,"Italian, Mediterranean",2045.0,4.5,89.0
Rome,Italian,4158.0,4.0,182.0
London,unknown,14623.0,3.0,39.0
Barcelona,"Italian, Seafood",5081.0,3.5,32.0
Paris,unknown,4506.0,4.0,57.0
Madrid,"Bar, Mediterranean, Spanish",8128.0,2.5,1768.0
London,"Japanese, Sushi, Asian, Vegetarian Friendly",4436.0,4.5,19.0
Madrid,Spanish,4112.0,5.0,2.0
Lisbon,"European, Vegetarian Friendly",747.0,4.5,42.0
Helsinki,"Cafe, Bar, European, Pub, Vegetarian Friendly, Gluten Free Options",230.0,4.0,47.0
Madrid,"Fast Food, Barbecue, Vietnamese, Healthy, Vegetarian Friendly",811.0,4.5,79.0
London,"British, Bar, European",15007.0,3.0,85.0
Barcelona,unknown,5207.0,4.5,7.0
London,"Chinese, Asian, Vegetarian Friendly",4527.0,3.5,1352.0
Bratislava,unknown,253.0,4.0,10.0
Paris,"Asian, Korean",8995.0,4.5,9.0
Stockholm,unknown,1281.0,4.5,2.0
Oporto,"Steakhouse, Southwestern, Barbecue, Grill, Wine Bar",771.0,5.0,3.0
Amsterdam,"Cafe, Contemporary",2464.0,4.5,12.0
Berlin,"French, German, Vegetarian Friendly",720.0,4.0,175.0
Vienna,unknown,1947.0,4.0,5.0
Berlin,"French, Cafe, International",3503.0,5.0,2.0
Milan,"Indian, Vegetarian Friendly, Vegan Options",1143.0,4.5,28.0
Copenhagen,"European, Healthy, Vegetarian Friendly, Vegan Options, Gluten Free Options",319.0,4.5,88.0
Brussels,unknown,1381.0,5.0,3.0
Prague,"European, Czech, Central European",698.0,4.5,68.0
Barcelona,"American, Contemporary, Vegetarian Friendly",212.0,4.5,773.0
Paris,unknown,8306.0,5.0,
Brussels,"Italian, European",1540.0,4.5,4.0
Paris,unknown,11301.0,4.0,7.0
Ljubljana,"Seafood, Mediterranean, European, Slovenian, Vegetarian Friendly",250.0,3.5,101.0
Paris,"French, European",1977.0,4.0,345.0
Rome,"Italian, Mediterranean, Gluten Free Options",3234.0,3.5,209.0
London,"American, Bar, Pub, Vegetarian Friendly, Vegan Options",3810.0,4.5,25.0
Budapest,Italian,2045.0,3.5,5.0
Barcelona,Mediterranean,4074.0,3.5,26.0
Hamburg,"Cafe, Contemporary",1859.0,3.5,4.0
London,"Pizza, Italian, Vegetarian Friendly, Vegan Options",13860.0,3.5,32.0
Amsterdam,Turkish,1778.0,4.5,11.0
Oslo,"Indian, Middle Eastern, Pakistani",483.0,4.0,36.0
Berlin,unknown,5025.0,4.0,
Lisbon,unknown,3556.0,2.5,19.0
London,Seafood,13573.0,3.5,6.0
Berlin,Italian,3568.0,5.0,
London,unknown,10675.0,4.0,7.0
Madrid,unknown,2662.0,4.0,39.0
Lisbon,unknown,2684.0,4.0,5.0
Lisbon,unknown,2850.0,4.0,
Rome,"Italian, European, Mediterranean",3054.0,4.0,177.0
Lisbon,"European, Portuguese",2140.0,5.0,2.0
Milan,"Italian, Pizza, Seafood, Mediterranean, Barbecue, Vegetarian Friendly, Vegan Options",530.0,4.5,233.0
Rome,"Balti, Indian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",413.0,4.0,486.0
Milan,unknown,1153.0,4.5,143.0
Ljubljana,"European, Central European, Vegetarian Friendly, Vegan Options, Gluten Free Options",9.0,4.5,816.0
Paris,"Japanese, Sushi, Asian",7673.0,4.0,65.0
Athens,"Pizza, Fast Food, Greek, Street Food",1526.0,3.5,3.0
London,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",986.0,4.0,928.0
Hamburg,"Peruvian, South American, Vegetarian Friendly",637.0,4.0,23.0
Rome,Italian,2492.0,4.0,69.0
London,unknown,16046.0,2.0,
London,"Indian, Asian, Vegetarian Friendly, Gluten Free Options, Vegan Options",1477.0,4.5,313.0
Brussels,"Belgian, European, International, Vegetarian Friendly",73.0,4.0,779.0
Madrid,Spanish,8003.0,2.5,2.0
Milan,"Italian, Seafood, Mediterranean, European, Healthy",3033.0,4.5,4.0
Berlin,"Asian, Vietnamese, Vegetarian Friendly, Vegan Options",1812.0,4.0,68.0
Bratislava,"American, Bar, European, Pub, International",452.0,3.0,178.0
Oporto,"Seafood, Mediterranean, European, Portuguese, Soups",305.0,4.5,70.0
Barcelona,"Mediterranean, Spanish, Vegetarian Friendly, Vegan Options",1922.0,4.0,94.0
Oslo,unknown,942.0,3.0,25.0
Rome,Pizza,3023.0,4.5,42.0
Budapest,"Fast Food, European, Healthy, Hungarian, Vegetarian Friendly",717.0,5.0,9.0
London,"Fast Food, Mexican",8597.0,4.0,49.0
London,"Italian, Pizza, Vegetarian Friendly, Gluten Free Options",14144.0,3.5,52.0
Paris,"Asian, Thai, Vegetarian Friendly",2576.0,4.0,205.0
London,"Indian, Asian, Balti, Eastern European, Vegetarian Friendly",10886.0,4.0,20.0
Hamburg,Greek,1248.0,4.0,15.0
Vienna,unknown,2275.0,4.5,2.0
Paris,"French, Healthy, Delicatessen, Street Food",13894.0,5.0,
Luxembourg,Sushi,314.0,4.5,14.0
Paris,French,6383.0,4.0,35.0
Amsterdam,unknown,2079.0,4.5,5.0
Lisbon,unknown,2620.0,4.0,2.0
Oporto,unknown,1001.0,4.5,5.0
Barcelona,"Mediterranean, European, Contemporary, Fusion, Diner",2356.0,4.5,15.0
London,Bar,4786.0,4.5,85.0
Hamburg,unknown,1012.0,4.5,9.0
Paris,Italian,12304.0,3.5,15.0
Oporto,"American, Fast Food, Diner, Vegetarian Friendly",343.0,4.5,72.0
Vienna,unknown,2948.0,4.0,6.0
Barcelona,"Bar, Pub",4197.0,5.0,
Madrid,International,4923.0,4.5,3.0
Madrid,"Indian, Vegetarian Friendly",3558.0,4.0,24.0
Rome,"Italian, Seafood, Mediterranean, Soups, Vegetarian Friendly, Gluten Free Options",1240.0,4.0,302.0
Paris,"Argentinean, South American",5043.0,4.5,39.0
Lisbon,"Mediterranean, European, Portuguese",3657.0,2.0,292.0
Milan,unknown,4601.0,4.0,
London,"Chinese, Japanese, Asian, Thai, Vegetarian Friendly, Vegan Options, Gluten Free Options",4714.0,3.5,376.0
Budapest,"European, Central European, Hungarian, Vegetarian Friendly, Vegan Options, Gluten Free Options",21.0,4.5,956.0
London,"Italian, Pizza, Mediterranean, Vegetarian Friendly, Vegan Options",4678.0,5.0,19.0
Copenhagen,"Italian, Mediterranean, European, Vegetarian Friendly",385.0,4.5,40.0
Barcelona,Spanish,3583.0,5.0,9.0
Barcelona,unknown,5184.0,4.5,6.0
Athens,Greek,962.0,4.5,4.0
Paris,"Japanese, Asian",1133.0,4.5,255.0
Madrid,"Sushi, Asian",5360.0,3.5,60.0
Berlin,"German, Cafe, European, Fusion, Mediterranean, Vegetarian Friendly, Vegan Options",2963.0,3.5,59.0
London,Asian,13084.0,4.0,3.0
Lisbon,"European, Portuguese",2413.0,4.0,2.0
Lisbon,"Indian, Nepali, Vegetarian Friendly, Vegan Options",779.0,4.5,45.0
Paris,unknown,11434.0,4.0,15.0
Rome,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",1465.0,4.0,678.0
Milan,"Italian, Seafood, Mediterranean",989.0,4.0,88.0
Paris,"Bar, French, Pub",12705.0,3.0,121.0
London,"American, Bar, Central American, Vegetarian Friendly, Gluten Free Options",1341.0,4.0,1495.0
London,Steakhouse,13705.0,3.5,5.0
Lyon,unknown,2156.0,3.5,20.0
Brussels,"Spanish, Wine Bar",2362.0,4.0,23.0
Stockholm,"Italian, Mediterranean, European, Vegetarian Friendly",129.0,4.5,183.0
Rome,"Italian, Street Food, Brew Pub",51.0,4.5,1068.0
Paris,French,12383.0,3.5,3.0
Madrid,"Mediterranean, European, Spanish",6723.0,3.5,2.0
Rome,"Pizza, Vegetarian Friendly, Vegan Options",1116.0,4.5,87.0
Madrid,unknown,7079.0,3.0,22.0
London,Caribbean,12055.0,4.0,2.0
London,"Portuguese, Mediterranean, European",7235.0,4.5,16.0
Milan,unknown,3039.0,4.0,46.0
Munich,"Asian, Vegetarian Friendly",1256.0,3.5,45.0
Oslo,"Asian, Thai, Vegetarian Friendly",814.0,3.5,16.0
London,"European, British, Vegetarian Friendly, Gluten Free Options",1202.0,4.0,278.0
Madrid,unknown,6117.0,4.0,5.0
London,"Asian, Thai",13364.0,4.0,34.0
Vienna,"Austrian, European, Central European, Vegetarian Friendly",774.0,4.0,67.0
Lyon,"Moroccan, Mediterranean",962.0,4.0,64.0
Vienna,"Italian, Pizza, European, Vegetarian Friendly",1342.0,3.5,110.0
Barcelona,"Seafood, Mediterranean, Spanish, European, Vegetarian Friendly",6537.0,3.5,122.0
Milan,unknown,4621.0,4.0,
Krakow,"European, Mediterranean, Vegetarian Friendly",331.0,4.0,59.0
Milan,unknown,5058.0,3.5,4.0
Barcelona,unknown,3463.0,4.5,11.0
Dublin,"Chinese, Asian",1543.0,3.5,44.0
London,"Bar, British, Pub, Vegetarian Friendly",7047.0,4.0,97.0
Paris,unknown,12091.0,3.5,15.0
London,"Indian, Asian, Pakistani, Vegetarian Friendly, Halal",3334.0,4.0,143.0
London,unknown,8569.0,4.5,8.0
London,"Bar, British, Pub, Vegetarian Friendly, Gluten Free Options",4374.0,4.5,87.0
Lisbon,"Japanese, Sushi",1542.0,4.5,17.0
London,"Japanese, Sushi, Asian, Vegetarian Friendly, Gluten Free Options",3197.0,4.5,123.0
Barcelona,Italian,1781.0,4.5,31.0
Milan,unknown,2736.0,4.5,13.0
Paris,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options, Gluten Free Options",32.0,4.5,548.0
Paris,"Asian, Korean, Japanese",5927.0,4.0,52.0
Paris,"French, European, International, Vegetarian Friendly",13177.0,3.0,121.0
Madrid,"Mediterranean, Spanish",6681.0,3.5,13.0
Budapest,"American, Bar, Hungarian, European, Pub, Vegetarian Friendly",640.0,4.0,93.0
Hamburg,"Seafood, Mediterranean, Barbecue, European, Portuguese",174.0,4.0,142.0
Berlin,Italian,3916.0,4.0,19.0
Madrid,"Japanese, Asian",5741.0,3.5,51.0
Lyon,unknown,2289.0,3.5,3.0
Budapest,"Fast Food, European, Hungarian",1041.0,4.5,14.0
Rome,"Italian, Pizza, Seafood, Mediterranean, Vegetarian Friendly, Gluten Free Options",1612.0,4.0,621.0
Brussels,"European, Italian, Pizza",915.0,4.0,40.0
Barcelona,"Mediterranean, European, Spanish, Vegetarian Friendly, Gluten Free Options, Vegan Options",1273.0,4.0,554.0
Paris,French,9574.0,4.0,6.0
Stockholm,"American, Steakhouse, Bar, Barbecue",539.0,4.0,82.0
Hamburg,unknown,2259.0,3.5,9.0
Vienna,Russian,1202.0,4.0,20.0
Milan,Italian,3893.0,3.5,6.0
London,"Italian, Pizza",13209.0,3.0,11.0
Rome,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",333.0,4.5,153.0
Barcelona,"American, Latin, Venezuelan",3897.0,4.0,13.0
Paris,"French, European, Vegetarian Friendly",531.0,4.5,256.0
Oporto,"Cafe, Portuguese, European",439.0,4.5,51.0
London,"Mediterranean, European, Turkish, Middle Eastern, Vegetarian Friendly, Vegan Options, Gluten Free Options",1035.0,4.5,193.0
Helsinki,Spanish,957.0,3.5,8.0
Lyon,French,1269.0,4.0,37.0
London,Turkish,14414.0,4.0,4.0
Berlin,Vegetarian Friendly,1700.0,4.0,19.0
Ljubljana,Cafe,284.0,4.0,11.0
Munich,"Italian, Mediterranean, European",464.0,4.5,47.0
Madrid,"Chinese, Asian",1259.0,4.0,121.0
Milan,Pizza,3245.0,4.0,16.0
Lisbon,"Seafood, Mediterranean, European, Portuguese",1169.0,4.0,67.0
London,unknown,5925.0,4.0,56.0
Paris,"American, Vegetarian Friendly",3303.0,4.0,245.0
Warsaw,"Sushi, Asian, Thai, Vegetarian Friendly",378.0,4.0,98.0
Budapest,unknown,1713.0,4.0,6.0
Amsterdam,unknown,2190.0,5.0,
Rome,"Mexican, Latin, Vegetarian Friendly, Vegan Options",1687.0,4.5,38.0
Rome,"Italian, Pizza, Vegetarian Friendly, Vegan Options",1755.0,4.0,382.0
Oporto,"African, European, Contemporary, Portuguese",703.0,4.5,17.0
Paris,French,1534.0,4.5,105.0
Prague,"Bar, International, Pub",685.0,4.0,75.0
Paris,"Mediterranean, Greek, Vegetarian Friendly, Vegan Options",2112.0,4.0,121.0
Lyon,Steakhouse,2172.0,3.0,52.0
Vienna,"Japanese, International, Asian, Fusion, Vegetarian Friendly, Vegan Options",207.0,4.5,55.0
Paris,"Japanese, Sushi, Asian",7702.0,3.5,51.0
Bratislava,unknown,541.0,3.5,3.0
Madrid,"Mediterranean, Spanish, Vegetarian Friendly, Vegan Options, Gluten Free Options",1230.0,4.0,78.0
London,"Belgian, Bar, European, Pub",3251.0,4.0,123.0
Rome,"Italian, Pizza, Mediterranean",3999.0,4.0,137.0
Vienna,"Vietnamese, Street Food",1209.0,4.5,8.0
Berlin,"Italian, Pizza, European, Contemporary",1927.0,4.0,42.0
Paris,"Seafood, Healthy",12016.0,3.5,16.0
Athens,"Pizza, Italian",1610.0,4.0,9.0
Vienna,"Austrian, Vegetarian Friendly, Gluten Free Options",46.0,4.5,2490.0
Madrid,"Mediterranean, Spanish, Vegetarian Friendly",2043.0,3.5,172.0
Barcelona,"Spanish, Seafood, Mediterranean, European",6691.0,3.0,37.0
Warsaw,Italian,481.0,4.5,31.0
Zurich,unknown,1318.0,4.0,6.0
Berlin,"Asian, Thai, Vietnamese, Vegetarian Friendly, Vegan Options, Gluten Free Options",1012.0,3.5,440.0
Hamburg,"Bar, Pub",1336.0,5.0,
Barcelona,Spanish,7659.0,2.0,32.0
Edinburgh,"Indian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",74.0,4.5,1806.0
Barcelona,"Mediterranean, European, Spanish, Gluten Free Options",3626.0,3.5,258.0
Lisbon,"Italian, Vegetarian Friendly",1631.0,4.5,9.0
Amsterdam,"Chinese, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",300.0,4.0,1103.0
Dublin,"Japanese, Sushi, Asian, Vegetarian Friendly",1072.0,4.5,17.0
Madrid,"Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",401.0,4.0,774.0
Madrid,unknown,2467.0,4.5,39.0
Milan,"Italian, Seafood, Mediterranean, European, Contemporary, Vegetarian Friendly",460.0,4.0,484.0
London,American,14084.0,3.5,15.0
Milan,"Pizza, Seafood",3223.0,3.5,87.0
London,"American, Bar, British, Mexican",4701.0,4.0,185.0
Helsinki,American,982.0,3.5,12.0
Rome,"Italian, Bar, Cafe, Mediterranean, European, Pub, Wine Bar, Vegetarian Friendly",4453.0,4.0,171.0
Milan,"Italian, Seafood, Mediterranean, Vegetarian Friendly, Gluten Free Options",323.0,4.0,590.0
Milan,"Italian, Pizza, Mediterranean, Vegetarian Friendly",4484.0,3.0,1063.0
Madrid,unknown,7999.0,3.0,9.0
London,"American, Bar",8820.0,3.5,31.0
Madrid,unknown,8234.0,3.0,2.0
London,Ethiopian,8843.0,4.5,6.0
Rome,"Italian, Pizza, Mediterranean, Vegetarian Friendly, Vegan Options, Gluten Free Options",403.0,4.0,1133.0
Barcelona,unknown,5782.0,4.0,
Milan,"Pizza, Vegetarian Friendly",1416.0,4.0,252.0
Prague,"European, Czech",1586.0,4.0,14.0
Rome,unknown,4550.0,4.5,5.0
Paris,"Moroccan, Mediterranean, Vegetarian Friendly",6812.0,4.0,34.0
Paris,"French, European",4295.0,4.0,69.0
Oslo,"Bar, European, Pub, Vegetarian Friendly",192.0,4.0,53.0
Barcelona,"Mediterranean, Spanish, European, Gluten Free Options",1906.0,4.0,250.0
Rome,"Italian, Mediterranean",4093.0,4.0,35.0
Budapest,unknown,1858.0,4.0,2.0
Milan,"Mediterranean, Egyptian",5180.0,4.0,18.0
London,"Cafe, British",7995.0,4.0,24.0
London,unknown,12459.0,4.0,
Barcelona,Spanish,7511.0,2.5,13.0
Ljubljana,"Chinese, Asian, Vegetarian Friendly",112.0,4.5,30.0
Barcelona,"Mediterranean, European, Spanish, Vegetarian Friendly",909.0,4.5,51.0
London,"Italian, Pizza, Vegetarian Friendly",7674.0,3.5,200.0
Barcelona,"Chinese, Asian, Vegetarian Friendly",2867.0,4.5,35.0
Barcelona,unknown,6150.0,3.5,34.0
Madrid,"Italian, Mediterranean, European, Vegetarian Friendly",987.0,4.0,274.0
Brussels,Asian,1537.0,4.0,20.0
Rome,Pizza,2474.0,4.5,102.0
Munich,unknown,2005.0,4.0,15.0
Barcelona,"Bar, Spanish, Pub",6608.0,3.5,19.0
Barcelona,unknown,5110.0,3.0,6.0
Geneva,Italian,1260.0,3.0,6.0
Hamburg,unknown,1744.0,3.0,12.0
Ljubljana,"Cafe, European, Central European, Vegetarian Friendly, Vegan Options, Gluten Free Options",30.0,4.5,87.0
Lisbon,"European, Portuguese",452.0,5.0,78.0
Paris,"French, European",1843.0,4.5,132.0
Stockholm,"British, European, Cafe, Vegetarian Friendly, Vegan Options",246.0,4.0,92.0
Madrid,unknown,2780.0,4.5,7.0
Luxembourg,"Japanese, Sushi, Asian",153.0,4.0,80.0
Copenhagen,unknown,1654.0,3.5,3.0
Paris,"French, Wine Bar",2225.0,4.5,140.0
Paris,"Mediterranean, Middle Eastern, Moroccan",5561.0,4.0,76.0
Paris,unknown,8466.0,4.0,7.0
Budapest,"Fast Food, Vegetarian Friendly, Vegan Options",460.0,4.5,77.0
Berlin,Italian,4092.0,4.0,20.0
London,"American, Vegetarian Friendly, Vegan Options, Gluten Free Options",1348.0,4.5,156.0
Paris,"Japanese, Sushi",9879.0,3.5,47.0
Paris,unknown,9012.0,3.5,17.0
Lyon,"Japanese, Sushi",730.0,4.5,50.0
Paris,"French, European",774.0,4.0,1024.0
Madrid,Mexican,7693.0,4.0,4.0
Milan,unknown,3633.0,4.5,3.0
London,unknown,12374.0,4.0,
Berlin,Italian,5910.0,3.5,3.0
Paris,"French, European, Vegetarian Friendly",318.0,4.5,523.0
Copenhagen,"European, Danish, Scandinavian",1376.0,3.5,66.0
Helsinki,"Soups, International",214.0,4.5,100.0
Vienna,unknown,2261.0,4.5,3.0
Geneva,unknown,1411.0,1.0,
Rome,"Italian, Pizza, International, Vegetarian Friendly",2784.0,4.0,161.0
Berlin,"Italian, Pizza, Mediterranean, European, Vegetarian Friendly, Vegan Options, Gluten Free Options",1817.0,3.5,1067.0
Berlin,unknown,3481.0,5.0,
Madrid,"Italian, Pizza",1621.0,4.5,107.0
Madrid,Spanish,6210.0,3.5,9.0
Copenhagen,"Italian, European, Contemporary, Danish, Vegetarian Friendly",258.0,4.5,92.0
Lisbon,unknown,3674.0,2.5,9.0
Copenhagen,"Bar, Cafe, European, Vegetarian Friendly, Vegan Options",217.0,4.5,125.0
Paris,"Lebanese, Mediterranean, Vegetarian Friendly",3996.0,4.5,26.0
