# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Goals (minutes),Open BACK ODDS,SUCCESS,WON B/L
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,86,1.72,2,0
0,16,41734,ST. MIRREN,0,MOTHERWELL,0,3.01,0,9,87,1.72,2,0
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,16,1.68,2,0
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,28,1.68,2,0
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,40,1.68,2,0
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,48,1.68,2,0
0,17,41734,FALKIRK,0,COWDENBEATH,0,3.17,0,10,54,1.68,2,0
0,18,41734,PSG,0,REIMS,0,3.41,0,11,43,1.69,2,0
0,18,41734,PSG,0,REIMS,0,3.41,0,11,48,1.69,2,0
0,18,41734,PSG,0,REIMS,0,3.41,0,11,89,1.69,2,0
0,19,41734,OLIVEIRENSE,0,BENFICA B,0,4.3,0,1,26,1.77,2,0
0,19,41734,OLIVEIRENSE,0,BENFICA B,0,4.3,0,1,34,1.77,2,0
0,19,41734,OLIVEIRENSE,0,BENFICA B,0,4.3,0,1,52,1.77,2,0
0,20,41734,STURM GRAZ,0,ADMIRA,0,3.41,1,7,43,1.76,2,1
0,20,41734,STURM GRAZ,0,ADMIRA,0,3.41,1,7,65,1.76,2,1
0,21,41734,ZADAR,0,DINAMO ZAGREB,0,3.11,0,1,4,1.79,2,0
0,21,41734,ZADAR,0,DINAMO ZAGREB,0,3.11,0,1,38,1.79,2,0
0,21,41734,ZADAR,0,DINAMO ZAGREB,0,3.11,0,1,70,1.79,2,0
0,22,41734,DEBRECEN,0,GYOR,0,3.07,0,0,11,1.73,2,0
0,22,41734,DEBRECEN,0,GYOR,0,3.07,0,0,22,1.73,2,0
0,22,41734,DEBRECEN,0,GYOR,0,3.07,0,0,25,1.73,2,0
0,22,41734,DEBRECEN,0,GYOR,0,3.07,0,0,60,1.73,2,0
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,7,1.89,2,0
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,13,1.89,2,0
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,24,1.89,2,0
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,53,1.89,2,0
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,78,1.89,2,0
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,78,1.89,2,0
0,23,41734,LECH POZNAN,0,JAGIELLONIA,0,3.08,0,1-Jun,89,1.89,2,0
0,24,41734,FERREIRA,0,SPORTING,0,3.19,0,12,14,2.06,2,0
0,24,41734,FERREIRA,0,SPORTING,0,3.19,0,12,33,2.06,2,0
0,24,41734,FERREIRA,0,SPORTING,0,3.19,0,12,54,2.06,2,0
0,24,41734,FERREIRA,0,SPORTING,0,3.19,0,12,66,2.06,2,0
0,25,41735,BASEL,0,3,0,3.03,1,13,0,1.69,3,1
0,26,41735,JIHLAVA,0,MLADA BOLESLAV,0,3.1,0,6,33,2.01,2,0
0,26,41735,JIHLAVA,0,MLADA BOLESLAV,0,3.1,0,6,61,2.01,2,0
0,26,41735,JIHLAVA,0,MLADA BOLESLAV,0,3.1,0,6,64,2.01,2,0
0,27,41735,WEST HAM,0,LIVERPOOL,0,3.42,0,1,44,1.7,2,0
0,27,41735,WEST HAM,0,LIVERPOOL,0,3.42,0,1,47,1.7,2,0
0,27,41735,WEST HAM,0,LIVERPOOL,0,3.42,0,1,71,1.7,2,0
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,3.33,0,3,39,1.49,2,0
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,3.33,0,3,41,1.49,2,0
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,3.33,0,3,63,1.49,2,0
0,28,41735,PANATHINAIKOS,0,LEVADIAKOS,0,3.33,0,3,77,1.49,2,0
0,29,41735,PARMA,0,NAPOLI,0,3.08,1,4,55,1.92,3,1
1,30,41736,3,0,4,0,3.99,1,8,32,1.7,2,1
1,30,41736,3,0,4,0,3.99,1,8,35,1.7,2,1
1,31,41736,JONG ALAX,0,EINDHOVEN,0,4.01,0,1,37,1.7,2,0
1,31,41736,JONG ALAX,0,EINDHOVEN,0,4.01,0,1,42,1.7,2,0
1,31,41736,JONG ALAX,0,EINDHOVEN,0,4.01,0,1,56,1.7,2,0
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,14,1.7,2,0
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,35,1.7,2,0
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,62,1.7,2,0
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,72,1.7,2,0
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,85,1.7,2,0
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,3.06,0,3,44,2.14,2,0
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,3.06,0,3,52,2.14,2,0
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,3.06,0,3,60,2.14,2,0
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,3.06,0,3,65,2.14,2,0
1,34,41736,METZ,0,5,0,3.23,0,6,18,2.18,2,0
1,34,41736,METZ,0,5,0,3.23,0,6,39,2.18,2,0
1,34,41736,METZ,0,5,0,3.23,0,6,53,2.18,2,0
1,35,41737,WATFORD,0,LEEDS,0,3.19,0,11,9,1.85,2,0
1,35,41737,WATFORD,0,LEEDS,0,3.19,0,11,32,1.85,2,0
1,35,41737,WATFORD,0,LEEDS,0,3.19,0,11,67,1.85,2,0
1,36,41737,4,0,GILLINGHAM,0,3.3,1,8,42,1.8,2,1
1,36,41737,4,0,GILLINGHAM,0,3.3,1,8,58,1.8,2,1
1,37,41740,BELUPO,0,6,0,3.19,0,6,69,1.75,0,0
1,37,41740,BELUPO,0,6,0,3.19,0,6,79,1.75,0,0
1,37,41740,BELUPO,0,6,0,3.19,0,6,81,1.75,0,0
1,38,41740,M.DONETSK,0,SEVASTOPOL,0,3.96,0,11,16,1.97,0,0
1,38,41740,M.DONETSK,0,SEVASTOPOL,0,3.96,0,11,18,1.97,0,0
1,38,41740,M.DONETSK,0,SEVASTOPOL,0,3.96,0,11,36,1.97,0,0
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,17,2.05,0,0
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,22,2.05,0,0
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,25,2.05,0,0
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,63,2.05,0,0
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,87,2.05,0,0
1,40,41740,TOURS,0,7,0,4.18,0,1,15,1.75,0,0
1,40,41740,TOURS,0,7,0,4.18,0,1,86,1.75,0,0
1,40,41740,TOURS,0,7,0,4.18,0,1,92,1.75,0,0
1,41,41740,SCHALKE,0,EIN. FRANKFURT,0,3.13,1,8,59,1.57,1,1
1,41,41740,SCHALKE,0,EIN. FRANKFURT,0,3.13,1,8,91,1.57,1,1
2,42,41741,GREUTHER FURTH,0,AUE,0,3.39,0,6,17,1.79,0,0
2,42,41741,GREUTHER FURTH,0,AUE,0,3.39,0,6,38,1.79,0,0
2,42,41741,GREUTHER FURTH,0,AUE,0,3.39,0,6,58,1.79,0,0
1,43,41741,HANNOVER,0,HAMBURG,0,3.47,0,6,9,1.97,0,0
1,43,41741,HANNOVER,0,HAMBURG,0,3.47,0,6,48,1.97,0,0
1,43,41741,HANNOVER,0,HAMBURG,0,3.47,0,6,26,1.97,0,0
1,44,41741,MGLADBACH,0,STUTTGART,0,3.43,1,7,12,1.69,1,1
1,44,41741,MGLADBACH,0,STUTTGART,0,3.43,1,7,89,1.69,1,1
2,45,41741,KARPARTY,0,DINAMO KIEV,0,3.02,0,0,32,2.02,0,0
2,45,41741,KARPARTY,0,DINAMO KIEV,0,3.02,0,0,48,2.02,0,0
2,45,41741,KARPARTY,0,DINAMO KIEV,0,3.02,0,0,58,2.02,0,0
2,45,41741,KARPARTY,0,DINAMO KIEV,0,3.02,0,0,73,2.02,0,0
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,13,1.67,0,0
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,25,1.67,0,0
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,27,1.67,0,0
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,34,1.67,0,0
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,48,1.67,0,0
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,85,1.67,0,0
1,47,41741,4,0,COVENTRY,0,3.72,1,4,6,1.82,1,1
1,48,41741,NACIONAL,0,MARITIMO,0,3.13,1,8,7,2.12,1,1
1,48,41741,NACIONAL,0,MARITIMO,0,3.13,1,8,89,2.12,1,1
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,21,1.76,0,0
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,52,1.76,0,0
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,64,1.76,0,0
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,81,1.76,0,0
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,94,1.76,0,0
1,50,41741,GORNIK,0,LECH POZNAN,0,3.17,0,5,31,1.99,0,0
1,50,41741,GORNIK,0,LECH POZNAN,0,3.17,0,5,34,1.99,0,0
1,50,41741,GORNIK,0,LECH POZNAN,0,3.17,0,5,51,1.99,0,0
1,51,41741,AC WOLFSBERGER,0,GRODIG,0,3.79,0,1,19,1.64,0,0
1,51,41741,AC WOLFSBERGER,0,GRODIG,0,3.79,0,1,89,1.64,0,0
1,51,41741,AC WOLFSBERGER,0,GRODIG,0,3.79,0,1,93,1.64,0,0
1,52,41741,SABADELL,0,GIJON,0,3.29,1,8,85,1.83,1,1
1,52,41741,SABADELL,0,GIJON,0,3.29,1,8,89,1.83,1,1
1,53,41742,LOCOMOTIV,0,ANZHI,0,3.02,1,13,0,2.14,1,1
1,54,41742,BETIS,0,SEVILLA,0,3.25,1,15,30,1.86,1,1
1,54,41742,BETIS,0,SEVILLA,0,3.25,1,15,82,1.86,1,1
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,24,1.92,0,0
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,34,1.92,0,0
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,59,1.92,0,0
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,76,1.92,0,0
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,85,1.92,0,0
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,6,2.48,0,0
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,26,2.48,0,0
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,57,2.48,0,0
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,62,2.48,0,0
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,78,2.48,0,0
1,57,41742,PLZEN,0,JIHLAVA,0,3.94,1,7,46,1.76,1,1
1,57,41742,PLZEN,0,JIHLAVA,0,3.94,1,7,82,1.76,1,1
1,58,41742,FC PORTO,0,OLIVEIRENSE,0,3.29,0,1,29,1.98,0,0
1,58,41742,FC PORTO,0,OLIVEIRENSE,0,3.29,0,1,64,1.98,0,0
1,58,41742,FC PORTO,0,OLIVEIRENSE,0,3.29,0,1,68,1.98,0,0
2,59,41742,OLYMPIAKOS,0,APOLLON SMIRNIS,0,4.55,1,4,88,1.63,1,1
2,60,41743,FC BRNO,0,SIGMA OLOMOUC,0,3.17,1,8,70,2.18,1,1
2,60,41743,FC BRNO,0,SIGMA OLOMOUC,0,3.17,1,8,94,2.18,1,1
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,53,2.0,0,0
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,74,2.0,0,0
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,75,2.0,0,0
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,84,2.0,0,0
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,91,2.0,0,0
2,62,41743,ELAZIGSPOR,0,GAZIANTEPSPOR,0,3.65,0,6,34,2.04,0,0
2,62,41743,ELAZIGSPOR,0,GAZIANTEPSPOR,0,3.65,0,6,83,2.04,0,0
2,62,41743,ELAZIGSPOR,0,GAZIANTEPSPOR,0,3.65,0,6,90,2.04,0,0
1,63,41743,PANDURII,0,NAVODARI,0,3.29,1,13,0,2.14,1,1
1,64,41743,ESTORIL,0,FERREIRA,0,3.26,1,4,41,2.44,1,1
1,65,41744,RIJEKA,0,ZADAR,0,3.23,0,11,16,1.67,0,0
1,65,41744,RIJEKA,0,ZADAR,0,3.23,0,11,25,1.67,0,0
1,65,41744,RIJEKA,0,ZADAR,0,3.23,0,11,70,1.67,0,0
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,3.21,0,12,5,2.4,0,0
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,3.21,0,12,8,2.4,0,0
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,3.21,0,12,17,2.4,0,0
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,3.21,0,12,28,2.4,0,0
1,67,41745,DINAMO KIEV,0,SHAKHTAR,0,3.5,1,15,10,1.86,0,1
1,67,41745,DINAMO KIEV,0,SHAKHTAR,0,3.5,1,15,34,1.86,0,1
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,6,1.86,0,0
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,15,1.86,0,0
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,27,1.86,0,0
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,45,1.86,0,0
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,60,1.86,0,0
2,69,41745,VIBORG,0,AALBORG,0,3.69,1,15,49,1.74,0,1
2,69,41745,VIBORG,0,AALBORG,0,3.69,1,15,59,1.74,0,1
1,70,41746,HVIDORE,0,FREDERICA,0,3.1,0,6,9,2.06,0,0
1,70,41746,HVIDORE,0,FREDERICA,0,3.1,0,6,37,2.06,0,0
1,70,41746,HVIDORE,0,FREDERICA,0,3.1,0,6,68,2.06,0,0
1,71,41746,MARIENLYST,0,LYNGBY,0,3.59,0,5,70,1.6,0,0
1,71,41746,MARIENLYST,0,LYNGBY,0,3.59,0,5,82,1.6,0,0
1,71,41746,MARIENLYST,0,LYNGBY,0,3.59,0,5,88,1.6,0,0
1,72,41746,AUE,0,DRESDEN,0,2.74,1,8,6,2.14,0,1
1,72,41746,AUE,0,DRESDEN,0,2.74,1,8,19,2.14,0,1
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,2,1.74,0,0
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,13,1.74,0,0
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,20,1.74,0,0
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,29,1.74,0,0
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,68,1.74,0,0
1,74,41747,BRISTOL CITY,0,NOTTS COUNTRY,0,3.64,0,6,13,1.8,0,0
1,74,41747,BRISTOL CITY,0,NOTTS COUNTRY,0,3.64,0,6,30,1.8,0,0
1,74,41747,BRISTOL CITY,0,NOTTS COUNTRY,0,3.64,0,6,86,1.8,0,0
1,75,41747,2,0,TRANMERE,0,3.31,1,8,78,1.82,1,1
1,75,41747,2,0,TRANMERE,0,3.31,1,8,93,1.82,1,1
1,76,41747,NIMES,0,5,0,3.53,1,4,67,1.98,1,1
1,77,41747,TROYES,0,7,0,3.48,0,5,20,1.68,0,0
1,77,41747,TROYES,0,7,0,3.48,0,5,30,1.68,0,0
1,77,41747,TROYES,0,7,0,3.48,0,5,70,1.68,0,0
1,78,41748,TOTTENHAM,0,FULHAM,0,3.4,0,3,34,1.7,0,0
1,78,41748,TOTTENHAM,0,FULHAM,0,3.4,0,3,37,1.7,0,0
1,78,41748,TOTTENHAM,0,FULHAM,0,3.4,0,3,48,1.7,0,0
1,78,41748,TOTTENHAM,0,FULHAM,0,3.4,0,3, 62,1.7,0,0
1,79,41748,AC MILAN,0,4,0,3.39,0,11,43,1.65,0,0
1,79,41748,AC MILAN,0,4,0,3.39,0,11,51,1.65,0,0
1,79,41748,AC MILAN,0,4,0,3.39,0,11,84,1.65,0,0
1,80,41748,BRAUNSCHWEIG,0,1,0,3.13,1,15,75,1.47,1,1
1,80,41748,BRAUNSCHWEIG,0,1,0,3.13,1,15,86,1.47,1,1
1,81,41748,NOTTS FOREST,0,BIRMINGHAM,0,3.22,1,4,2,1.76,1,1
0,82,41748,FOREST GREEN,0,WOKING,0,3.42,0,0,33,1.74,0,0
0,82,41748,FOREST GREEN,0,WOKING,0,3.42,0,0,68,1.74,0,0
0,82,41748,FOREST GREEN,0,WOKING,0,3.42,0,0,90,1.74,0,0
0,82,41748,FOREST GREEN,0,WOKING,0,3.42,0,0,91,1.74,0,0
0,83,41748,HALIFAX,0,MACCLESFIELD,0,3.34,0,6,18,1.74,0,0
0,83,41748,HALIFAX,0,MACCLESFIELD,0,3.34,0,6,22,1.74,0,0
0,83,41748,HALIFAX,0,MACCLESFIELD,0,3.34,0,6,45,1.74,0,0
0,84,41748,DUMBARTON,0,QUEEN OF SOUTH,0,3.25,0,5,17,1.7,1,0
0,84,41748,DUMBARTON,0,QUEEN OF SOUTH,0,3.25,0,5,52,1.7,1,0
0,84,41748,DUMBARTON,0,QUEEN OF SOUTH,0,3.25,0,5,66 (NOT IN PLAY),1.7,1,0
1,85,41748,CHELSEA,0,SUNDERLAND,0,3.1,0,1,11,1.7,0,0
1,85,41748,CHELSEA,0,SUNDERLAND,0,3.1,0,1,18,1.7,0,0
1,85,41748,CHELSEA,0,SUNDERLAND,0,3.1,0,1,80,1.7,0,0
1,86,41748,1,0,WOLFSBERG,0,3.69,0,12,2,1.7,0,0
1,86,41748,1,0,WOLFSBERG,0,3.69,0,12,42,1.7,0,0
1,86,41748,1,0,WOLFSBERG,0,3.69,0,12,49,1.7,0,0
1,86,41748,1,0,WOLFSBERG,0,3.69,0,12,58,1.7,0,0
1,87,41748,3,0,BOLOGNA,0,3.16,1,2,63,1.7,1,1
1,88,41749,0,0,GREUTHER FURTH,0,3.69,0,0,35,2.12,0,0
1,88,41749,0,0,GREUTHER FURTH,0,3.69,0,0,59,2.12,0,0
1,88,41749,0,0,GREUTHER FURTH,0,3.69,0,0,74,2.12,0,0
1,88,41749,0,0,GREUTHER FURTH,0,3.69,0,0,92,2.12,0,0
1,89,41749,DYNAMO MOSCOW,0,9,0,3.42,0,1,27,2.06,0,0
1,89,41749,DYNAMO MOSCOW,0,9,0,3.42,0,1,73,2.06,0,0
1,89,41749,DYNAMO MOSCOW,0,9,0,3.42,0,1,81,2.06,0,0
1,90,41749,HORSENS,0,AB,0,3.79,1,13,0,1.75,1,1
0,91,41749,GRODIG,0,RAPID VIENNA,0,3.12,0,0,12,1.73,0,0
0,91,41749,GRODIG,0,RAPID VIENNA,0,3.12,0,0,25,1.73,0,0
0,91,41749,GRODIG,0,RAPID VIENNA,0,3.12,0,0,43,1.73,0,0
0,91,41749,GRODIG,0,RAPID VIENNA,0,3.12,0,0,51,1.73,0,0
0,92,41749,AALBORG,0,RANDERS,0,3.13,0,1,11,1.77,0,0
0,92,41749,AALBORG,0,RANDERS,0,3.13,0,1,15,1.77,0,0
0,92,41749,AALBORG,0,RANDERS,0,3.13,0,1,37,1.77,0,0
1,93,41749,STUTTGART,0,2,0,3.38,0,3,23,1.76,0,0
1,93,41749,STUTTGART,0,2,0,3.38,0,3,54,1.76,0,0
1,93,41749,STUTTGART,0,2,0,3.38,0,3,59,1.76,0,0
1,93,41749,STUTTGART,0,2,0,3.38,0,3,69,1.76,0,0
2,94,41750,DEN BOSCH,0,0,1,3.6,1,7,39,2.16,1,1
2,94,41750,DEN BOSCH,0,0,1,3.6,1,7,70,2.16,1,1
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,10,1.82,0,0
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,20,1.82,0,0
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,24,1.82,0,0
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,48,1.82,0,0
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,63,1.82,0,0
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,84,1.82,0,0
1,96,41750,ROTHERHAM,0,8,0,3.68,1,4,79,1.75,1,1
1,97,41750,HAJDUK SPLIT,0,6,0,3.09,0,0,31,1.79,0,0
1,97,41750,HAJDUK SPLIT,0,6,0,3.09,0,0,52,1.79,0,0
1,97,41750,HAJDUK SPLIT,0,6,0,3.09,0,0,56,1.79,0,0
1,97,41750,HAJDUK SPLIT,0,6,0,3.09,0,0,66,1.79,0,0
1,98,41750,ATHLONE,0,DUNDALK,0,5.32,1,2,94,1.6,1,1
1,99,41750,ANTALYASPOR,0,SILVASSPOR,0,3.07,0,1,53,1.9,0,0
1,99,41750,ANTALYASPOR,0,SILVASSPOR,0,3.07,0,1,67,1.9,0,0
1,99,41750,ANTALYASPOR,0,SILVASSPOR,0,3.07,0,1,84,1.9,0,0
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,28,1.47,0,0
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,50,1.47,0,0
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,62,1.47,0,0
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,64,1.47,0,0
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,90,1.47,0,0
