Restaurant_id,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,URL_TA,ID_TA
id_8460,Madrid,Italian,8467,2.0,,4.0,/Restaurant_Review-g187514-d12550964-Reviews-Ginos_Monforte_de_Lemos_193-Madrid.html,d12550964
id_75,Brussels,"Belgian,  European,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options",76,4.0,$$ - $$$,484.0,/Restaurant_Review-g188644-d4150215-Reviews-Chutney_s-Brussels.html,d4150215
id_2098,Barcelona,"Cafe,  Mediterranean,  Spanish,  Vegetarian Friendly",2099,4.0,$,41.0,/Restaurant_Review-g187497-d7952588-Reviews-Mescladis-Barcelona_Catalonia.html,d7952588
id_1048,Paris,"French,  European,  Vegetarian Friendly",1049,4.5,$$$$,281.0,/Restaurant_Review-g187147-d719083-Reviews-Le_Clos_des_Gourmets-Paris_Ile_de_France.html,d719083
id_1907,Copenhagen,"Chinese,  Fast Food",1912,2.5,,9.0,/Restaurant_Review-g189541-d5408595-Reviews-China-Copenhagen_Zealand.html,d5408595
id_10142,London,Other,10151,4.0,,5.0,/Restaurant_Review-g186338-d12391114-Reviews-Lahori_Tikka_Masala-London_England.html,d12391114
id_9231,Paris,"French,  Vietnamese",9233,4.0,,25.0,/Restaurant_Review-g187147-d7332770-Reviews-Chez_Kim_Ly-Paris_Ile_de_France.html,d7332770
id_279,Dublin,"Italian,  Pizza,  European,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options",280,4.0,$$ - $$$,257.0,/Restaurant_Review-g186605-d1785149-Reviews-Little_Venice-Dublin_County_Dublin.html,d1785149
id_155,Amsterdam,"Steakhouse,  Latin,  Barbecue,  European,  Argentinean,  South American,  Vegetarian Friendly",156,4.5,$$ - $$$,482.0,/Restaurant_Review-g188590-d4588301-Reviews-Villa_Maria_Restaurant_Amsterdam-Amsterdam_North_Holland_Province.html,d4588301
id_2622,Prague,Cafe,2628,4.5,$,4.0,/Restaurant_Review-g274707-d7123553-Reviews-Passcal-Prague_Bohemia.html,d7123553
id_1585,Lyon,Italian,1586,4.0,$$ - $$$,25.0,/Restaurant_Review-g187265-d4295258-Reviews-Espressamente_illy_Lyon_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d4295258
id_5510,Madrid,Other,5513,4.5,,6.0,/Restaurant_Review-g187514-d697485-Reviews-Casa_Santa_Cruz-Madrid.html,d697485
id_547,Milan,"Japanese,  Sushi,  Vegetarian Friendly",548,4.0,$$ - $$$,554.0,/Restaurant_Review-g187849-d4353632-Reviews-Kanji_EVO-Milan_Lombardy.html,d4353632
id_10032,Paris,Other,10034,4.5,,2.0,/Restaurant_Review-g187147-d1035491-Reviews-Le_Kaiku-Paris_Ile_de_France.html,d1035491
id_8755,London,Other,8764,4.5,,4.0,/Restaurant_Review-g186338-d12676684-Reviews-The_German_Deli-London_England.html,d12676684
id_1620,Warsaw,Other,1622,4.0,,2.0,/Restaurant_Review-g274856-d11770289-Reviews-Bar_Hoa_Lan-Warsaw_Mazovia_Province_Central_Poland.html,d11770289
id_3662,Barcelona,Spanish,3663,4.0,$,26.0,/Restaurant_Review-g187497-d5587837-Reviews-Chistu-Barcelona_Catalonia.html,d5587837
id_150,Budapest,"Healthy,  Mediterranean,  Vegetarian Friendly",151,4.5,$,1317.0,/Restaurant_Review-g274887-d813990-Reviews-Hummusbar-Budapest_Central_Hungary.html,d813990
id_52,Dublin,"Irish,  Seafood,  European,  Soups,  Vegetarian Friendly,  Gluten Free Options",53,4.5,$$ - $$$,1820.0,/Restaurant_Review-g186605-d2259146-Reviews-Matt_The_Thresher-Dublin_County_Dublin.html,d2259146
id_1981,Budapest,Other,1982,3.5,,8.0,/Restaurant_Review-g274887-d10073699-Reviews-Fozelekfalo_Food_Bar-Budapest_Central_Hungary.html,d10073699
id_533,Barcelona,"Japanese,  Asian,  Fusion,  Vegetarian Friendly,  Gluten Free Options",534,4.0,$$$$,1060.0,/Restaurant_Review-g187497-d1099373-Reviews-Dos_Palillos-Barcelona_Catalonia.html,d1099373
id_2068,Barcelona,"Seafood,  Mediterranean,  Spanish",2069,4.0,$$ - $$$,112.0,/Restaurant_Review-g187497-d797017-Reviews-Brasseria_Gallega-Barcelona_Catalonia.html,d797017
id_8648,Paris,Other,8650,4.5,,3.0,/Restaurant_Review-g187147-d11687952-Reviews-Lula-Paris_Ile_de_France.html,d11687952
id_2273,Paris,"Chinese,  Asian",2274,4.0,$$ - $$$,157.0,/Restaurant_Review-g187147-d1019904-Reviews-L_Orient_d_Or-Paris_Ile_de_France.html,d1019904
id_643,Oslo,"Italian,  Pizza",644,4.0,$,19.0,/Restaurant_Review-g190479-d4043773-Reviews-Pizza_Pancetta_Majorstuen-Oslo_Eastern_Norway.html,d4043773
id_851,Zurich,"Swiss,  European",855,4.5,$,12.0,/Restaurant_Review-g188113-d4226084-Reviews-Restaurant_Moleson-Zurich.html,d4226084
id_793,Dublin,"French,  Irish,  European",794,5.0,$$ - $$$,8.0,/Restaurant_Review-g186605-d13172414-Reviews-One_Bistro-Dublin_County_Dublin.html,d13172414
id_6029,Milan,Other,6032,2.5,,2.0,/Restaurant_Review-g187849-d12911907-Reviews-Panificio_Reda-Milan_Lombardy.html,d12911907
id_7122,London,"Bar,  International",7131,4.0,$$ - $$$,79.0,/Restaurant_Review-g186338-d3322305-Reviews-Piano_Kensington-London_England.html,d3322305
id_1247,Dublin,Other,1250,5.0,,3.0,/Restaurant_Review-g186605-d7805333-Reviews-Biscotti_Caffe-Dublin_County_Dublin.html,d7805333
id_887,Lisbon,"European,  Portuguese,  Mediterranean,  Contemporary,  Wine Bar,  Vegetarian Friendly",888,4.5,$$ - $$$,66.0,/Restaurant_Review-g189158-d6432242-Reviews-Embaixada_Portuguesa-Lisbon_Lisbon_District_Central_Portugal.html,d6432242
id_773,Amsterdam,"Italian,  European,  Vegetarian Friendly,  Gluten Free Options",775,4.0,$$ - $$$,138.0,/Restaurant_Review-g188590-d2478316-Reviews-Pekelhaaring-Amsterdam_North_Holland_Province.html,d2478316
id_6025,Madrid,"Spanish,  Cafe",6028,3.5,$,20.0,/Restaurant_Review-g187514-d4600249-Reviews-LA_MEKA_DE_LA_BAGUETTE-Madrid.html,d4600249
id_35,Budapest,"Seafood,  Mediterranean,  European,  Greek,  Soups,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options",36,4.5,$$ - $$$,2340.0,/Restaurant_Review-g274887-d696117-Reviews-Taverna_Dionysos-Budapest_Central_Hungary.html,d696117
id_13815,London,"Mexican,  Fast Food,  South American,  Central American,  Vegetarian Friendly",13825,3.5,$,28.0,/Restaurant_Review-g186338-d2176100-Reviews-Poncho_8-London_England.html,d2176100
id_1012,Helsinki,"Japanese,  Sushi,  Asian",1013,3.0,,19.0,/Restaurant_Review-g189934-d3345223-Reviews-Rice_Garden-Helsinki_Uusimaa.html,d3345223
id_361,Rome,"Italian,  Pizza,  Mediterranean,  Barbecue,  Grill,  Vegetarian Friendly",362,4.5,$$ - $$$,288.0,/Restaurant_Review-g187791-d7361724-Reviews-InfarinaRe-Rome_Lazio.html,d7361724
id_3670,Berlin,Sushi,3672,4.5,$$ - $$$,10.0,/Restaurant_Review-g187323-d5532357-Reviews-Sushi_Bar_Ishin-Berlin.html,d5532357
id_2171,Berlin,"Mediterranean,  Grill,  Italian,  German,  European,  Vegetarian Friendly",2173,3.5,$$ - $$$,130.0,/Restaurant_Review-g187323-d1359957-Reviews-Speisekombinat-Berlin.html,d1359957
id_1461,Milan,"Chinese,  Japanese,  Seafood,  Sushi,  Vegetarian Friendly",1463,3.5,$,283.0,/Restaurant_Review-g187849-d2589168-Reviews-Kyo_Fusion_Restaurant-Milan_Lombardy.html,d2589168
id_1482,Amsterdam,Other,1485,5.0,,12.0,/Restaurant_Review-g188590-d10027275-Reviews-Samen-Amsterdam_North_Holland_Province.html,d10027275
id_1365,Zurich,Italian,1370,3.5,$$ - $$$,25.0,/Restaurant_Review-g188113-d1125197-Reviews-Milano-Zurich.html,d1125197
id_8,Oslo,"Indian,  Asian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options",9,4.5,$$ - $$$,956.0,/Restaurant_Review-g190479-d9459585-Reviews-Der_Peppern_Gror-Oslo_Eastern_Norway.html,d9459585
id_1018,Brussels,Other,1019,4.5,,45.0,/Restaurant_Review-g1136488-d5599563-Reviews-Le_Chalet_de_la_Foret-Uccle_Brussels.html,d5599563
id_499,Lyon,Other,500,4.5,,45.0,/Restaurant_Review-g187265-d7623654-Reviews-Creperie_Caramel_Sale-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d7623654
id_1466,Vienna,"Middle Eastern,  Turkish",1467,4.0,$$ - $$$,21.0,/Restaurant_Review-g190454-d2632522-Reviews-Cafe_Berfin-Vienna.html,d2632522
id_7814,London,"Fast Food,  Healthy",7823,4.0,$$ - $$$,21.0,/Restaurant_Review-g186338-d7332678-Reviews-Vital_Ingredient-London_England.html,d7332678
id_689,Vienna,"South American,  Latin,  Central American,  Venezuelan",690,4.5,$$ - $$$,29.0,/Restaurant_Review-g190454-d10485816-Reviews-Chuchu-Vienna.html,d10485816
id_1721,Edinburgh,"Pub,  Bar",1728,2.0,$$ - $$$,26.0,/Restaurant_Review-g186525-d11688138-Reviews-The_Beer_House-Edinburgh_Scotland.html,d11688138
id_3703,Paris,"French,  Seafood,  European",3704,3.5,$$ - $$$,1135.0,/Restaurant_Review-g187147-d5943832-Reviews-Brasserie_L_Alsace-Paris_Ile_de_France.html,d5943832
id_3412,Prague,Other,3419,3.5,,27.0,/Restaurant_Review-g274707-d4768085-Reviews-McDonald_s_Florenc-Prague_Bohemia.html,d4768085
id_538,Munich,"Healthy,  Central European,  Vegetarian Friendly",542,4.5,$,59.0,/Restaurant_Review-g187309-d2255569-Reviews-Fraulein_Gruneis-Munich_Upper_Bavaria_Bavaria.html,d2255569
id_1435,Munich,"Italian,  Pizza",1447,4.0,$,21.0,/Restaurant_Review-g187309-d4597916-Reviews-Eiscafe_Pinocchio-Munich_Upper_Bavaria_Bavaria.html,d4597916
id_1837,Amsterdam,Chinese,1842,4.5,$$ - $$$,17.0,/Restaurant_Review-g188590-d7916036-Reviews-Golden_House-Amsterdam_North_Holland_Province.html,d7916036
id_2904,Vienna,Italian,2906,3.5,,3.0,/Restaurant_Review-g190454-d12350248-Reviews-Oskar-Vienna.html,d12350248
id_2040,Madrid,"Mediterranean,  Spanish,  Vegetarian Friendly",2042,3.5,$$ - $$$,339.0,/Restaurant_Review-g187514-d1109944-Reviews-Samm-Madrid.html,d1109944
id_1409,Budapest,"French,  European,  Hungarian",1410,5.0,,,/Restaurant_Review-g274887-d13197631-Reviews-Le_Poulet-Budapest_Central_Hungary.html,d13197631
id_197,Lyon,"French,  European",198,4.0,$$ - $$$,370.0,/Restaurant_Review-g187265-d918784-Reviews-L_Atelier_d_Yvonne-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d918784
id_3341,Lisbon,"European,  Portuguese",3345,3.5,,3.0,/Restaurant_Review-g189158-d8772965-Reviews-Lamosa_Grill-Lisbon_Lisbon_District_Central_Portugal.html,d8772965
id_1940,Lyon,"European,  French,  Seafood",1941,3.0,$$ - $$$,354.0,/Restaurant_Review-g1166685-d1324029-Reviews-Amarine_Saint_Priest-Saint_Priest_Lyon_Rhone_Auvergne_Rhone_Alpes.html,d1324029
id_2926,Milan,Other,2928,4.0,,28.0,/Restaurant_Review-g187849-d6632829-Reviews-Don_Tannino_Bar_a_Vin-Milan_Lombardy.html,d6632829
id_8240,Madrid,Other,8247,2.5,,25.0,/Restaurant_Review-g187514-d11667577-Reviews-Restaurante_Playa_Riazor-Madrid.html,d11667577
id_2047,Prague,"Italian,  Mediterranean",2050,5.0,$$ - $$$,,/Restaurant_Review-g274707-d12243659-Reviews-Teodoro_ristorant_caffe-Prague_Bohemia.html,d12243659
id_4591,Berlin,German,4593,4.0,$$ - $$$,29.0,/Restaurant_Review-g187323-d2445499-Reviews-Deichgraf-Berlin.html,d2445499
id_4278,Milan,Chinese,4281,3.5,$,83.0,/Restaurant_Review-g187849-d2577881-Reviews-Momigi-Milan_Lombardy.html,d2577881
id_5296,Rome,Italian,5298,4.0,,9.0,/Restaurant_Review-g187791-d11951657-Reviews-Ventitre-Rome_Lazio.html,d11951657
id_5,Geneva,"French,  Swiss,  European,  Vegetarian Friendly,  Gluten Free Options",6,4.5,$$ - $$$,1222.0,/Restaurant_Review-g188057-d751711-Reviews-Cafe_du_Soleil-Geneva.html,d751711
id_6011,Madrid,"Italian,  Pizza",6014,3.5,$$ - $$$,48.0,/Restaurant_Review-g187514-d3902868-Reviews-Pizza_Jardin-Madrid.html,d3902868
id_678,Madrid,"Pizza,  Vegetarian Friendly,  Vegan Options",679,4.5,$$ - $$$,95.0,/Restaurant_Review-g187514-d5487718-Reviews-Pizzeria_La_Cupula-Madrid.html,d5487718
id_886,Bratislava,Other,888,1.0,,3.0,/Restaurant_Review-g274924-d7995801-Reviews-Slovak_Pubs-Bratislava_Bratislava_Region.html,d7995801
id_4633,Paris,"Indian,  Middle Eastern,  Pakistani",4634,4.0,$,62.0,/Restaurant_Review-g187147-d1331796-Reviews-Sheezan-Paris_Ile_de_France.html,d1331796
id_3436,Barcelona,Italian,3437,4.0,$,26.0,/Restaurant_Review-g187497-d8536895-Reviews-Buenas_Migas-Barcelona_Catalonia.html,d8536895
id_1508,Lyon,Other,1490,5.0,,2.0,/Restaurant_Review-g187265-d1328183-Reviews-Restaurant_Golbasi-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d1328183
id_11602,London,Other,11612,4.0,,16.0,/Restaurant_Review-g186338-d10392913-Reviews-Aqua_London-London_England.html,d10392913
id_2769,Milan,"Italian,  Pizza,  Mediterranean,  European,  Vegetarian Friendly",2771,3.5,$$ - $$$,346.0,/Restaurant_Review-g187849-d1097475-Reviews-Pizzeria_Grand_Italia-Milan_Lombardy.html,d1097475
id_4116,Milan,Other,4119,3.5,,30.0,/Restaurant_Review-g187849-d7967318-Reviews-Trattoria_la_Madonnina_di_Costantino_Cuciniello_Precotto-Milan_Lombardy.html,d7967318
id_198,Zurich,"Italian,  Mediterranean,  European,  Vegetarian Friendly",200,4.0,$$$$,211.0,/Restaurant_Review-g188113-d797737-Reviews-Conti-Zurich.html,d797737
id_3015,Rome,"Italian,  Pizza,  Mediterranean,  European,  Vegetarian Friendly,  Gluten Free Options",3016,3.0,$$ - $$$,1012.0,/Restaurant_Review-g187791-d2226584-Reviews-Fratelli_La_Bufala_a_Ponte_Milvio-Rome_Lazio.html,d2226584
id_1655,Madrid,"Peruvian,  Asian,  South American",1657,5.0,$$$$,11.0,/Restaurant_Review-g187514-d13174390-Reviews-Machete_Restaurante-Madrid.html,d13174390
id_2858,London,"Italian,  Mediterranean,  Vegetarian Friendly,  Gluten Free Options",2863,4.0,$$ - $$$,459.0,/Restaurant_Review-g186338-d4052905-Reviews-Cucina_Asellina-London_England.html,d4052905
id_2423,Rome,"Italian,  Pizza,  Mediterranean,  European,  Delicatessen,  Vegetarian Friendly",2424,3.5,$$ - $$$,481.0,/Restaurant_Review-g187791-d5504724-Reviews-Ristorante_Est_Est_Est-Rome_Lazio.html,d5504724
id_10343,Paris,Other,10345,3.5,,6.0,/Restaurant_Review-g187147-d12681857-Reviews-Epicerie_et_Associes-Paris_Ile_de_France.html,d12681857
id_8449,Madrid,"Mediterranean,  European,  Spanish",8456,2.5,$$ - $$$,566.0,/Restaurant_Review-g187514-d7241440-Reviews-La_Carmela-Madrid.html,d7241440
id_9009,Paris,Other,9011,4.5,,2.0,/Restaurant_Review-g187147-d13094972-Reviews-Love_Juice_Bar-Paris_Ile_de_France.html,d13094972
id_1251,Edinburgh,Cafe,1252,4.5,$,15.0,/Restaurant_Review-g186525-d5442784-Reviews-Sandwich_Culture-Edinburgh_Scotland.html,d5442784
id_7472,Paris,Cafe,7473,4.0,$,28.0,/Restaurant_Review-g187147-d4942642-Reviews-Cafe_Le_Zoco-Paris_Ile_de_France.html,d4942642
id_6583,London,"Cafe,  British",6592,4.5,$,29.0,/Restaurant_Review-g186338-d2524119-Reviews-Cafe_Parco-London_England.html,d2524119
id_873,Bratislava,Greek,874,3.0,,3.0,/Restaurant_Review-g274924-d4770241-Reviews-Olive_Tree_Restaurant-Bratislava_Bratislava_Region.html,d4770241
id_270,Warsaw,"Bar,  Polish,  European,  Eastern European,  Steakhouse,  Pub,  Vegetarian Friendly",271,4.0,$$ - $$$,85.0,/Restaurant_Review-g274856-d8797372-Reviews-Latem_Bar_Restaurant-Warsaw_Mazovia_Province_Central_Poland.html,d8797372
id_237,Stockholm,"Swedish,  Scandinavian,  Vegetarian Friendly,  Gluten Free Options",238,4.5,$$ - $$$,154.0,/Restaurant_Review-g189852-d1496204-Reviews-Proviant_Ostermalm-Stockholm.html,d1496204
id_4653,Madrid,Spanish,4656,4.0,$,18.0,/Restaurant_Review-g187514-d11754798-Reviews-El_Patio_De_La_Tapa-Madrid.html,d11754798
id_820,Rome,"Italian,  Pizza,  Vegetarian Friendly",821,5.0,$,134.0,/Restaurant_Review-g187791-d4085056-Reviews-Pizzeria_I_Gemelli_Roma-Rome_Lazio.html,d4085056
id_1722,Hamburg,"Asian,  Tibetan,  Nepali",1725,4.0,$$ - $$$,3.0,/Restaurant_Review-g187331-d12867794-Reviews-Tibet_Restaurant-Hamburg.html,d12867794
id_86,Budapest,"European,  Wine Bar,  Eastern European,  Central European,  Hungarian,  Contemporary,  Vegetarian Friendly,  Gluten Free Options",87,4.5,$$ - $$$,1256.0,/Restaurant_Review-g274887-d779921-Reviews-Klassz-Budapest_Central_Hungary.html,d779921
id_2044,Barcelona,"Italian,  Mediterranean",2045,4.5,$$ - $$$,89.0,/Restaurant_Review-g187497-d8118086-Reviews-Origano_cucina_siciliana-Barcelona_Catalonia.html,d8118086
id_4157,Rome,Italian,4158,4.0,$$ - $$$,182.0,/Restaurant_Review-g187791-d2321047-Reviews-Sottosopra_Restaurant-Rome_Lazio.html,d2321047
id_14612,London,Other,14623,3.0,,39.0,/Restaurant_Review-g186338-d7994738-Reviews-Slim_Jim_s_Liquor_Store-London_England.html,d7994738
id_5080,Barcelona,"Italian,  Seafood",5081,3.5,$$$$,32.0,/Restaurant_Review-g187497-d10226097-Reviews-Laz_Laz-Barcelona_Catalonia.html,d10226097
id_4505,Paris,Other,4506,4.0,,57.0,/Restaurant_Review-g187147-d3612769-Reviews-Bubbolitas-Paris_Ile_de_France.html,d3612769
id_8121,Madrid,"Bar,  Mediterranean,  Spanish",8128,2.5,$$ - $$$,1768.0,/Restaurant_Review-g187514-d697526-Reviews-El_Brillante-Madrid.html,d697526
id_4429,London,"Japanese,  Sushi,  Asian,  Vegetarian Friendly",4436,4.5,$$ - $$$,19.0,/Restaurant_Review-g186338-d10619071-Reviews-Zen_Modern_Japanese_Cuisine-London_England.html,d10619071
id_4110,Madrid,Spanish,4112,5.0,,2.0,/Restaurant_Review-g187514-d4600226-Reviews-Cafeteria_Teresa-Madrid.html,d4600226
id_746,Lisbon,"European,  Vegetarian Friendly",747,4.5,$$ - $$$,42.0,/Restaurant_Review-g189158-d10064175-Reviews-Tartar_Ria-Lisbon_Lisbon_District_Central_Portugal.html,d10064175
id_229,Helsinki,"Cafe,  Bar,  European,  Pub,  Vegetarian Friendly,  Gluten Free Options",230,4.0,$$ - $$$,47.0,/Restaurant_Review-g189934-d4476199-Reviews-Cafe_Bar_Valimo-Helsinki_Uusimaa.html,d4476199
