index,Date,Day,Var,Cases,Deaths
11,12/14/2014,267,UnitedStates,,
12,12/9/2014,262,Guinea,,
12,12/9/2014,262,Liberia,7797.0,3290.0
12,12/9/2014,262,Mali,,
12,12/9/2014,262,Nigeria,,
12,12/9/2014,262,Senegal,,
12,12/9/2014,262,SierraLeone,,
12,12/9/2014,262,Spain,,
12,12/9/2014,262,UnitedStates,,
13,12/7/2014,260,Guinea,2292.0,1428.0
13,12/7/2014,260,Liberia,,
13,12/7/2014,260,Mali,7.0,6.0
13,12/7/2014,260,Nigeria,20.0,8.0
13,12/7/2014,260,Senegal,1.0,0.0
13,12/7/2014,260,SierraLeone,7897.0,1768.0
13,12/7/2014,260,Spain,1.0,0.0
13,12/7/2014,260,UnitedStates,4.0,1.0
14,12/3/2014,256,Guinea,,
14,12/3/2014,256,Liberia,7719.0,3177.0
14,12/3/2014,256,Mali,,
14,12/3/2014,256,Nigeria,,
14,12/3/2014,256,Senegal,,
14,12/3/2014,256,SierraLeone,,
14,12/3/2014,256,Spain,,
14,12/3/2014,256,UnitedStates,,
15,11/30/2014,253,Guinea,2164.0,1327.0
15,11/30/2014,253,Liberia,,
15,11/30/2014,253,Mali,7.0,6.0
15,11/30/2014,253,Nigeria,20.0,8.0
15,11/30/2014,253,Senegal,1.0,0.0
15,11/30/2014,253,SierraLeone,7312.0,1583.0
15,11/30/2014,253,Spain,1.0,0.0
15,11/30/2014,253,UnitedStates,4.0,1.0
16,11/28/2014,251,Guinea,,
16,11/28/2014,251,Liberia,7635.0,3145.0
16,11/28/2014,251,Mali,,
16,11/28/2014,251,Nigeria,,
16,11/28/2014,251,Senegal,,
16,11/28/2014,251,SierraLeone,,
16,11/28/2014,251,Spain,,
16,11/28/2014,251,UnitedStates,,
17,11/23/2014,246,Guinea,2134.0,1260.0
17,11/23/2014,246,Liberia,,
17,11/23/2014,246,Mali,7.0,6.0
17,11/23/2014,246,Nigeria,20.0,8.0
17,11/23/2014,246,Senegal,1.0,0.0
17,11/23/2014,246,SierraLeone,6599.0,1398.0
17,11/23/2014,246,Spain,1.0,0.0
17,11/23/2014,246,UnitedStates,4.0,1.0
18,11/22/2014,245,Guinea,,
18,11/22/2014,245,Liberia,7168.0,3016.0
18,11/22/2014,245,Mali,,
18,11/22/2014,245,Nigeria,,
18,11/22/2014,245,Senegal,,
18,11/22/2014,245,SierraLeone,,
18,11/22/2014,245,Spain,,
18,11/22/2014,245,UnitedStates,,
19,11/18/2014,241,Guinea,2047.0,1214.0
19,11/18/2014,241,Liberia,7082.0,2963.0
19,11/18/2014,241,Mali,6.0,6.0
19,11/18/2014,241,Nigeria,20.0,8.0
19,11/18/2014,241,Senegal,1.0,0.0
19,11/18/2014,241,SierraLeone,6190.0,1267.0
19,11/18/2014,241,Spain,1.0,0.0
19,11/18/2014,241,UnitedStates,4.0,1.0
20,11/16/2014,239,Guinea,1971.0,1192.0
20,11/16/2014,239,Liberia,,
20,11/16/2014,239,Mali,5.0,5.0
20,11/16/2014,239,Nigeria,20.0,8.0
20,11/16/2014,239,Senegal,1.0,0.0
20,11/16/2014,239,SierraLeone,6073.0,1250.0
20,11/16/2014,239,Spain,1.0,0.0
20,11/16/2014,239,UnitedStates,4.0,1.0
21,11/15/2014,238,Guinea,,
21,11/15/2014,238,Liberia,7069.0,2964.0
21,11/15/2014,238,Mali,,
21,11/15/2014,238,Nigeria,,
21,11/15/2014,238,Senegal,,
21,11/15/2014,238,SierraLeone,,
21,11/15/2014,238,Spain,,
21,11/15/2014,238,UnitedStates,,
22,11/11/2014,234,Guinea,1919.0,1166.0
22,11/11/2014,234,Liberia,,
22,11/11/2014,234,Mali,4.0,3.0
22,11/11/2014,234,Nigeria,20.0,8.0
22,11/11/2014,234,Senegal,1.0,0.0
22,11/11/2014,234,SierraLeone,5586.0,1187.0
22,11/11/2014,234,Spain,1.0,0.0
22,11/11/2014,234,UnitedStates,4.0,1.0
23,11/10/2014,233,Guinea,,
23,11/10/2014,233,Liberia,6878.0,2812.0
23,11/10/2014,233,Mali,,
23,11/10/2014,233,Nigeria,,
23,11/10/2014,233,Senegal,,
23,11/10/2014,233,SierraLeone,,
23,11/10/2014,233,Spain,,
23,11/10/2014,233,UnitedStates,,
24,11/9/2014,232,Guinea,1878.0,1142.0
24,11/9/2014,232,Liberia,,
24,11/9/2014,232,Mali,1.0,1.0
24,11/9/2014,232,Nigeria,20.0,8.0
24,11/9/2014,232,Senegal,1.0,0.0
24,11/9/2014,232,SierraLeone,5368.0,1169.0
24,11/9/2014,232,Spain,1.0,0.0
24,11/9/2014,232,UnitedStates,4.0,1.0
25,11/8/2014,231,Guinea,,
25,11/8/2014,231,Liberia,6822.0,2836.0
25,11/8/2014,231,Mali,,
25,11/8/2014,231,Nigeria,,
25,11/8/2014,231,Senegal,,
25,11/8/2014,231,SierraLeone,,
25,11/8/2014,231,Spain,,
25,11/8/2014,231,UnitedStates,,
26,11/4/2014,227,Guinea,,
26,11/4/2014,227,Liberia,6619.0,2766.0
26,11/4/2014,227,Mali,1.0,1.0
26,11/4/2014,227,Nigeria,20.0,8.0
26,11/4/2014,227,Senegal,1.0,0.0
26,11/4/2014,227,SierraLeone,4862.0,1130.0
26,11/4/2014,227,Spain,1.0,0.0
26,11/4/2014,227,UnitedStates,4.0,1.0
27,11/3/2014,226,Guinea,1760.0,1054.0
27,11/3/2014,226,Liberia,,
27,11/3/2014,226,Mali,,
27,11/3/2014,226,Nigeria,,
27,11/3/2014,226,Senegal,,
27,11/3/2014,226,SierraLeone,,
27,11/3/2014,226,Spain,,
27,11/3/2014,226,UnitedStates,,
28,11/2/2014,225,Guinea,1731.0,1041.0
28,11/2/2014,225,Liberia,,
28,11/2/2014,225,Mali,1.0,1.0
28,11/2/2014,225,Nigeria,20.0,8.0
28,11/2/2014,225,Senegal,1.0,0.0
28,11/2/2014,225,SierraLeone,4759.0,1070.0
28,11/2/2014,225,Spain,1.0,0.0
28,11/2/2014,225,UnitedStates,4.0,1.0
29,10/31/2014,222,Guinea,,
29,10/31/2014,222,Liberia,6525.0,2697.0
29,10/31/2014,222,Mali,,
29,10/31/2014,222,Nigeria,,
29,10/31/2014,222,Senegal,,
29,10/31/2014,222,SierraLeone,,
29,10/31/2014,222,Spain,,
29,10/31/2014,222,UnitedStates,,
30,10/29/2014,220,Guinea,1667.0,1018.0
30,10/29/2014,220,Liberia,,
30,10/29/2014,220,Mali,1.0,1.0
30,10/29/2014,220,Nigeria,20.0,8.0
30,10/29/2014,220,Senegal,1.0,0.0
30,10/29/2014,220,SierraLeone,5338.0,1510.0
30,10/29/2014,220,Spain,1.0,0.0
30,10/29/2014,220,UnitedStates,4.0,1.0
31,10/27/2014,218,Guinea,1906.0,997.0
31,10/27/2014,218,Liberia,,
31,10/27/2014,218,Mali,1.0,1.0
31,10/27/2014,218,Nigeria,20.0,8.0
31,10/27/2014,218,Senegal,1.0,0.0
31,10/27/2014,218,SierraLeone,5235.0,1500.0
31,10/27/2014,218,Spain,1.0,0.0
31,10/27/2014,218,UnitedStates,4.0,1.0
32,10/25/2014,216,Guinea,,
32,10/25/2014,216,Liberia,6535.0,2413.0
32,10/25/2014,216,Mali,,
32,10/25/2014,216,Nigeria,,
32,10/25/2014,216,Senegal,,
32,10/25/2014,216,SierraLeone,,
32,10/25/2014,216,Spain,,
32,10/25/2014,216,UnitedStates,,
33,10/22/2014,214,Guinea,,
33,10/22/2014,214,Liberia,,
33,10/22/2014,214,Mali,1.0,1.0
33,10/22/2014,214,Nigeria,,
33,10/22/2014,214,Senegal,,
33,10/22/2014,214,SierraLeone,3896.0,1281.0
33,10/22/2014,214,Spain,1.0,0.0
33,10/22/2014,214,UnitedStates,4.0,1.0
34,10/21/2014,213,Guinea,1553.0,926.0
34,10/21/2014,213,Liberia,,
34,10/21/2014,213,Mali,,
34,10/21/2014,213,Nigeria,,
34,10/21/2014,213,Senegal,,
34,10/21/2014,213,SierraLeone,,
34,10/21/2014,213,Spain,,
34,10/21/2014,213,UnitedStates,,
35,10/19/2014,211,Guinea,1540.0,904.0
35,10/19/2014,211,Liberia,,
35,10/19/2014,211,Mali,,
35,10/19/2014,211,Nigeria,20.0,8.0
35,10/19/2014,211,Senegal,1.0,0.0
35,10/19/2014,211,SierraLeone,3706.0,1259.0
35,10/19/2014,211,Spain,1.0,0.0
35,10/19/2014,211,UnitedStates,3.0,1.0
36,10/18/2014,210,Guinea,,
36,10/18/2014,210,Liberia,4665.0,2705.0
36,10/18/2014,210,Mali,,
36,10/18/2014,210,Nigeria,,
36,10/18/2014,210,Senegal,,
36,10/18/2014,210,SierraLeone,,
36,10/18/2014,210,Spain,,
36,10/18/2014,210,UnitedStates,,
37,10/14/2014,206,Guinea,1519.0,862.0
37,10/14/2014,206,Liberia,,
37,10/14/2014,206,Mali,,
37,10/14/2014,206,Nigeria,20.0,8.0
37,10/14/2014,206,Senegal,1.0,0.0
37,10/14/2014,206,SierraLeone,3410.0,1200.0
37,10/14/2014,206,Spain,1.0,1.0
37,10/14/2014,206,UnitedStates,3.0,0.0
38,10/13/2014,205,Guinea,,
38,10/13/2014,205,Liberia,4262.0,2484.0
38,10/13/2014,205,Mali,,
38,10/13/2014,205,Nigeria,,
38,10/13/2014,205,Senegal,,
38,10/13/2014,205,SierraLeone,,
38,10/13/2014,205,Spain,,
38,10/13/2014,205,UnitedStates,,
39,10/12/2014,204,Guinea,1472.0,843.0
39,10/12/2014,204,Liberia,,
39,10/12/2014,204,Mali,,
39,10/12/2014,204,Nigeria,20.0,8.0
39,10/12/2014,204,Senegal,1.0,0.0
39,10/12/2014,204,SierraLeone,3252.0,1183.0
39,10/12/2014,204,Spain,1.0,1.0
39,10/12/2014,204,UnitedStates,2.0,1.0
40,10/11/2014,203,Guinea,,
40,10/11/2014,203,Liberia,4249.0,2458.0
40,10/11/2014,203,Mali,,
40,10/11/2014,203,Nigeria,,
40,10/11/2014,203,Senegal,,
40,10/11/2014,203,SierraLeone,,
40,10/11/2014,203,Spain,,
40,10/11/2014,203,UnitedStates,,
41,10/8/2014,200,Guinea,,
41,10/8/2014,200,Liberia,,
41,10/8/2014,200,Mali,,
41,10/8/2014,200,Nigeria,20.0,8.0
41,10/8/2014,200,Senegal,1.0,0.0
41,10/8/2014,200,SierraLeone,2950.0,930.0
41,10/8/2014,200,Spain,1.0,1.0
41,10/8/2014,200,UnitedStates,1.0,1.0
42,10/7/2014,199,Guinea,1350.0,778.0
42,10/7/2014,199,Liberia,4076.0,2316.0
42,10/7/2014,199,Mali,,
42,10/7/2014,199,Nigeria,,
42,10/7/2014,199,Senegal,,
42,10/7/2014,199,SierraLeone,,
42,10/7/2014,199,Spain,,
42,10/7/2014,199,UnitedStates,,
43,10/5/2014,197,Guinea,1298.0,768.0
43,10/5/2014,197,Liberia,,
43,10/5/2014,197,Mali,,
43,10/5/2014,197,Nigeria,20.0,8.0
43,10/5/2014,197,Senegal,1.0,0.0
43,10/5/2014,197,SierraLeone,2789.0,879.0
43,10/5/2014,197,Spain,,
43,10/5/2014,197,UnitedStates,1.0,0.0
44,10/4/2014,196,Guinea,,
44,10/4/2014,196,Liberia,3924.0,2210.0
44,10/4/2014,196,Mali,,
44,10/4/2014,196,Nigeria,,
44,10/4/2014,196,Senegal,,
44,10/4/2014,196,SierraLeone,,
44,10/4/2014,196,Spain,,
44,10/4/2014,196,UnitedStates,,
45,10/1/2014,193,Guinea,1199.0,739.0
45,10/1/2014,193,Liberia,3834.0,2069.0
45,10/1/2014,193,Mali,,
45,10/1/2014,193,Nigeria,20.0,8.0
45,10/1/2014,193,Senegal,1.0,0.0
45,10/1/2014,193,SierraLeone,2437.0,623.0
45,10/1/2014,193,Spain,,
45,10/1/2014,193,UnitedStates,1.0,0.0
46,9/28/2014,190,Guinea,1157.0,710.0
46,9/28/2014,190,Liberia,3696.0,1998.0
46,9/28/2014,190,Mali,,
46,9/28/2014,190,Nigeria,20.0,8.0
46,9/28/2014,190,Senegal,1.0,0.0
46,9/28/2014,190,SierraLeone,2304.0,622.0
46,9/28/2014,190,Spain,,
46,9/28/2014,190,UnitedStates,,
47,9/23/2014,185,Guinea,1074.0,648.0
47,9/23/2014,185,Liberia,3458.0,1830.0
47,9/23/2014,185,Mali,,
47,9/23/2014,185,Nigeria,20.0,8.0
47,9/23/2014,185,Senegal,1.0,0.0
47,9/23/2014,185,SierraLeone,2021.0,605.0
47,9/23/2014,185,Spain,,
47,9/23/2014,185,UnitedStates,,
48,9/21/2014,183,Guinea,1022.0,635.0
48,9/21/2014,183,Liberia,3280.0,1677.0
48,9/21/2014,183,Mali,,
48,9/21/2014,183,Nigeria,20.0,8.0
48,9/21/2014,183,Senegal,1.0,0.0
48,9/21/2014,183,SierraLeone,1940.0,597.0
48,9/21/2014,183,Spain,,
48,9/21/2014,183,UnitedStates,,
49,9/20/2014,182,Guinea,,
49,9/20/2014,182,Liberia,,
49,9/20/2014,182,Mali,,
49,9/20/2014,182,Nigeria,,
49,9/20/2014,182,Senegal,,
49,9/20/2014,182,SierraLeone,1813.0,593.0
49,9/20/2014,182,Spain,,
49,9/20/2014,182,UnitedStates,,
50,9/19/2014,181,Guinea,1008.0,632.0
50,9/19/2014,181,Liberia,,
50,9/19/2014,181,Mali,,
50,9/19/2014,181,Nigeria,,
50,9/19/2014,181,Senegal,,
50,9/19/2014,181,SierraLeone,,
50,9/19/2014,181,Spain,,
50,9/19/2014,181,UnitedStates,,
51,9/17/2014,179,Guinea,,
51,9/17/2014,179,Liberia,3022.0,1578.0
51,9/17/2014,179,Mali,,
51,9/17/2014,179,Nigeria,,
51,9/17/2014,179,Senegal,,
51,9/17/2014,179,SierraLeone,,
51,9/17/2014,179,Spain,,
51,9/17/2014,179,UnitedStates,,
52,9/14/2014,176,Guinea,942.0,601.0
52,9/14/2014,176,Liberia,2710.0,1459.0
52,9/14/2014,176,Mali,,
52,9/14/2014,176,Nigeria,,
52,9/14/2014,176,Senegal,,
52,9/14/2014,176,SierraLeone,1673.0,562.0
52,9/14/2014,176,Spain,,
52,9/14/2014,176,UnitedStates,,
53,9/13/2014,175,Guinea,936.0,595.0
53,9/13/2014,175,Liberia,,1296.0
53,9/13/2014,175,Mali,,
53,9/13/2014,175,Nigeria,21.0,8.0
53,9/13/2014,175,Senegal,1.0,0.0
53,9/13/2014,175,SierraLeone,1620.0,562.0
53,9/13/2014,175,Spain,,
53,9/13/2014,175,UnitedStates,,
54,9/10/2014,172,Guinea,899.0,568.0
54,9/10/2014,172,Liberia,,
54,9/10/2014,172,Mali,,
54,9/10/2014,172,Nigeria,21.0,8.0
54,9/10/2014,172,Senegal,1.0,
54,9/10/2014,172,SierraLeone,1478.0,536.0
54,9/10/2014,172,Spain,,
54,9/10/2014,172,UnitedStates,,
55,9/9/2014,171,Guinea,,
55,9/9/2014,171,Liberia,2407.0,
55,9/9/2014,171,Mali,,
55,9/9/2014,171,Nigeria,,
55,9/9/2014,171,Senegal,,
55,9/9/2014,171,SierraLeone,,
55,9/9/2014,171,Spain,,
55,9/9/2014,171,UnitedStates,,
56,9/7/2014,169,Guinea,861.0,557.0
56,9/7/2014,169,Liberia,2081.0,1137.0
56,9/7/2014,169,Mali,,
56,9/7/2014,169,Nigeria,21.0,8.0
56,9/7/2014,169,Senegal,3.0,0.0
56,9/7/2014,169,SierraLeone,1424.0,524.0
56,9/7/2014,169,Spain,,
56,9/7/2014,169,UnitedStates,,
57,9/5/2014,167,Guinea,812.0,517.0
57,9/5/2014,167,Liberia,1871.0,1089.0
57,9/5/2014,167,Mali,,
57,9/5/2014,167,Nigeria,22.0,8.0
57,9/5/2014,167,Senegal,1.0,
57,9/5/2014,167,SierraLeone,1261.0,491.0
57,9/5/2014,167,Spain,,
57,9/5/2014,167,UnitedStates,,
58,8/31/2014,162,Guinea,771.0,494.0
58,8/31/2014,162,Liberia,1698.0,871.0
58,8/31/2014,162,Mali,,
58,8/31/2014,162,Nigeria,21.0,7.0
58,8/31/2014,162,Senegal,1.0,
58,8/31/2014,162,SierraLeone,1216.0,476.0
58,8/31/2014,162,Spain,,
58,8/31/2014,162,UnitedStates,,
59,8/26/2014,157,Guinea,648.0,430.0
59,8/26/2014,157,Liberia,1378.0,694.0
59,8/26/2014,157,Mali,,
59,8/26/2014,157,Nigeria,17.0,6.0
59,8/26/2014,157,Senegal,,
59,8/26/2014,157,SierraLeone,1026.0,422.0
59,8/26/2014,157,Spain,,
59,8/26/2014,157,UnitedStates,,
60,8/20/2014,151,Guinea,607.0,406.0
60,8/20/2014,151,Liberia,1082.0,624.0
60,8/20/2014,151,Mali,,
60,8/20/2014,151,Nigeria,16.0,5.0
60,8/20/2014,151,Senegal,,
60,8/20/2014,151,SierraLeone,910.0,392.0
60,8/20/2014,151,Spain,,
60,8/20/2014,151,UnitedStates,,
61,8/18/2014,149,Guinea,579.0,396.0
61,8/18/2014,149,Liberia,972.0,576.0
61,8/18/2014,149,Mali,,
61,8/18/2014,149,Nigeria,15.0,4.0
61,8/18/2014,149,Senegal,,
61,8/18/2014,149,SierraLeone,907.0,374.0
61,8/18/2014,149,Spain,,
61,8/18/2014,149,UnitedStates,,
62,8/16/2014,147,Guinea,543.0,394.0
62,8/16/2014,147,Liberia,834.0,466.0
62,8/16/2014,147,Mali,,
62,8/16/2014,147,Nigeria,15.0,4.0
62,8/16/2014,147,Senegal,,
62,8/16/2014,147,SierraLeone,848.0,365.0
62,8/16/2014,147,Spain,,
62,8/16/2014,147,UnitedStates,,
63,8/13/2014,144,Guinea,519.0,380.0
63,8/13/2014,144,Liberia,786.0,413.0
63,8/13/2014,144,Mali,,
63,8/13/2014,144,Nigeria,12.0,4.0
63,8/13/2014,144,Senegal,,
63,8/13/2014,144,SierraLeone,810.0,348.0
63,8/13/2014,144,Spain,,
63,8/13/2014,144,UnitedStates,,
64,8/11/2014,142,Guinea,510.0,377.0
64,8/11/2014,142,Liberia,670.0,355.0
64,8/11/2014,142,Mali,,
64,8/11/2014,142,Nigeria,12.0,3.0
64,8/11/2014,142,Senegal,,
64,8/11/2014,142,SierraLeone,783.0,334.0
64,8/11/2014,142,Spain,,
64,8/11/2014,142,UnitedStates,,
65,8/9/2014,140,Guinea,506.0,373.0
65,8/9/2014,140,Liberia,599.0,323.0
65,8/9/2014,140,Mali,,
65,8/9/2014,140,Nigeria,13.0,2.0
65,8/9/2014,140,Senegal,,
65,8/9/2014,140,SierraLeone,730.0,315.0
65,8/9/2014,140,Spain,,
65,8/9/2014,140,UnitedStates,,
66,8/6/2014,137,Guinea,495.0,367.0
66,8/6/2014,137,Liberia,554.0,294.0
66,8/6/2014,137,Mali,,
66,8/6/2014,137,Nigeria,13.0,2.0
66,8/6/2014,137,Senegal,,
66,8/6/2014,137,SierraLeone,717.0,298.0
66,8/6/2014,137,Spain,,
66,8/6/2014,137,UnitedStates,,
67,8/4/2014,135,Guinea,495.0,363.0
67,8/4/2014,135,Liberia,516.0,282.0
67,8/4/2014,135,Mali,,
67,8/4/2014,135,Nigeria,9.0,1.0
67,8/4/2014,135,Senegal,,
67,8/4/2014,135,SierraLeone,691.0,286.0
67,8/4/2014,135,Spain,,
67,8/4/2014,135,UnitedStates,,
68,8/1/2014,132,Guinea,485.0,358.0
68,8/1/2014,132,Liberia,468.0,255.0
68,8/1/2014,132,Mali,,
68,8/1/2014,132,Nigeria,4.0,1.0
68,8/1/2014,132,Senegal,,
68,8/1/2014,132,SierraLeone,646.0,273.0
68,8/1/2014,132,Spain,,
68,8/1/2014,132,UnitedStates,,
69,7/30/2014,129,Guinea,472.0,346.0
69,7/30/2014,129,Liberia,391.0,227.0
69,7/30/2014,129,Mali,,
69,7/30/2014,129,Nigeria,3.0,1.0
69,7/30/2014,129,Senegal,,
69,7/30/2014,129,SierraLeone,574.0,252.0
69,7/30/2014,129,Spain,,
69,7/30/2014,129,UnitedStates,,
70,7/27/2014,126,Guinea,460.0,339.0
70,7/27/2014,126,Liberia,329.0,156.0
70,7/27/2014,126,Mali,,
70,7/27/2014,126,Nigeria,1.0,1.0
70,7/27/2014,126,Senegal,,
70,7/27/2014,126,SierraLeone,533.0,233.0
70,7/27/2014,126,Spain,,
70,7/27/2014,126,UnitedStates,,
71,7/23/2014,123,Guinea,427.0,319.0
71,7/23/2014,123,Liberia,249.0,129.0
71,7/23/2014,123,Mali,,
71,7/23/2014,123,Nigeria,0.0,0.0
71,7/23/2014,123,Senegal,,
71,7/23/2014,123,SierraLeone,525.0,224.0
71,7/23/2014,123,Spain,,
71,7/23/2014,123,UnitedStates,,
72,7/20/2014,120,Guinea,415.0,314.0
72,7/20/2014,120,Liberia,224.0,127.0
72,7/20/2014,120,Mali,,
72,7/20/2014,120,Nigeria,,
72,7/20/2014,120,Senegal,,
72,7/20/2014,120,SierraLeone,454.0,219.0
72,7/20/2014,120,Spain,,
72,7/20/2014,120,UnitedStates,,
73,7/17/2014,117,Guinea,410.0,310.0
73,7/17/2014,117,Liberia,196.0,116.0
73,7/17/2014,117,Mali,,
73,7/17/2014,117,Nigeria,,
73,7/17/2014,117,Senegal,,
73,7/17/2014,117,SierraLeone,442.0,206.0
73,7/17/2014,117,Spain,,
73,7/17/2014,117,UnitedStates,,
74,7/14/2014,114,Guinea,411.0,310.0
74,7/14/2014,114,Liberia,174.0,106.0
74,7/14/2014,114,Mali,,
74,7/14/2014,114,Nigeria,,
74,7/14/2014,114,Senegal,,
74,7/14/2014,114,SierraLeone,397.0,197.0
74,7/14/2014,114,Spain,,
74,7/14/2014,114,UnitedStates,,
75,7/12/2014,112,Guinea,406.0,304.0
75,7/12/2014,112,Liberia,172.0,105.0
75,7/12/2014,112,Mali,,
75,7/12/2014,112,Nigeria,,
75,7/12/2014,112,Senegal,,
75,7/12/2014,112,SierraLeone,386.0,194.0
75,7/12/2014,112,Spain,,
75,7/12/2014,112,UnitedStates,,
76,7/8/2014,108,Guinea,409.0,309.0
76,7/8/2014,108,Liberia,142.0,88.0
76,7/8/2014,108,Mali,,
76,7/8/2014,108,Nigeria,,
76,7/8/2014,108,Senegal,,
76,7/8/2014,108,SierraLeone,337.0,142.0
76,7/8/2014,108,Spain,,
76,7/8/2014,108,UnitedStates,,
77,7/6/2014,106,Guinea,408.0,307.0
77,7/6/2014,106,Liberia,131.0,84.0
77,7/6/2014,106,Mali,,
77,7/6/2014,106,Nigeria,,
77,7/6/2014,106,Senegal,,
77,7/6/2014,106,SierraLeone,305.0,127.0
77,7/6/2014,106,Spain,,
77,7/6/2014,106,UnitedStates,,
78,7/2/2014,102,Guinea,412.0,305.0
78,7/2/2014,102,Liberia,115.0,75.0
78,7/2/2014,102,Mali,,
78,7/2/2014,102,Nigeria,,
78,7/2/2014,102,Senegal,,
78,7/2/2014,102,SierraLeone,252.0,101.0
78,7/2/2014,102,Spain,,
78,7/2/2014,102,UnitedStates,,
79,6/30/2014,100,Guinea,413.0,303.0
79,6/30/2014,100,Liberia,107.0,65.0
79,6/30/2014,100,Mali,,
79,6/30/2014,100,Nigeria,,
79,6/30/2014,100,Senegal,,
79,6/30/2014,100,SierraLeone,239.0,99.0
79,6/30/2014,100,Spain,,
79,6/30/2014,100,UnitedStates,,
80,6/22/2014,92,Guinea,,
80,6/22/2014,92,Liberia,51.0,34.0
80,6/22/2014,92,Mali,,
80,6/22/2014,92,Nigeria,,
80,6/22/2014,92,Senegal,,
80,6/22/2014,92,SierraLeone,,
80,6/22/2014,92,Spain,,
80,6/22/2014,92,UnitedStates,,
81,6/20/2014,90,Guinea,390.0,270.0
81,6/20/2014,90,Liberia,,
81,6/20/2014,90,Mali,,
81,6/20/2014,90,Nigeria,,
81,6/20/2014,90,Senegal,,
81,6/20/2014,90,SierraLeone,158.0,34.0
81,6/20/2014,90,Spain,,
81,6/20/2014,90,UnitedStates,,
82,6/19/2014,89,Guinea,,
