original_title,title_length,production_companies
Unfinished Business,19,"Studio Babelsberg, Regency Enterprises, Escape Artists, New Regency Pictures"
Black or White,14,Treehouse Pictures
Jem and the Holograms,21,"Universal Pictures, Blumhouse Productions, Hasbro Studios, Allspark Pictures"
Interstellar,12,"Paramount Pictures, Legendary Pictures, Warner Bros., Syncopy, Lynda Obst Productions"
Guardians of the Galaxy,23,"Marvel Studios, Moving Picture Company (MPC), Bulletproof Cupid, Revolution Sun Studios"
Captain America: The Winter Soldier,35,Marvel Studios
John Wick,9,"Thunder Road Pictures, Warner Bros., 87Eleven, DefyNite Films, MJW Films"
The Hunger Games: Mockingjay - Part 1,37,"Lionsgate, Color Force"
The Hobbit: The Battle of the Five Armies,41,"WingNut Films, New Line Cinema, 3Foot7, Metro-Goldwyn-Mayer (MGM)"
Big Hero 6,10,"Walt Disney Pictures, Walt Disney Animation Studios"
The Imitation Game,18,"Black Bear Pictures, Bristol Automotive"
The Maze Runner,15,"Ingenious Media, Twentieth Century Fox Film Corporation, Gotham Group, Dayday Films, Temple Hill Entertainment"
Birdman,7,"Worldview Entertainment, New Regency Pictures, TSG Entertainment, Le Grisbi Productions, M Productions"
Gone Girl,9,"Twentieth Century Fox Film Corporation, Regency Enterprises, New Regency Pictures, Pacific Standard, TSG Entertainment"
Fury,4,"Columbia Pictures, QED International, Crave Films, LStar Capital, Huayi Brothers Media"
Night at the Museum: Secret of the Tomb,39,"Twentieth Century Fox Film Corporation, 1492 Pictures, 21 Laps Entertainment, Moving Picture Company (MPC), TSG Entertainment"
Divergent,9,"Summit Entertainment, Red Wagon Entertainment"
X-Men: Days of Future Past,26,"Twentieth Century Fox Film Corporation, Donners' Company, Marvel Entertainment, Bad Hat Harry Productions, TSG Entertainment"
Lucy,4,"Universal Pictures, TF1 Films Production, Canal+, EuropaCorp, Cin̩+"
Teenage Mutant Ninja Turtles,28,"Paramount Pictures, Nickelodeon Movies, Platinum Dunes"
Sex Tape,8,"Escape Artists, Media Rights Capital, Sony Pictures Entertainment (SPE), LStar Capital"
Nightcrawler,12,"Bold Films, Sierra / Affinity"
Transformers: Age of Extinction,31,"Paramount Pictures, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, Hasbro"
The Grand Budapest Hotel,24,"Fox Searchlight Pictures, Scott Rudin Productions, Studio Babelsberg, Indian Paintbrush, TSG Entertainment"
Dawn of the Planet of the Apes,30,"Ingenious Media, Chernin Entertainment, TSG Entertainment"
The Equalizer,13,"Columbia Pictures, Village Roadshow Pictures, Escape Artists, Mace Neufeld Productions, LStar Capital"
Horrible Bosses 2,17,"New Line Cinema, BenderSpink, RatPac Entertainment"
The Amazing Spider-Man 2,24,"Columbia Pictures, Marvel Enterprises, Avi Arad Productions, Matt Tolmach Productions"
Edge of Tomorrow,16,"Village Roadshow Pictures, Warner Bros., Viz Media, Province of British Columbia Production Services Tax Credit, 3 Arts Entertainment"
The Interview,13,Columbia TriStar
American Sniper,15,"Village Roadshow Pictures, Malpaso Productions, Warner Bros., RatPac-Dune Entertainment, Mad Chance Productions"
Exodus: Gods and Kings,22,"Scott Free Productions, Chernin Entertainment, Babieka, Volcano Films"
Godzilla,8,"Toho Company, Legendary Pictures, Warner Bros., Disruption Entertainment, RatPac-Dune Entertainment"
Maleficent,10,"Walt Disney Pictures, Roth Films"
The November Man,16,"Irish Dreamtime, Relativity Media, SPD Films"
Ouija,5,"Universal Pictures, Platinum Dunes, Media Rights Capital, Hasbro, Blumhouse Productions"
How to Train Your Dragon 2,26,"DreamWorks Animation, Mad Hatter Entertainment"
The Expendables 3,17,"Davis-Films, Nu Image Films, LionsGate, Millennium Films, Ex3 Productions"
The Lego Movie,14,"Village Roadshow Pictures, DC Comics, Vertigo Entertainment, Lin Pictures, Warner Bros. Animation"
Seventh Son,11,"Legendary Pictures, Thunder Road Pictures, Outlaw Sinema, Moving Picture Company (MPC), Pendle Mountain Productions"
The Theory of Everything,24,Working Title Films
Let's Be Cops,13,"Twentieth Century Fox Film Corporation, WideAwake, Genre Films"
Dracula Untold,14,"Universal Pictures, Legendary Pictures, Fuji Television Network, Dentsu, Michael De Luca Productions"
Penguins of Madagascar,22,DreamWorks Animation
Into the Woods,14,"Walt Disney Pictures, Marc Platt Productions, Lucamar Productions"
300: Rise of an Empire,22,"Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Warner Bros., Nimar Studios"
The Giver,9,"The Weinstein Company, Walden Media, Tonik Productions, Asis Productions"
22 Jump Street,14,"Columbia Pictures, Original Film, Media Rights Capital, Metro-Goldwyn-Mayer (MGM), Cannell Studios"
A Walk Among the Tombstones,27,"Double Feature Films, Jersey Films, 1984 Private Defense Contractors, Cross Creek Pictures, Exclusive Media Group"
Paddington,10,"The Weinstein Company, StudioCanal, TF1 Films Production, Canal+, Heyday Films"
Cake,4,"Echo Films, We're Not Brothers Productions, Cinelou Films"
Chef,4,"Open Road Films, Aldamisa Entertainment, Kilburn Media, Fetisov Teterin Films"
The Purge: Anarchy,18,"Universal Pictures, Why Not Productions, Platinum Dunes, Blumhouse Productions, 5150 Action"
Left Behind,11,Stoney Lake Entertainment
A Most Violent Year,19,"Participant Media, Imagenation Abu Dhabi FZ, FilmNation Entertainment, Before the Door Pictures, Washington Square Films"
Hercules,8,"Paramount Pictures, Metro-Goldwyn-Mayer (MGM), Radical Studios, Flynn Picture Company"
Noah,4,"Paramount Pictures, Regency Enterprises, Protozoa Pictures, Disruption Entertainment"
The Judge,9,"Village Roadshow Pictures, Warner Bros., Big Kid Pictures, Team Downey"
Blended,7,"Happy Madison Productions, Karz Entertainment, Warner Bros., Gulfstream Pictures"
Neighbors,9,"Universal Pictures, Point Grey Pictures, Good Universe"
If I Stay,9,"New Line Cinema, Metro-Goldwyn-Mayer (MGM)"
Step Up All In,14,"Summit Entertainment, Offspring Entertainment"
The Fault in Our Stars,22,"Fox 2000 Pictures, Temple Hill Entertainment, TSG Entertainment"
Ride Along,10,"Universal Pictures, Rainforest Films, Cube Vision, Relativity Media"
Inherent Vice,13,"Ghoulardi Film Company, Warner Bros."
Jack Ryan: Shadow Recruit,25,"Paramount Pictures, Di Bonaventura Pictures, Mace Neufeld Productions, Skydance Productions, Etalon film"
Non-Stop,8,"StudioCanal, Silver Pictures, TF1 Films Production, Canal+, Anton Capital Entertainment (ACE)"
Predestination,14,"Screen Australia, Screen Queensland, Blacklab Entertainment, Wolfhound Pictures"
RoboCop,7,"Columbia Pictures, Strike Entertainment, Metro-Goldwyn-Mayer (MGM)"
Transcendence,13,"Alcon Entertainment, Syncopy, DMG Entertainment, Straight Up Films"
The Other Woman,15,"Twentieth Century Fox Film Corporation, LBI Productions"
Mr. Peabody & Sherman,21,20th Century Fox
Sin City: A Dame to Kill For,28,"Miramax Films, Troublemaker Studios, AR Films, Aldamisa Entertainment, Demarest Films"
Rio 2,5,"Blue Sky Studios, Twentieth Century Fox Animation"
Dumb and Dumber To,18,"New Line Cinema, Universal Pictures, Conundrum Entertainment, Red Granite Pictures"
The Monuments Men,17,"Columbia Pictures, Studio Babelsberg, Fox 2000 Pictures, Smokehouse Pictures, Obelisk Productions"
Unbroken,8,"Legendary Pictures, 3 Arts Entertainment, Jolie Pas"
Selma,5,"Plan B Entertainment, Harpo Films, Celador Films, Cloud Eight Films, Path̩"
Pompeii,7,"Impact Pictures, TriStar Pictures, Don Carmody Productions, FilmDistrict, Constantin Film International"
The Best of Me,14,Relativity Media
Annie,5,"Columbia Pictures, Sony Pictures Entertainment (SPE), Overbrook Entertainment"
St. Vincent,11,"The Weinstein Company, Crescendo Productions, Chernin Entertainment, Goldenlight Films"
Need for Speed,14,"DreamWorks SKG, Reliance Entertainment, Bandito Brothers, Touchstone Pictures, Electronic Arts"
The Hundred-Foot Journey,24,"Amblin Entertainment, Harpo Films, Participant Media, Imagenation Abu Dhabi FZ, Reliance Entertainment"
The Boxtrolls,13,Laika Entertainment
Big Eyes,8,"The Weinstein Company, Silverwood Films, Electric City Entertainment, Tim Burton Productions"
The Prince,10,"Grindstone Entertainment Group, Emmett/Furla Films, Oasis Films, Aperture Entertainment"
Into the Storm,14,"New Line Cinema, Village Roadshow Pictures, Broken Road Productions"
Planes: Fire & Rescue,21,"Walt Disney Pictures, DisneyToon Studios, Prana Studios, Prana Animation Studios"
Sabotage,8,"Open Road Films, QED International, Albert S. Ruddy Productions, Crave Films, Roth Films"
No Good Deed,12,"Sony Pictures, Screen Gems"
"As Above, So Below",18,Legendary Pictures
Foxcatcher,10,"Likely Story, Media Rights Capital, Annapurna Pictures"
Endless Love,12,"Universal Pictures, Fake Empire, Bluegrass Films"
The Rover,9,"Porchlight Films, FilmNation Entertainment, Screen Australia, Screen NSW, Blue-Tongue Films"
Suite Fran̤aise,16,"Qwerty Films, Alliance Films, Canal+, TF1 Droits Audiovisuels, Scope Pictures"
Annabelle,9,"New Line Cinema, The Safran Company, Evergreen Media Group, RatPac-Dune Entertainment"
"I, Frankenstein",15,"Lakeshore Entertainment, Sidney Kimmel Entertainment, Lionsgate, Hopscotch Films"
That Awkward Moment,19,Treehouse Pictures
Brick Mansions,14,"Canal+, EuropaCorp, Cin̩+, D8"
Tammy,5,"New Line Cinema, Gary Sanchez Productions"
Winter's Tale,13,"Village Roadshow Pictures, Weed Road Pictures, Warner Bros."
The Guest,9,"HanWay Films, Snoot Entertainment"
The Water Diviner,17,"Hopscotch Features, RatPac Entertainment, Seven West Media, Fear of God Films, Seven Group Holdings"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",59,"Walt Disney Pictures, 21 Laps Entertainment, Jim Henson Company, The"
This Is Where I Leave You,25,"Spring Creek Productions, 21 Laps Entertainment, Warner Bros."
About Last Night,16,"Screen Gems, Inc., Rainforest Films, Olive Bridge Entertainment"
Million Dollar Arm,18,Walt Disney Pictures
Under the Skin,14,"Scottish Screen, UK Film Council, FilmNation Entertainment, Nick Wechsler Productions, Creative Scotland"
Veronica Mars,13,"Warner Bros., Warner Bros. Interactive Entertainment, Rob Thomas Productions"
Son of God,10,"Hearst Entertainment Productions, LightWorkers Media"
When the Game Stands Tall,25,"Mandalay Pictures, Affirm Films"
The Pyramid,11,"Fox International Productions, Sahara Productions, Silvatar Media"
Kill the Messenger,18,"The Combine, Bluegrass Films"
Dolphin Tale 2,14,"Alcon Entertainment, Color Force, Boxing Cat Films"
Muppets Most Wanted,19,"Buena Vista, Disney"
Heaven is for Real,18,"TriStar Pictures, Screen Gems, Roth Films"
The Legend of Hercules,22,Millennium Films
Moms' Night Out,15,"TriStar Pictures, Provident Films, Pure Flix Entertainment, Affirm Films, FourBoys Entertainment"
Earth to Echo,13,"Walt Disney Studios Motion Pictures, Panay Films"
The Gambler,11,"Paramount Pictures, Winkler Films"
The Grand Seduction,19,"Max Films Productions, Morag Loves Company"
God's Not Dead,14,Pure Flix Entertainment
Devil's Due,11,"Twentieth Century Fox Film Corporation, Davis Entertainment, TSG Entertainment"
Avatar,6,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Lightstorm Entertainment"
Inglourious Basterds,20,"Universal Pictures, A Band Apart, Zehnte Babelsberg, Visiona Romantica"
Underworld: Rise of the Lycans,30,"Lakeshore Entertainment, Screen Gems, Sketch Films, UW3 Film Productions"
Harry Potter and the Half-Blood Prince,38,"Warner Bros., Heyday Films"
Up,2,"Walt Disney Pictures, Pixar Animation Studios"
Star Trek,9,"Paramount Pictures, Spyglass Entertainment, Bad Robot, MavroCine Pictures GmbH & Co. KG"
Terminator Salvation,20,"Columbia Pictures, The Halcyon Company, Wonderland Sound and Vision, Warner Bros."
District 9,10,"WingNut Films, TriStar Pictures, Key Creatives, Block / Hanson, Canadian Film or Video Production Tax Credit (CPTC)"
Sherlock Holmes,15,"Village Roadshow Pictures, Silver Pictures, Warner Bros., Internationale Filmproduktion Blackbird Dritte, Wigram Productions"
(500) Days of Summer,20,"Fox Searchlight Pictures, Watermark, Dune Entertainment III"
The Hangover,12,"Legendary Pictures, Green Hat Films, Warner Bros., IFP Westcoast Erste"
Watchmen,8,"Paramount Pictures, DC Comics, Lawrence Gordon Productions, Legendary Pictures, Warner Bros."
2012,4,"Columbia Pictures, Centropolis Entertainment, The Mark Gordon Company, Farewell Productions"
9,1,"Focus Films, Starz Animation, Relativity Media, Tim Burton Productions, Arc Productions"
Angels & Demons,15,"Columbia Pictures, Imagine Entertainment, Panorama Films, Skylark Productions"
The Princess and the Frog,25,"Walt Disney Pictures, Walt Disney Animation Studios"
The Blind Side,14,"Alcon Entertainment, Left Tackle Pictures, Zucker/Netter Productions"
Zombieland,10,Columbia Pictures
The Twilight Saga: New Moon,27,"Summit Entertainment, Maverick Films, Imprint Entertainment, Sunswept Entertainment, Temple Hill Entertainment"
He's Just Not That Into You,27,"New Line Cinema, Flower Films (II), Internationale Filmproduktion Blackswan"
G.I. Joe: The Rise of Cobra,27,"Paramount Pictures, Spyglass Entertainment, Di Bonaventura Pictures, Hasbro, Kontsept Film Company"
The Proposal,12,"Touchstone Pictures, Mandeville Films, Kurtzman/Orci"
The Ugly Truth,14,"Lakeshore Entertainment, Relativity Media"
Cloudy with a Chance of Meatballs,33,"Columbia Pictures, Sony Pictures Animation"
Fantastic Mr. Fox,17,"Twentieth Century Fox Film Corporation, Regency Enterprises, Indian Paintbrush, Twentieth Century Fox Animation, American Empirical Pictures"
Coraline,8,"Focus Features, Laika Entertainment"
Night at the Museum: Battle of the Smithsonian,46,"Twentieth Century Fox Film Corporation, 1492 Pictures, Dune Entertainment, 21 Laps Entertainment, Museum Canada Productions"
17 Again,8,"New Line Cinema, Offspring Entertainment"
A Christmas Carol,17,"Walt Disney, ImageMovers"
The Lovely Bones,16,"WingNut Films, DreamWorks SKG, Key Creatives, Film4, Goldcrest Pictures"
Paul Blart: Mall Cop,20,"Columbia Pictures, Happy Madison Productions, Relativity Media"
Hachi: A Dog's Tale,19,"Grand Army Entertainment, Scion Films, Inferno Distribution, Stage 6 Films, Hachiko"
Law Abiding Citizen,19,"Film Department, The, Evil Twins, Warp Films"
The Box,7,"Media Rights Capital, Lin Pictures, Warner Bros., Darko Entertainment, Radar Pictures"
Crank: High Voltage,19,"Lakeshore Entertainment, Lionsgate, Radical Media"
Pandorum,8,"Impact Pictures, Constantin Film Produktion"
Drag Me to Hell,15,"Universal Pictures, Ghost House Pictures, Mandate Pictures, Buckaroo Entertainment, Curse Productions"
Knowing,7,"Summit Entertainment, Mystery Clock Cinema, Escape Artists, Goldcrest Pictures, Kaplan/Perrone Entertainment"
Moon,4,"Liberty Films UK, Lunar Industries, Xingu Films, Limelight Fund"
G-Force,7,"Walt Disney Pictures, Jerry Bruckheimer Films, Whamaphram Productions"
The Taking of Pelham 1 2 3,26,"Columbia Pictures, Escape Artists, Scott Free Productions, Relativity Media, Metro-Goldwyn-Mayer (MGM)"
The Invention of Lying,22,"Media Rights Capital, Lin Pictures, Warner Bros., Wintergreen Productions, Lynda Obst Productions"
Confessions of a Shopaholic,27,"Jerry Bruckheimer Films, Touchstone Pictures"
Gamer,5,"Lakeshore Entertainment, Lionsgate"
Mr. Nobody,10,"Pan Europ̩enne Production, Virtual Films"
Couples Retreat,15,"Universal Pictures, Wild West Picture Show Productions, Stuber Productions, Relativity Media"
Brothers,8,"Lionsgate, Relativity Media, Sighvatsson Films, Michael De Luca Productions, Palomar Pictures (II)"
The Road,8,"2929 Productions, Dimension Films, Nick Wechsler Productions, Chockstone Pictures"
Monsters vs Aliens,18,DreamWorks Animation
Julie & Julia,13,"Columbia Pictures, Scott Rudin Productions, Easy There Tiger Productions"
Chloe,5,"StudioCanal, Montecito Picture Company, The, Outpost Studios"
Public Enemies,14,"Universal Pictures, Appian Way, Forward Pass, Dentsu, Relativity Media"
Jennifer's Body,15,"Dune Entertainment, Fox Atomic"
Orphan,6,"Dark Castle Entertainment, Studio Babelsberg StudioBabelsberg Motion Pictures, Don Carmody Productions, Studio Canal"
All About Steve,15,"Dune Entertainment, Fox 2000 Pictures, Fortis Films, Dune Entertainment III, Radar Pictures"
The Final Destination,21,"New Line Cinema, Practical Pictures, Parallel Zide"
Alvin and the Chipmunks: The Squeakquel,39,"Regency Enterprises, Fox 2000 Pictures, Bagdasarian Productions"
Bride Wars,10,"Dune Entertainment, Regency Enterprises, Fox 2000 Pictures, Dune Entertainment III, New Regency Pictures"
Precious,8,Smokewood Entertainment Group
State of Play,13,"Universal Pictures, StudioCanal, Andell Entertainment, Relativity Media, Working Title Films"
The Unborn,10,"Rogue Pictures, Phantom Four, Platinum Dunes, Relativity Media"
"I Love You, Man",15,"DreamWorks SKG, The Montecito Picture Company, De Line Pictures, Bernard Gayle Productions"
The Informant!,14,"Section Eight, Groundswell Productions, Warner Bros., Participant Media, Jaffe / Braunstein Enterprise"
Race to Witch Mountain,22,"Walt Disney Pictures, Gunn Films"
Case 39,7,"Paramount Vantage, Anonymous Content, Misher Films, Case 39 Productions"
The Boat That Rocked,20,"Universal Pictures, Studio Canal, Working Title Films, Medienproduktion Prometheus Filmgesellschaft, Portobello Studios"
Daybreakers,11,"Lionsgate, Furst Films, Pictures in Paradise, Pacific Film and Television Commission, Australian Film Finance Corporation (AFFC)"
Love Happens,12,"Universal Pictures, Stuber Productions, Camp / Thompson Pictures, Relativity Media, Scion Films"
Push,4,"Icon Productions, Infinity Features Entertainment, Summit Entertainment"
Brooklyn's Finest,17,"Nu Image Films, Langley Productions, Thunder Road Productions, Fuqua Films, Millennium Films"
Saw VI,6,"Lionsgate, Twisted Pictures"
The Young Victoria,18,GK Films
A Serious Man,13,"Mike Zoss Productions, Studio Canal, Relativity Media, Focus Features, Working Title Films"
A Perfect Getaway,17,"Davis Entertainment, Relativity Media, Rogue, QED International, Tooley Productions"
Whiteout,8,"StudioCanal, Dark Castle Entertainment, Don Carmody Productions, Warner Bros., Canadian Film or Video Production Tax Credit (CPTC)"
I Love You Phillip Morris,25,EuropaCorp
12 Rounds,9,"The Mark Gordon Company, Fox Atomic, 20th Century Fox Home Entertainment, WWE Studios, Midnight Sun Pictures"
3 Idiots,8,Vidhu Vinod Chopra Productions
