datetime,pips_candle_0_30,pips_candle_max_0_30,pips_candle_min_0_30,pips_candle_0_60,pips_candle_max_0_60,pips_candle_min_0_60,pips_candle_0_120,pips_candle_max_0_120,pips_candle_min_0_120,pips_candle_0_180,pips_candle_max_0_180,pips_candle_min_0_180,pips_candle_0_240,pips_candle_max_0_240,pips_candle_min_0_240
11/6/2009 15:00,4,8,-4,10,12,-4,11,17,-4,11,17,-4,11,17,-4
12/7/2009 15:00,-9,8,-11,-8,8,-16,5,8,-16,7,12,-16,18,26,-16
1/8/2010 15:00,2,9,-7,3,9,-7,-4,9,-11,-4,9,-11,-4,9,-11
2/5/2010 15:00,20,35,-1,37,39,-1,50,52,-1,50,52,-1,50,52,-1
3/5/2010 15:00,-2,3,-7,-5,4,-7,-1,4,-8,-1,4,-8,-1,4,-8
4/7/2010 15:00,-14,5,-18,-17,5,-26,-27,5,-33,-30,5,-39,-26,5,-39
5/7/2010 15:00,-19,6,-24,1,7,-24,20,28,-24,20,28,-24,20,28,-24
6/7/2010 15:00,-16,5,-16,-26,5,-30,-21,5,-33,-28,5,-33,-22,5,-33
7/8/2010 15:00,2,3,-9,14,21,-9,20,35,-9,16,35,-9,12,35,-9
8/6/2010 15:00,6,11,-3,18,20,-3,2,26,-3,2,26,-3,2,26,-3
9/8/2010 15:00,-11,5,-14,-15,5,-21,-8,5,-21,-4,5,-21,3,5,-21
10/7/2010 15:00,-9,10,-10,-9,10,-15,5,10,-15,-7,10,-15,4,10,-15
11/5/2010 15:00,-15,4,-17,-14,4,-23,-15,4,-23,-15,4,-23,-15,4,-23
12/7/2010 15:00,-12,8,-15,-9,8,-16,-22,8,-24,-17,8,-28,-34,8,-46
1/7/2011 15:00,-1,5,-4,-20,5,-24,-23,5,-24,-23,5,-24,-23,5,-24
2/7/2011 15:00,2,7,-6,-8,7,-8,-10,7,-10,-15,7,-16,0,7,-16
3/7/2011 15:00,2,4,-2,4,8,-2,0,8,-3,1,8,-3,-6,8,-11
4/7/2011 15:00,9,10,-3,4,10,-3,8,10,-3,5,10,-3,0,10,-5
5/6/2011 15:00,-7,3,-10,11,19,-10,-26,19,-30,-26,19,-30,-26,19,-30
6/7/2011 15:00,-8,3,-11,-13,3,-18,-2,3,-18,-6,3,-18,-7,3,-18
7/8/2011 15:00,-5,7,-6,9,10,-6,13,14,-6,13,14,-6,13,14,-6
8/5/2011 15:00,-10,6,-11,19,24,-11,14,31,-11,14,31,-11,14,31,-11
9/8/2011 15:00,9,9,-7,1,13,-7,-6,13,-15,-3,13,-15,14,15,-15
10/7/2011 15:00,29,32,-3,2,39,-3,-7,39,-13,-7,39,-13,-7,39,-13
11/7/2011 15:00,-4,14,-5,10,14,-5,5,14,-7,-5,14,-7,-11,14,-18
12/7/2011 15:00,12,14,-2,8,34,-2,18,34,-2,21,34,-2,5,34,-2
1/9/2012 15:00,4,5,-8,10,14,-8,3,14,-8,6,14,-8,10,15,-8
2/7/2012 15:00,0,4,-5,0,4,-9,8,14,-9,9,14,-9,-4,14,-9
3/7/2012 15:00,-4,3,-6,0,3,-6,1,6,-6,2,6,-6,-7,6,-9
4/6/2012 15:00,-1,1,-3,3,7,-3,1,7,-7,1,7,-7,1,7,-7
5/7/2012 15:00,0,3,-3,5,13,-3,-1,13,-3,7,13,-3,5,14,-3
6/7/2012 15:00,-10,5,-11,-35,5,-35,-38,5,-42,-35,5,-42,-31,5,-42
7/9/2012 15:00,7,7,-6,3,7,-6,0,10,-6,2,10,-6,3,10,-6
8/7/2012 15:00,0,4,-2,-10,4,-14,-9,4,-14,-10,4,-15,-14,4,-17
9/10/2012 15:00,8,12,-2,-2,12,-4,-3,12,-5,-2,12,-5,1,12,-5
10/5/2012 15:00,-7,3,-15,-1,3,-15,5,5,-15,5,5,-15,5,5,-15
11/7/2012 15:00,3,5,-2,2,5,-2,6,7,-2,5,15,-2,-9,15,-10
12/7/2012 15:00,1,5,-1,9,9,-1,4,10,-1,4,10,-1,4,10,-1
1/8/2013 15:00,2,4,-3,-2,4,-3,-1,4,-4,-2,4,-6,0,4,-6
2/7/2013 15:00,-3,6,-5,1,6,-5,-2,6,-5,-4,6,-14,-15,6,-17
3/7/2013 15:00,4,7,-2,-1,7,-6,0,7,-6,-2,7,-6,2,9,-6
4/5/2013 15:00,4,9,0,6,12,0,-9,12,-10,-9,12,-10,-9,12,-10
5/7/2013 15:00,-3,3,-3,-6,3,-10,-4,3,-10,-4,3,-10,-7,3,-10
6/7/2013 15:00,0,2,-4,-5,2,-7,-4,7,-11,-4,7,-11,-4,7,-11
7/8/2013 15:00,3,7,-1,-4,7,-6,-5,7,-9,-7,7,-11,-6,7,-11
8/7/2013 15:00,7,9,-2,5,9,-2,2,12,-2,4,12,-2,3,12,-2
9/9/2013 15:00,1,5,-1,1,5,-1,-3,5,-8,-5,5,-8,-6,5,-8
10/7/2013 15:00,1,2,-2,1,2,-3,3,5,-3,0,5,-4,-1,5,-4
11/7/2013 15:00,-4,2,-7,-9,2,-10,-8,2,-13,-14,2,-16,-18,2,-20
12/6/2013 15:00,8,9,-2,6,10,-2,7,10,-2,7,10,-2,7,10,-2
1/8/2014 15:00,3,6,-4,5,10,-4,-2,10,-4,-2,10,-6,-5,10,-6
2/7/2014 15:00,7,7,0,13,14,0,8,14,0,8,14,0,8,14,0
3/7/2014 15:00,1,3,-3,3,3,-3,6,10,-3,6,10,-3,6,10,-3
4/7/2014 15:00,0,1,-2,4,5,-2,0,5,-2,1,5,-2,2,5,-2
5/7/2014 15:00,-1,1,-3,-2,1,-3,-5,1,-5,-3,1,-5,-4,1,-6
6/6/2014 15:00,2,5,0,3,5,-1,1,5,-1,1,5,-1,1,5,-1
7/8/2014 15:00,0,1,-1,1,2,-1,1,2,-2,1,3,-2,2,3,-2
8/7/2014 15:00,1,1,-6,0,2,-6,-1,2,-6,-2,2,-6,-4,2,-6
9/8/2014 15:00,-4,3,-6,-6,3,-13,-11,3,-13,-5,3,-13,-7,3,-13
10/7/2014 15:00,20,25,-2,5,25,-2,12,25,-2,8,25,-2,12,25,-2
11/7/2014 15:00,11,18,-4,10,19,-4,10,20,-4,10,20,-4,10,20,-4
12/5/2014 15:00,-1,3,-5,-4,3,-5,-10,3,-12,-10,3,-12,-10,3,-12
1/8/2015 15:00,2,5,-1,4,8,-1,8,13,-1,6,13,-1,8,13,-1
2/6/2015 15:00,4,7,0,2,7,-2,-5,7,-6,-5,7,-6,-5,7,-6
3/6/2015 15:00,-7,4,-9,-5,4,-9,-11,4,-16,-11,4,-16,-11,4,-16
4/7/2015 15:00,-6,7,-6,-11,7,-13,-14,7,-25,-17,7,-25,-3,7,-25
5/7/2015 15:00,1,3,-4,4,7,-4,0,7,-4,-15,11,-24,-25,11,-38
6/5/2015 15:00,0,4,-4,-4,4,-4,-3,6,-5,-3,6,-5,-3,6,-5
7/8/2015 15:00,4,6,-8,4,9,-8,10,13,-8,7,13,-8,9,13,-8
8/7/2015 15:00,-4,4,-4,-9,4,-9,-3,4,-12,-3,4,-12,-3,4,-12
9/8/2015 15:13,4,10,-2,5,10,-4,-2,10,-4,-2,10,-4,5,10,-4
10/7/2015 15:00,-4,5,-6,-8,5,-9,-14,5,-16,-13,5,-16,-15,5,-16
11/6/2015 15:00,-4,3,-7,1,3,-7,-5,3,-7,-5,3,-7,-5,3,-7
12/7/2015 15:00,1,2,-4,-1,4,-6,-10,4,-15,-15,4,-15,-13,4,-15
1/8/2016 15:00,7,8,-3,15,17,-3,19,26,-3,19,26,-3,19,26,-3
2/5/2016 15:00,1,5,-3,8,9,-3,11,21,-3,11,21,-3,11,21,-3
3/7/2016 15:00,-2,1,-8,-4,1,-8,-3,2,-8,-1,2,-8,-4,2,-8
4/7/2016 15:00,2,7,-3,-2,7,-5,3,7,-6,-2,7,-6,-2,7,-8
5/6/2016 15:00,-2,2,-7,-1,2,-7,-3,2,-7,-3,2,-7,-3,2,-7
6/7/2016 15:00,-1,2,-3,-4,3,-5,-4,3,-7,-4,3,-7,-6,3,-7
7/8/2016 15:00,5,9,-2,5,9,-2,3,10,-2,3,10,-2,3,10,-2
8/5/2016 15:00,4,5,0,0,5,-1,-2,5,-4,-2,5,-4,-2,5,-4
9/8/2016 15:00,-3,2,-6,0,2,-8,3,4,-8,7,11,-8,8,11,-8
10/7/2016 15:00,5,5,-5,11,13,-5,14,17,-5,14,17,-5,14,17,-5
11/7/2016 15:00,6,8,-2,6,8,-2,1,8,-2,4,8,-2,10,11,-2
12/7/2016 15:00,6,8,-1,4,8,-1,-6,8,-9,-2,8,-9,0,8,-9
1/9/2017 15:00,-12,2,-18,-7,2,-18,-3,2,-18,8,12,-18,10,13,-18
2/7/2017 15:00,0,2,-3,-6,2,-8,-12,2,-18,-15,2,-18,-16,2,-20
3/7/2017 15:00,2,2,0,4,7,0,0,7,0,0,7,-3,3,7,-3
4/7/2017 15:00,1,2,-4,3,5,-4,-2,11,-4,-2,11,-4,-2,11,-4
5/5/2017 15:00,6,8,-2,11,11,-2,8,12,-2,8,12,-2,8,12,-2
6/7/2017 15:00,2,4,-1,14,15,-1,2,16,-1,6,16,-1,5,16,-1
7/10/2017 15:00,-1,2,-1,-1,2,-3,-2,2,-3,-3,2,-6,-4,2,-7
8/7/2017 15:00,3,3,-3,2,5,-3,3,5,-3,3,6,-3,0,9,-3
9/8/2017 15:00,-7,0,-12,-12,0,-12,-3,0,-12,-3,0,-12,-3,0,-12
10/6/2017 15:00,0,2,-3,0,2,-3,-3,4,-3,-3,4,-3,-3,4,-3
11/7/2017 15:00,4,6,-3,3,6,-3,-1,6,-3,6,6,-3,14,19,-3
12/7/2017 15:00,-2,1,-5,-3,3,-5,-6,3,-6,-2,3,-6,-6,3,-7
1/8/2018 15:00,-2,3,-3,3,3,-3,3,4,-3,4,6,-3,6,7,-3
2/7/2018 15:00,-7,6,-8,-13,6,-16,-11,6,-16,-20,6,-22,-4,6,-22
3/7/2018 15:00,4,9,-2,9,9,-2,7,12,-2,6,12,-2,8,12,-2
4/6/2018 15:00,-1,5,-3,-1,5,-5,-7,5,-7,-7,5,-7,-7,5,-7
5/7/2018 15:00,-5,0,-5,-1,2,-6,-3,2,-6,-3,2,-6,-3,2,-6
6/7/2018 15:00,-1,3,-4,-8,3,-8,-7,3,-10,-8,3,-10,-9,3,-10
7/9/2018 15:00,-7,5,-8,-3,5,-8,1,5,-8,-1,6,-8,1,6,-8
8/7/2018 15:00,3,4,-1,3,6,-1,4,6,-1,2,7,-1,6,7,-1
9/10/2018 15:00,-1,1,-3,0,1,-5,-5,1,-5,-1,1,-6,-3,1,-6
10/5/2018 15:00,4,5,-4,-3,5,-7,-9,5,-9,-9,5,-9,-9,5,-9
1/9/2007 10:00,5,7,-2,-1,7,-13,-7,7,-14,7,12,-14,6,14,-14
2/13/2007 10:00,2,3,-6,-5,3,-11,5,9,-11,9,11,-11,9,12,-11
3/13/2007 11:00,0,3,-4,3,6,-6,12,18,-12,13,21,-12,-1,23,-12
4/10/2007 10:00,5,7,-2,10,16,-2,5,25,-2,3,25,-2,-4,25,-5
5/15/2007 10:00,6,7,-4,47,52,-4,53,59,-4,52,59,-4,45,59,-4
6/12/2007 10:00,-5,1,-6,-3,7,-6,5,8,-6,2,8,-6,11,11,-6
7/17/2007 10:00,0,2,-5,3,5,-5,0,5,-5,1,5,-5,1,5,-5
8/14/2007 10:00,2,9,-5,-4,9,-9,6,10,-9,1,10,-12,-29,10,-35
9/11/2007 10:00,-8,3,-14,4,6,-14,5,18,-14,-4,18,-14,-1,18,-14
10/9/2007 10:00,14,22,-6,37,40,-6,38,51,-6,40,51,-6,39,51,-6
11/13/2007 10:00,-5,9,-10,-14,9,-16,-20,9,-34,-17,9,-34,-16,9,-34
12/11/2007 10:00,-1,3,-12,-20,7,-22,-10,7,-22,-14,7,-25,-7,7,-25
1/8/2008 10:00,-10,20,-19,-10,20,-26,-10,20,-26,-10,20,-26,-13,20,-26
2/12/2008 10:00,-6,12,-14,-1,12,-14,0,24,-14,-8,24,-15,-1,24,-15
3/11/2008 11:00,9,24,-14,33,47,-14,40,57,-14,35,57,-14,20,57,-14
4/8/2008 10:00,3,15,-11,-10,15,-16,-10,15,-23,-10,15,-23,-6,15,-23
5/20/2008 10:00,-34,6,-39,-37,6,-45,-9,6,-45,-4,6,-45,-17,6,-45
6/10/2008 10:00,-18,9,-24,-47,9,-48,-57,9,-70,-54,9,-70,-73,9,-81
7/15/2008 10:00,-16,27,-28,-20,27,-29,-68,27,-92,-75,27,-92,-79,27,-92
8/12/2008 10:00,0,14,-20,-7,17,-20,-15,17,-35,-27,17,-35,13,17,-35
9/9/2008 10:00,-23,15,-31,11,24,-34,48,68,-34,73,104,-34,49,104,-34
10/14/2008 10:00,-40,5,-53,-56,5,-75,-28,5,-75,-38,5,-75,-4,5,-75
11/11/2008 10:00,-19,12,-24,-87,12,-92,-70,12,-115,-76,12,-115,-82,12,-125
12/9/2008 10:00,22,34,-12,41,63,-12,83,101,-12,120,147,-12,77,147,-12
1/13/2009 10:00,6,22,-5,-47,22,-54,-26,22,-54,-21,22,-54,-55,22,-55
2/10/2009 10:00,1,18,-28,21,41,-28,-51,58,-70,-57,58,-94,-128,58,-133
3/10/2009 10:00,-8,15,-9,-21,15,-24,-44,15,-50,-53,15,-60,-105,15,-113
4/7/2009 10:00,19,28,-9,16,34,-9,23,41,-9,13,41,-9,6,41,-13
5/12/2009 10:00,1,11,-19,3,11,-19,-4,39,-22,-37,39,-53,-20,39,-53
6/9/2009 10:00,11,32,-7,26,46,-7,36,57,-7,48,73,-7,57,73,-7
7/14/2009 10:00,-3,9,-12,-31,9,-40,-8,9,-40,-24,9,-40,-61,9,-64
8/11/2009 10:00,11,17,-5,28,36,-5,27,36,-5,45,55,-5,37,59,-5
9/15/2009 10:00,11,20,-6,22,30,-6,39,43,-6,58,60,-6,101,109,-6
10/13/2009 10:00,-2,12,-13,14,17,-13,26,31,-13,26,32,-13,41,49,-13
11/10/2009 10:00,21,23,-5,-13,26,-18,-21,26,-43,-17,26,-43,-14,26,-43
12/8/2009 10:00,-5,8,-16,-27,8,-33,-21,8,-40,-41,8,-52,-64,8,-70
1/12/2010 10:00,11,16,-15,28,38,-15,10,38,-15,-5,38,-15,-14,38,-30
2/9/2010 10:00,1,20,-11,-10,20,-15,49,68,-54,40,94,-54,29,94,-54
3/9/2010 10:00,-2,13,-11,2,13,-11,5,13,-19,23,24,-19,18,36,-19
4/13/2010 10:00,-12,8,-25,-14,8,-25,6,8,-31,7,13,-31,14,15,-31
5/11/2010 10:00,-4,13,-12,-36,13,-45,-13,13,-45,17,24,-45,12,24,-45
6/8/2010 10:00,-14,8,-29,7,10,-29,52,69,-29,32,69,-29,-8,69,-29
7/13/2010 10:00,7,14,-20,9,14,-20,57,77,-20,46,77,-20,46,77,-20
8/10/2010 10:00,-2,8,-8,-8,8,-23,-3,8,-23,19,20,-23,5,21,-23
9/14/2010 10:00,73,75,-9,94,104,-9,132,136,-9,128,153,-9,137,153,-9
10/12/2010 10:00,2,17,-13,11,29,-13,24,44,-13,46,62,-13,33,62,-13
11/9/2010 10:00,-24,9,-24,-32,9,-55,-83,9,-86,-96,9,-100,-117,9,-135
12/7/2010 10:00,-11,9,-19,-20,9,-39,-41,9,-50,-62,9,-68,-60,9,-78
1/11/2011 19:22,4,7,-6,22,27,-6,34,38,-6,20,38,-6,23,38,-6
2/8/2011 10:00,8,16,-21,22,29,-21,40,42,-21,19,42,-21,-12,42,-21
3/8/2011 10:00,9,10,-7,20,21,-7,32,34,-7,30,35,-7,30,45,-7
4/12/2011 10:00,8,12,-11,6,23,-11,-34,23,-51,-4,23,-51,-3,23,-51
5/10/2011 10:00,12,26,-10,7,26,-10,8,28,-10,5,28,-10,23,29,-10
6/7/2011 10:00,8,16,-11,18,28,-11,10,28,-11,15,28,-11,19,28,-11
7/12/2011 10:00,-10,8,-27,-15,8,-46,11,14,-46,6,18,-46,-1,25,-46
8/5/2011 17:30,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
9/13/2011 10:00,6,21,-17,-27,21,-35,-25,21,-47,5,21,-47,14,35,-47
10/11/2011 10:00,27,35,-10,56,57,-10,76,84,-10,60,86,-10,96,103,-10
11/8/2011 10:00,-49,12,-58,-24,12,-58,-46,12,-58,-50,12,-58,4,16,-65
12/13/2011 10:00,-42,3,-43,-108,3,-108,-106,3,-143,-117,3,-143,-104,3,-143
1/10/2012 10:00,-16,8,-17,-17,8,-25,-12,8,-25,-16,8,-31,-14,8,-31
2/7/2012 10:00,29,42,-1,63,66,-1,65,90,-1,80,90,-1,68,90,-1
3/13/2012 10:00,-1,2,-9,10,14,-9,37,50,-9,40,50,-9,39,50,-9
4/10/2012 10:00,2,4,-10,-6,23,-12,-23,23,-36,-1,23,-36,4,23,-36
5/8/2012 10:00,3,7,-7,2,7,-11,21,28,-12,15,29,-12,37,47,-12
6/12/2012 10:00,-19,14,-29,-16,14,-29,4,15,-29,13,17,-29,26,42,-29
7/10/2012 10:00,-12,8,-23,-14,8,-24,-15,8,-34,-13,8,-34,-13,8,-34
8/14/2012 10:00,-7,9,-11,-18,9,-24,-12,9,-24,-7,9,-24,-9,9,-24
9/11/2012 10:00,-2,8,-5,16,25,-5,29,42,-5,33,42,-5,31,42,-5
10/9/2012 10:00,1,6,-6,-26,6,-31,-47,6,-60,-47,6,-60,-57,6,-62
11/13/2012 10:00,7,13,-1,16,17,-1,22,28,-1,16,28,-1,18,28,-1
12/11/2012 10:00,7,8,-1,4,14,-1,-1,14,-8,6,14,-8,15,21,-8
1/8/2013 10:00,2,10,-9,-11,10,-14,-9,10,-19,-6,10,-19,3,10,-19
2/5/2013 10:00,-16,9,-20,-17,9,-20,24,52,-21,39,52,-21,36,52,-21
3/5/2013 10:00,-15,12,-21,-8,12,-22,-15,12,-22,-8,12,-22,10,18,-22
4/2/2013 10:00,14,14,-5,20,20,-5,16,27,-5,7,27,-5,2,27,-5
5/7/2013 10:00,-30,3,-32,-26,3,-38,-27,3,-38,-28,3,-38,-25,3,-38
6/4/2013 10:00,-13,11,-18,10,13,-19,13,28,-19,9,28,-19,8,28,-19
7/2/2013 10:00,20,20,-5,29,31,-5,11,33,-5,14,33,-5,-2,33,-11
8/6/2013 10:00,18,25,-3,16,31,-3,2,31,-3,7,31,-10,19,31,-10
9/4/2013 10:00,-5,4,-7,23,23,-7,38,44,-7,35,44,-7,35,44,-7
10/8/2013 10:00,-2,1,-8,2,12,-8,-14,12,-15,-21,12,-23,-22,12,-23
11/5/2013 10:00,3,15,-7,19,20,-7,13,27,-7,13,27,-7,18,27,-7
12/3/2013 10:00,-6,3,-9,1,9,-9,18,28,-9,14,28,-9,11,28,-9
1/10/2014 10:00,-9,6,-12,-9,6,-12,-19,6,-23,-18,6,-25,-10,6,-25
2/4/2014 10:00,-2,2,-11,1,7,-11,-3,7,-14,12,13,-14,11,13,-14
3/4/2014 10:00,-10,4,-14,-14,4,-15,-24,4,-29,-22,4,-29,-20,4,-29
4/1/2014 10:00,-3,7,-9,-5,7,-9,5,14,-9,-1,14,-9,-7,14,-9
5/6/2014 10:00,1,3,-2,1,4,-7,-8,4,-10,-7,4,-12,-2,4,-12
6/3/2014 10:00,-5,5,-6,-12,5,-14,-9,5,-14,0,5,-14,-4,5,-14
7/1/2014 10:00,2,13,-8,-7,13,-11,-7,13,-11,4,13,-11,-4,13,-11
8/5/2014 10:00,-6,6,-9,-3,6,-14,-7,6,-14,-3,6,-14,-6,6,-14
9/2/2014 10:00,-8,0,-11,-4,4,-11,-2,4,-11,-1,4,-11,3,8,-11
10/7/2014 10:00,-10,10,-11,-4,10,-19,-8,10,-19,19,28,-19,10,28,-19
11/4/2014 10:00,28,31,-9,53,59,-9,35,59,-9,27,59,-9,34,59,-9
12/9/2014 10:00,16,33,-22,13,36,-22,2,36,-22,-18,36,-30,-22,36,-30
1/13/2015 10:00,23,26,-4,24,39,-4,21,43,-4,27,43,-4,10,43,-4
2/10/2015 10:00,-16,1,-19,5,8,-23,-5,8,-23,-7,8,-23,2,8,-23
3/3/2015 10:00,-2,7,-5,-9,7,-17,18,18,-17,7,24,-17,-1,24,-17
4/7/2015 10:00,6,22,-5,-5,22,-6,-13,22,-26,-12,22,-26,-25,22,-26
5/5/2015 10:00,46,56,-4,65,81,-4,51,87,-4,78,87,-4,71,101,-4
6/2/2015 10:00,-9,23,-16,-4,23,-16,-4,23,-19,43,45,-19,47,56,-19
7/7/2015 10:00,-22,2,-24,-15,2,-26,-1,9,-26,-13,24,-26,13,24,-26
8/4/2015 10:00,-10,15,-13,-5,15,-20,-13,15,-20,-4,15,-20,-49,15,-54
9/1/2015 10:00,-38,2,-39,-24,2,-44,-15,2,-44,-9,2,-44,21,34,-44
10/6/2015 10:00,11,14,-12,33,37,-12,37,46,-12,35,47,-12,34,47,-12
11/3/2015 10:00,7,18,-2,12,18,-2,5,18,-2,18,24,-2,12,30,-2
12/8/2015 10:00,19,26,-3,-3,26,-4,1,26,-8,15,26,-8,23,28,-8
1/12/2016 10:00,3,14,-9,-20,14,-23,-9,14,-24,-5,14,-24,7,14,-24
2/2/2016 10:00,-2,6,-7,-23,6,-34,-18,6,-34,-17,6,-34,-7,6,-34
3/1/2016 10:00,-8,8,-14,10,25,-14,-3,25,-15,9,25,-15,20,25,-15
4/5/2016 10:00,15,16,-8,31,32,-8,34,54,-8,52,56,-8,43,57,-8
5/3/2016 10:00,-27,8,-31,-39,8,-41,-48,8,-52,-29,8,-54,-31,8,-54
6/7/2016 9:59,-10,5,-11,-4,5,-18,-10,5,-18,-10,5,-18,3,5,-18
7/5/2016 10:00,-13,7,-16,-38,7,-39,-65,7,-70,-54,7,-78,-62,7,-78
8/9/2016 10:00,3,7,-15,-5,7,-15,-6,7,-15,-12,7,-15,-6,7,-15
9/6/2016 9:59,19,21,-48,28,45,-48,25,45,-48,30,45,-48,46,47,-48
10/25/2016 10:00,-8,1,-10,-2,1,-10,28,36,-10,30,36,-10,33,36,-10
11/1/2016 10:00,18,20,-2,16,23,-2,18,25,-2,33,37,-2,32,40,-2
12/6/2016 10:00,22,22,-3,6,23,-3,-9,23,-9,-14,23,-27,-18,23,-27
1/11/2017 10:00,-18,8,-20,0,8,-20,25,67,-20,84,99,-20,129,149,-20
2/7/2017 10:00,11,11,-6,16,19,-6,21,25,-6,23,35,-6,25,37,-6
3/7/2017 10:00,4,5,-5,14,15,-5,15,17,-5,9,23,-5,1,23,-5
4/4/2017 10:00,2,6,-2,14,14,-2,13,18,-2,10,18,-2,10,18,-2
5/9/2017 10:00,-1,6,-4,-5,11,-5,-21,11,-23,1,11,-23,-10,11,-23
6/8/2017 10:00,4,8,-15,10,13,-15,6,13,-15,0,13,-15,1,13,-15
7/5/2017 10:13,2,4,-4,-1,4,-6,-1,11,-6,10,11,-6,1,24,-7
8/8/2017 10:00,-47,16,-48,-58,16,-64,-72,16,-81,-44,16,-81,-32,16,-81
9/7/2017 9:58,12,13,-7,4,13,-9,20,26,-9,-17,26,-21,-6,26,-21
10/10/2017 10:00,0,3,-5,12,12,-5,-2,12,-5,-3,12,-10,-2,19,-10
11/7/2017 10:00,2,3,-9,-1,14,-9,1,14,-12,7,14,-12,0,14,-12
12/6/2017 9:59,4,4,-5,-3,8,-5,-2,8,-10,2,8,-10,1,8,-10
1/12/2018 9:59,-6,7,-9,6,13,-9,-12,13,-20,-8,13,-20,20,25,-20
2/6/2018 10:01,-14,6,-20,9,12,-21,46,49,-21,56,69,-21,64,70,-21
3/6/2018 10:01,-3,6,-6,-4,6,-8,14,18,-8,-9,18,-13,4,18,-13
4/3/2018 10:05,6,6,-6,14,16,-6,2,16,-6,5,16,-6,5,16,-6
5/8/2018 10:02,3,6,-5,7,13,-5,16,22,-5,33,40,-5,19,40,-5
6/7/2018 10:00,-2,3,-12,10,11,-12,-4,12,-12,-10,12,-19,-8,12,-19
7/3/2018 9:59,5,8,-2,-4,11,-6,-2,11,-7,-4,11,-12,4,11,-12
8/7/2018 10:01,-11,5,-14,-8,5,-14,-3,5,-14,-7,5,-14,-15,5,-17
