Index,Nationality,Age,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,DistributionChannel,var,value
223,ITA,42,50,174,40,0,Travel Agent/Operator,BookingsNoShowed,0
226,PRT,46,0,93,50,0,Direct,BookingsNoShowed,0
227,FRA,45,29,174,251,0,Travel Agent/Operator,BookingsNoShowed,0
229,FRA,53,43,174,188.5,0,Travel Agent/Operator,BookingsNoShowed,0
230,PRT,46,55,174,42.5,0,Travel Agent/Operator,BookingsNoShowed,0
231,ITA,26,49,232,187,0,Travel Agent/Operator,BookingsNoShowed,0
233,PRT,46,41,174,180,0,Travel Agent/Operator,BookingsNoShowed,0
234,FRA,61,40,174,243.5,0,Travel Agent/Operator,BookingsNoShowed,0
236,FRA,48,43,174,277,0,Travel Agent/Operator,BookingsNoShowed,0
238,FRA,64,68,174,40,0,Travel Agent/Operator,BookingsNoShowed,0
240,FRA,60,40,174,183,0,Travel Agent/Operator,BookingsNoShowed,0
241,CHE,27,18,40,12,0,Travel Agent/Operator,BookingsNoShowed,0
243,FRA,40,42,174,180,0,Travel Agent/Operator,BookingsNoShowed,0
244,ROU,62,72,464,724.8,0,Travel Agent/Operator,BookingsNoShowed,0
246,PRT,46,40,174,187,0,Travel Agent/Operator,BookingsNoShowed,0
248,FRA,35,43,174,180,0,Travel Agent/Operator,BookingsNoShowed,0
250,FRA,31,38,174,247,0,Travel Agent/Operator,BookingsNoShowed,0
251,FRA,31,57,509.62,440.5,0,Travel Agent/Operator,BookingsNoShowed,0
253,ROU,31,72,464,648,0,Travel Agent/Operator,BookingsNoShowed,0
255,ESP,32,11,88,37,0,Travel Agent/Operator,BookingsNoShowed,0
257,FRA,59,68,174,63.5,0,Travel Agent/Operator,BookingsNoShowed,0
258,FRA,55,38,174,328,0,Travel Agent/Operator,BookingsNoShowed,0
260,PRT,39,91,238,67,0,Travel Agent/Operator,BookingsNoShowed,0
262,GBR,66,28,138,453.2,0,Travel Agent/Operator,BookingsNoShowed,0
264,PRT,46,27,324,298,0,Travel Agent/Operator,BookingsNoShowed,0
265,PRT,37,43,219,48,0,Direct,BookingsNoShowed,0
266,PRT,46,44,0,4,0,Direct,BookingsNoShowed,0
267,PRT,47,23,138,71.98,0,Travel Agent/Operator,BookingsNoShowed,0
269,FRA,57,101,192,54,0,Travel Agent/Operator,BookingsNoShowed,0
271,PRT,46,3,73,23.5,0,Travel Agent/Operator,BookingsNoShowed,0
272,FRA,66,57,613.7,25,0,Travel Agent/Operator,BookingsNoShowed,0
274,ESP,44,56,522.75,76,0,Travel Agent/Operator,BookingsNoShowed,0
276,CHE,29,83,291.5,104.5,0,Direct,BookingsNoShowed,0
278,ESP,45,56,522.75,46,0,Travel Agent/Operator,BookingsNoShowed,0
280,ITA,72,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
282,PRT,46,44,182.4,115.1,0,Travel Agent/Operator,BookingsNoShowed,0
283,FRA,56,29,138,42,0,Travel Agent/Operator,BookingsNoShowed,0
285,PRT,46,44,182.4,116.6,0,Travel Agent/Operator,BookingsNoShowed,0
286,ITA,66,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
288,PRT,46,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
289,PRT,46,44,0,5.5,0,Travel Agent/Operator,BookingsNoShowed,0
291,PRT,23,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
293,PRT,59,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
295,PRT,55,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
297,PRT,79,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
299,PRT,69,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
301,PRT,32,39,308.5,56,0,Travel Agent/Operator,BookingsNoShowed,0
302,PRT,32,39,925.5,186,0,Travel Agent/Operator,BookingsNoShowed,0
303,BRA,42,66,412.58,141,0,Travel Agent/Operator,BookingsNoShowed,0
306,ITA,59,23,0,15,0,Travel Agent/Operator,BookingsNoShowed,0
307,ITA,61,23,159,156.5,0,Travel Agent/Operator,BookingsNoShowed,0
309,ITA,67,23,159,150,0,Travel Agent/Operator,BookingsNoShowed,0
311,ITA,45,4,162,75,0,Travel Agent/Operator,BookingsNoShowed,0
312,ITA,62,23,162,75,0,Travel Agent/Operator,BookingsNoShowed,0
313,ITA,64,23,162,77.5,0,Travel Agent/Operator,BookingsNoShowed,0
314,ITA,69,23,159,150,0,Travel Agent/Operator,BookingsNoShowed,0
316,ITA,66,23,159,150,0,Travel Agent/Operator,BookingsNoShowed,0
318,ITA,42,23,159,150,0,Travel Agent/Operator,BookingsNoShowed,0
320,ITA,68,23,162,75,0,Travel Agent/Operator,BookingsNoShowed,0
321,ITA,75,23,159,150,0,Travel Agent/Operator,BookingsNoShowed,0
322,PRT,46,44,0,3,0,Travel Agent/Operator,BookingsNoShowed,0
323,ITA,43,23,159,162,0,Travel Agent/Operator,BookingsNoShowed,0
325,ITA,40,23,159,150,0,Travel Agent/Operator,BookingsNoShowed,0
326,ITA,72,23,159,160,0,Travel Agent/Operator,BookingsNoShowed,0
327,ITA,53,4,277.17,114.83,0,Travel Agent/Operator,BookingsNoShowed,0
329,ITA,59,23,159,150,0,Travel Agent/Operator,BookingsNoShowed,0
331,ITA,73,23,381.6,73.4,0,Travel Agent/Operator,BookingsNoShowed,0
332,ITA,48,23,250.6,140.4,0,Travel Agent/Operator,BookingsNoShowed,0
334,DEU,31,29,300.24,256.36,0,Travel Agent/Operator,BookingsNoShowed,0
337,ITA,66,23,159,150,0,Travel Agent/Operator,BookingsNoShowed,0
339,PRT,39,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
341,PRT,46,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
342,PRT,46,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
343,ESP,58,31,138,69,0,Travel Agent/Operator,BookingsNoShowed,0
345,PRT,44,44,182.4,114.1,0,Travel Agent/Operator,BookingsNoShowed,0
346,ITA,60,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
348,ITA,58,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
350,PRT,46,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
352,PRT,14,69,555,154.5,0,Travel Agent/Operator,BookingsNoShowed,0
354,PRT,49,69,555,98,0,Travel Agent/Operator,BookingsNoShowed,0
356,PRT,74,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
358,PRT,69,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
360,PRT,42,44,166.2,55.8,0,Travel Agent/Operator,BookingsNoShowed,0
362,PRT,84,44,182.4,111.6,0,Travel Agent/Operator,BookingsNoShowed,0
364,CHE,55,57,983.46,296.1,0,Travel Agent/Operator,BookingsNoShowed,0
367,PRT,31,45,627.3,8,0,Travel Agent/Operator,BookingsNoShowed,0
368,FRA,26,12,204,42,0,Travel Agent/Operator,BookingsNoShowed,0
370,ITA,71,23,159,272,0,Travel Agent/Operator,BookingsNoShowed,0
372,PRT,46,24,138,42,0,Travel Agent/Operator,BookingsNoShowed,0
374,PRT,68,0,59,6,0,Corporate,BookingsNoShowed,0
375,PRT,46,0,68,14,0,Direct,BookingsNoShowed,1
377,ITA,56,23,162,103.5,0,Travel Agent/Operator,BookingsNoShowed,0
378,PRT,45,2,1086,162,0,Corporate,BookingsNoShowed,1
379,USA,73,27,64.8,3,0,Travel Agent/Operator,BookingsNoShowed,0
380,DEU,69,102,116,73,0,Travel Agent/Operator,BookingsNoShowed,0
382,DEU,56,102,140,286.5,0,Travel Agent/Operator,BookingsNoShowed,0
384,PRT,29,12,44,14,0,Travel Agent/Operator,BookingsNoShowed,0
385,PRT,46,33,173.52,42,0,Travel Agent/Operator,BookingsNoShowed,0
386,FRA,67,32,230,118,0,Travel Agent/Operator,BookingsNoShowed,0
388,FIN,38,39,294.87,70,0,Travel Agent/Operator,BookingsNoShowed,0
390,ITA,26,77,523.8,82,0,Travel Agent/Operator,BookingsNoShowed,0
392,FRA,67,101,240,269.5,0,Travel Agent/Operator,BookingsNoShowed,0
394,DEU,28,102,140,57,0,Travel Agent/Operator,BookingsNoShowed,0
396,IRL,51,1,210,114,0,Direct,BookingsNoShowed,0
398,PRT,45,0,73,14,0,Direct,BookingsNoShowed,0
399,PRT,46,0,73,23,0,Direct,BookingsNoShowed,0
400,DEU,59,25,315,80.5,0,Travel Agent/Operator,BookingsNoShowed,0
402,FRA,39,20,219,52.5,0,Corporate,BookingsNoShowed,0
403,PRT,62,66,332,188.5,0,Travel Agent/Operator,BookingsNoShowed,0
405,FRA,64,20,219,33,0,Corporate,BookingsNoShowed,0
406,PRT,40,0,211,26,0,Direct,BookingsNoShowed,0
408,PRT,46,0,55.49,14,0,Direct,BookingsNoShowed,0
409,ESP,50,2,73,51.1,0,Direct,BookingsNoShowed,0
410,PRT,32,91,290,102,0,Travel Agent/Operator,BookingsNoShowed,0
411,ESP,57,0,168,17,0,Direct,BookingsNoShowed,0
412,ESP,45,5,386,30.5,0,Corporate,BookingsNoShowed,0
413,PRT,53,0,124,46,0,Travel Agent/Operator,BookingsNoShowed,0
414,FRA,32,11,224,56,0,Travel Agent/Operator,BookingsNoShowed,0
416,AGO,53,0,75,2,0,Direct,BookingsNoShowed,1
418,FRA,42,35,138,75,0,Travel Agent/Operator,BookingsNoShowed,0
420,USA,69,80,64.32,79,0,Travel Agent/Operator,BookingsNoShowed,0
422,PRT,32,0,78,14,0,Travel Agent/Operator,BookingsNoShowed,0
423,PRT,54,0,39,7,0,Travel Agent/Operator,BookingsNoShowed,0
424,AGO,43,0,75,12.5,0,Direct,BookingsNoShowed,0
425,PRT,36,25,116,32.5,0,Travel Agent/Operator,BookingsNoShowed,0
426,PRT,76,106,192,396.5,0,Travel Agent/Operator,BookingsNoShowed,0
428,PRT,46,1,0,8,0,Direct,BookingsNoShowed,0
429,PRT,46,0,445.5,72,0,Travel Agent/Operator,BookingsNoShowed,0
430,FRA,57,106,240,101,0,Travel Agent/Operator,BookingsNoShowed,0
432,DEU,68,20,290,72,0,Travel Agent/Operator,BookingsNoShowed,0
434,IRL,51,0,124.5,346.5,0,Direct,BookingsNoShowed,0
438,PRT,46,0,130.5,36,0,Direct,BookingsNoShowed,0
439,ROU,58,28,123.6,74.4,0,Travel Agent/Operator,BookingsNoShowed,0
441,ROU,44,28,123.6,74.4,0,Travel Agent/Operator,BookingsNoShowed,0
443,ROU,48,28,123.6,74.4,0,Travel Agent/Operator,BookingsNoShowed,0
445,FRA,55,21,328.8,328.7,0,Travel Agent/Operator,BookingsNoShowed,0
448,NLD,37,5,220,104,0,Travel Agent/Operator,BookingsNoShowed,0
450,PRT,46,4,0,150.5,0,Direct,BookingsNoShowed,0
452,USA,33,0,52.02,4.5,0,Travel Agent/Operator,BookingsNoShowed,0
454,PRT,46,20,59,7,0,Corporate,BookingsNoShowed,0
455,PRT,46,20,59,18,0,Corporate,BookingsNoShowed,0
456,PRT,42,32,138,42,0,Travel Agent/Operator,BookingsNoShowed,0
458,CAN,52,4,174,42,0,Travel Agent/Operator,BookingsNoShowed,0
459,FRA,54,30,230,176.5,0,Travel Agent/Operator,BookingsNoShowed,0
462,PRT,31,0,345,142.2,0,Direct,BookingsNoShowed,0
463,GBR,65,39,232.8,164.6,0,Travel Agent/Operator,BookingsNoShowed,0
465,BEL,63,35,184,62.5,0,Travel Agent/Operator,BookingsNoShowed,0
467,GBR,42,39,165,55.8,0,Travel Agent/Operator,BookingsNoShowed,0
468,FRA,52,1,238.75,167,0,Travel Agent/Operator,BookingsNoShowed,0
470,PRT,65,0,73,7,0,Direct,BookingsNoShowed,0
471,PRT,42,0,44,8,0,Direct,BookingsNoShowed,0
472,PRT,59,0,79,3.5,0,Travel Agent/Operator,BookingsNoShowed,0
474,PRT,59,73,137.4,42,0,Travel Agent/Operator,BookingsNoShowed,0
476,DEU,56,9,224,155,0,Travel Agent/Operator,BookingsNoShowed,0
477,ZAF,52,41,432.4,275.8,0,Travel Agent/Operator,BookingsNoShowed,0
479,POL,60,16,188.64,85.5,0,Travel Agent/Operator,BookingsNoShowed,0
481,PRT,61,0,335,75,0,Direct,BookingsNoShowed,0
482,FRA,33,39,174,144,0,Travel Agent/Operator,BookingsNoShowed,0
485,PRT,40,1,207,21,0,Direct,BookingsNoShowed,0
486,FRA,41,13,204,42,0,Travel Agent/Operator,BookingsNoShowed,0
488,NLD,40,5,58,7,0,Travel Agent/Operator,BookingsNoShowed,0
489,BEL,49,54,392.7,120,0,Travel Agent/Operator,BookingsNoShowed,0
492,PRT,55,1,73,16,0,Direct,BookingsNoShowed,0
493,FRA,31,38,230,146.6,0,Travel Agent/Operator,BookingsNoShowed,0
495,AGO,53,0,134,28,0,Direct,BookingsNoShowed,0
497,USA,67,48,1479.45,576,0,Travel Agent/Operator,BookingsNoShowed,0
499,FRA,31,1,65.7,11,0,Travel Agent/Operator,BookingsNoShowed,0
501,DEU,62,2,65.7,13,0,Travel Agent/Operator,BookingsNoShowed,0
502,PRT,46,2,59,7,0,Corporate,BookingsNoShowed,0
503,PRT,32,2,59,9,0,Corporate,BookingsNoShowed,0
504,PRT,32,2,59,9,0,Corporate,BookingsNoShowed,0
505,PRT,28,2,59,9,0,Corporate,BookingsNoShowed,0
506,PRT,36,2,617,77,0,Travel Agent/Operator,BookingsNoShowed,0
507,ITA,51,0,64,3.5,0,Travel Agent/Operator,BookingsNoShowed,0
508,PRT,35,1,52,17,0,Travel Agent/Operator,BookingsNoShowed,0
509,PRT,46,0,60.8,14,0,Travel Agent/Operator,BookingsNoShowed,0
512,DEU,43,25,116,30,0,Travel Agent/Operator,BookingsNoShowed,0
514,FRA,62,5,168,85,0,Travel Agent/Operator,BookingsNoShowed,0
516,PRT,68,1,232,54,0,Travel Agent/Operator,BookingsNoShowed,0
517,PRT,55,1,116,32,0,Travel Agent/Operator,BookingsNoShowed,0
519,PRT,52,10,65.6,15,0,Travel Agent/Operator,BookingsNoShowed,0
521,FRA,65,35,184,56,0,Travel Agent/Operator,BookingsNoShowed,0
522,PRT,45,1,92,2,0,Direct,BookingsNoShowed,0
523,FRA,43,49,110.44,51.5,0,Travel Agent/Operator,BookingsNoShowed,0
525,DEU,47,5,124.2,40,0,Travel Agent/Operator,BookingsNoShowed,0
526,FRA,37,36,138,60,0,Travel Agent/Operator,BookingsNoShowed,0
528,BEL,39,93,228.6,71,0,Direct,BookingsNoShowed,0
530,PRT,33,2,56,14,0,Direct,BookingsNoShowed,0
532,PRT,35,50,114,55.5,0,Travel Agent/Operator,BookingsNoShowed,0
533,FRA,65,50,114,77,0,Travel Agent/Operator,BookingsNoShowed,0
536,FRA,67,50,114,54,0,Travel Agent/Operator,BookingsNoShowed,0
537,FRA,54,50,114,61,0,Travel Agent/Operator,BookingsNoShowed,0
538,FRA,48,50,114,54,0,Travel Agent/Operator,BookingsNoShowed,0
539,FRA,28,50,132,29,0,Travel Agent/Operator,BookingsNoShowed,0
540,FRA,32,50,114,60,0,Travel Agent/Operator,BookingsNoShowed,0
541,FRA,32,50,114,54,0,Travel Agent/Operator,BookingsNoShowed,0
542,FRA,39,50,114,57,0,Travel Agent/Operator,BookingsNoShowed,0
543,FRA,29,50,114,54,0,Travel Agent/Operator,BookingsNoShowed,0
544,FRA,39,50,342,126,0,Travel Agent/Operator,BookingsNoShowed,0
545,FRA,37,50,114,54,0,Travel Agent/Operator,BookingsNoShowed,0
546,FRA,42,50,114,68.5,0,Travel Agent/Operator,BookingsNoShowed,0
547,PRT,55,50,114,54,0,Travel Agent/Operator,BookingsNoShowed,0
548,PRT,34,3,114,54,0,Travel Agent/Operator,BookingsNoShowed,0
550,FRA,42,50,0,9,0,Travel Agent/Operator,BookingsNoShowed,0
551,PRT,46,59,83,40,0,Direct,BookingsNoShowed,0
553,GBR,57,4,115.5,6,0,Travel Agent/Operator,BookingsNoShowed,0
554,FRA,28,42,184,139,0,Travel Agent/Operator,BookingsNoShowed,0
555,DEU,60,70,116,72.5,0,Travel Agent/Operator,BookingsNoShowed,0
557,FRA,48,46,138,42,0,Travel Agent/Operator,BookingsNoShowed,0
559,FRA,56,42,138,122.5,0,Travel Agent/Operator,BookingsNoShowed,0
561,FRA,50,42,184,61,0,Travel Agent/Operator,BookingsNoShowed,0
562,PRT,54,0,66,28,0,Direct,BookingsNoShowed,0
563,PRT,46,5,78,48.3,0,Direct,BookingsNoShowed,0
565,AGO,63,0,314,97,0,Direct,BookingsNoShowed,0
566,FRA,64,45,138,42,0,Travel Agent/Operator,BookingsNoShowed,0
568,PRT,48,79,355,81,3,Corporate,BookingsNoShowed,0
569,DEU,79,17,112,70,0,Travel Agent/Operator,BookingsNoShowed,0
570,GRC,46,0,116,107.2,0,Travel Agent/Operator,BookingsNoShowed,0
571,GRC,41,0,116,93,0,Travel Agent/Operator,BookingsNoShowed,0
572,FRA,38,12,190,247.8,0,Travel Agent/Operator,BookingsNoShowed,0
574,PRT,54,1,1005,393.5,1,Corporate,BookingsNoShowed,0
575,BEL,69,3,253.2,151.5,0,Travel Agent/Operator,BookingsNoShowed,0
577,DEU,53,34,140,51,0,Travel Agent/Operator,BookingsNoShowed,0
579,ITA,58,46,92,50.5,0,Travel Agent/Operator,BookingsNoShowed,0
581,AUS,28,64,126.72,7,0,Travel Agent/Operator,BookingsNoShowed,0
583,AUS,32,64,126.72,4,0,Travel Agent/Operator,BookingsNoShowed,0
585,AUS,27,64,126.72,9.5,0,Travel Agent/Operator,BookingsNoShowed,0
587,AGO,40,1,77,22,0,Direct,BookingsNoShowed,0
588,ESP,64,5,58.8,12,0,Travel Agent/Operator,BookingsNoShowed,0
589,JPN,50,12,128,14,0,Travel Agent/Operator,BookingsNoShowed,0
590,ESP,59,5,58.8,15.5,0,Travel Agent/Operator,BookingsNoShowed,0
591,DEU,55,36,128,14,0,Travel Agent/Operator,BookingsNoShowed,0
592,ROU,32,77,255,61,0,Travel Agent/Operator,BookingsNoShowed,0
