Company Name,ISIN,BBG Ticker,var,value
NVIDIA Corporation,US67066G1040,NVDA US Equity,41715,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,41715,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,41715,0
Cray Inc.,US2252233042,CRAY US Equity,41715,0
ISRA VISION AG,DE0005488100,ISR GR Equity,41715,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,41715,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,41715,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,41715,0.05
STMicroelectronics NV,NL0000226223,STM FP Equity,41715,0.03
ams AG,AT0000A18XM4,AMS SW Equity,41715,0.03
HTC Corporation,TW0002498003,2498 TT Equity,41715,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,41715,0.03
Kopin Corporation,US5006001011,KOPN US Equity,41715,0
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,41715,0.03
ARM Holding,GB0000595859,ARM LN Equity,41715,0.05
Qualcomm,US7475251036,QCOM US Equity,41715,0.03
MobileEye,NL0010831061,MBBYF US Equity,41715,0
Teradyne,US8807701029,TER US Equity,41715,0
Omron,JP3197800000,6645 JP Equity,41715,0
Facebook,US30303M1027,FB US Equity,41715,0
Lumentum,US55024U1097,LITE US Equity,41715,0
Finisar,US31787A5074,FNSR US Equity,41715,0
II-VI,US9021041085,IIVI US Equity,41715,0
Fabrinet,KYG3323L1005,FN US Equity,41715,0
iRobot Corporation,US4627261005,IRBT US Equity,41806,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,41806,0.03
Fanuc Corporation,JP3802400006,6954 JP Equity,41806,0
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,41806,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,41806,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,41806,0.03
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,41806,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,41806,0.03
"Amazon.com, Inc.",US0231351067,AMZN US Equity,41806,0.05
Cognex Corporation,US1924221039,CGNX US Equity,41806,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,41806,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,41806,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,41806,0.03
Trimble Inc.,US8962391004,TRMB US Equity,41806,0.03
Adept Technology,US0068542028,ADEP US Equity,41806,0.05
Renishaw plc,GB0007323586,RSW LN Equity,41806,0
Tesla Inc,US88160R1014,TSLA US Equity,41806,0.05
BlackBerry Limited,CA09228F1036,BB CN Equity,41806,0
DENSO CORPORATION,JP3551500006,6902 JP Equity,41806,0
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,41806,0
Autoliv Inc.,US0528001094,ALV US Equity,41806,0.03
Visteon Corporation,US92839U2069,VC US Equity,41806,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,41806,0
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,41806,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,41806,0.03
Cray Inc.,US2252233042,CRAY US Equity,41806,0.03
ISRA VISION AG,DE0005488100,ISR GR Equity,41806,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,41806,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,41806,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,41806,0.05
STMicroelectronics NV,NL0000226223,STM FP Equity,41806,0.03
ams AG,AT0000A18XM4,AMS SW Equity,41806,0.03
HTC Corporation,TW0002498003,2498 TT Equity,41806,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,41806,0.03
Kopin Corporation,US5006001011,KOPN US Equity,41806,0
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,41806,0.03
ARM Holding,GB0000595859,ARM LN Equity,41806,0.05
Qualcomm,US7475251036,QCOM US Equity,41806,0.03
MobileEye,NL0010831061,MBBYF US Equity,41806,0
Teradyne,US8807701029,TER US Equity,41806,0
Omron,JP3197800000,6645 JP Equity,41806,0
Facebook,US30303M1027,FB US Equity,41806,0
Lumentum,US55024U1097,LITE US Equity,41806,0
Finisar,US31787A5074,FNSR US Equity,41806,0
II-VI,US9021041085,IIVI US Equity,41806,0
Fabrinet,KYG3323L1005,FN US Equity,41806,0
iRobot Corporation,US4627261005,IRBT US Equity,41897,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,41897,0.03
Fanuc Corporation,JP3802400006,6954 JP Equity,41897,0
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,41897,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,41897,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,41897,0
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,41897,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,41897,0.03
"Amazon.com, Inc.",US0231351067,AMZN US Equity,41897,0.05
Cognex Corporation,US1924221039,CGNX US Equity,41897,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,41897,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,41897,0
"FARO Technologies, Inc.",US3116421021,FARO US Equity,41897,0.03
Trimble Inc.,US8962391004,TRMB US Equity,41897,0.03
Adept Technology,US0068542028,ADEP US Equity,41897,0.05
Renishaw plc,GB0007323586,RSW LN Equity,41897,0.03
Tesla Inc,US88160R1014,TSLA US Equity,41897,0.05
BlackBerry Limited,CA09228F1036,BB CN Equity,41897,0
DENSO CORPORATION,JP3551500006,6902 JP Equity,41897,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,41897,0
Autoliv Inc.,US0528001094,ALV US Equity,41897,0.03
Visteon Corporation,US92839U2069,VC US Equity,41897,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,41897,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,41897,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,41897,0.03
Cray Inc.,US2252233042,CRAY US Equity,41897,0.03
ISRA VISION AG,DE0005488100,ISR GR Equity,41897,0
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,41897,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,41897,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,41897,0.05
STMicroelectronics NV,NL0000226223,STM FP Equity,41897,0.03
ams AG,AT0000A18XM4,AMS SW Equity,41897,0
HTC Corporation,TW0002498003,2498 TT Equity,41897,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,41897,0.03
Kopin Corporation,US5006001011,KOPN US Equity,41897,0.03
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,41897,0.03
ARM Holding,GB0000595859,ARM LN Equity,41897,0.05
Qualcomm,US7475251036,QCOM US Equity,41897,0.03
MobileEye,NL0010831061,MBBYF US Equity,41897,0
Teradyne,US8807701029,TER US Equity,41897,0
Omron,JP3197800000,6645 JP Equity,41897,0
Facebook,US30303M1027,FB US Equity,41897,0
Lumentum,US55024U1097,LITE US Equity,41897,0
Finisar,US31787A5074,FNSR US Equity,41897,0
II-VI,US9021041085,IIVI US Equity,41897,0
Fabrinet,KYG3323L1005,FN US Equity,41897,0
iRobot Corporation,US4627261005,IRBT US Equity,41988,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,41988,0.03
Fanuc Corporation,JP3802400006,6954 JP Equity,41988,0
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,41988,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,41988,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,41988,0.05
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,41988,0
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,41988,0.03
"Amazon.com, Inc.",US0231351067,AMZN US Equity,41988,0.05
Cognex Corporation,US1924221039,CGNX US Equity,41988,0
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,41988,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,41988,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,41988,0.03
Trimble Inc.,US8962391004,TRMB US Equity,41988,0.03
Adept Technology,US0068542028,ADEP US Equity,41988,0.03
Renishaw plc,GB0007323586,RSW LN Equity,41988,0.03
Tesla Inc,US88160R1014,TSLA US Equity,41988,0
BlackBerry Limited,CA09228F1036,BB CN Equity,41988,0
DENSO CORPORATION,JP3551500006,6902 JP Equity,41988,0.03
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,41988,0
Autoliv Inc.,US0528001094,ALV US Equity,41988,0.03
Visteon Corporation,US92839U2069,VC US Equity,41988,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,41988,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,41988,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,41988,0.03
Cray Inc.,US2252233042,CRAY US Equity,41988,0
ISRA VISION AG,DE0005488100,ISR GR Equity,41988,0.03
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,41988,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,41988,0.03
SK hynix Inc,KR7000660001,000660 KS Equity,41988,0.05
STMicroelectronics NV,NL0000226223,STM FP Equity,41988,0.03
ams AG,AT0000A18XM4,AMS SW Equity,41988,0.03
HTC Corporation,TW0002498003,2498 TT Equity,41988,0.03
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,41988,0.03
Kopin Corporation,US5006001011,KOPN US Equity,41988,0
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,41988,0.03
ARM Holding,GB0000595859,ARM LN Equity,41988,0.05
Qualcomm,US7475251036,QCOM US Equity,41988,0.03
MobileEye,NL0010831061,MBBYF US Equity,41988,0.05
Teradyne,US8807701029,TER US Equity,41988,0
Omron,JP3197800000,6645 JP Equity,41988,0
Facebook,US30303M1027,FB US Equity,41988,0
Lumentum,US55024U1097,LITE US Equity,41988,0
Finisar,US31787A5074,FNSR US Equity,41988,0
II-VI,US9021041085,IIVI US Equity,41988,0
Fabrinet,KYG3323L1005,FN US Equity,41988,0
iRobot Corporation,US4627261005,IRBT US Equity,42079,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42079,0.03
Fanuc Corporation,JP3802400006,6954 JP Equity,42079,0
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42079,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42079,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42079,0.05
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42079,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42079,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42079,0
Cognex Corporation,US1924221039,CGNX US Equity,42079,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42079,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,42079,0
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42079,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42079,0.03
Adept Technology,US0068542028,ADEP US Equity,42079,0.03
Renishaw plc,GB0007323586,RSW LN Equity,42079,0.03
Tesla Inc,US88160R1014,TSLA US Equity,42079,0
BlackBerry Limited,CA09228F1036,BB CN Equity,42079,0
DENSO CORPORATION,JP3551500006,6902 JP Equity,42079,0
Delphi Technologies Plc,JE00BD85SC56,DLPH US Equity,42079,0
Autoliv Inc.,US0528001094,ALV US Equity,42079,0.03
Visteon Corporation,US92839U2069,VC US Equity,42079,0
NVIDIA Corporation,US67066G1040,NVDA US Equity,42079,0.03
"Advanced Micro Devices, Inc.",US0079031078,AMD US Equity,42079,0.03
"iflytek Co., Ltd. Class A",CNE100000B81,002230 CH Equity,42079,0.03
Cray Inc.,US2252233042,CRAY US Equity,42079,0.03
ISRA VISION AG,DE0005488100,ISR GR Equity,42079,0
"Nuance Communications, Inc.",US67020Y1001,NUAN US Equity,42079,0.03
"Micron Technology, Inc.",US5951121038,MU US Equity,42079,0.05
SK hynix Inc,KR7000660001,000660 KS Equity,42079,0.03
STMicroelectronics NV,NL0000226223,STM FP Equity,42079,0.05
ams AG,AT0000A18XM4,AMS SW Equity,42079,0.03
HTC Corporation,TW0002498003,2498 TT Equity,42079,0.05
"Ambarella, Inc.",KYG037AX1015,AMBA US Equity,42079,0.03
Kopin Corporation,US5006001011,KOPN US Equity,42079,0
"Himax Technologies, Inc. Sponsored ADR",US43289P1066,HIMX US Equity,42079,0.03
ARM Holding,GB0000595859,ARM LN Equity,42079,0.05
Qualcomm,US7475251036,QCOM US Equity,42079,0
MobileEye,NL0010831061,MBBYF US Equity,42079,0.03
Teradyne,US8807701029,TER US Equity,42079,0.03
Omron,JP3197800000,6645 JP Equity,42079,0.03
Facebook,US30303M1027,FB US Equity,42079,0.03
Lumentum,US55024U1097,LITE US Equity,42079,0
Finisar,US31787A5074,FNSR US Equity,42079,0
II-VI,US9021041085,IIVI US Equity,42079,0
Fabrinet,KYG3323L1005,FN US Equity,42079,0
iRobot Corporation,US4627261005,IRBT US Equity,42170,0.03
ABB Ltd.,CH0012221716,ABBN SW Equity,42170,0
Fanuc Corporation,JP3802400006,6954 JP Equity,42170,0
Yaskawa Electric Corporation,JP3932000007,6506 JP Equity,42170,0.03
"Intuitive Surgical, Inc.",US46120E6023,ISRG US Equity,42170,0.03
"AeroVironment, Inc.",US0080731088,AVAV US Equity,42170,0.05
Mazor Robotics Ltd Sponsored ADR,US57886P1030,MZOR US Equity,42170,0.03
"Rockwell Automation, Inc.",US7739031091,ROK US Equity,42170,0
"Amazon.com, Inc.",US0231351067,AMZN US Equity,42170,0
Cognex Corporation,US1924221039,CGNX US Equity,42170,0.03
"FLIR Systems, Inc.",US3024451011,FLIR US Equity,42170,0.03
Keyence Corporation,JP3236200006,6861 JP Equity,42170,0.03
"FARO Technologies, Inc.",US3116421021,FARO US Equity,42170,0.03
Trimble Inc.,US8962391004,TRMB US Equity,42170,0.03
Adept Technology,US0068542028,ADEP US Equity,42170,0
Renishaw plc,GB0007323586,RSW LN Equity,42170,0.03
Tesla Inc,US88160R1014,TSLA US Equity,42170,0.05
BlackBerry Limited,CA09228F1036,BB CN Equity,42170,0.03
