Subtitle,Item ,Qty,Unit Price,Total Price
Ludlow I,0,1.0,,
Ludlow I,1,1.0,,
Ludlow I,2,2.0,,
Ludlow I,3,1.0,,
Ludlow I,4,15.0,,
Ludlow I,,,1.0,
Ludlow I,,,,
Ludlow I NOC,WS-X6716-10G-3C,1.0,,0.0
Ludlow I NOC,6,16.0,,0.0
Ludlow I NOC,4900M,3.0,,0.0
Ludlow I NOC,WS-4908-10G-RJ45,6.0,,0.0
Ludlow I NOC,X2-10GB-T,18.0,,0.0
Ludlow I NOC,,,,0.0
Ludlow I NOC,,,1.0,
Service Building,0,1.0,,
Service Building,1,1.0,,
Service Building,2,2.0,,
Service Building,3,1.0,,
Service Building,4,6.0,,
Service Building,5,6.0,,
Service Building,,,1.0,
Transportation,0,1.0,,
Transportation,1,1.0,,
Transportation,2,1.0,,
Transportation,3,1.0,,
Transportation,,,1.0,
Transportation,,,,
Welcome Stadium,0,1.0,,
Welcome Stadium,1,1.0,,
Welcome Stadium,2,1.0,,
Welcome Stadium,3,1.0,,
Welcome Stadium,4,6.0,,
Welcome Stadium,5,6.0,,
Welcome Stadium,,,1.0,
Meadowdale HS,2,3.0,,
Meadowdale HS,4,5.0,,
Meadowdale HS,,,2.0,
Meadowdale PK-8,2,3.0,,
Meadowdale PK-8,4,13.0,,
Meadowdale PK-8,,,,
Meadowdale PK-8,,,2.0,
Charity Adams,2,2.0,,
Charity Adams,(5) LC SFP+ transceivers,12.0,,
Charity Adams,,,2.0,
Dayton Boys Prep Academy,2,3.0,,
Dayton Boys Prep Academy,4,19.0,,
Dayton Boys Prep Academy,,,2.0,
Eastmont PK-8,2,3.0,,
Eastmont PK-8,4,16.0,,
Eastmont PK-8,,,2.0,
Edison PK-8,2,3.0,,
Edison PK-8,4,20.0,,
Edison PK-8,,,2.0,
Edison PK-8,,,,
World of Wonder,2,3.0,,
World of Wonder,4,12.0,,
World of Wonder,,,2.0,
Wright Brothers,2,3.0,,
Wright Brothers,4,13.0,,
Wright Brothers,5,13.0,,
Wright Brothers,,,2.0,
Wright Brothers,,,,
Fairview ,2,3.0,,
Fairview ,4,15.0,,
Fairview ,,,2.0,
River's Edge,WS-X4606-X2-E,4.0,,0.0
River's Edge,6,18.0,,0.0
River's Edge,OneX converter modules,5.0,,0.0
River's Edge,SC-to-SC fiber patch cables,18.0,,0.0
