Top level,Subdivision
,"Ensure that investigational medical devices are stored in appropriate, secure conditions and returned as instructed"
,Ensure detailed records are maintained regarding movement from delivery to return / destruction
Sampling handling,
,"Oversee, prepare and maintain lab / sample handling manual"
,Prepare and maintain appropriate SOP for sample handling
,Ensure sample receipt and tracking
,Administer laboratory supplies
,Transfer of appropriate analysis results to study database
,Organise appropriate retention or disposal of samples on completion of study
Monitoring,
,Conduct and document monitoring according to monitoring plan 
Audit and Inspection,
,Plan and conduct audits appropriate to trial
,Facilitate audits and inspections
Safety Reporting,
,Define reportable events in protocol
,"Ensure RSI definition, provision and revision"
,"Ensure access has been gained for eSUSAR, Eudravigilance  (or equivalent) and EudraCT results database (or equivalent)"
,Arrange appropriate systems and data collection documentation related to safety
,Keep records of safety events
,Assess safety events
,Review SAE
,Issue of queries for SAE
,Ensure appropriate follow-up of SAE
,"Report SUSAR/unexpected and related SAE to CA, ethics, Sponsor, host organisation as required"
,Report safety concerns to investigators including SUSARs
Serious Breach,
,Identify potential serious breach 
,Report potential serious breaches to Sponsor
,Classify incidents as a serious breach
,Report serious breach to CA
,Provide follow-up information on a serious breach
Complaint,
,Receipt of complaint
,Investigation of complaint
,Communication with Insurers
Amendments including Urgent Safety Measures and Temporary Halts,
,"Identify, communicate and implement urgent safety measures"
,Report any stoppage in study activities of any form which are anticipated or proves to be more than one month and may result in the need to implement a formal temporary halt to Sponsor
,Prepare amendment submission bundle
,Review amendment submission bundle
,Sign off amendment submission bundle
,Submit amendment submission bundle
,Obtain approval/positive opinion from appropriate bodies
,Provide appropriate details to all participating R&Ds / host organisations
Committee Management,
,Identify and invite members for committees (in line with funder regulations)
,Coordinate Trial / Project Management Group
,Report to Trial / Project Management Group
,Coordinate Trial Steering Committee
,Report to Trial Steering Committee
,Coordinate Data Monitoring Committee
,Report to Data Monitoring Committee
Statistical analysis,
,Develop statistical analysis plan
,Review and agree statistical analysis plan
,Conduct statistical analysis (interim and final)
,Prepare trial report
,Review trial report
,Sign off trial report
Publication,
,Prepare publication draft
,Review publication
,Submit publication
,Disseminate into applicable databases including copy to Sponsor
Close out,
,"End of trial or early termination communication (including end of study report) to CA, ethics, Sponsor, host organisation as applicable"
,Reconcile trial finances
,Terminate service agreements
Archiving,
,Ensure that all study records held at site are archived appropriately when notified to do so and retained as required
,All relevant and appropriate study documentation collated in preparation for archiving
,Archive by Named Archivist
