Index,id_in_session,participant.code,index_in_pages,current_app_name,time_started,session_code,id_in_group,choice_1,distance_1,time_1,price_1,rowA_1,rowB_1,colA_1,colB_1,priceA_1,priceB_1,legroomA_1,legroomB_1,distance_2,choice_2,time_2,price_2,rowA_2,rowB_2,colA_2,colB_2,priceA_2,priceB_2,legroomA_2,legroomB_2,choice_3,distance_3,time_3,price_3,rowA_3,rowB_3,colA_3,colB_3,priceA_3,priceB_3,legroomA_3,legroomB_3
56,33,g9jg3yss,23,survey,2021-04-16 18:55:05.226429+00:00,s6qkz77s,33,Seat B,2.1,Red-eye,125,13,27,E,E,14,0,0,1,3.6,Seat B,Red-eye,148,10,10,E,F,2,4,1,1,Seat A,1.8,Red-eye,98,13,13,A,C,3,3,1,1
57,34,tkx8erh5,23,survey,2021-04-16 18:55:08.461328+00:00,s6qkz77s,34,Seat B,4.4,Daytime,239,13,27,E,E,15,0,1,1,1.6,Seat B,Red-eye,66,10,10,E,F,4,7,1,1,Seat A,3.0,Daytime,116,13,13,A,C,1,8,0,0
58,35,eqfc0vp7,23,survey,2021-04-16 18:55:08.664863+00:00,s6qkz77s,35,Seat B,1.7,Red-eye,115,13,27,E,E,19,0,1,1,3.6,Seat B,Daytime,186,10,10,E,F,4,6,1,1,Seat A,3.0,Daytime,131,13,13,A,C,1,10,0,0
59,36,hxeg8mwo,23,survey,2021-04-16 18:59:53.342650+00:00,s6qkz77s,36,Seat A,4.0,Red-eye,228,13,27,E,E,8,2,0,1,4.4,Seat B,Red-eye,216,10,10,E,F,3,5,1,1,Seat B,4.6,Red-eye,274,13,13,A,C,3,12,0,0
63,40,jq0m3q2z,23,survey,2021-04-16 20:06:16.881163+00:00,s6qkz77s,40,Seat B,2.5,Daytime,123,13,27,E,E,14,1,1,1,4.2,Seat B,Red-eye,151,10,10,E,F,1,5,0,0,Seat A,4.4,Daytime,274,13,13,A,C,2,12,0,0
64,41,jf3delma,23,survey,2021-04-16 20:14:21.721135+00:00,s6qkz77s,41,Seat B,3.8,Daytime,266,13,27,E,E,5,4,0,1,2.7,Seat B,Daytime,147,10,10,E,F,2,4,0,0,Seat A,1.3,Red-eye,88,13,13,A,C,3,5,0,0
65,42,7y8mbxal,23,survey,2021-04-16 20:35:07.514339+00:00,s6qkz77s,42,Seat A,3.1,Daytime,185,13,27,E,E,8,0,0,1,1.1,Seat B,Daytime,63,10,10,E,F,1,3,0,0,Seat A,2.8,Red-eye,189,13,13,A,C,0,1,0,0
68,45,6wif6g2t,23,survey,2021-04-16 21:46:55.925446+00:00,s6qkz77s,45,Seat B,2.0,Red-eye,135,13,27,E,E,5,0,1,1,4.1,Seat B,Daytime,277,10,10,E,F,3,5,1,1,Seat A,4.9,Red-eye,305,13,13,A,C,3,11,0,0
69,46,8o9slq5a,23,survey,2021-04-16 21:55:40.500365+00:00,s6qkz77s,46,Seat A,1.9,Red-eye,73,13,27,E,E,18,0,0,1,1.9,Seat A,Red-eye,108,10,10,E,F,1,4,1,1,Seat B,2.6,Daytime,162,13,13,A,C,1,6,0,0
70,47,0ae9sh8m,23,survey,2021-04-16 21:55:56.329312+00:00,s6qkz77s,47,Seat A,1.7,Red-eye,119,13,27,E,E,10,0,0,1,5.5,Seat B,Red-eye,342,10,10,E,F,2,5,1,1,Seat A,5.1,Red-eye,210,13,13,A,C,1,10,0,0
73,50,uzmhsulk,23,survey,2021-04-16 22:34:11.923844+00:00,s6qkz77s,50,Seat B,1.1,Daytime,71,13,27,E,E,13,0,1,1,4.2,Seat B,Daytime,272,10,10,E,F,3,5,0,0,Seat A,4.7,Red-eye,206,13,13,A,C,1,10,0,0
75,52,j1e8bphw,23,survey,2021-04-16 22:38:05.429182+00:00,s6qkz77s,52,Seat B,1.3,Daytime,57,13,27,E,E,21,3,1,1,5.0,Seat B,Daytime,179,10,10,E,F,3,7,1,1,Seat B,3.8,Daytime,166,13,13,A,C,3,9,1,1
78,55,q8k34q4r,23,survey,2021-04-16 22:42:04.108336+00:00,s6qkz77s,55,Seat A,1.3,Daytime,77,13,27,E,E,5,4,1,1,4.3,Seat B,Daytime,279,10,10,E,F,3,7,0,0,Seat B,3.0,Daytime,123,13,13,A,C,1,2,0,0
79,56,ixxcr3it,23,survey,2021-04-16 22:45:03.747336+00:00,s6qkz77s,56,Seat B,1.7,Daytime,61,13,27,E,E,5,2,1,1,3.0,Seat B,Daytime,195,10,10,E,F,1,3,1,1,Seat A,1.3,Red-eye,54,13,13,A,C,2,5,0,0
80,57,791k0wzc,23,survey,2021-04-16 22:45:49.199132+00:00,s6qkz77s,57,Seat A,3.2,Red-eye,140,13,27,E,E,1,0,0,1,5.4,Seat B,Red-eye,208,10,10,E,F,1,2,0,0,Seat B,2.3,Daytime,131,13,13,A,C,4,15,0,0
81,58,731ttls5,23,survey,2021-04-16 22:49:32.974701+00:00,s6qkz77s,58,Seat B,1.4,Red-eye,94,13,27,E,E,18,2,1,1,5.3,Seat B,Red-eye,302,10,10,E,F,2,3,0,0,Seat A,4.4,Red-eye,193,13,13,A,C,0,1,0,0
82,59,qo3ekzq1,23,survey,2021-04-16 22:55:10.410263+00:00,s6qkz77s,59,Seat A,1.6,Red-eye,104,13,27,E,E,7,0,0,1,5.3,Seat B,Daytime,358,10,10,E,F,2,5,1,1,Seat A,2.8,Daytime,137,13,13,A,C,3,16,1,1
83,60,xur02lao,23,survey,2021-04-16 23:00:14.205821+00:00,s6qkz77s,60,Seat B,1.6,Red-eye,95,13,27,E,E,14,0,1,1,5.1,Seat B,Daytime,183,10,10,E,F,3,6,0,0,Seat A,3.4,Daytime,167,13,13,A,C,0,13,1,1
84,61,n144ptyy,23,survey,2021-04-16 23:00:47.321336+00:00,s6qkz77s,61,Seat B,3.1,Daytime,111,13,27,E,E,2,0,1,1,5.1,Seat B,Daytime,317,10,10,E,F,3,6,1,1,Seat B,1.6,Red-eye,95,13,13,A,C,2,10,1,1
85,62,y2thup29,23,survey,2021-04-16 23:04:08.824399+00:00,s6qkz77s,62,Seat A,5.1,Daytime,344,13,27,E,E,11,0,1,1,1.8,Seat B,Daytime,84,10,10,E,F,4,5,0,0,Seat A,1.1,Daytime,66,13,13,A,C,3,10,0,0
87,64,bh7fpl8o,23,survey,2021-04-16 23:24:48.669477+00:00,s6qkz77s,64,Seat A,1.0,Red-eye,52,13,27,E,E,3,1,1,1,1.6,Seat B,Daytime,78,10,10,E,F,2,6,1,1,Seat A,5.2,Daytime,228,13,13,A,C,4,13,1,1
88,65,4k5kzaxu,23,survey,2021-04-16 23:31:22.625845+00:00,s6qkz77s,65,Seat A,0.8,Daytime,39,13,27,E,E,9,4,0,1,1.6,Seat A,Daytime,57,10,10,E,F,4,5,1,1,Seat A,4.7,Daytime,317,13,13,A,C,4,15,1,1
89,66,3o8ql61j,23,survey,2021-04-16 23:37:18.984940+00:00,s6qkz77s,66,Seat A,2.4,Red-eye,137,13,27,E,E,16,4,1,1,2.6,Seat B,Daytime,128,10,10,E,F,1,2,1,1,Seat A,2.9,Red-eye,173,13,13,A,C,1,13,1,1
91,68,2lmlbynk,23,survey,2021-04-16 23:40:56.181947+00:00,s6qkz77s,68,Seat B,2.1,Red-eye,131,13,27,E,E,13,0,0,1,3.8,Seat B,Daytime,196,10,10,E,F,1,5,0,0,Seat A,4.1,Daytime,277,13,13,A,C,1,13,0,0
92,69,hb45i8cr,23,survey,2021-04-16 23:51:45.503707+00:00,s6qkz77s,69,Seat B,5.4,Daytime,222,13,27,E,E,19,3,1,1,3.8,Seat B,Red-eye,156,10,10,E,F,4,7,1,1,Seat A,0.8,Daytime,52,13,13,A,C,0,11,1,1
94,71,htyw531z,23,survey,2021-04-16 23:53:03.138800+00:00,s6qkz77s,71,Seat B,5.3,Red-eye,372,13,27,E,E,10,4,0,1,3.6,Seat B,Daytime,205,10,10,E,F,4,6,0,0,Seat A,3.7,Red-eye,211,13,13,A,C,0,5,1,1
95,72,ape3si0y,23,survey,2021-04-16 23:57:40.884353+00:00,s6qkz77s,72,Seat A,5.3,Daytime,330,13,27,E,E,17,0,0,1,2.9,Seat B,Red-eye,112,10,10,E,F,4,6,0,0,Seat A,3.5,Daytime,245,13,13,A,C,1,6,0,0
96,73,q42qdljl,23,survey,2021-04-16 23:58:48.903665+00:00,s6qkz77s,73,Seat A,4.3,Red-eye,256,13,27,E,E,11,0,0,1,2.6,Seat B,Daytime,162,10,10,E,F,2,3,0,0,Seat B,3.2,Daytime,182,13,13,A,C,3,10,1,1
103,80,odvxvriw,23,survey,2021-04-17 00:16:45.477333+00:00,s6qkz77s,80,Seat B,1.6,Daytime,83,13,27,E,E,10,4,0,1,1.0,Seat A,Red-eye,70,10,10,E,F,2,3,1,1,Seat B,2.7,Red-eye,111,13,13,A,C,3,8,0,0
104,81,mk5bhdwr,23,survey,2021-04-17 00:21:18.154703+00:00,s6qkz77s,81,Seat A,4.7,Red-eye,268,13,27,E,E,17,0,0,1,0.9,Seat B,Daytime,56,10,10,E,F,3,5,0,0,Seat A,3.0,Daytime,116,13,13,A,C,1,5,1,1
106,83,eoxhtorl,23,survey,2021-04-17 00:22:44.369915+00:00,s6qkz77s,83,Seat A,4.4,Daytime,274,13,27,E,E,10,4,0,1,4.2,Seat B,Red-eye,162,10,10,E,F,1,4,0,0,Seat B,5.0,Daytime,206,13,13,A,C,2,10,0,0
107,84,jbachyn8,23,survey,2021-04-17 00:27:33.281073+00:00,s6qkz77s,84,Seat A,3.7,Red-eye,211,13,27,E,E,13,0,0,1,5.1,Seat B,Red-eye,250,10,10,E,F,3,5,0,0,Seat A,2.2,Red-eye,137,13,13,A,C,2,16,1,1
110,87,m9rwkpwa,23,survey,2021-04-17 00:46:40.811343+00:00,s6qkz77s,87,Seat A,4.5,Red-eye,268,13,27,E,E,11,1,0,1,4.9,Seat B,Red-eye,240,10,10,E,F,4,7,1,1,Seat A,5.1,Daytime,237,13,13,A,C,4,4,0,0
114,91,uznfo3ar,23,survey,2021-04-17 01:00:46.401083+00:00,s6qkz77s,91,Seat A,5.4,Daytime,350,13,27,E,E,18,3,1,1,2.5,Seat B,Daytime,109,10,10,E,F,2,5,1,1,Seat A,2.7,Daytime,140,13,13,A,C,2,15,0,0
115,92,x9q3ymkp,23,survey,2021-04-17 01:05:04.049793+00:00,s6qkz77s,92,Seat A,5.4,Daytime,350,13,27,E,E,9,2,1,1,5.0,Seat B,Daytime,337,10,10,E,F,2,5,1,1,Seat B,1.1,Daytime,71,13,13,A,C,0,7,0,0
122,99,him7xcpq,23,survey,2021-04-17 01:54:51.884345+00:00,s6qkz77s,99,Seat A,2.9,Daytime,196,13,27,E,E,9,2,0,1,4.3,Seat B,Red-eye,301,10,10,E,F,4,8,0,0,Seat A,1.5,Red-eye,70,13,13,A,C,2,8,0,0
123,100,sbg33m0n,23,survey,2021-04-17 02:06:10.932974+00:00,s6qkz77s,100,Seat A,1.4,Red-eye,65,13,27,E,E,10,1,1,1,4.5,Seat B,Red-eye,268,10,10,E,F,1,3,1,1,Seat A,2.2,Red-eye,85,13,13,A,C,3,12,0,0
125,102,g6yr3n52,23,survey,2021-04-17 02:33:39.823834+00:00,s6qkz77s,102,Seat A,5.1,Daytime,317,13,27,E,E,18,3,0,1,2.5,Seat B,Red-eye,175,10,10,E,F,1,4,1,1,Seat A,4.6,Red-eye,286,13,13,A,C,3,7,1,1
126,103,c3ufsv1w,23,survey,2021-04-17 02:43:30.330458+00:00,s6qkz77s,103,Seat A,1.1,Daytime,74,13,27,E,E,21,4,1,1,1.8,Seat B,Daytime,112,10,10,E,F,2,3,1,1,Seat A,4.9,Red-eye,215,13,13,A,C,1,8,0,0
127,104,9zv7vymh,23,survey,2021-04-17 02:57:05.894785+00:00,s6qkz77s,104,Seat B,2.9,Daytime,119,13,27,E,E,9,4,1,1,3.2,Seat A,Red-eye,123,10,10,E,F,3,5,0,0,Seat A,3.9,Daytime,191,13,13,A,C,4,8,1,1
129,106,97dc4amd,23,survey,2021-04-17 03:07:55.567307+00:00,s6qkz77s,106,Seat A,1.7,Daytime,115,13,27,E,E,1,0,1,1,5.0,Seat B,Red-eye,232,10,10,E,F,3,5,0,0,Seat B,1.3,Daytime,67,13,13,A,C,1,10,0,0
130,107,ahytdc7n,23,survey,2021-04-17 03:21:50.123521+00:00,s6qkz77s,107,Seat A,1.0,Daytime,65,13,27,E,E,6,1,0,1,3.0,Seat A,Red-eye,202,10,10,E,F,1,3,1,1,Seat A,4.7,Red-eye,305,13,13,A,C,3,3,1,1
131,108,94bngc1m,23,survey,2021-04-17 03:22:09.225453+00:00,s6qkz77s,108,Seat A,1.1,Red-eye,42,13,27,E,E,9,1,0,1,2.8,Seat B,Daytime,115,10,10,E,F,4,6,0,0,Seat A,2.2,Daytime,119,13,13,A,C,1,12,1,1
133,110,26ukql48,23,survey,2021-04-17 03:38:25.588838+00:00,s6qkz77s,110,Seat A,5.2,Daytime,241,13,27,E,E,1,0,1,1,3.2,Seat B,Daytime,132,10,10,E,F,1,2,0,0,Seat A,1.4,Daytime,54,13,13,A,C,1,1,0,0
135,112,j02vdgo4,23,survey,2021-04-17 04:22:57.223255+00:00,s6qkz77s,112,Seat A,3.8,Daytime,266,13,27,E,E,5,0,1,1,4.5,Seat B,Red-eye,292,10,10,E,F,4,5,0,0,Seat B,0.9,Red-eye,63,13,13,A,C,4,7,1,1
137,114,2jrmvht9,23,survey,2021-04-17 04:36:30.997855+00:00,s6qkz77s,114,Seat A,2.9,Red-eye,142,13,27,E,E,4,3,0,1,3.0,Seat B,Red-eye,210,10,10,E,F,3,5,0,0,Seat B,1.6,Daytime,83,13,13,A,C,2,7,1,1
138,115,ylq5mvzf,23,survey,2021-04-17 05:04:14.749191+00:00,s6qkz77s,115,Seat A,1.0,Daytime,60,13,27,E,E,8,4,1,1,3.6,Seat B,Red-eye,139,10,10,E,F,2,5,1,1,Seat A,3.0,Red-eye,147,13,13,A,C,3,14,0,0
142,119,8bf3fgph,23,survey,2021-04-17 05:50:20.605545+00:00,s6qkz77s,119,Seat A,4.1,Red-eye,169,13,27,E,E,14,1,0,1,1.7,Seat B,Red-eye,101,10,10,E,F,3,6,1,1,Seat A,3.9,Red-eye,243,13,13,A,C,2,5,1,1
143,120,t3ij31sa,23,survey,2021-04-17 05:57:05.225919+00:00,s6qkz77s,120,Seat B,2.3,Red-eye,155,13,27,E,E,15,0,1,1,1.1,Seat B,Red-eye,60,10,10,E,F,4,5,0,0,Seat A,3.4,Daytime,203,13,13,A,C,3,16,0,0
145,122,gusizbi8,23,survey,2021-04-17 08:16:35.109825+00:00,s6qkz77s,122,Seat A,5.3,Red-eye,190,13,27,E,E,8,0,0,1,1.5,Seat A,Daytime,78,10,10,E,F,2,6,1,1,Seat A,3.2,Daytime,174,13,13,A,C,0,8,1,1
146,123,kfcchpnh,23,survey,2021-04-17 11:33:04.788690+00:00,s6qkz77s,123,Seat A,2.9,Red-eye,196,13,27,E,E,8,0,0,1,5.1,Seat B,Daytime,317,10,10,E,F,3,5,0,0,Seat A,3.6,Daytime,243,13,13,A,C,0,5,0,0
148,125,5z1fpb01,23,survey,2021-04-17 11:58:44.809921+00:00,s6qkz77s,125,Seat A,2.6,Red-eye,107,13,27,E,E,9,4,0,1,3.7,Seat B,Daytime,230,10,10,E,F,2,3,0,0,Seat A,4.2,Daytime,272,13,13,A,C,3,17,1,1
149,126,f3tk1t1h,23,survey,2021-04-17 12:04:55.855365+00:00,s6qkz77s,126,Seat B,2.8,Red-eye,182,13,27,E,E,15,3,1,1,3.1,Seat B,Red-eye,201,10,10,E,F,3,7,1,1,Seat A,1.9,Daytime,103,13,13,A,C,4,8,0,0
150,127,h9dbeyd4,23,survey,2021-04-17 13:20:00.227920+00:00,s6qkz77s,127,Seat A,2.4,Daytime,86,13,27,E,E,12,4,0,1,2.2,Seat B,Daytime,79,10,10,E,F,4,6,1,1,Seat A,3.8,Daytime,226,13,13,A,C,0,14,1,1
151,128,g58l4ib8,23,survey,2021-04-17 13:49:18.903721+00:00,s6qkz77s,128,Seat A,2.6,Red-eye,134,13,27,E,E,13,3,0,1,3.8,Seat B,Red-eye,146,10,10,E,F,2,3,1,1,Seat B,1.5,Red-eye,101,13,13,A,C,1,2,1,1
154,131,hc4dcopz,23,survey,2021-04-17 15:39:08.257339+00:00,s6qkz77s,131,Seat A,5.2,Red-eye,187,13,27,E,E,9,3,1,1,4.5,Seat B,Daytime,292,10,10,E,F,1,3,1,1,Seat A,2.4,Daytime,168,13,13,A,C,1,14,0,0
155,132,rr2d026j,23,survey,2021-04-17 16:52:37.926987+00:00,s6qkz77s,132,Seat B,3.4,Daytime,131,13,27,E,E,21,3,0,1,4.7,Seat A,Daytime,280,10,10,E,F,1,4,0,0,Seat B,2.7,Red-eye,118,13,13,A,C,0,5,0,0
162,139,w5mkqq4k,23,survey,2021-04-17 20:50:00.217052+00:00,s6qkz77s,139,Seat A,3.4,Red-eye,238,13,27,E,E,5,0,0,1,3.5,Seat B,Red-eye,190,10,10,E,F,1,5,0,0,Seat A,3.5,Red-eye,135,13,13,A,C,2,14,0,0
165,142,ooxszi41,23,survey,2021-04-17 23:36:53.860312+00:00,s6qkz77s,142,Seat A,5.5,Red-eye,197,13,27,E,E,18,0,0,1,2.1,Seat B,Red-eye,114,10,10,E,F,2,6,0,0,Seat A,1.2,Daytime,71,13,13,A,C,0,2,1,1
167,144,sp21pspf,23,survey,2021-04-18 02:55:49.202717+00:00,s6qkz77s,144,Seat A,2.0,Daytime,103,13,27,E,E,11,0,1,1,3.1,Seat B,Red-eye,193,10,10,E,F,4,5,1,1,Seat B,5.2,Red-eye,255,13,13,A,C,1,11,1,1
169,146,acpihkwn,23,survey,2021-04-18 05:13:55.963774+00:00,s6qkz77s,146,Seat A,0.9,Daytime,44,13,27,E,E,6,2,0,1,4.3,Seat B,Red-eye,256,10,10,E,F,1,2,1,1,Seat B,4.9,Red-eye,292,13,13,A,C,3,3,1,1
171,148,hqotvrnf,23,survey,2021-04-18 18:31:17.175392+00:00,s6qkz77s,148,Seat A,3.6,Red-eye,186,13,27,E,E,9,3,0,1,3.5,Seat B,Daytime,162,10,10,E,F,3,4,1,1,Seat A,2.7,Red-eye,118,13,13,A,C,3,13,1,1
173,150,qqjltm74,23,survey,2021-04-18 19:45:36.000691+00:00,s6qkz77s,150,Seat B,2.1,Red-eye,97,13,27,E,E,15,2,0,1,1.3,Seat A,Red-eye,47,10,10,E,F,4,6,0,0,Seat B,5.0,Red-eye,179,13,13,A,C,2,8,1,1
174,151,1s9oqlut,23,survey,2021-04-18 19:52:09.173745+00:00,s6qkz77s,151,Seat A,3.4,Red-eye,167,13,27,E,E,3,0,0,1,2.0,Seat B,Red-eye,103,10,10,E,F,4,6,1,1,Seat B,3.3,Red-eye,214,13,13,A,C,0,8,0,0
176,153,8a4x3e0l,23,survey,2021-04-18 21:47:00.278946+00:00,s6qkz77s,153,Seat A,3.9,Daytime,243,13,27,E,E,10,0,0,1,2.0,Seat B,Daytime,98,10,10,E,F,3,5,0,0,Seat A,4.2,Red-eye,250,13,13,A,C,2,6,1,1
177,154,rmm2z22b,23,survey,2021-04-18 21:57:04.910658+00:00,s6qkz77s,154,Seat B,4.1,Daytime,266,13,27,E,E,4,1,1,1,5.3,Seat B,Red-eye,204,10,10,E,F,3,5,0,0,Seat A,2.1,Red-eye,109,13,13,A,C,0,3,1,1
180,157,u6m9tz6n,23,survey,2021-04-19 00:05:15.250786+00:00,s6qkz77s,157,Seat A,4.6,Daytime,322,13,27,E,E,3,0,1,1,2.8,Seat B,Daytime,137,10,10,E,F,3,6,1,1,Seat A,2.2,Daytime,91,13,13,A,C,1,11,0,0
185,162,dt1o9c3i,23,survey,2021-04-19 10:47:26.834462+00:00,s6qkz77s,162,Seat A,1.7,Red-eye,119,13,27,E,E,6,0,1,1,4.7,Seat B,Daytime,243,10,10,E,F,2,3,1,1,Seat A,1.9,Daytime,78,13,13,A,C,1,3,1,1
193,170,di23mo1a,23,survey,2021-04-19 14:31:18.197685+00:00,s6qkz77s,170,Seat A,3.0,Red-eye,202,13,27,E,E,1,0,1,1,3.8,Seat B,Red-eye,156,10,10,E,F,4,6,0,0,Seat A,4.6,Red-eye,177,13,13,A,C,4,18,0,0
196,173,20az24ul,23,survey,2021-04-19 14:39:44.267457+00:00,s6qkz77s,173,Seat A,1.8,Daytime,126,13,27,E,E,15,1,1,1,5.2,Seat B,Daytime,323,10,10,E,F,4,8,1,1,Seat A,0.9,Red-eye,56,13,13,A,C,3,3,0,0
197,174,dgf4nk38,23,survey,2021-04-19 14:44:49.714434+00:00,s6qkz77s,174,Seat A,4.7,Red-eye,193,13,27,E,E,9,0,0,1,4.5,Seat B,Daytime,173,10,10,E,F,3,5,0,0,Seat B,2.6,Daytime,148,13,13,A,C,4,5,0,0
199,176,w8ju48g0,23,survey,2021-04-19 15:04:45.498424+00:00,s6qkz77s,176,Seat A,4.6,Red-eye,238,13,27,E,E,16,1,0,1,1.4,Seat B,Red-eye,50,10,10,E,F,4,5,0,0,Seat A,1.2,Red-eye,62,13,13,A,C,2,6,1,1
200,177,x78h6kop,23,survey,2021-04-19 15:09:22.639490+00:00,s6qkz77s,177,Seat A,0.9,Red-eye,37,13,27,E,E,13,1,1,1,1.8,Seat B,Daytime,121,10,10,E,F,1,3,0,0,Seat B,5.0,Daytime,337,13,13,A,C,1,6,0,0
201,178,0oygsrhe,23,survey,2021-04-19 15:11:37.071645+00:00,s6qkz77s,178,Seat A,1.3,Daytime,91,13,27,E,E,14,0,1,1,4.8,Seat B,Daytime,273,10,10,E,F,3,7,0,0,Seat A,2.6,Daytime,182,13,13,A,C,3,14,0,0
206,183,dwvsupqi,23,survey,2021-04-19 15:35:05.846065+00:00,s6qkz77s,183,Seat A,1.9,Red-eye,128,13,27,E,E,12,0,1,1,4.2,Seat B,Red-eye,151,10,10,E,F,1,3,1,1,Seat B,5.0,Daytime,258,13,13,A,C,2,9,0,0
209,186,g32ymwbq,23,survey,2021-04-19 16:12:06.788534+00:00,s6qkz77s,186,Seat B,1.6,Red-eye,70,13,27,E,E,15,0,0,1,1.8,Seat B,Daytime,103,10,10,E,F,3,5,0,0,Seat A,1.6,Daytime,66,13,13,A,C,3,10,0,0
218,195,e0xvkdkc,23,survey,2021-04-19 16:41:55.958836+00:00,s6qkz77s,195,Seat A,1.8,Daytime,126,13,27,E,E,16,0,1,1,1.1,Seat B,Red-eye,71,10,10,E,F,1,3,0,0,Seat A,5.1,Daytime,264,13,13,A,C,2,2,1,1
223,200,x3mdnkp2,23,survey,2021-04-19 16:46:40.996454+00:00,s6qkz77s,200,Seat B,3.8,Red-eye,196,13,27,E,E,12,0,0,1,3.4,Seat B,Daytime,140,10,10,E,F,1,2,0,0,Seat A,4.4,Red-eye,308,13,13,A,C,2,4,0,0
224,201,m7sra48x,23,survey,2021-04-19 16:49:10.584328+00:00,s6qkz77s,201,Seat B,1.3,Red-eye,91,13,27,E,E,19,0,1,1,1.9,Seat B,Daytime,133,10,10,E,F,3,4,1,1,Seat A,1.9,Daytime,78,13,13,A,C,4,18,1,1
225,202,jcmsdg36,23,survey,2021-04-19 16:49:50.164725+00:00,s6qkz77s,202,Seat A,3.5,Daytime,236,13,27,E,E,5,3,0,1,4.8,Seat B,Daytime,248,10,10,E,F,1,5,1,1,Seat B,1.0,Red-eye,57,13,13,A,C,1,2,1,1
227,204,ijvpewc9,23,survey,2021-04-19 16:59:48.734810+00:00,s6qkz77s,204,Seat B,2.2,Red-eye,108,13,27,E,E,3,1,0,1,4.8,Seat B,Red-eye,324,10,10,E,F,2,6,1,1,Seat A,4.7,Red-eye,243,13,13,A,C,2,8,0,0
228,205,inxroanq,23,survey,2021-04-19 17:02:02.702119+00:00,s6qkz77s,205,Seat A,3.8,Red-eye,226,13,27,E,E,5,4,0,1,2.8,Seat B,Daytime,159,10,10,E,F,1,5,1,1,Seat A,3.1,Daytime,177,13,13,A,C,4,5,0,0
231,208,tv3stmy8,23,survey,2021-04-19 17:16:44.080718+00:00,s6qkz77s,208,Seat A,1.0,Red-eye,46,13,27,E,E,8,1,0,1,1.5,Seat B,Red-eye,74,10,10,E,F,2,5,1,1,Seat B,5.1,Red-eye,331,13,13,A,C,4,10,1,1
