id,title,rating,year,duration,Var,actor,actor_fb_likes
16,The Chronicles of Narnia: Prince Caspian,PG,2008.0,150.0,2,Pierfrancesco Favino,216.0
16,The Chronicles of Narnia: Prince Caspian,PG,2008.0,150.0,3,Damián Alcázar,201.0
17,The Avengers,PG-13,2012.0,173.0,1,Chris Hemsworth,26000.0
17,The Avengers,PG-13,2012.0,173.0,2,Robert Downey Jr.,21000.0
17,The Avengers,PG-13,2012.0,173.0,3,Scarlett Johansson,19000.0
18,Pirates of the Caribbean: On Stranger Tides,PG-13,2011.0,136.0,1,Johnny Depp,40000.0
18,Pirates of the Caribbean: On Stranger Tides,PG-13,2011.0,136.0,2,Sam Claflin,11000.0
18,Pirates of the Caribbean: On Stranger Tides,PG-13,2011.0,136.0,3,Stephen Graham,1000.0
19,Men in Black 3,PG-13,2012.0,106.0,1,Will Smith,10000.0
19,Men in Black 3,PG-13,2012.0,106.0,2,Michael Stuhlbarg,816.0
19,Men in Black 3,PG-13,2012.0,106.0,3,Nicole Scherzinger,718.0
20,The Hobbit: The Battle of the Five Armies,PG-13,2014.0,164.0,1,Aidan Turner,5000.0
20,The Hobbit: The Battle of the Five Armies,PG-13,2014.0,164.0,2,Adam Brown,972.0
20,The Hobbit: The Battle of the Five Armies,PG-13,2014.0,164.0,3,James Nesbitt,773.0
21,The Amazing Spider-Man,PG-13,2012.0,153.0,1,Emma Stone,15000.0
21,The Amazing Spider-Man,PG-13,2012.0,153.0,2,Andrew Garfield,10000.0
21,The Amazing Spider-Man,PG-13,2012.0,153.0,3,Chris Zylka,963.0
22,Robin Hood,PG-13,2010.0,156.0,1,Mark Addy,891.0
22,Robin Hood,PG-13,2010.0,156.0,2,William Hurt,882.0
22,Robin Hood,PG-13,2010.0,156.0,3,Scott Grimes,738.0
23,The Hobbit: The Desolation of Smaug,PG-13,2013.0,186.0,1,Aidan Turner,5000.0
23,The Hobbit: The Desolation of Smaug,PG-13,2013.0,186.0,2,Adam Brown,972.0
23,The Hobbit: The Desolation of Smaug,PG-13,2013.0,186.0,3,James Nesbitt,773.0
24,The Golden Compass,PG-13,2007.0,113.0,1,Christopher Lee,16000.0
24,The Golden Compass,PG-13,2007.0,113.0,2,Eva Green,6000.0
24,The Golden Compass,PG-13,2007.0,113.0,3,Kristin Scott Thomas,1000.0
25,King Kong,PG-13,2005.0,201.0,1,Naomi Watts,6000.0
25,King Kong,PG-13,2005.0,201.0,2,Thomas Kretschmann,919.0
25,King Kong,PG-13,2005.0,201.0,3,Evan Parke,84.0
26,Titanic,PG-13,1997.0,194.0,1,Leonardo DiCaprio,29000.0
26,Titanic,PG-13,1997.0,194.0,2,Kate Winslet,14000.0
26,Titanic,PG-13,1997.0,194.0,3,Gloria Stuart,794.0
27,Captain America: Civil War,PG-13,2016.0,147.0,1,Robert Downey Jr.,21000.0
27,Captain America: Civil War,PG-13,2016.0,147.0,2,Scarlett Johansson,19000.0
27,Captain America: Civil War,PG-13,2016.0,147.0,3,Chris Evans,11000.0
28,Battleship,PG-13,2012.0,131.0,1,Liam Neeson,14000.0
28,Battleship,PG-13,2012.0,131.0,2,Alexander Skarsgård,10000.0
28,Battleship,PG-13,2012.0,131.0,3,Tadanobu Asano,627.0
29,Jurassic World,PG-13,2015.0,124.0,1,Bryce Dallas Howard,3000.0
29,Jurassic World,PG-13,2015.0,124.0,2,Judy Greer,2000.0
29,Jurassic World,PG-13,2015.0,124.0,3,Omar Sy,1000.0
30,Skyfall,PG-13,2012.0,143.0,1,Albert Finney,883.0
30,Skyfall,PG-13,2012.0,143.0,2,Helen McCrory,563.0
30,Skyfall,PG-13,2012.0,143.0,3,Rory Kinnear,393.0
31,Spider-Man 2,PG-13,2004.0,135.0,1,J.K. Simmons,24000.0
31,Spider-Man 2,PG-13,2004.0,135.0,2,James Franco,11000.0
31,Spider-Man 2,PG-13,2004.0,135.0,3,Kirsten Dunst,4000.0
32,Iron Man 3,PG-13,2013.0,195.0,1,Robert Downey Jr.,21000.0
32,Iron Man 3,PG-13,2013.0,195.0,2,Jon Favreau,4000.0
32,Iron Man 3,PG-13,2013.0,195.0,3,Don Cheadle,3000.0
33,Alice in Wonderland,PG,2010.0,108.0,1,Johnny Depp,40000.0
33,Alice in Wonderland,PG,2010.0,108.0,2,Alan Rickman,25000.0
33,Alice in Wonderland,PG,2010.0,108.0,3,Anne Hathaway,11000.0
34,X-Men: The Last Stand,PG-13,2006.0,104.0,1,Hugh Jackman,20000.0
34,X-Men: The Last Stand,PG-13,2006.0,104.0,2,Kelsey Grammer,808.0
34,X-Men: The Last Stand,PG-13,2006.0,104.0,3,Daniel Cudmore,560.0
35,Monsters University,G,2013.0,104.0,1,Steve Buscemi,12000.0
35,Monsters University,G,2013.0,104.0,2,Tyler Labine,779.0
35,Monsters University,G,2013.0,104.0,3,Sean Hayes,760.0
36,Transformers: Revenge of the Fallen,PG-13,2009.0,150.0,1,Glenn Morshower,894.0
36,Transformers: Revenge of the Fallen,PG-13,2009.0,150.0,2,Kevin Dunn,581.0
36,Transformers: Revenge of the Fallen,PG-13,2009.0,150.0,3,Ramon Rodriguez,464.0
37,Transformers: Age of Extinction,PG-13,2014.0,165.0,1,Bingbing Li,974.0
37,Transformers: Age of Extinction,PG-13,2014.0,165.0,2,Sophia Myles,956.0
37,Transformers: Age of Extinction,PG-13,2014.0,165.0,3,Kelsey Grammer,808.0
38,Oz the Great and Powerful,PG,2013.0,130.0,1,Tim Holmes,44000.0
38,Oz the Great and Powerful,PG,2013.0,130.0,2,Mila Kunis,15000.0
38,Oz the Great and Powerful,PG,2013.0,130.0,3,James Franco,11000.0
39,The Amazing Spider-Man 2,PG-13,2014.0,142.0,1,Emma Stone,15000.0
39,The Amazing Spider-Man 2,PG-13,2014.0,142.0,2,Andrew Garfield,10000.0
39,The Amazing Spider-Man 2,PG-13,2014.0,142.0,3,B.J. Novak,825.0
40,TRON: Legacy,PG,2010.0,125.0,1,Jeff Bridges,12000.0
40,TRON: Legacy,PG,2010.0,125.0,2,Olivia Wilde,10000.0
40,TRON: Legacy,PG,2010.0,125.0,3,James Frain,1000.0
41,Cars 2,G,2011.0,106.0,1,Joe Mantegna,1000.0
41,Cars 2,G,2011.0,106.0,2,Thomas Kretschmann,919.0
41,Cars 2,G,2011.0,106.0,3,Eddie Izzard,776.0
42,Green Lantern,PG-13,2011.0,123.0,1,Ryan Reynolds,16000.0
42,Green Lantern,PG-13,2011.0,123.0,2,Temuera Morrison,368.0
42,Green Lantern,PG-13,2011.0,123.0,3,Taika Waititi,326.0
43,Toy Story 3,G,2010.0,103.0,1,Tom Hanks,15000.0
43,Toy Story 3,G,2010.0,103.0,2,John Ratzenberger,1000.0
43,Toy Story 3,G,2010.0,103.0,3,Don Rickles,721.0
44,Terminator Salvation,PG-13,2009.0,118.0,1,Christian Bale,23000.0
44,Terminator Salvation,PG-13,2009.0,118.0,2,Bryce Dallas Howard,3000.0
44,Terminator Salvation,PG-13,2009.0,118.0,3,Common,989.0
45,Furious 7,PG-13,2015.0,140.0,1,Jason Statham,26000.0
45,Furious 7,PG-13,2015.0,140.0,2,Paul Walker,23000.0
45,Furious 7,PG-13,2015.0,140.0,3,Vin Diesel,14000.0
46,World War Z,PG-13,2013.0,123.0,1,Peter Capaldi,17000.0
46,World War Z,PG-13,2013.0,123.0,2,Brad Pitt,11000.0
46,World War Z,PG-13,2013.0,123.0,3,Mireille Enos,1000.0
47,X-Men: Days of Future Past,PG-13,2014.0,149.0,1,Jennifer Lawrence,34000.0
47,X-Men: Days of Future Past,PG-13,2014.0,149.0,2,Peter Dinklage,22000.0
47,X-Men: Days of Future Past,PG-13,2014.0,149.0,3,Hugh Jackman,20000.0
48,Star Trek Into Darkness,PG-13,2013.0,132.0,1,Benedict Cumberbatch,19000.0
48,Star Trek Into Darkness,PG-13,2013.0,132.0,2,Bruce Greenwood,991.0
48,Star Trek Into Darkness,PG-13,2013.0,132.0,3,Noel Clarke,928.0
49,Jack the Giant Slayer,PG-13,2013.0,114.0,1,Eddie Marsan,979.0
49,Jack the Giant Slayer,PG-13,2013.0,114.0,2,Ewen Bremner,557.0
49,Jack the Giant Slayer,PG-13,2013.0,114.0,3,Ralph Brown,140.0
50,The Great Gatsby,PG-13,2013.0,143.0,1,Leonardo DiCaprio,29000.0
50,The Great Gatsby,PG-13,2013.0,143.0,2,Elizabeth Debicki,509.0
50,The Great Gatsby,PG-13,2013.0,143.0,3,Steve Bisley,77.0
51,Prince of Persia: The Sands of Time,PG-13,2010.0,116.0,1,Jake Gyllenhaal,15000.0
51,Prince of Persia: The Sands of Time,PG-13,2010.0,116.0,2,Richard Coyle,567.0
51,Prince of Persia: The Sands of Time,PG-13,2010.0,116.0,3,Reece Ritchie,236.0
52,Pacific Rim,PG-13,2013.0,131.0,1,Charlie Hunnam,16000.0
52,Pacific Rim,PG-13,2013.0,131.0,2,Clifton Collins Jr.,968.0
52,Pacific Rim,PG-13,2013.0,131.0,3,Larry Joe Campbell,919.0
53,Transformers: Dark of the Moon,PG-13,2011.0,154.0,1,Glenn Morshower,894.0
53,Transformers: Dark of the Moon,PG-13,2011.0,154.0,2,Lester Speight,829.0
53,Transformers: Dark of the Moon,PG-13,2011.0,154.0,3,Kevin Dunn,581.0
54,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008.0,122.0,1,Harrison Ford,11000.0
54,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008.0,122.0,2,Ray Winstone,1000.0
54,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008.0,122.0,3,Jim Broadbent,1000.0
55,The Good Dinosaur,PG,2015.0,93.0,1,A.J. Buckley,275.0
55,The Good Dinosaur,PG,2015.0,93.0,2,Jack McGraw,150.0
55,The Good Dinosaur,PG,2015.0,93.0,3,Peter Sohn,113.0
56,Brave,PG,2012.0,93.0,1,Kelly Macdonald,2000.0
56,Brave,PG,2012.0,93.0,2,John Ratzenberger,1000.0
56,Brave,PG,2012.0,93.0,3,Julie Walters,838.0
57,Star Trek Beyond,PG-13,2016.0,122.0,1,Sofia Boutella,998.0
57,Star Trek Beyond,PG-13,2016.0,122.0,2,Melissa Roxburgh,119.0
57,Star Trek Beyond,PG-13,2016.0,122.0,3,Lydia Wilson,105.0
58,WALL·E,G,2008.0,98.0,1,John Ratzenberger,1000.0
58,WALL·E,G,2008.0,98.0,2,Fred Willard,729.0
58,WALL·E,G,2008.0,98.0,3,Jeff Garlin,522.0
59,Rush Hour 3,PG-13,2007.0,91.0,1,Tzi Ma,268.0
59,Rush Hour 3,PG-13,2007.0,91.0,2,Dana Ivey,271.0
59,Rush Hour 3,PG-13,2007.0,91.0,3,Noémie Lenoir,173.0
60,2012,PG-13,2009.0,158.0,1,Oliver Platt,1000.0
60,2012,PG-13,2009.0,158.0,2,Liam James,468.0
60,2012,PG-13,2009.0,158.0,3,Tom McCarthy,310.0
61,A Christmas Carol,PG,2009.0,96.0,1,Robin Wright,18000.0
61,A Christmas Carol,PG,2009.0,96.0,2,Colin Firth,14000.0
61,A Christmas Carol,PG,2009.0,96.0,3,Gary Oldman,10000.0
62,Jupiter Ascending,PG-13,2015.0,127.0,1,Channing Tatum,17000.0
62,Jupiter Ascending,PG-13,2015.0,127.0,2,Mila Kunis,15000.0
62,Jupiter Ascending,PG-13,2015.0,127.0,3,Eddie Redmayne,13000.0
63,The Legend of Tarzan,PG-13,2016.0,110.0,1,Christoph Waltz,11000.0
63,The Legend of Tarzan,PG-13,2016.0,110.0,2,Alexander Skarsgård,10000.0
63,The Legend of Tarzan,PG-13,2016.0,110.0,3,Casper Crump,103.0
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005.0,150.0,1,Jim Broadbent,1000.0
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005.0,150.0,2,Kiran Shah,190.0
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005.0,150.0,3,Shane Rangi,82.0
65,X-Men: Apocalypse,PG-13,2016.0,144.0,1,Jennifer Lawrence,34000.0
65,X-Men: Apocalypse,PG-13,2016.0,144.0,2,Michael Fassbender,13000.0
65,X-Men: Apocalypse,PG-13,2016.0,144.0,3,Tye Sheridan,1000.0
66,The Dark Knight,PG-13,2008.0,152.0,1,Christian Bale,23000.0
66,The Dark Knight,PG-13,2008.0,152.0,2,Heath Ledger,13000.0
66,The Dark Knight,PG-13,2008.0,152.0,3,Morgan Freeman,11000.0
67,Up,PG,2009.0,96.0,1,John Ratzenberger,1000.0
67,Up,PG,2009.0,96.0,2,Delroy Lindo,848.0
67,Up,PG,2009.0,96.0,3,Jess Harnell,262.0
68,Monsters vs. Aliens,PG,2009.0,94.0,1,Amy Poehler,1000.0
68,Monsters vs. Aliens,PG,2009.0,94.0,2,Rainn Wilson,973.0
68,Monsters vs. Aliens,PG,2009.0,94.0,3,Stephen Colbert,459.0
69,Iron Man,PG-13,2008.0,126.0,1,Robert Downey Jr.,21000.0
69,Iron Man,PG-13,2008.0,126.0,2,Jeff Bridges,12000.0
69,Iron Man,PG-13,2008.0,126.0,3,Jon Favreau,4000.0
70,Hugo,PG,2011.0,126.0,1,Chloë Grace Moretz,17000.0
70,Hugo,PG,2011.0,126.0,2,Christopher Lee,16000.0
70,Hugo,PG,2011.0,126.0,3,Ray Winstone,1000.0
71,Wild Wild West,PG-13,1999.0,106.0,1,Will Smith,10000.0
71,Wild Wild West,PG-13,1999.0,106.0,2,Salma Hayek,4000.0
71,Wild Wild West,PG-13,1999.0,106.0,3,Bai Ling,582.0
72,The Mummy: Tomb of the Dragon Emperor,PG-13,2008.0,112.0,1,Jet Li,5000.0
72,The Mummy: Tomb of the Dragon Emperor,PG-13,2008.0,112.0,2,Brendan Fraser,3000.0
72,The Mummy: Tomb of the Dragon Emperor,PG-13,2008.0,112.0,3,Russell Wong,595.0
73,Suicide Squad,PG-13,2016.0,123.0,1,Will Smith,10000.0
73,Suicide Squad,PG-13,2016.0,123.0,2,Robin Atkin Downes,336.0
73,Suicide Squad,PG-13,2016.0,123.0,3,Ike Barinholtz,329.0
74,Evan Almighty,PG,2007.0,96.0,1,Jimmy Bennett,87000.0
74,Evan Almighty,PG,2007.0,96.0,2,Morgan Freeman,11000.0
74,Evan Almighty,PG,2007.0,96.0,3,Steve Carell,7000.0
75,Edge of Tomorrow,PG-13,2014.0,113.0,1,Tom Cruise,10000.0
75,Edge of Tomorrow,PG-13,2014.0,113.0,2,Lara Pulver,854.0
75,Edge of Tomorrow,PG-13,2014.0,113.0,3,Noah Taylor,509.0
76,Waterworld,PG-13,1995.0,176.0,1,Jeanne Tripplehorn,711.0
76,Waterworld,PG-13,1995.0,176.0,2,Rick Aviles,60.0
76,Waterworld,PG-13,1995.0,176.0,3,Zakes Mokae,60.0
77,G.I. Joe: The Rise of Cobra,PG-13,2009.0,118.0,1,Joseph Gordon-Levitt,23000.0
77,G.I. Joe: The Rise of Cobra,PG-13,2009.0,118.0,2,Dennis Quaid,2000.0
77,G.I. Joe: The Rise of Cobra,PG-13,2009.0,118.0,3,Leo Howard,570.0
78,Inside Out,PG,2015.0,95.0,1,Amy Poehler,1000.0
78,Inside Out,PG,2015.0,95.0,2,Mindy Kaling,767.0
78,Inside Out,PG,2015.0,95.0,3,Phyllis Smith,384.0
79,The Jungle Book,PG,2016.0,106.0,1,Scarlett Johansson,19000.0
79,The Jungle Book,PG,2016.0,106.0,2,Bill Murray,13000.0
79,The Jungle Book,PG,2016.0,106.0,3,Garry Shandling,591.0
80,Iron Man 2,PG-13,2010.0,124.0,1,Robert Downey Jr.,21000.0
80,Iron Man 2,PG-13,2010.0,124.0,2,Scarlett Johansson,19000.0
80,Iron Man 2,PG-13,2010.0,124.0,3,Jon Favreau,4000.0
81,Snow White and the Huntsman,PG-13,2012.0,132.0,1,Chris Hemsworth,26000.0
81,Snow White and the Huntsman,PG-13,2012.0,132.0,2,Kristen Stewart,17000.0
81,Snow White and the Huntsman,PG-13,2012.0,132.0,3,Sam Claflin,11000.0
82,Maleficent,PG,2014.0,97.0,1,Angelina Jolie Pitt,11000.0
82,Maleficent,PG,2014.0,97.0,2,Sharlto Copley,2000.0
82,Maleficent,PG,2014.0,97.0,3,Sam Riley,846.0
83,Dawn of the Planet of the Apes,PG-13,2014.0,130.0,1,Gary Oldman,10000.0
83,Dawn of the Planet of the Apes,PG-13,2014.0,130.0,2,Judy Greer,2000.0
83,Dawn of the Planet of the Apes,PG-13,2014.0,130.0,3,Kodi Smit-McPhee,884.0
84,The Lovers,R,2015.0,109.0,1,Tamsin Egerton,622.0
84,The Lovers,R,2015.0,109.0,2,Alice Englert,525.0
84,The Lovers,R,2015.0,109.0,3,Bipasha Basu,283.0
85,47 Ronin,PG-13,2013.0,128.0,1,Keanu Reeves,18000.0
85,47 Ronin,PG-13,2013.0,128.0,2,Cary-Hiroyuki Tagawa,1000.0
85,47 Ronin,PG-13,2013.0,128.0,3,Jin Akanishi,982.0
86,Captain America: The Winter Soldier,PG-13,2014.0,136.0,1,Scarlett Johansson,19000.0
86,Captain America: The Winter Soldier,PG-13,2014.0,136.0,2,Chris Evans,11000.0
86,Captain America: The Winter Soldier,PG-13,2014.0,136.0,3,Hayley Atwell,2000.0
87,Shrek Forever After,PG,2010.0,93.0,1,Jon Hamm,4000.0
87,Shrek Forever After,PG,2010.0,93.0,2,Kathy Griffin,225.0
87,Shrek Forever After,PG,2010.0,93.0,3,Mary Kay Place,213.0
88,Tomorrowland,PG,2015.0,130.0,1,Judy Greer,2000.0
88,Tomorrowland,PG,2015.0,130.0,2,Chris Bauer,638.0
88,Tomorrowland,PG,2015.0,130.0,3,Thomas Robinson,604.0
89,Big Hero 6,PG,2014.0,102.0,1,Damon Wayans Jr.,756.0
89,Big Hero 6,PG,2014.0,102.0,2,Daniel Henney,719.0
89,Big Hero 6,PG,2014.0,102.0,3,Abraham Benrubi,562.0
90,Wreck-It Ralph,PG,2012.0,101.0,1,Jack McBrayer,975.0
90,Wreck-It Ralph,PG,2012.0,101.0,2,Sarah Silverman,931.0
90,Wreck-It Ralph,PG,2012.0,101.0,3,Joe Lo Truglio,833.0
91,The Polar Express,G,2004.0,100.0,1,Tom Hanks,15000.0
91,The Polar Express,G,2004.0,100.0,2,Eddie Deezen,726.0
91,The Polar Express,G,2004.0,100.0,3,Peter Scolari,267.0
92,Independence Day: Resurgence,PG-13,2016.0,120.0,1,Vivica A. Fox,890.0
92,Independence Day: Resurgence,PG-13,2016.0,120.0,2,Sela Ward,812.0
92,Independence Day: Resurgence,PG-13,2016.0,120.0,3,Judd Hirsch,535.0
93,How to Train Your Dragon,PG,2010.0,98.0,1,Gerard Butler,18000.0
93,How to Train Your Dragon,PG,2010.0,98.0,2,America Ferrera,953.0
93,How to Train Your Dragon,PG,2010.0,98.0,3,Craig Ferguson,759.0
94,Terminator 3: Rise of the Machines,R,2003.0,109.0,1,Nick Stahl,648.0
94,Terminator 3: Rise of the Machines,R,2003.0,109.0,2,M.C. Gainey,284.0
94,Terminator 3: Rise of the Machines,R,2003.0,109.0,3,Carolyn Hennesy,191.0
95,Guardians of the Galaxy,PG-13,2014.0,121.0,1,Bradley Cooper,14000.0
95,Guardians of the Galaxy,PG-13,2014.0,121.0,2,Vin Diesel,14000.0
95,Guardians of the Galaxy,PG-13,2014.0,121.0,3,Djimon Hounsou,3000.0
96,Interstellar,PG-13,2014.0,169.0,1,Matthew McConaughey,11000.0
96,Interstellar,PG-13,2014.0,169.0,2,Anne Hathaway,11000.0
96,Interstellar,PG-13,2014.0,169.0,3,Mackenzie Foy,6000.0
97,Inception,PG-13,2010.0,148.0,1,Leonardo DiCaprio,29000.0
97,Inception,PG-13,2010.0,148.0,2,Tom Hardy,27000.0
97,Inception,PG-13,2010.0,148.0,3,Joseph Gordon-Levitt,23000.0
98,Godzilla Resurgence,,2016.0,120.0,1,Mark Chinnery,544.0
98,Godzilla Resurgence,,2016.0,120.0,2,Shin'ya Tsukamoto,106.0
98,Godzilla Resurgence,,2016.0,120.0,3,Atsuko Maeda,12.0
99,The Hobbit: An Unexpected Journey,PG-13,2012.0,182.0,1,Aidan Turner,5000.0
99,The Hobbit: An Unexpected Journey,PG-13,2012.0,182.0,2,Adam Brown,972.0
99,The Hobbit: An Unexpected Journey,PG-13,2012.0,182.0,3,James Nesbitt,773.0
100,The Fast and the Furious,PG-13,2001.0,106.0,1,Paul Walker,23000.0
100,The Fast and the Furious,PG-13,2001.0,106.0,2,Vin Diesel,14000.0
100,The Fast and the Furious,PG-13,2001.0,106.0,3,Jordana Brewster,4000.0
101,The Curious Case of Benjamin Button,PG-13,2008.0,166.0,1,Brad Pitt,11000.0
101,The Curious Case of Benjamin Button,PG-13,2008.0,166.0,2,Jason Flemyng,1000.0
101,The Curious Case of Benjamin Button,PG-13,2008.0,166.0,3,Julia Ormond,919.0
102,X-Men: First Class,PG-13,2011.0,132.0,1,Jennifer Lawrence,34000.0
102,X-Men: First Class,PG-13,2011.0,132.0,2,Michael Fassbender,13000.0
102,X-Men: First Class,PG-13,2011.0,132.0,3,Oliver Platt,1000.0
103,The Hunger Games: Mockingjay - Part 2,PG-13,2015.0,137.0,1,Jennifer Lawrence,34000.0
103,The Hunger Games: Mockingjay - Part 2,PG-13,2015.0,137.0,2,Philip Seymour Hoffman,22000.0
103,The Hunger Games: Mockingjay - Part 2,PG-13,2015.0,137.0,3,Josh Hutcherson,14000.0
104,The Sorcerer's Apprentice,PG,2010.0,109.0,1,Nicolas Cage,12000.0
104,The Sorcerer's Apprentice,PG,2010.0,109.0,2,Omar Benson Miller,418.0
104,The Sorcerer's Apprentice,PG,2010.0,109.0,3,Robert Capron,370.0
105,Poseidon,PG-13,2006.0,98.0,1,Jimmy Bennett,87000.0
105,Poseidon,PG-13,2006.0,98.0,2,Mike Vogel,2000.0
105,Poseidon,PG-13,2006.0,98.0,3,Andre Braugher,702.0
106,Alice Through the Looking Glass,PG,2016.0,113.0,1,Johnny Depp,40000.0
106,Alice Through the Looking Glass,PG,2016.0,113.0,2,Alan Rickman,25000.0
106,Alice Through the Looking Glass,PG,2016.0,113.0,3,Anne Hathaway,11000.0
107,Shrek the Third,PG,2007.0,93.0,1,Justin Timberlake,3000.0
107,Shrek the Third,PG,2007.0,93.0,2,Eric Idle,795.0
107,Shrek the Third,PG,2007.0,93.0,3,Rupert Everett,692.0
108,Warcraft,PG-13,2016.0,123.0,1,Dominic Cooper,3000.0
108,Warcraft,PG-13,2016.0,123.0,2,Callum Rennie,716.0
108,Warcraft,PG-13,2016.0,123.0,3,Ruth Negga,648.0
109,Terminator Genisys,PG-13,2015.0,126.0,1,J.K. Simmons,24000.0
109,Terminator Genisys,PG-13,2015.0,126.0,2,Emilia Clarke,10000.0
109,Terminator Genisys,PG-13,2015.0,126.0,3,Matt Smith,2000.0
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,2010.0,113.0,1,Bruce Spence,531.0
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,2010.0,113.0,2,Shane Rangi,82.0
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,2010.0,113.0,3,Laura Brent,59.0
111,Pearl Harbor,PG-13,2001.0,184.0,1,Jennifer Garner,3000.0
111,Pearl Harbor,PG-13,2001.0,184.0,2,Jaime King,961.0
111,Pearl Harbor,PG-13,2001.0,184.0,3,Mako,691.0
112,Transformers,PG-13,2007.0,144.0,1,Zack Ward,662.0
112,Transformers,PG-13,2007.0,144.0,2,Michael O'Neill,599.0
112,Transformers,PG-13,2007.0,144.0,3,Kevin Dunn,581.0
113,Alexander,R,2004.0,206.0,1,Anthony Hopkins,12000.0
