mission_title,Target
STS-56,"243, 271, 290, 291"
STS-57,"184, 228, 270, 296, 297, 298"
STS-58,"161, 171, 215, 304, 305, 306, 307"
STS-59,"244, 245, 253, 273, 287, 310"
STS-6,"60, 115, 116, 117"
STS-60,"196, 197, 258, 283, 309"
STS-61,"117, 163, 179, 192, 225, 235, 274"
STS-61-A,"109, 125, 158, 187, 190, 280"
STS-61-B,"128, 193, 194, 195"
STS-61-C,"132, 146, 196, 197"
STS-61A,"170, 188, 189"
STS-61B,148
STS-61B Atlantis,191
STS-61C,"142, 198, 199"
STS-62,"227, 230, 231, 238, 279"
STS-63,"226, 271, 293, 298, 324"
STS-64,"218, 219, 237, 246, 288, 317"
STS-65,"233, 250, 303, 313, 314, 315, 316"
STS-66,"248, 282, 291, 321, 322, 323"
STS-67,"240, 254, 265, 325, 326, 327"
STS-68,"257, 297, 302, 310, 318, 319"
STS-69,"154, 262, 290, 301, 334"
STS-7,"102, 119, 120, 121, 122"
STS-70,"261, 296, 315, 330, 331"
STS-71,"132, 187, 223, 247, 292"
STS-72,"270, 314, 341, 342, 343, 344"
STS-73,"225, 274, 335, 336, 337, 338, 339"
STS-74,"192, 243, 305, 313, 340"
STS-75,"163, 197, 279, 280, 346, 347, 348"
STS-76,"244, 273, 287, 304, 309"
STS-77,"153, 230, 263, 282, 302, 349"
STS-78,"261, 288, 330, 350, 351, 352, 353"
STS-79,"235, 245, 266, 303, 318"
STS-8,"105, 124, 125, 126, 127"
STS-80,"117, 254, 290, 310, 335"
STS-81,"227, 257, 297, 326, 341"
STS-82,"146, 218, 247, 274, 319, 321, 346"
STS-83,"298, 313, 315, 334, 358, 359, 360"
STS-84,"292, 322, 324, 361, 362"
STS-85,"282, 283, 335, 364, 365, 366"
STS-86,"108, 226, 323, 327, 367"
STS-87,"330, 342, 368, 369, 370"
STS-88,"192, 233, 296, 301, 387"
STS-89,"187, 318, 372, 373, 374"
STS-9,"17, 63, 128, 129, 131"
STS-90,"304, 350, 377, 378, 379, 380, 381"
STS-91,"197, 292, 327, 382, 383"
STS-92,"270, 297, 305, 314, 337, 343, 400"
STS-93,"146, 278, 324, 336, 392"
STS-94,"298, 313, 315, 334, 358, 359, 360"
STS-95,"3, 282, 316, 323, 365, 368, 385"
STS-96,"254, 291, 335, 344, 389, 390"
STS-97,"153, 321, 341, 361, 367"
STS-98,"227, 290, 310, 364, 401"
STS-99,"285, 298, 330, 382, 383, 394"
STS87,371
STS­ 91,84
STS­100,405
STS­106,"311, 399"
STS­112,426
STS­60,212
STS­63,118
STS­88,212
STS­96,391
Saluyt 4,69
Saluyt 6,69
Salyut 4,"74, 75"
Salyut 6,"74, 75, 83, 83, 84, 84, 88, 91, 93, 93, 96, 98, 99, 100"
Salyut 7,"100, 107, 108, 110, 70, 86, 86, 86, 88, 91, 93, 95, 95, 98, 99, 111, 111, 123, 136, 137, 138, 143, 182, 183"
Shenzhou 10,"442, 533, 534"
Shenzhou 11,"485, 550"
Shenzhou 5,434
Shenzhou 6,"441, 442"
Shenzhou 7,"483, 484, 485"
Shenzhou 9,"485, 527, 528"
Skylab 2,"20, 61"
Skylab 3,"44, 62, 63"
Skylab 4,"66, 67, 68"
Skylab-2,60
Soyuz  3,332
Soyuz 1,11
Soyuz 10,"34, 36, 51"
Soyuz 11,"42, 52, 53"
Soyuz 12,"64, 65"
Soyuz 13,"69, 70"
Soyuz 14,"6, 71"
Soyuz 15,"72, 73"
Soyuz 16,"41, 51"
Soyuz 18,47
Soyuz 19,"15, 40"
Soyuz 21,"35, 78"
Soyuz 22,"9, 79"
Soyuz 23,"80, 81"
Soyuz 24,"43, 82"
Soyuz 25,"83, 84"
Soyuz 26/27,85
Soyuz 27/26,"65, 86"
Soyuz 28,87
Soyuz 3,32
Soyuz 30,89
Soyuz 31,90
Soyuz 31/29,9
Soyuz 33,"51, 92"
Soyuz 36/35,"40, 94"
Soyuz 37/36,43
Soyuz 38,"85, 97"
Soyuz 39,"101, 86"
Soyuz 4,34
Soyuz 40,103
Soyuz 5,35
Soyuz 5/4,"36, 37"
Soyuz 6,"39, 40"
Soyuz 7,"41, 42, 43, 75"
Soyuz 8,"34, 36"
Soyuz 9,"5, 47"
Soyuz TM-11/10,242
Soyuz TM-12/11,252
Soyuz TM-14/13,269
Soyuz TM-17 / Soyuz TM-16,300
Soyuz TM-24/23,355
Soyuz TM-25/24,357
Soyuz TM-27/26,376
Soyuz TM-33/32,355
Soyuz TM-34 / Soyuz TM-33,419
Soyuz TM13/12,260
Soyuz TMA-1/TM-34,427
Soyuz TMA-10,456
Soyuz TMA-11/10,464
Soyuz TMA-12 / Soyuz TMA-11,477
Soyuz TMA-13,486
Soyuz TMA-14,456
Soyuz TMA-16/14,507
Soyuz TMA-18M/16M,"544, 545"
Soyuz TMA-3/2,385
Soyuz TMA-34/TM-33,418
Soyuz TMA-4/TMA-3,436
Soyuz TMA-6/TMA-5,418
Soyuz TMA-7,440
Soyuz TMA-8,443
Soyuz TMA-9,449
Soyuz TMA­1/TM­34,"395, 405"
Soyuz TMA­5,437
Soyuz TM­32/31,"312, 385"
Soyuz TM­33/32,"241, 410"
Soyuz TM­4/3,207
Soyuz T­2,79
Soyuz T­3,65
Soyuz T­8,"99, 110, 118"
Spacelab 1,130
Spacelab-2,177
Spacelab-3,167
Voskhod 1,"11, 12, 13"
Voskhod 2,"14, 15"
Vostok 1,1
Vostok 2,2
Vostok 3,5
Vostok 4,6
Vostok 5,9
Vostok 6,10
apollo 9,38
gemini 6A,23
spacelab-3,168
sts-46,281
ЭП-1,406
