Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
"Carnegie Mellon University, Australia",,,,,
,Entertainment Technology Center,2.0,,18,
,"Heinz School, School of Information Systems and Management",2.0,,18,
,"Heinz School, School of Public Policy and Management",2.0,,18,
"Carnegie Mellon University, Greece",,,,,
,19,,2,19,
"Carnegie Mellon University, Japan",,,,,
,19,,2,Kobe,
"Carnegie Mellon University, Portugal",,,,,
,19,,2,Lisbon,
Carson-Newman College,,,,,
,20,0.0,,Jefferson City,18
Chamberlain College of Nursing (online),,,,,
,2,0.0,0,Online,
Chapman University,,,,,
,Argyros School of Business and Economics,2.0,,20,9
,Conservatory of Motion Pictrures,2.0,,20,9
"City University of Seattle, Business and Hotel Management School",,,,,
,MBA Global Management,,2,Lucerne,
"City University of Seattle, Calgary",,,,,
,21,,2,Calgary,19
"City University of Seattle, CU-TEI Piraeus Program",,,,,
,MS in Project Management,,2,19,
,MS Computer Systems,,2,19,
"City University of Seattle, Edmonton",,,,,
,21,,2,Edmonton,19
"City University of Seattle, IntercollegeIBS - Institute of Business Studies",,,,,
,1,,2,Bucharest,
"City University of Seattle, University of International Business and Economics",,,,,
,1,,2,Beijing,
"City University of Seattle, Vancouver, Canada",,,,,
,22,,2,21,20
,21,,2,21,20
,23,,2,21,20
"City University of Seattle, Victoria",,,,,
,21,,2,22,21
,22,,2,22,21
,23,,2,22,21
"City University of Seattle, Vysoka Skola Financni a Spravni",,,,,
,1,,2,Prague,
"City University of Seattle, Vysoka Skola Manazmentu",,,,,
,1,,2,Trencin,
Claremont Graduate University,,,,,
,The Peter F. Drucker and Masatoshi Ito Graduate School of Management,0.0,6.5-7.0,Claremont,9
Clarkson University,,,,,
,0,2.0,,Potsdam,0
Clark University,,,,,
,24,0.0,,4,7
,Graduate School Economics Department,2.0,,4,7
College of Charleston,,,,,
,0,,2,Charleston,22
"College of Staten Island, City University of New York (CUNY)",,,,,
,Mental Health Counseling,2.0,,23,0
,Business Management,2.0,,23,0
College of William and Mary (The),,,,,
,1,0.0,,24,23
,Mason School of Business,1.0,,24,23
,Master of Accounting,9.0,,24,23
Colorado Heights University,,,,,
,1,1.0,,25,24
"Colorado State University, Fort Collins",,,,,
,6,0.0,,26,24
"Colorado State University, Pueblo",,,,,
,1,10.0,,27,24
,Masters of Science with a Major in Nursing,10.0,,27,24
Columbia Southern University,,,,,
,Doctor of Business Administration,1.0,,Orange Beach,8
Columbia University,,,,,
,Master of Arts Program in Climate and Society,2.0,,6,0
,7,,2,6,0
,Graduate School of Journalism,8.5,,6,0
,Teacher's College,2.0,,6,0
,School of International and Public Affairs,2.0,,6,0
,Fu Foundation School of Engineering and Applied Science,,2,6,0
,11,2.0,,6,0
,Business School Master of Science Programs,,2,6,0
,Business School Doctoral Program,,2,6,0
,Institute of Human Nutrition,5.0,"MS, Human Nutrition",6,0
Cornell University,,,,,
,School of Hotel Administration,1.0,,28,0
,Johnson School of Management,2.0,,28,0
Dartmouth College,,,,,
,11,2.0,,29,25
,Tuck School of Business,2.0,,29,25
,Dartmouth Institute for Health Policy & Clinical Practice,,2,29,25
Davenport University,,,,,
,1,2.0,* ESL required: 6.5,Grand Rapids,4
Delaware State University,,,,,
,Master of Arts in Educational Leadership,,2,30,26
,Master of Science in Sports Administration,,2,30,26
DePaul University,,,,,
,College of Liberal Arts and Sciences,11.0,,31,27
,College of Computing and Digital Media,0.0,,31,27
"Devry University, Addison Campus",,,,,
,25,1.0,,Addison,27
"Devry University, Alahambra Center",,,,,
,25,1.0,,Alahambra,9
"Devry University, Alpharetta Campus",,,,,
,25,1.0,,Alparetta,28
"Devry University, Anaheim Center",,,,,
,25,1.0,,Anaheim,9
"Devry University, Arlington (Crystal City) Campus",,,,,
,25,1.0,,32,23
"Devry University, Atlanta Cobb Galleria Center",,,,,
,25,1.0,,33,28
"Devry University, Austin Campus",,,,,
,25,1.0,,34,11
"Devry University, Bakersfield Center",,,,,
,25,1.0,,35,9
"Devry University, Bellevue (Seattle) Center",,,,,
,25,1.0,,36,29
"Devry University, Bethesda Center",,,,,
,25,1.0,,Bethesda,30
"Devry University, Charlotte Campus",,,,,
,25,1.0,,37,31
"Devry University, Cherry Hill Center",,,,,
,25,1.0,,Cherry Hill,13
"Devry University, Chesapeake (South Hampton Roads) Campus",,,,,
,25,1.0,,Chesapeake,23
"Devry University, Chicago Campus",,,,,
,25,1.0,,31,27
"Devry University, Chicago Loop Center",,,,,
,25,1.0,,31,27
"Devry University, Chicago O'Hare Center",,,,,
,25,1.0,,31,27
"Devry University, Cincinnati Campus",,,,,
,25,1.0,,38,10
"Devry University, Colorado Springs Center",,,,,
,25,1.0,,39,24
"Devry University, Colton (Inland-Empire) Center",,,,,
,25,1.0,,Colton,9
"Devry University, Columbus Campus",,,,,
,25,1.0,,16,10
"Devry University, Columbus North Center",,,,,
,25,1.0,,16,10
"Devry University, Daly City Center",,,,,
,25,1.0,,Daly City,9
"Devry University, Dayton Center",,,,,
,25,1.0,,Dayton,10
"Devry University, Decatur Campus",,,,,
,25,1.0,,Decatur,28
"Devry University, Downers Grove Center",,,,,
,25,1.0,,Downers Grove,27
"Devry University, Duluth (Gwinnett) Center",,,,,
,25,1.0,,40,28
"Devry University, Edina Campus",,,,,
,25,1.0,,Edina,17
"Devry University, Elgin Center",,,,,
,25,1.0,,Elgin,27
"Devry University, Federal Way Campus",,,,,
,25,1.0,,Federal Way,29
"Devry University, Fremont Campus",,,,,
,25,1.0,,41,9
"Devry University, Fresno Campus",,,,,
,25,1.0,,42,9
"Devry University, Ft. Lauderdale Center",,,,,
,25,1.0,,43,32
"Devry University, Ft. Washington Campus",,,,,
,25,1.0,,Ft. Washington,16
"Devry University, Ft. Worth Center",,,,,
,25,1.0,,Ft. Worth,11
"Devry University, Glendale Center",,,,,
,25,1.0,,44,5
"Devry University, Greenwood Village (Denver South) Center",,,,,
,25,1.0,,Greenwood Village,24
"Devry University, Gurnee Center",,,,,
,25,1.0,,Gurnee,27
"Devry University, Henderson Campus",,,,,
,25,1.0,,45,33
"Devry University, Houston Campus",,,,,
,25,1.0,,7,11
"Devry University, Houston Galleria",,,,,
,25,1.0,,7,11
"Devry University, Indianapolis Center",,,,,
,25,1.0,,46,3
"Devry University, Irving Campus",,,,,
,25,1.0,,47,11
"Devry University, Jacksonville Campus",,,,,
,25,1.0,,48,32
"Devry University, Kansas City Campus",,,,,
,25,1.0,,49,34
"Devry University, Kansas City Downtown",,,,,
,25,1.0,,49,34
"Devry University, King of Prussia Center",,,,,
,25,1.0,,King of Prussia,16
"Devry University, Long Beach Campus",,,,,
,25,1.0,,Long Beach,9
"Devry University, Louisville Campus",,,,,
,25,1.0,,8,12
"Devry University, Lynnwood Center",,,,,
,25,1.0,,Lynnwood,29
"Devry University, Manassas Center",,,,,
,25,1.0,,50,23
"Devry University, Manhattan Center",,,,,
,25,1.0,,6,0
"Devry University, Memphis Campus",,,,,
,25,1.0,,51,18
"Devry University, Merrillville Center",,,,,
,25,1.0,,Merrillville,3
"Devry University, Mesa Center",,,,,
,25,1.0,,2,5
"Devry University, Miami Center",,,,,
,25,1.0,,52,32
"Devry University, Midtown Manhattan Campus",,,,,
,25,1.0,,6,0
"Devry University, Milwaukee Campus",,,,,
,25,1.0,,0,1
"Devry University, Miramar Campus",,,,,
,25,1.0,,53,32
"Devry University, Morrisville Campus",,,,,
,25,1.0,,Morrisville,31
"Devry University, Naperville Center",,,,,
,25,1.0,,Naperville,27
"Devry University, Nashville Campus",,,,,
,25,1.0,,54,18
"Devry University, North Brunswick Campus",,,,,
,25,1.0,,North Brunswick,13
"Devry University, Oakland Center",,,,,
,25,1.0,,55,9
"Devry University, Oklahoma City Campus",,,,,
,25,1.0,,56,35
"Devry University, Orlando Campus",,,,,
,25,1.0,,57,32
"Devry University, Orlando North Center",,,,,
,25,1.0,,57,32
"Devry University, Oxnard Center",,,,,
,25,1.0,,Oxnard,9
"Devry University, Palmdale Center",,,,,
,25,1.0,,Palmdale,9
"Devry University, Paramus Center",,,,,
,25,1.0,,Paramus,13
"Devry University, Philadelphia (Center City) Center",,,,,
,25,1.0,,58,16
"Devry University, Phoenix Campus",,,,,
,25,1.0,,3,5
"Devry University, Pittsburgh Campus",,,,,
,25,1.0,,17,16
"Devry University, Pomona Campus",,,,,
,25,1.0,,Pomona,9
"Devry University, Portland Campus",,,,,
,25,1.0,,59,36
"Devry University, Rego Park (Queens) Center",,,,,
,25,1.0,,Rego Park,0
"Devry University, Richardson Center",,,,,
,25,1.0,,Richardson,11
"Devry University, Sacramento (Elk Grove) Campus",,,,,
,25,1.0,,60,9
"Devry University, San Antonio Campus",,,,,
,25,1.0,,61,11
"Devry University, San Diego Campus",,,,,
,25,1.0,,62,9
"Devry University, Sandy Campus",,,,,
,25,1.0,,Sandy,15
"Devry University, San Jose Center",,,,,
,25,1.0,,63,9
"Devry University, Seven Hills Campus",,,,,
,25,1.0,,Seven Hills,10
"Devry University, Sherman Oaks Campus",,,,,
,25,1.0,,Sherman Oaks,9
"Devry University, Southfield Campus",,,,,
,25,1.0,,64,4
"Devry University, St. Louis Campus",,,,,
,25,1.0,,65,34
"Devry University, St. Louis Park Center",,,,,
,25,1.0,,St.Louis,17
"Devry University, Stockbridge (Henry County) Center",,,,,
,25,1.0,,Stockbridge,28
"Devry University, Sugar Land (Houston) Center",,,,,
,25,1.0,,Sugarland,11
"Devry University, Tampa Bay Campus",,,,,
,25,1.0,,66,32
"Devry University, Tampa East Center",,,,,
,25,1.0,,66,32
"Devry University, Tinley Park Campus",,,,,
,25,1.0,,Tinley Park,27
"Devry University, Waukesha Center",,,,,
,25,1.0,,Waukesha,1
"Devry University, Westminster Campus",,,,,
,25,1.0,,67,24
Doane College,,,,,
,Master of Education- Educational Leadership,1.0,,68,37
,Master of Arts in Counseling,1.0,,68,37
,Master of Education- Curriculum and Development,1.0,,68,37
,Initial Program at the Advanced Level for Certification,1.0,,68,37
,Master of Arts in Management,1.0,,68,37
Dominican University,,,,,
,Brennan School of Business,1.0,,69,27
,Graduate School of Library and Information Sciences,2.0,,69,27
,12,2.0,,69,27
,15,2.0,,69,27
Drew University,,,,,
,Theological School (except Ph.D.),1.0,,70,13
Drexel University,,,,,
,Master of Science in Finance,,2,58,16
Duke University,,,,,
,Nicholas School of the Environment,2.0,,71,31
,7,2.0,,71,31
,Sanford School of Public Policy,2.0,,71,31
,Fuqua School of Business,,2,71,31
Eastern University,,,,,
,Campolo College Graduate/Professional Studies,0.0,,72,16
,School of Leadership and Development,0.0,,72,16
Emory University,,,,,
,Goizueta School of Business,2.0,,33,28
,26,,2,33,28
,Rollins School of Public Health,1.0,,33,28
Fairfield University,,,,,
,Dolan School of Business Master of Business Administration,0.0,,73,38
,Graduate School of Education and Allied Professions,11.0,,73,38
,Master of Science in the Management of Technology,0.0,,73,38
Fairleigh Dickinson University,,,,,
,27,,2,Teaneck,13
Florida Atlantic University,,,,,
,Barry Kaye College of Business,,2,Boca Raton,32
Florida International University,,,,,
,28,0.0,,52,32
,School of Hospitality and Tourism Management,0.0,,52,32
,29,0.0,,52,32
,School of Computing and Information Sciences,0.0,,52,32
Fordham University,,,,,
,School of Social Service,2.0,,6,0
,15,2.0,0,6,0
,30,1.0,,6,0
Framingham State University,,,,,
,1,0.0,,Framingham,7
Fuller Theological Seminary,,,,,
,Ph.D program,2.0,,74,9
,Master's program,0.0,,74,9
Georgetown University,,,,,
,McCourt School of Public Policy,5.0,,1,2
,McDonough Business School,11.0,,1,2
,Edmund Walsh School of Foreign Service,,2,1,2
,11,2.0,,1,2
,Nursing and Health Science,2.0,,1,2
George Washington University,,,,,
,Columbian College of Arts and Sciences,1.0,3,1,2
,Graduate School of Human Development,1.0,3,1,2
,31,1.0,3,1,2
,School of Engineering and Applied Sciences,1.0,3,1,2
,Elliot School of International Affairs,2.0,"Master of Business Administration, MSIST and Ph.D. Programs in School of Business and Public Management (no subscore below 6.0)",1,2
,School of Public Health and Health Services,5.0,,1,2
,School of Medicine and Health Science,5.0,,1,2
Georgia State University,,,,,
,Andrew Young School of Policy Studies,5.0,,33,28
,"Department of Modern and Classical Languages MA, French, German and Spanish",,2,33,28
,College Of Education,12.0,,33,28
,32,,4,33,28
,J. Mack Robinson College of Business,11.0,,33,28
,Institute of Public Health,,2,33,28
,College of Arts and Science,,2,33,28
Golden Gate University,,,,,
,Ageno School of Business,0.0,,75,9
Gonzaga University,,,,,
,33,0.0,,76,29
Goshen College,,,,,
,MS Nursing,12.0,,77,3
,MA Intercultural Leadership,,2,77,3
Harvard Business School,,,,,
,Master of Business Administration Programs,2.0,,11,7
,34,2.0,,11,7
Henderson State University,,,,,
,0,1.0,,Arkadelphia,6
Hofstra University,,,,,
,1,,2,Hempstead,0
Houston Baptist University,,,,,
,Graduate Business Programs,,2,7,11
Howard University,,,,,
,35,12.0,,1,2
Illinois Institute of Technology,,,,,
,Stuart School of Business,,2,31,27
,36,5.0,,31,27
,College of Psychology,,2,31,27
,37,6.0,,31,27
Illinois State University,,,,,
,Master's in English,9.0,,Normal,27
"Indiana University, Bloomington",,,,,
,1,2.0,,Bloomington,3
"Indiana University, East",,,,,
,School of Social Work (Master of Social Work),11.0,,78,3
"Indiana University-Purdue University, Fort Wayne",,,,,
,Richard Doermer School of Business and Management Sciences,0.0,,Fort Wayne,3
,Kelley School of Business,1.0,,46,3
,38,1.0,,46,3
Johns Hopkins University,,,,,
,Carey Business School,2.0,,79,30
,7,2.0,,79,30
,Advanced Academic Programs,2.0,,79,30
,Bloomberg School of Public Health,2.0,,79,30
,School of Arts and Sciences-4610,2.0,,79,30
,School of Engineering-4610,5.0,,79,30
,School of Medicine (Ph.D.),2.0,,79,30
,15,5.0,,79,30
Kent State University,,,,,
,The School of Library and Information Science,2.0,,80,10
,39,1.0,,80,10
,Master of Science in Financial Engineering,10.0,,80,10
,40,0.0,,80,10
,Department of Geology,1.0,,80,10
Keuka College,,,,,
,41,0.0,,Keuka Park,0
Lake Erie College,,,,,
,1,2.0,,Painesville,10
Lamar University,,,,,
,Ph.D. programs,1.0,,13,11
Lewis & Clark College,,,,,
,42,2.0,,59,36
Loma Linda University,,,,,
,School of Allied Health Professions,0.0,,81,9
,7,0.0,,81,9
,43,0.0,,81,9
,School of Science and Technology,0.0,,81,9
,13,0.0,,81,9
,School of Religion,0.0,,81,9
,38,0.0,,81,9
,27,0.0,,81,9
"Long Island University, Post",,,,,
,34,7.0,,82,0
Loyola Marymount University,,,,,
,39,2.0,,Los Angeles,9
Loyola University Chicago,,,,,
,33,0.0,,31,27
Lutheran School of Theology at Chicago,,,,,
,Master of Theology,,2,31,27
,44,,2,31,27
Luther Seminary,,,,,
,44,2.0,,83,17
,45,0.0,,83,17
Manhattan School of Music,,,,,
,Doctorate of Musical Arts,2.0,,6,0
Maryland Institute College of Art,,,,,
,Graphic Design,1.0,,79,30
,Rinehart School of Sculpture,,2,79,30
,MA in Teaching,,2,79,30
Marywood University,,,,,
,Health Sciences,1.0,,84,16
,Psychology:,1.0,,84,16
,Communication Arts,1.0,,84,16
,Nutrition:,1.0,,84,16
,Business & Managerial Science,1.0,,84,16
,Biotechnology,1.0,,84,16
Massachusetts Institute of Technology,,,,,
,Technology and Policy Program,7.0,5,85,7
,System Design and Management,7.0,5,85,7
,Computational and Systems Biology,6.0,6,85,7
,Economics,5.0,6,85,7
,Supply Chain Management,,Contact school for score. IELTS only,85,7
,Linguistics & Philosophy,12.0,,85,7
,46,2.0,5,85,7
,Computation for Design and Optimization,2.0,5,85,7
,Department of Urban Studies/Planning,2.0,,85,7
,Civil and Environmental Engineering,,2,85,7
,Center for Real Estate,2.0,6,85,7
,Comparative Media Studies,2.0,5,85,7
,Materials Science and Engineering,1.0,5,85,7
,Nuclear Science & Engineering,2.0,,85,7
,Harvard-MIT Division of Health Sciences and Technology,2.0,IELTS strongly preferred,85,7
,Master of Engineering in Manufacturing,,Contact school for score (IELTS preferred),85,7
,Media Arts and Sciences,2.0,5,85,7
,Aeronautics and Astronautics,2.0,,85,7
,Electrical Engineering and Computer Science,11.0,6,85,7
,Mechanical Engineering,2.0,6,85,7
,Department of Architecture,2.0,"7.5 for Ph.D. History, Theory/Criticism of Architecture and Art (IELTS preferred)",85,7
,Engineering Systems Division,11.0,5,85,7
,Biological Engineering,2.0,5,85,7
,47,2.0,,85,7
,32,0.0,7,85,7
,"Departent of Earth, Atmospheric and Planetary Science",1.0,7,85,7
,Science Writing,11.0,,85,7
,26,2.0,7,85,7
,MIT-Woods Hole Oceanographic,1.0,,85,7
,Department of Mathematics,1.0,7,85,7
,Sloan School of Management,2.0,Ph.D. Program: 7.0,85,7
,Department of Brain/Cognitive Science,2.0,School of Science: (IELTS preferred),85,7
,"History, Anthropology and Sciences, Technology/Society",2.0,,85,7
,Operations Research,2.0,(IELTS preferred),85,7
,Microbiology,1.0,Interdisciplinary Programs: (7.0 preferred) (IELTS preferred),85,7
,40,,School of Science: Contact school for score,85,7
"Mercer University, Main Campus",,,,,
,Eugene W. Stetson School of Business and Economics,12.0,,86,28
Metropolitan State University,,,,,
,Master of Science in Computer Science,0.0,,83,17
Michigan State University,,,,,
,Broad College of Business,2.0,,East Lansing,4
Midland Lutheran College,,,,,
,Master of Professional Accounting,1.0,(no subscore below 5.0),41,39
Milligan College,,,,,
,1,13.0,,Milligan College,18
Mills College,,,,,
,Master of Arts in English,2.0,,55,9
Minot State University,,,,,
,6,1.0,,Minot,ND
Mississippi State University,,,,,
,28,0.0,"Department of Curriculum, Instruction, and Special Education (MA, Ph.D.)",87,40
,8,10.0,,87,40
,39,,2,87,40
Mississippi University for Women,28,2.0,,87,40
,Master of Science in Speech-Language Pathology,2.0,,16,40
Missouri University of Science and Technology,,,,,
,1,1.0,,Rolla,34
Montclair State University,,,,,
,18,0.0,,Montclair,13
Monterey Institute of International Studies,,,,,
,1,1.0,(two-year),88,9
,Advanced Entry Master of Business Administration,0.0,,88,9
,Fisher Graduate School of International Business,0.0,(no subscore below 6.0),88,9
New School (The),,,,,
,General Studies,2.0,,6,0
,Master of Fine Arts Program in Creative Writing,2.0,,6,0
,"Milano School of International Affairs, Management, and Urban Policy",2.0,,6,0
,20,2.0,,6,0
,Social Research,2.0,,6,0
"New York Institute of Technology, Manhattan",,,,,
,School of Management Master of Business Administration,1.0,,6,0
New York Medical College,,,,,
,Doctor of Physical Therapy (DTP),2.0,,89,0
,Doctor of Public Health in Health Policy and Management (DrPH),9.0,,89,0
,"School of Health Sciences and Practice, Master in Public Health",2.0,,89,0
,Doctor of Public Health in Epidemiology (DrPH),9.0,,89,0
New York University,,,,,
,"College of Dentistry, Advanced Programs for International Dentists",,Contact College of Dentistry for score,6,0
,Tisch School of the Arts,,2,6,0
,Robert F. Wagner Graduate School of Public Service,,2,6,0
,School of Professional and Continuing Studies,5.0,,6,0
,48,,4,6,0
,Silver School of Social Work,,4,6,0
,Gallatin School of Individualized Study,,4,6,0
,Stern School of Business,5.0,,6,0
Niagara University,,,,,
,1,0.0,,Niagara University,0
Northeastern Illinois University,,,,,
,Linguistics Department,12.0,,31,27
Northeastern University,,,,,
,49,0.0,,11,7
,50,0.0,,11,7
,D'Amore-McKim School of Business,14.0,2,11,7
,Sciences in Marine Biology,0.0,,11,7
,Bouve College of Health Sciences,2.0,,11,7
,"College of Arts, Media & Design",5.0,,11,7
,School of Journalism,5.0,,11,7
,Master of Design for Sustainable Urban Environments (MDes),5.0,,11,7
,College of Social Sciences and Humanities,14.0,2,11,7
Northern Arizona University,,,,,
,W.A. Franke College of Business,2.0,,Flagstaff,5
Northwestern Polytechnic University,,,,,
,Doctoral programs,0.0,,41,9
Northwestern University,,,,,
,Northwestern Engineering Master of Project Management (MPM),8.0,,90,27
,Medill Northwestern University - Graduate Admissions,5.0,"School of Journalism, Media, Integrated Marketing Communications",90,27
,"Kellogg School of Management, Ph.D. Program",2.0,,90,27
"Northwood University, Florida",,,,,
,1,2.0,,West Palm Beach,32
"Northwood University, Michigan",,,,,
,1,2.0,,Midland,4
"Northwood University, Texas",,,,,
,1,2.0,,91,11
Nova Southeastern University,,,,,
,H. Wayne Huizenga School of Business and Entrepreneurship,1.0,,43,32
Ohio Dominican University,,,,,
,20,0.0,,16,10
Ohio State University,,,,,
,Master of Labor and Human Resources,11.0,8,16,10
,Master of Business Operational Excellence,9.0,8,16,10
,1,,Fisher College of Business: Contact school for score,16,10
Oral Roberts University,,,,,
,School of Theology and Ministry,2.0,,92,35
Oregon Health & Science University,,,,,
,43,15.0,,59,36
Pace University,,,,,
,Seidenberg School of Computer Science and Information Systems,6.0,,6,0
,Lienard School of Nursing,6.0,,6,0
,Pace University-Lenox Hill Hospital Physician Assistant Program,6.0,,6,0
,Lubin School of Business,6.0,9,6,0
,Dyson College of Arts and Sciences,6.0,,6,0
,15,6.0,,6,0
Pacific Lutheran University,,,,,
,0,12.0,,93,29
Pacific University,,,,,
,51,5.0,(no subscore below 7.0),94,36
,27,5.0,,94,36
Palo Alto University,,,,,
,Pacific Graduate School of Psychology,,2,Palo Alto,9
"Pennsylvania State University, Harrisburg",,,,,
,Master of Professional Studies in Engineering Management,12.0,,95,16
,52,12.0,,95,16
,American Studies,12.0,,95,16
"Pennsylvania State University, University Park",,,,,
,Smeal College of Business,5.0,9,University Park,16
Pepperdine University,,,,,
,School of Public Policy,5.0,,96,9
,Graziadio School of Business and Management,12.0,,96,9
"Purdue University, Calumet",,,,,
,1,12.0,,Hammond,3
Regent University,,,,,
,15,5.0,,97,23
,School of Business & Leadership,5.0,,97,23
,School of Psychology & Counseling,5.0,,97,23
Rhode Island School of Design,,,,,
,Master of Fine Arts in Painting,12.0,,Providence,41
Rice University,,,,,
,Jesse H. Jones Graduate School of Business,5.0,,7,11
"Richmond, The American International University in London",,,,,
,Master in Art History,,2,98,
,Master in International Relations,,2,98,
Rider University,,,,,
,39,12.0,,Lawrenceville,13
Rollins College,,,,,
,Crummer Graduate School of Business,5.0,,Winter Park,32
"Rutgers, The State University of New Jersey, Newark",,,,,
,48,5.0,,99,13
Saint Louis University,,,,,
,John Cook School of Business,12.0,MBA,65,34
Saint Vincent College,,,,,
,41,6.0,,Latrobe,16
San Diego State University,,,,,
,39,12.0,,62,9
San Francisco Art Institute,,,,,
,Master of Art,7.0,,75,9
,Master of Fine Art,5.0,,75,9
San Jose State University,,,,,
,Lucas Graduate School of Business,7.0,,63,9
Santa Clara University,,,,,
,Leavey School of Business,5.0,,100,9
,10,6.0,,100,9
Seattle University,,,,,
,Albers School of Business and Economics,5.0,,101,29
Seton Hall University,,,,,
,Whitehead School of Diplomacy and International Relations,12.0,,South Orange,13
,Master of Arts in Writing Popular Fiction,12.0,,102,16
,Art Therapy with Specialization in Counseling,5.0,,102,16
,Physician Assistant Program,12.0,,102,16
Shenandoah University,,,,,
,"Harry F. Byrd, Jr. School of Business",6.0,,Winchester,23
SIT Graduate Institute,,,,,
,20,5.0,,Brattleboro,VT
Southern Arkansas University,,,,,
,6,13.0,,Magnolia,6
Spring Hill College,,,,,
,1,12.0,,Mobile,8
"St. John's University, Queens",,,,,
,Peter J. Tobin College of Business,,2,Queens,0
St. Mary's University,,,,,
,Bill Greehey School of Business,12.0,,61,11
Stetson University,,,,,
,30,6.0,,DeLand,32
"Stony Brook University, State University of New York (SUNY)",,,,,
,School of Professional Development,12.0,,Stony Brook,0
Suffolk University,,,,,
,Sawyer School of Management,12.0,,11,7
Syracuse University,,,,,
,Smith College of Engineering and Computer Science,,2,103,0
,Whitman School of Management,5.0,,103,0
,School of Information Studies,,2,103,0
,College of Visual and Performing Arts,5.0,,103,0
,Maxwell School,5.0,,103,0
,S.I. Newhouse School of Public Communications,5.0,,103,0
Temple University,,,,,
,27,12.0,,58,16
"Temple University, Japan Campus",,,,,
,1,,2,Tokyo,
"Texas A&M University, College Station",,,,,
,Mays Business School,6.0,,104,11
,Health Science Center,6.0,,104,11
"Texas A&M University, Commerce",,,,,
,53,4.0,,105,11
,Physics,4.0,,105,11
,54,4.0,,105,11
,Agricultural Education,4.0,Master of Education,105,11
