Subtitle,Release 1 (in Points),Sprint 12,var,value
TEAM CAPACITY,Estimated: Efficiency Factor,1.0,Sprint 7,1.0
FORECASTS,Forecast: Work remaining at start of sprint,0.0,Sprint 8,36.0
FORECASTS,Forecast: Velocity ,0.0,Sprint 8,36.0
FORECASTS,Forecast: Work remaining at the end of sprint,0.0,Sprint 8,0.0
ACTUALS,Actual: Work remaining at start of sprint,0.0,Sprint 8,36.0
ACTUALS,Actual Velocity,0.0,Sprint 8,36.0
ACTUALS,Actual Work remaining at the end of sprint,0.0,Sprint 8,0.0
TEAM CAPACITY,Forecast: Planned Resources (FTE),0.0,Sprint 8,2.0
TEAM CAPACITY,Forecast: Planned Mandays,0.0,Sprint 8,36.0
TEAM CAPACITY,Estimated: Efficiency Factor,1.0,Sprint 8,1.0
FORECASTS,Forecast: Work remaining at start of sprint,0.0,Sprint 9,0.0
FORECASTS,Forecast: Velocity ,0.0,Sprint 9,0.0
FORECASTS,Forecast: Work remaining at the end of sprint,0.0,Sprint 9,0.0
ACTUALS,Actual: Work remaining at start of sprint,0.0,Sprint 9,0.0
ACTUALS,Actual Velocity,0.0,Sprint 9,0.0
ACTUALS,Actual Work remaining at the end of sprint,0.0,Sprint 9,0.0
TEAM CAPACITY,Forecast: Planned Resources (FTE),0.0,Sprint 9,0.0
TEAM CAPACITY,Forecast: Planned Mandays,0.0,Sprint 9,0.0
TEAM CAPACITY,Estimated: Efficiency Factor,1.0,Sprint 9,1.0
FORECASTS,Forecast: Work remaining at start of sprint,0.0,Sprint 10,0.0
FORECASTS,Forecast: Velocity ,0.0,Sprint 10,0.0
FORECASTS,Forecast: Work remaining at the end of sprint,0.0,Sprint 10,0.0
ACTUALS,Actual: Work remaining at start of sprint,0.0,Sprint 10,0.0
ACTUALS,Actual Velocity,0.0,Sprint 10,0.0
ACTUALS,Actual Work remaining at the end of sprint,0.0,Sprint 10,0.0
TEAM CAPACITY,Forecast: Planned Resources (FTE),0.0,Sprint 10,0.0
TEAM CAPACITY,Forecast: Planned Mandays,0.0,Sprint 10,0.0
TEAM CAPACITY,Estimated: Efficiency Factor,1.0,Sprint 10,1.0
FORECASTS,Forecast: Work remaining at start of sprint,0.0,Sprint 11,0.0
FORECASTS,Forecast: Velocity ,0.0,Sprint 11,0.0
FORECASTS,Forecast: Work remaining at the end of sprint,0.0,Sprint 11,0.0
ACTUALS,Actual: Work remaining at start of sprint,0.0,Sprint 11,0.0
ACTUALS,Actual Velocity,0.0,Sprint 11,0.0
ACTUALS,Actual Work remaining at the end of sprint,0.0,Sprint 11,0.0
TEAM CAPACITY,Forecast: Planned Resources (FTE),0.0,Sprint 11,0.0
TEAM CAPACITY,Forecast: Planned Mandays,0.0,Sprint 11,0.0
TEAM CAPACITY,Estimated: Efficiency Factor,1.0,Sprint 11,1.0
