Year,var,value
1981,December,Sheila Kennedy
1982,December,Monique Gabrielle
1983,December,Lisa Schultz
1984,December,Angela Marie Mineo
1985,December,Lori Baker
1986,December,Jill Shawntai
1987,December,Janine Lindemulder
1988,December,Kimberly Taylor
1989,December,Kirsten Stewart
1990,December,Diana Van Laar
1991,December,Jean Carew
1992,December,Anja Josefsen
1993,December,Levena Holmes
1994,December,Brandi Lee Braxton
1995,December,Nikki Tyler
1996,December,Heather St. James
1997,December,Juliet Cariaga
1998,December,Vicca
1999,December,Jacqueline Marie Phillips
2000,December,Suzette Spencer
2001,December,Cheyenne Silver
2002,December,Kira Kener
2003,December,Aneta Smrhova
2004,December,Ashley Roberts
2005,December,Bella Starr
2006,December,Hanna Hilton
2007,December,Adrienne Manning
2008,December,Tori Black
2009,December,Jayden Cole
2010,December,Sabrina Maree
2011,December,Natasha Nice
2012,December,Lily Love
2013,December,Brea Bennett
2014,December,Misty Stone
2015,December,Alex Grey
2016,December,Blake
2017,December,
1969,January,
1970,January,Katherine Mannering
1971,January,Viva Helziger
1972,January,Patricia Barrett
1973,January,Maggi Burton
1974,January,Claudia Arena
1975,January,Juliet Morris
1976,January,Laure Favie
1977,January,Marilyn Connor
1978,January,Carrie Nelson
1979,January,Dusty Jackson
1980,January,Tamara Kapitas
1981,January,Suzee Pai
1982,January,Julia Perrein
1983,January,Carmen Pope
1984,January,Cody Carmack
1985,January,Rebecca Hill
1986,January,Sarah Remington-Graves
1987,January,Margo Chapman
1988,January,Stephanie Adams
1989,January,Aneliese Nesbitt
1990,January,Stacey Lynn
1991,January,Mahalia Maria
1992,January,Stevie Jean
1993,January,Natalie Lennox
1994,January,Bonita Saint
1995,January,Lydia Schone
1996,January,Emerald Heart
1997,January,Rachelle Arnott
1998,January,Eva Major
1999,January,Samantha Stewart
2000,January,Nicole Marciano
2001,January,Devon
2002,January,Karri Jacobs
2003,January,Martina Warren
2004,January,Jenna Jameson
2005,January,Jamie Lynn
2006,January,Heather Vandeven
2007,January,Erica Ellyson
2008,January,Taya Parker
2009,January,Teagan Presley
2010,January,Jessica Wilson
2011,January,Breanne Benson
2012,January,Dani Daniels
2013,January,Marica Hase
2014,January,Allie Haze
2015,January,Aspen Rae
2016,January,Christiana Cinn
2017,January,Naomi Woods
1969,February,
1970,February,Tamara Santerra
1971,February,Cassandra Harrington
1972,February,Carole Augustine
1973,February,Karen Sather
1974,February,Beatrice Vogler
1975,February,Lona Simpson
1976,February,Martine Le Mauviel
1977,February,Betsy Harris
1978,February,Laura Storm
1979,February,Pamela Rhodes
1980,February,Lindsay Ekert
1981,February,Brenda Holliday
1982,February,Divina Celeste
1983,February,Loretta Ybarra
1984,February,Antonia Larsen
1985,February,Brittany Dane
1986,February,Susan Napoli
1987,February,Linda Johnson
1988,February,Joanne Szmereta
1989,February,Lola Anders
1990,February,Justine Delahunty
1991,February,Tara Jackson
1992,February,Leslie Glass
1993,February,Julie K. Smith
1994,February,Tiffany Burlingame
1995,February,Emma Nixon
1996,February,Sabrina West
1997,February,Monique Nobrega
1998,February,Nanna Gibson
1999,February,Cat Daniels
2000,February,Tera Patrick
2001,February,Judith Devine
2002,February,Kyli Ryan
2003,February,Dominique Dane
2004,February,none
2005,February,Avery Adams
2006,February,Charlie Laine
2007,February,Stormy Daniels
2008,February,Cali Taylor
2009,February,Lexi Blade
2010,February,Heidi Baron
2011,February,Jewels Jade
2012,February,Brett Rossi
2013,February,Laly Vallade
2014,February,Victoria Lynn
2015,February,Kenna James
2016,February,Darcie Dolce
2017,February,Uma Jolie
1969,March,
1970,March,Ilse Hasek
1971,March,Lottie Gunthart
1972,March,Billie Deane
1973,March,Avril Lund
1974,March,Marie Ekorre
1975,March,Susan Ryder
1976,March,Joann Witty
1977,March,Jolanta Von Zmuda
1978,March,Carmen Pope
1979,March,Shasta Lindstrom
1980,March,Mary Bess Knight
1981,March,Delfina Ponti
1982,March,Sharon Axley
1983,March,Greta Anderson
1984,March,Paula Ann Wood
1985,March,Carolyn Bosanko
1986,March,Michelle Walker
1987,March,Brittany Morgan
1988,March,Jacqui De La Cruz
1989,March,Sunny Woods
1990,March,Brandy O.
1991,March,Sandi Korn
1992,March,Jami Dion
1993,March,Natalie Smith
1994,March,Mignon May Champ
1995,March,Lynn Turner
1996,March,Diane Thomas
1997,March,Nikie St. Gilles
1998,March,Anita Rinaldi
1999,March,Leah Maree Willis
2000,March,Kyla Cole
2001,March,Sunny Leone
2002,March,Courtney Taylor
2003,March,Lilly Ann
2004,March,Kimber Lee
2005,March,Crystal Klein
2006,March,Jennifer Emerson
2007,March,Betcee May
2008,March,Bree Olson
2009,March,Rebeca Linares
2010,March,Jelena Jensen
2011,March,Ella Milano
2012,March,Chanel Preston
2013,March,Presley Hart
2014,March,Bree Daniels
2015,March,Ava Dalush
2016,March,Blake Eden
2017,March,Riley Nixon
1969,April,
1970,April,Stephanie McLean
1971,April,Jacquie Simmons-Jude
1972,April,Marianne Gordon
1973,April,Leslie Leah Burrow
1974,April,Nancy Sebastian
1975,April,Signe Berger
1976,April,Sandy Bernadou
1977,April,Shonna Lynne
1978,April,Mariwin Roberts
1979,April,Isabella Ardigo
1980,April,Annie Hockersmith
1981,April,Sherry Moran
1982,April,Muriel Rousseau
1983,April,Veronique Jolie
1984,April,Marcia Ruks
1985,April,Andi Leigh
1986,April,Dominique St. Croix
1987,April,Jenna Persaud
1988,April,Delia Sheppard
1989,April,Simone Brigitte
1990,April,Jaqueline Winfield
1991,April,Theresa Presley
1992,April,Robin Brown
1993,April,Sharon Fitzpatrick
1994,April,Andrea Mountjoy
1995,April,Briana Nickles
1996,April,Kia Delao
1997,April,Heather Kelly
1998,April,Chloe Jones
1999,April,Zdeňka Podkapová
2000,April,Cristi Taylor
2001,April,Tyler Reed
2002,April,Hannah Harper
2003,April,Jana Cova
2004,April,Jesse Capelli
2005,April,Cassia Riley
2006,April,Krista Ayne
2007,April,Erica Campbell
2008,April,Alektra Blue
2009,April,Veronica Ricci
2010,April,Nikki Benz
2011,April,Franceska Jaimes
2012,April,Gina Lynn
2013,April,Whitney Westgate
2014,April,Ryan Ryans
2015,April,Aleksa Slusarchi
2016,April,Jenna Sativa
2017,April,Niki Skyler
1969,May,
1970,May,Benedikte Andersen
1971,May,Billie Rainbird
1972,May,Sharon Bailey
1973,May,Sandi Greco
1974,May,Brande Howard
1975,May,Ava Gallay
1976,May,Sonny Smith
1977,May,Valerie Rae Clark
1978,May,Angela Hyer
1979,May,Brieanna Bujold
1980,May,Monika Kaelin
1981,May,Cody Carmack
1982,May,Ute Hochmeister
1983,May,Linda Kenton
1984,May,Holly-O
1985,May,Fasha
1986,May,Dallas Roddy
1987,May,Melissa Leigh
1988,May,Kelley Wild
1989,May,Venesuela
1990,May,Jisel
1991,May,Ronnie Dawn
1992,May,Jasmine
1993,May,Gina LaMarca
1994,May,Sonja McDaniel
1995,May,Darina Vanickova
1996,May,Lexus Locklear
1997,May,Andrea Kurtz
1998,May,Pamela Petrokova
1999,May,Miel Angel
2000,May,Nikki Anderson
2001,May,Kelle Marie
2002,May,Clara Morgane
2003,May,Victoria Bonne
2004,May,Brigitta Kocsis
2005,May,Lucie Theodorová
2006,May,Nevaeh
2007,May,Andie Valentino
2008,May,Alexis Love
2009,May,Lexxi Tyler
2010,May,Roxanna
2011,May,Tasha Reign
2012,May,Angela Sommers
2013,May,Lexi Belle
2014,May,Jasmine Caro
2015,May,Kendra Sunderland
2016,May,Paulini
2017,May,Charlotte Stokely
1969,June,
1970,June,Christina Lindberg
1971,June,Josee Troyat
1972,June,Nevenka Dundek
1973,June,Paula Francis
1974,June,Alicia Justin
1975,June,Wendy Blodgett
1976,June,Anna Grimwood
1977,June,Dominique Maure
1978,June,Corinne Alphen
1979,June,Lynda Clark
1980,June,Danielle Deneux
1981,June,Angela Giovanni
1982,June,Jane Felber
1983,June,Janet Sharpe
1984,June,Christianna
1985,June,Melissa Wolf
1986,June,Susan Gabrielson
1987,June,Connie Gauthier
1988,June,Lisa Davies
1989,June,Katja Zajcek
1990,June,Amy Lynn Baxter
1991,June,Julie Strain
1992,June,Tracy Wolf
1993,June,Samantha Phillips
1994,June,Taylor Wayne
1995,June,Elizabeth Ann Hilden
1996,June,Julia Garvey
1997,June,Dayna Ann
1998,June,Kelly Havel
1999,June,Angelica Costello
2000,June,Tracie Carmichael
2001,June,Briana Banks
2002,June,Victoria Zdrok
2003,June,Lanny Barbie
2004,June,Tylar Jacobs
2005,June,Valentina Vaughn
2006,June,Shay Laren
2007,June,Kimberly Williams
2008,June,Daisy Marie
2009,June,Kagney Linn Karter
2010,June,Eva Angelina
2011,June,Eden Adams
2012,June,Alexis Ford
2013,June,Hayden Hawkens
2014,June,Jessie Andrews
2015,June,Jenna Ivory
2016,June,Lily Ivy
2017,June,Olive Glass
1969,July,
1970,July,Polly Anne Pendleton
1971,July,Vida Farthing
1972,July,Lesley Harrison
1973,July,Cindy McDee
1974,July,Barbie Lewis
1975,July,Jane Hargrave
1976,July,Helen Lang
1977,July,Christine Davray
1978,July,Barbara Ann
1979,July,Jaycee West
1980,July,Samantha Faye
1981,July,Michelle Bauer
1982,July,Lari Jones
1983,July,Krista Simon
1984,July,Stacy Cole
1985,July,Phyliss Partin
1986,July,Krista Pflanzer
1987,July,Lisa Mandoki
1988,July,Micky Honsa
1989,July,Suzy
1990,July,Marie Duarte
1991,July,Teneil
1992,July,Nicole Simmons
1993,July,Michelle Tanner
1994,July,Dakotah Summers
1995,July,Dyanna Lauren
1996,July,Celeste Jean
1997,July,Elena Gilbert
1998,July,Nikita
1999,July,Melissa Ludwig
2000,July,Megan Mason
2001,July,Alex Arden
2002,July,Nadia Vasi
2003,July,Silver Moon
2004,July,Svetla Lubova
2005,July,Celeste Star
2006,July,Alexandria Karlsen
2007,July,Sasha Grey
2008,July,Shawna Leneé
2009,July,Tenaya
2010,July,Lela Star
2011,July,Kiara Diane
2012,July,Heather Starlet
2013,July,Natalia Starr
2014,July,Skin Diamond
2015,July,Tomi Taylor
2016,July,Noelle Monique
2017,July,Manda Kay
1969,August,
1970,August,Françoise Pascal
1971,August,Judy Jones
1972,August,Marian Maylam
1973,August,Lane Jackson Coyle
1974,August,Stacey Cameron
1975,August,Marguerite Cordier
1976,August,Victoria Lynn Johnson
1977,August,Barbara Corser
1978,August,Jennifer Zane
1979,August,Diane Weber
1980,August,Dianne Jamison
1981,August,Corinne Alphen
1982,August,Donna Barnes
1983,August,Shana Ross
1984,August,Debbie Tays
1985,August,Angela Nicholas
1986,August,Patty Mullen
1987,August,Andi Bruce
1988,August,Lisa Aiton
1989,August,Sara Norton
1990,August,Johnie Cheney
1991,August,Ryan Matthews
1992,August,Tammy Chapman
1993,August,Kailina
1994,August,Alex Taylor
1995,August,Lexie Leblanc
1996,August,Paige Summers
1997,August,Roxy Le Roux
1998,August,Aimee Sweet
1999,August,Claudia Loveno
2000,August,Orchidea Keresztes
2001,August,Ava Vincent
2002,August,Jordan West
2003,August,Sandra Shine
2004,August,Montana Bay
2005,August,Paris Dahl
2006,August,Olivia Kent
2007,August,Jana Jordan
2008,August,Jessica Jaymes
2009,August,Tenaya
2010,August,Mckenzee Miles
2011,August,Georgia Jones
2012,August,Nicole Aniston
2013,August,Natasha Starr
2014,August,Layla Sin
2015,August,Samantha Bentley
2016,August,Lana Rhoades
2017,August,Gina Valentina
