Subtitle,"Country of origin or 
declared nationality",var,value
Non-EU Countries,Other(4),2009,3533.0
Non-EU Countries,Total Non-EU,2009,22283.0
Non-EU Countries,Total,2009,165895.0
EU Countries,Austria,2010,290.0
EU Countries,Belgium,2010,278.0
EU Countries,Bulgaria(1),2010,295.0
EU Countries,Croatia,2010,51.0
EU Countries,Cyprus(2),2010,21.0
EU Countries,Czech Republic(2),2010,712.0
EU Countries,Denmark,2010,324.0
EU Countries,Estonia(2),2010,207.0
EU Countries,Finland,2010,188.0
EU Countries,France,2010,2877.0
EU Countries,Germany,2010,2090.0
EU Countries,Greece,2010,124.0
EU Countries,Hungary(2),2010,1584.0
EU Countries,Ireland(3),2010,85939.0
EU Countries,Italy,2010,2039.0
EU Countries,Latvia(2),2010,3134.0
EU Countries,Lithuania(2),2010,4353.0
EU Countries,Luxembourg,2010,11.0
EU Countries,Malta(2),2010,57.0
EU Countries,Netherlands,2010,649.0
EU Countries,Poland(2),2010,8742.0
EU Countries,Portugal,2010,786.0
EU Countries,Romania(2),2010,3002.0
EU Countries,Slovakia(2),2010,1288.0
EU Countries,Slovenia(2),2010,37.0
EU Countries,Spain,2010,2388.0
EU Countries,Sweden,2010,629.0
EU Countries,United Kingdom,2010,13437.0
EU Countries,Total EU,2010,135532.0
Non-EU Countries,Brazil,2010,4257.0
Non-EU Countries,United States of America,2010,2518.0
Non-EU Countries,India,2010,1430.0
Non-EU Countries,Venezuela,2010,169.0
Non-EU Countries,China,2010,977.0
Non-EU Countries,Republic of Korea,2010,558.0
Non-EU Countries,Pakistan,2010,478.0
Non-EU Countries,Canada,2010,698.0
Non-EU Countries,Australia,2010,688.0
Non-EU Countries,Nigeria,2010,513.0
Non-EU Countries,Mexico,2010,290.0
Non-EU Countries,Saudi Arabia,2010,247.0
Non-EU Countries,Malaysia,2010,410.0
Non-EU Countries,Philippines,2010,394.0
Non-EU Countries,Japan,2010,232.0
Non-EU Countries,South Africa,2010,413.0
Non-EU Countries,Russia,2010,233.0
Non-EU Countries,Libya,2010,21.0
Non-EU Countries,Ukraine,2010,150.0
Non-EU Countries,New Zealand,2010,238.0
Non-EU Countries,Switzerland,2010,143.0
Non-EU Countries,Argentina,2010,143.0
Non-EU Countries,Bangladesh,2010,109.0
Non-EU Countries,Nepal,2010,107.0
Non-EU Countries,Egypt,2010,93.0
Non-EU Countries,Norway,2010,187.0
Non-EU Countries,Turkey,2010,117.0
Non-EU Countries,Thailand,2010,175.0
Non-EU Countries,Moldova,2010,124.0
Non-EU Countries,Mauritius,2010,156.0
Non-EU Countries,Other(4),2010,2368.0
Non-EU Countries,Total Non-EU,2010,18636.0
Non-EU Countries,Total,2010,154168.0
EU Countries,Austria,2011,313.0
EU Countries,Belgium,2011,336.0
EU Countries,Bulgaria(1),2011,281.0
EU Countries,Croatia,2011,60.0
EU Countries,Cyprus(2),2011,21.0
EU Countries,Czech Republic(2),2011,621.0
EU Countries,Denmark,2011,306.0
EU Countries,Estonia(2),2011,155.0
EU Countries,Finland,2011,181.0
EU Countries,France,2011,2668.0
EU Countries,Germany,2011,2160.0
EU Countries,Greece,2011,168.0
EU Countries,Hungary(2),2011,1556.0
EU Countries,Ireland(3),2011,85210.0
EU Countries,Italy,2011,2095.0
EU Countries,Latvia(2),2011,2195.0
EU Countries,Lithuania(2),2011,3555.0
EU Countries,Luxembourg,2011,7.0
EU Countries,Malta(2),2011,51.0
EU Countries,Netherlands,2011,710.0
EU Countries,Poland(2),2011,8087.0
EU Countries,Portugal,2011,706.0
EU Countries,Romania(2),2011,3841.0
EU Countries,Slovakia(2),2011,1012.0
EU Countries,Slovenia(2),2011,42.0
EU Countries,Spain,2011,2604.0
EU Countries,Sweden,2011,582.0
EU Countries,United Kingdom,2011,13135.0
EU Countries,Total EU,2011,132658.0
Non-EU Countries,Brazil,2011,4939.0
Non-EU Countries,United States of America,2011,2705.0
Non-EU Countries,India,2011,1475.0
Non-EU Countries,Venezuela,2011,346.0
Non-EU Countries,China,2011,877.0
Non-EU Countries,Republic of Korea,2011,505.0
Non-EU Countries,Pakistan,2011,807.0
Non-EU Countries,Canada,2011,606.0
Non-EU Countries,Australia,2011,554.0
Non-EU Countries,Nigeria,2011,482.0
Non-EU Countries,Mexico,2011,316.0
Non-EU Countries,Saudi Arabia,2011,288.0
Non-EU Countries,Malaysia,2011,291.0
Non-EU Countries,Philippines,2011,434.0
Non-EU Countries,Japan,2011,275.0
Non-EU Countries,South Africa,2011,346.0
Non-EU Countries,Russia,2011,267.0
Non-EU Countries,Libya,2011,40.0
Non-EU Countries,Ukraine,2011,167.0
Non-EU Countries,New Zealand,2011,194.0
Non-EU Countries,Switzerland,2011,180.0
Non-EU Countries,Argentina,2011,155.0
Non-EU Countries,Bangladesh,2011,88.0
Non-EU Countries,Nepal,2011,93.0
Non-EU Countries,Egypt,2011,99.0
Non-EU Countries,Norway,2011,195.0
Non-EU Countries,Turkey,2011,131.0
Non-EU Countries,Thailand,2011,161.0
Non-EU Countries,Moldova,2011,93.0
Non-EU Countries,Mauritius,2011,46.0
Non-EU Countries,Other(4),2011,3237.0
Non-EU Countries,Total Non-EU,2011,20392.0
Non-EU Countries,Total,2011,153050.0
EU Countries,Austria,2012,300.0
EU Countries,Belgium,2012,281.0
EU Countries,Bulgaria(1),2012,469.0
EU Countries,Croatia,2012,86.0
EU Countries,Cyprus(2),2012,20.0
EU Countries,Czech Republic(2),2012,594.0
EU Countries,Denmark,2012,319.0
EU Countries,Estonia(2),2012,259.0
EU Countries,Finland,2012,203.0
EU Countries,France,2012,2915.0
EU Countries,Germany,2012,2142.0
EU Countries,Greece,2012,269.0
EU Countries,Hungary(2),2012,1985.0
EU Countries,Ireland(3),2012,81772.0
EU Countries,Italy,2012,2680.0
EU Countries,Latvia(2),2012,1759.0
EU Countries,Lithuania(2),2012,2860.0
EU Countries,Luxembourg,2012,3.0
EU Countries,Malta(2),2012,46.0
EU Countries,Netherlands,2012,654.0
EU Countries,Poland(2),2012,8663.0
EU Countries,Portugal,2012,1128.0
EU Countries,Romania(2),2012,5283.0
EU Countries,Slovakia(2),2012,1138.0
EU Countries,Slovenia(2),2012,47.0
EU Countries,Spain,2012,3929.0
EU Countries,Sweden,2012,499.0
EU Countries,United Kingdom,2012,12727.0
EU Countries,Total EU,2012,133030.0
Non-EU Countries,Brazil,2012,5542.0
Non-EU Countries,United States of America,2012,2697.0
Non-EU Countries,India,2012,1854.0
Non-EU Countries,Venezuela,2012,409.0
Non-EU Countries,China,2012,1138.0
Non-EU Countries,Republic of Korea,2012,678.0
Non-EU Countries,Pakistan,2012,741.0
Non-EU Countries,Canada,2012,613.0
Non-EU Countries,Australia,2012,587.0
Non-EU Countries,Nigeria,2012,421.0
Non-EU Countries,Mexico,2012,384.0
Non-EU Countries,Saudi Arabia,2012,344.0
Non-EU Countries,Malaysia,2012,362.0
Non-EU Countries,Philippines,2012,414.0
Non-EU Countries,Japan,2012,281.0
Non-EU Countries,South Africa,2012,344.0
Non-EU Countries,Russia,2012,258.0
Non-EU Countries,Libya,2012,58.0
Non-EU Countries,Ukraine,2012,182.0
Non-EU Countries,New Zealand,2012,200.0
Non-EU Countries,Switzerland,2012,171.0
Non-EU Countries,Argentina,2012,185.0
Non-EU Countries,Bangladesh,2012,134.0
Non-EU Countries,Nepal,2012,103.0
Non-EU Countries,Egypt,2012,147.0
Non-EU Countries,Norway,2012,122.0
Non-EU Countries,Turkey,2012,122.0
Non-EU Countries,Thailand,2012,168.0
Non-EU Countries,Moldova,2012,90.0
Non-EU Countries,Mauritius,2012,45.0
Non-EU Countries,Other(4),2012,2833.0
Non-EU Countries,Total Non-EU,2012,21627.0
Non-EU Countries,Total,2012,154657.0
EU Countries,Austria,2013,334.0
EU Countries,Belgium,2013,326.0
EU Countries,Bulgaria(1),2013,879.0
EU Countries,Croatia,2013,486.0
EU Countries,Cyprus(2),2013,53.0
EU Countries,Czech Republic(2),2013,693.0
EU Countries,Denmark,2013,266.0
EU Countries,Estonia(2),2013,231.0
EU Countries,Finland,2013,223.0
EU Countries,France,2013,3175.0
EU Countries,Germany,2013,2162.0
EU Countries,Greece,2013,275.0
EU Countries,Hungary(2),2013,1881.0
EU Countries,Ireland(3),2013,78630.0
EU Countries,Italy,2013,3552.0
EU Countries,Latvia(2),2013,1568.0
EU Countries,Lithuania(2),2013,2521.0
EU Countries,Luxembourg,2013,21.0
EU Countries,Malta(2),2013,32.0
EU Countries,Netherlands,2013,823.0
EU Countries,Poland(2),2013,9243.0
EU Countries,Portugal,2013,1577.0
EU Countries,Romania(2),2013,7709.0
EU Countries,Slovakia(2),2013,1092.0
EU Countries,Slovenia(2),2013,56.0
EU Countries,Spain,2013,5000.0
EU Countries,Sweden,2013,480.0
EU Countries,United Kingdom,2013,13135.0
EU Countries,Total EU,2013,136423.0
Non-EU Countries,Brazil,2013,6270.0
Non-EU Countries,United States of America,2013,3048.0
Non-EU Countries,India,2013,2620.0
Non-EU Countries,Venezuela,2013,2227.0
Non-EU Countries,China,2013,1099.0
Non-EU Countries,Republic of Korea,2013,1043.0
Non-EU Countries,Pakistan,2013,891.0
Non-EU Countries,Canada,2013,739.0
Non-EU Countries,Australia,2013,644.0
Non-EU Countries,Nigeria,2013,545.0
Non-EU Countries,Mexico,2013,545.0
Non-EU Countries,Saudi Arabia,2013,480.0
Non-EU Countries,Malaysia,2013,435.0
Non-EU Countries,Philippines,2013,429.0
Non-EU Countries,Japan,2013,359.0
Non-EU Countries,South Africa,2013,354.0
Non-EU Countries,Russia,2013,329.0
Non-EU Countries,Libya,2013,276.0
Non-EU Countries,Ukraine,2013,257.0
Non-EU Countries,New Zealand,2013,212.0
Non-EU Countries,Switzerland,2013,202.0
Non-EU Countries,Argentina,2013,200.0
Non-EU Countries,Bangladesh,2013,196.0
Non-EU Countries,Nepal,2013,187.0
Non-EU Countries,Egypt,2013,184.0
Non-EU Countries,Norway,2013,168.0
Non-EU Countries,Turkey,2013,156.0
Non-EU Countries,Thailand,2013,141.0
Non-EU Countries,Moldova,2013,124.0
Non-EU Countries,Mauritius,2013,40.0
Non-EU Countries,Other(4),2013,3359.0
Non-EU Countries,Total Non-EU,2013,27759.0
Non-EU Countries,Total,2013,164182.0
EU Countries,Austria,2014,286.0
EU Countries,Belgium,2014,370.0
EU Countries,Bulgaria(1),2014,883.0
EU Countries,Croatia,2014,2091.0
EU Countries,Cyprus(2),2014,124.0
EU Countries,Czech Republic(2),2014,654.0
EU Countries,Denmark,2014,222.0
EU Countries,Estonia(2),2014,237.0
EU Countries,Finland,2014,189.0
EU Countries,France,2014,3739.0
EU Countries,Germany,2014,2406.0
EU Countries,Greece,2014,332.0
EU Countries,Hungary(2),2014,1727.0
EU Countries,Ireland(3),2014,76091.0
EU Countries,Italy,2014,4263.0
EU Countries,Latvia(2),2014,1312.0
EU Countries,Lithuania(2),2014,2316.0
EU Countries,Luxembourg,2014,24.0
EU Countries,Malta(2),2014,50.0
EU Countries,Netherlands,2014,882.0
EU Countries,Poland(2),2014,9126.0
EU Countries,Portugal,2014,1946.0
EU Countries,Romania(2),2014,9076.0
EU Countries,Slovakia(2),2014,1081.0
EU Countries,Slovenia(2),2014,72.0
EU Countries,Spain,2014,5195.0
EU Countries,Sweden,2014,473.0
EU Countries,United Kingdom,2014,13729.0
EU Countries,Total EU,2014,138896.0
Non-EU Countries,Brazil,2014,7778.0
Non-EU Countries,United States of America,2014,3403.0
Non-EU Countries,India,2014,2815.0
Non-EU Countries,Venezuela,2014,1639.0
Non-EU Countries,China,2014,1416.0
Non-EU Countries,Republic of Korea,2014,1271.0
Non-EU Countries,Pakistan,2014,1618.0
Non-EU Countries,Canada,2014,841.0
Non-EU Countries,Australia,2014,883.0
Non-EU Countries,Nigeria,2014,647.0
Non-EU Countries,Mexico,2014,774.0
Non-EU Countries,Saudi Arabia,2014,481.0
Non-EU Countries,Malaysia,2014,540.0
Non-EU Countries,Philippines,2014,413.0
Non-EU Countries,Japan,2014,387.0
Non-EU Countries,South Africa,2014,448.0
Non-EU Countries,Russia,2014,357.0
Non-EU Countries,Libya,2014,254.0
Non-EU Countries,Ukraine,2014,293.0
Non-EU Countries,New Zealand,2014,275.0
Non-EU Countries,Switzerland,2014,185.0
Non-EU Countries,Argentina,2014,258.0
Non-EU Countries,Bangladesh,2014,311.0
Non-EU Countries,Nepal,2014,202.0
Non-EU Countries,Egypt,2014,239.0
Non-EU Countries,Norway,2014,191.0
Non-EU Countries,Turkey,2014,233.0
Non-EU Countries,Thailand,2014,112.0
Non-EU Countries,Moldova,2014,116.0
Non-EU Countries,Mauritius,2014,65.0
Non-EU Countries,Other(4),2014,5122.0
Non-EU Countries,Total Non-EU,2014,33567.0
Non-EU Countries,Total,2014,172463.0
EU Countries,Austria,2015,289.0
EU Countries,Belgium,2015,366.0
EU Countries,Bulgaria(1),2015,1098.0
EU Countries,Croatia,2015,4342.0
EU Countries,Cyprus(2),2015,42.0
EU Countries,Czech Republic(2),2015,718.0
EU Countries,Denmark,2015,240.0
EU Countries,Estonia(2),2015,184.0
EU Countries,Finland,2015,241.0
EU Countries,France,2015,3744.0
EU Countries,Germany,2015,2455.0
EU Countries,Greece,2015,408.0
EU Countries,Hungary(2),2015,1617.0
EU Countries,Ireland(3),2015,75008.0
EU Countries,Italy,2015,4130.0
EU Countries,Latvia(2),2015,1171.0
EU Countries,Lithuania(2),2015,2337.0
EU Countries,Luxembourg,2015,15.0
EU Countries,Malta(2),2015,49.0
EU Countries,Netherlands,2015,825.0
EU Countries,Poland(2),2015,8593.0
EU Countries,Portugal,2015,1622.0
EU Countries,Romania(2),2015,8638.0
EU Countries,Slovakia(2),2015,957.0
EU Countries,Slovenia(2),2015,90.0
EU Countries,Spain,2015,4351.0
EU Countries,Sweden,2015,515.0
EU Countries,United Kingdom,2015,14758.0
EU Countries,Total EU,2015,138803.0
Non-EU Countries,Brazil,2015,5052.0
Non-EU Countries,United States of America,2015,3337.0
Non-EU Countries,India,2015,3132.0
Non-EU Countries,Venezuela,2015,69.0
Non-EU Countries,China,2015,1145.0
Non-EU Countries,Republic of Korea,2015,513.0
Non-EU Countries,Pakistan,2015,3168.0
Non-EU Countries,Canada,2015,886.0
Non-EU Countries,Australia,2015,1043.0
Non-EU Countries,Nigeria,2015,613.0
Non-EU Countries,Mexico,2015,439.0
Non-EU Countries,Saudi Arabia,2015,337.0
Non-EU Countries,Malaysia,2015,502.0
Non-EU Countries,Philippines,2015,428.0
Non-EU Countries,Japan,2015,280.0
Non-EU Countries,South Africa,2015,482.0
Non-EU Countries,Russia,2015,417.0
Non-EU Countries,Libya,2015,61.0
Non-EU Countries,Ukraine,2015,341.0
Non-EU Countries,New Zealand,2015,273.0
Non-EU Countries,Switzerland,2015,221.0
Non-EU Countries,Argentina,2015,169.0
Non-EU Countries,Bangladesh,2015,427.0
Non-EU Countries,Nepal,2015,103.0
Non-EU Countries,Egypt,2015,294.0
Non-EU Countries,Norway,2015,185.0
Non-EU Countries,Turkey,2015,206.0
Non-EU Countries,Thailand,2015,142.0
Non-EU Countries,Moldova,2015,88.0
Non-EU Countries,Mauritius,2015,33.0
Non-EU Countries,Other(4),2015,6522.0
Non-EU Countries,Total Non-EU,2015,30908.0
Non-EU Countries,Total,2015,169711.0
