Country,< $1.90,< $3.20,< $5.50,Year,Continent
 Ukraine,0.00%,0.10%,2.50%,2020,Europe
 United Arab Emirates,0.00%,0.00%,0.10%,2018,Asia
 United Kingdom,0.30%,0.50%,0.90%,2017,Europe
 United States,1.00%,1.00%,1.50%,2019,North America
 Uruguay,0.20%,0.70%,4.60%,2020,South America
 Uzbekistan,61.60%,86.20%,96.40%,2003,Asia
 Vanuatu,8.60%,32.30%,68.10%,2019,Oceania
 Venezuela,6.70%,14.30%,32.70%,2006,South America
 Vietnam,1.80%,6.60%,22.40%,2018,Asia
 Yemen,18.30%,51.20%,81.00%,2014,Asia
 Zambia,58.70%,75.40%,88.10%,2015,Africa
 Zimbabwe,39.50%,63.80%,82.80%,2019,Africa
