Hispanic American,Column1,Dollars,M/F,Contract,prime comment,Contract Comment,Districts,Prime
FLASH TRAFFIC  INC,-4142.0,112075.0,1.0,8.0,"BORTOLUSSI & WATKIN, INC.
GEORGE REED INC
GOLDEN STATE BRIDGE, INC.
GORDON N. BALL
GRANITE CONSTRUCTION COMPANY
O.C. JONES & SONS INC","10-1C5404
02-2E4804
05-1A0004
10-0X56Y4
04-1G4304
04-2J5404
07-312204
04-2J1004","2, 4, 5, 7, 10",6.0
FLORES SWEEPING SERVICE,-4142.0,198900.0,0.0,1.0,"A. TEICHERT & SON, INC. DBA TEICHERT CONSTRUCTION
","10-1C2904
",10,1.0
FRANK MEDINA GENERAL ENGINEERING,-4142.0,905920.0,0.0,4.0,"O.C. JONES & SONS INC
CORAL CONSTRUCTION COMPANY 
PAPICH CONSTRUCTION COMPANY","04-2J1004
03-1F1904
03-0H5004
05-1F7404","3,4,5",3.0
FULL TRAFFIC MAINTENANCE,-4142.0,387130.62,0.0,5.0,"ALFARO COMMUNICATIONS COMPANY
GRANITE CONSTRUCTION COMPANY
MURPHY IHDUSTRIAL COATINGS, INC.
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION, INC.
POWELL CONSTRUCTORS INC","07-305704
07-4T8904
07-312504
08-0N6704
12-0N8404","7, 8, 12",5.0
G & F CONCRETE CUTTING,-4142.0,2731524.51,1.0,4.0,"ALFARO COMMUNICATIONS CONSTRUCTION INC
FLATIRON WEST, INC.
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION
POWELL CONSTRUCTORS INC","12-0M4804
11-430184
12-0M9004
08-0Q9104","8,11, 12",4.0
G & G ELECTRIC,-4142.0,1434890.0,0.0,4.0,"LANDSCAPE SUPPORT SERVICES
PETERSON CHASE GENERAL ENGINEERING CONSTRUCTION INC
POWELL CONSTRUCTORS INC
","08-1F9204
11-420804
07-295404
12-0M9004","7, 8,11, 12",3.0
G.O. RODRIGUEZ TRUCKING ,43.0,137700.0,0.0,1.0,SPECTRUM CONSTRUCTION GROUP INC,08-1E7804,8,1.0
GASPAR TRUCKING,43.0,178000.0,0.0,1.0,1,"08-0K2934
",8,1.0
GOLDEN BAY FENCE PLUS IRON,-4142.0,112981.0,0.0,2.0,"BRIDGEWAY CIVIL CONSTRUCTION INC
GRANITE ROCK COMPANY","05-1C3704
05-1F4304",5,2.0
HOPPY'S SWEEPING SERVICES,-4142.0,65280.0,1.0,1.0,2,06-0T2104,6,1.0
J. TORRES COMPANY,-4142.0,367500.0,1.0,3.0,"BOSCO CONSTRUCTORS
GRANITE CONSTRUCTION COMPANY","06-0T2904
07-312204
04-0J6604","4,6,7",2.0
JOSH ARBISO TRUCKING,43.0,22500.0,0.0,1.0,STEELHEAD CONSTRUCTION,02-4F8604,2,1.0
KODIAK TRUCKING,43.0,1408670.0,0.0,1.0,SECURITY PAVING COMPANY,06-470904,6,1.0
LA FIRMA INC,-4142.0,825.0,0.0,1.0,2,05-1K3304,5,1.0
LOGISTICAL ENTERPRISES,-4142.0,1677067.65,1.0,10.0,"BALDWIN CONTRACTING COMPANY
BAY CITIES PAVING & GRADING
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GHILOTTI CONSTRUCTION COMPANY
STUDEBAKER BROWN ELECTRIC INC
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION","10-1E3504
03-4F4604
04-2J0004
04-2J6704
10-0W9014
04-270104
04-4H9804
04-OK8404
03-0H5104
04-4G3804","2,3,4,8,10",8.0
"LONE STAR LANDSCAPE, INC",-4142.0,353704.0,0.0,4.0,"GHILOTTI CONSTRUCTION CO. INC.
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY","04-151614
05-1A0004
05-1C2504
05-1C6704","4, 5",3.0
M & S ENVIRONMENTAL ,-4142.0,974473.0,0.0,8.0,"GOLDEN STATE BRIDGE, INC.
HAT CREEK CONSTRUCTION
TEICHERT CONSTRUCTION
STEELHEAD CONSTRUCITON 
TULLIS, INC.
WEST COAST CONTRACTORS, INC. DBA OREGON WEST COAST CONTRACTORS","03-2F9804
02-4F2004
02-4F5104
02-4F8604
02-2E4804
02-4F2104
02-4F7804
02-0H7604
","2,3",5.0
MANERI TRAFFIC CONTROL,-4142.0,2256208.8,0.0,13.0,"ALL AMERICAN ASPHALT
C.A. RASMUSSEN INC
COFFMAN SPECIALTIES
O'DONNELL CONSTRUCITON INC
LB CIVIL CONSTRUCTION
ORTIZ ENTERPRISES INC
PETERSON-CHASE GENERAL ENGINEERING CONSTRUCTION
PTM ENGINEERING SERVICES, INC
RV CONCRETE, INC.
SEMA CONSTRUCTION INC
SULLY-MILLER CONTRACTING COMPANY
CALMEX ENGINEERING
","08-1E6104
07-275104
08-0K2934
08-1E8504
08-388524
11-416604
07-340604
07-4W0804
08-0N9724
08-0Q9104
08-0Q1204
08-0F0304
11-2N0214","7,8,11",10.0
MEX ELECTRIC,-4142.0,11741665.0,0.0,4.0,"BROSAMER & WALL INC
Q&D CONSTRUCTION LLC
SECURITY PAVING COMPANY INC.","06-0Q2804
03-4F8404
06-470904
12-0C1104","3,6,12",3.0
MIRANDA LOGISTIC ENTERPRISE LLC,-4142.0,2697483.96,0.0,4.0,"GRANITE CONSTRUCTION COMPANY
POWELL CONSTRUCTORS INC
WEST COAST PUBLIC WORKS INC
SECURITY PAVING COMPANY","07-312504
06-0E3204
08-0N6704
12-0C1104
","6,7, 8,12",4.0
MONZON & SON ENTERPRISES INC,43.0,188970.0,0.0,3.0,"C.A. RASMUSSEN INC
GRANITE CONSTRUCTION COMPANY
PETERSON-CHASE GENERAL ENGINEERING","07-275104
07-312204
08-0Q9104","7,8",3.0
MORALES CONTRACTING ,-4142.0,1124503.2,0.0,1.0,1,08-0K2934,8,1.0
OST TRUCKS AND CRANES INC.,-4142.0,51057.0,0.0,1.0,2,06-0Q19A4,6,1.0
PTM GENERAL ENGINEERING SERVICES,-4142.0,8609993.37,1.0,1.0,"PTM ENGINEERING SERVICES, INC
",07-340604,7,1.0
PRE-CON PRODUCTS LTD,-4142.0,158648.92,0.0,2.0,"GHILOTTI CONSTRUCTION COMPANY INC
GRANITE CONSTRUCTION COMPANY","01-0A0404
07-312204","1, 7",2.0
QUALITY TRAFFIC CONTROL,-4142.0,11050.0,0.0,2.0,"PAVE-TECH INC
PETERSON-CHASE ENGINEERING CONSTRUCTION","08-0Q9104
08-1F7704",8,2.0
R N R CONSTRUCTION INC,-4142.0,21244557.5,0.0,1.0,J.F. SHEA CONSTRUCTION INC,02-4C40V4,2,1.0
RANGEL BROTHERS ,43.0,600080.0,0.0,2.0,"SECURITY PAVING COMPANY
PAPICH CONSTRUCTION COMPANY INC","07-301504
05-1F7404","5,7",2.0
S & S TRUCKING,43.0,275440.0,0.0,2.0,"DISNEY CONSTRUCTION INC.
GRANITE ROCK COMPANY
","04-4G8804
10-0X7004
",0,2.0
SAVALA EQUIPMENT COMPANY INC,-4142.0,108441.7,1.0,2.0,"FLATIRON WEST, INC.
ORTIZ ENTERPRISES INC

","11-430184
08-0Q1204","8,11",2.0
SAN JOSE TRANSPORT,43.0,8000.0,0.0,1.0,0,"05-1C2604
",5,1.0
SAWMAN CONCRETE CUTTING,43.0,1094000.0,0.0,1.0,J MCLOUGHLIN ENGINEERING CO INC,08-0Q75U4,8,1.0
SEALRIGHT PAVING,-4142.0,220276.0,0.0,1.0,LB CIVIL CONSTRUCTION INC,11-416604,11,1.0
SoCAL WELDING,-4142.0,200796.0,0.0,1.0,DISNEY CONSTRUCTION INC.,04-4G8804,4,1.0
"T.D.W. CONSTRUCTION, INC",-4142.0,250037.93,0.0,1.0,DESILVA GATES CONSTRUCTION,04-270104,4,1.0
TULLY CONSULTING GROUP,-4142.0,525380.0,1.0,28.0,"BAY CITIES PAVING & GRADING, INC.
BORTOLUSSI & WATKIN, INC.
BRIDGEWAY CIVIL CONSTRUCTORS
C.A. RASMUSSEN INC
DESILVA GATES CONSTRUCTION
GEORGE REED INC
GORDON N BALL
GRANITE CONSTRUCTION COMPANY
GRANITE ROCK COMPANY
M.C.M. CONSTRUCTION INC
MEYERS EARTHWORK
O.C. JONES & SONS
PETERSON-CHASE GENERAL ENGINEERING
SAK CONSTRUCTION
TEICHERT CONSTRUCTION
VIKING CONSTRUCTION COMPANY INC

","10-1E3504
05-1C2604
06-0H2004
07-275104
10-0L0204
10-0V1104
01-0H3604
04-4G1134
05-1A0004
10-0X56Y4
03-0H4704
04-1G4304
04-270104
04-2J5404
04-3G6904
04-4G5604
04-OK8404
08-0Q9104
09-353204
04-2J1004
04-4G8404
05-1C6704
05-1C85U4
12-0Q0404
03-1F1904
03-4F2504
04-1A6834
04-0J6604","1,3, 4, 5, 6, 7, 8, 10, 12",16.0
TERRA WEST INC,-4142.0,20000.0,0.0,3.0,"HAZARD CONSTRUCTION COMPANY 
LB CIVIL CONSTRUCTION INC","11-419504
11-416604
11-420104",11,2.0
UNIVERSAL CONCRETE CONSTRUCTION,-4142.0,719714.25,0.0,1.0,2,08-0N6704,8,1.0
VALDIVIA TRUCKING,43.0,1116000.0,0.0,3.0,GHILOTTI CONSTRUCTION COMPANY INC,"01-0A0404
04-4H9804
04-4G3804","1, 4",1.0
VINTAGE PAVING COMPANY,-4142.0,2439247.0,0.0,3.0,"MCM CONSTRUCTION INC
AMERICAN CIVIL CONSTRUCTORS WEST COAST LLC","10-1H3414
04-1J3704
10-0L0204",0,2.0
WCW INC,-4142.0,515520.0,0.0,1.0,BRIDGEWAY CIVIL CONSTRUCTORS INC,"10-0P5504
",10,1.0
WESTERN TRAFFIC SUPPLY INC,-4142.0,2732315.0,0.0,8.0,"BAY CITIES PAVING & GRADING, INC.
BRIDGEWAY CIVIL CONSTRUCTORS, INC.
DESILVA GATES CONSTRUCTION
PACIFIC INFRASTRUCTURE CONSTRUCTION LLC
FBD VANGUARD CONSTRUCTION","04-2J0004
04-2J6704
04-4G1134
04-4H0804
10-1C0604
04-270104
04-0K8404
04-1A6834","4, 10",5.0
,,,,,,,,
