Tenor,Item,var,value
1 YEAR,3,EUR,EUR 0.00 06/21/2017 1 YR CME 
1 YEAR,4,EUR,57056D AB0
1 YEAR,5,EUR,US57056DAB01
1 YEAR,6,EUR,EUR 0.00 06/21/2017 1 YR LCH 
2 YEAR,0,EUR,0
2 YEAR,1,EUR,57056D DF8
2 YEAR,2,EUR,US57056DDF87
2 YEAR,3,EUR,EUR 0.00 06/21/2017 2 YR CME 
2 YEAR,4,EUR,57056D AH7
2 YEAR,5,EUR,US57056DAH70
2 YEAR,6,EUR,EUR 0.00 06/21/2017 2 YR LCH 
3 YEAR,0,EUR,0
3 YEAR,1,EUR,57056D DM3
3 YEAR,2,EUR,US57056DDM39
3 YEAR,3,EUR,EUR 0.00 06/21/2017 3 YR CME 
3 YEAR,4,EUR,57056D AP9
3 YEAR,5,EUR,US57056DAP96
3 YEAR,6,EUR,EUR 0.00 06/21/2017 3 YR LCH 
4 YEAR,0,EUR,0
4 YEAR,1,EUR,57056D DT8
4 YEAR,2,EUR,US57056DDT81
4 YEAR,3,EUR,EUR 0.00 06/21/2017 4 YR CME 
4 YEAR,4,EUR,57056D AV6
4 YEAR,5,EUR,US57056DAV64
4 YEAR,6,EUR,EUR 0.00 06/21/2017 4 YR LCH 
5 YEAR,0,EUR,0
5 YEAR,1,EUR,57056D DZ4
5 YEAR,2,EUR,US57056DDZ42
5 YEAR,3,EUR,EUR 0.00 06/21/2017 5 YR CME 
5 YEAR,4,EUR,57056D BB9
5 YEAR,5,EUR,US57056DBB91
5 YEAR,6,EUR,EUR 0.00 06/21/2017 5 YR LCH 
7 YEAR,0,EUR,0
7 YEAR,1,EUR,57056D EF7
7 YEAR,2,EUR,US57056DEF78
7 YEAR,3,EUR,EUR 0.00 06/21/2017 7 YR CME 
7 YEAR,4,EUR,57056D BH6
7 YEAR,5,EUR,US57056DBH61
7 YEAR,6,EUR,EUR 0.00 06/21/2017 7 YR LCH 
9 YEAR,0,EUR,0.25
9 YEAR,1,EUR,57056D EM2
9 YEAR,2,EUR,US57056DEM20
9 YEAR,3,EUR,EUR 0.25 06/21/2017 9 YR CME 
9 YEAR,4,EUR,57056D BP8
9 YEAR,5,EUR,US57056DBP87
9 YEAR,6,EUR,EUR 0.25 06/21/2017 9 YR LCH 
10 YEAR,0,EUR,0.5
10 YEAR,1,EUR,57056D ET7
10 YEAR,2,EUR,US57056DET72
10 YEAR,3,EUR,EUR 0.50 06/21/2017 10 YR CME 
10 YEAR,4,EUR,57056D BV5
10 YEAR,5,EUR,US57056DBV55
10 YEAR,6,EUR,EUR 0.50 06/21/2017 10 YR LCH 
12 YEAR,0,EUR,0.5
12 YEAR,1,EUR,57056D EZ3
12 YEAR,2,EUR,US57056DEZ33
12 YEAR,3,EUR,EUR 0.50 06/21/2017 12 YR CME 
12 YEAR,4,EUR,57056D CB8
12 YEAR,5,EUR,US57056DCB82
12 YEAR,6,EUR,EUR 0.50 06/21/2017 12 YR LCH 
15 YEAR,0,EUR,0.75
15 YEAR,1,EUR,57056D FF6
15 YEAR,2,EUR,US57056DFF69
15 YEAR,3,EUR,EUR 0.75 06/21/2017 15 YR CME 
15 YEAR,4,EUR,57056D CH5
15 YEAR,5,EUR,US57056DCH52
15 YEAR,6,EUR,EUR 0.75 06/21/2017 15 YR LCH 
20 YEAR,0,EUR,0.75
20 YEAR,1,EUR,57056D FM1
20 YEAR,2,EUR,US57056DFM11
20 YEAR,3,EUR,EUR 0.75 06/21/2017 20 YR CME 
20 YEAR,4,EUR,57056D CP7
20 YEAR,5,EUR,US57056DCP78
20 YEAR,6,EUR,EUR 0.75 06/21/2017 20 YR LCH 
30 YEAR,0,EUR,0.75
30 YEAR,1,EUR,57056D FS8
30 YEAR,2,EUR,US57056DFS80
30 YEAR,3,EUR,EUR 0.75 06/21/2017 30 YR CME 
30 YEAR,4,EUR,57056D CU6
30 YEAR,5,EUR,US57056DCU63
30 YEAR,6,EUR,EUR 0.75 06/21/2017 30 YR LCH 
1 YEAR,0,GBP,0.5
1 YEAR,1,GBP,57056D DA9
1 YEAR,2,GBP,US57056DDA90
1 YEAR,3,GBP,GBP 0.50 06/21/2017 1 YR CME 
1 YEAR,4,GBP,57056D AC8
1 YEAR,5,GBP,US57056DAC83
1 YEAR,6,GBP,GBP 0.50 06/21/2017 1 YR LCH 
2 YEAR,0,GBP,0.5
2 YEAR,1,GBP,57056D DG6
2 YEAR,2,GBP,US57056DDG60
2 YEAR,3,GBP,GBP 0.50 06/21/2017 2 YR CME 
2 YEAR,4,GBP,57056D AJ3
2 YEAR,5,GBP,US57056DAJ37
2 YEAR,6,GBP,GBP 0.50 06/21/2017 2 YR LCH 
3 YEAR,0,GBP,0.5
3 YEAR,1,GBP,57056D DN1
3 YEAR,2,GBP,US57056DDN12
3 YEAR,3,GBP,GBP 0.50 06/21/2017 3 YR CME 
3 YEAR,4,GBP,57056D AQ7
3 YEAR,5,GBP,US57056DAQ79
3 YEAR,6,GBP,GBP 0.50 06/21/2017 3 YR LCH 
4 YEAR,0,GBP,0.5
4 YEAR,1,GBP,57056D DU5
4 YEAR,2,GBP,US57056DDU54
4 YEAR,3,GBP,GBP 0.50 06/21/2017 4 YR CME 
4 YEAR,4,GBP,57056D AW4
4 YEAR,5,GBP,US57056DAW48
4 YEAR,6,GBP,GBP 0.50 06/21/2017 4 YR LCH 
5 YEAR,0,GBP,0.5
5 YEAR,1,GBP,57056D EA8
5 YEAR,2,GBP,US57056DEA81
5 YEAR,3,GBP,GBP 0.50 06/21/2017 5 YR CME 
5 YEAR,4,GBP,57056D BC7
5 YEAR,5,GBP,US57056DBC74
5 YEAR,6,GBP,GBP 0.50 06/21/2017 5 YR LCH 
7 YEAR,0,GBP,0.75
7 YEAR,1,GBP,57056D EG5
7 YEAR,2,GBP,US57056DEG51
7 YEAR,3,GBP,GBP 0.75 06/21/2017 7 YR CME 
7 YEAR,4,GBP,57056D BJ2
7 YEAR,5,GBP,US57056DBJ28
7 YEAR,6,GBP,GBP 0.75 06/21/2017 7 YR LCH 
9 YEAR,0,GBP,0.75
9 YEAR,1,GBP,57056D EN0
9 YEAR,2,GBP,US57056DEN03
9 YEAR,3,GBP,GBP 0.75 06/21/2017 9 YR CME 
9 YEAR,4,GBP,57056D BQ6
9 YEAR,5,GBP,US57056DBQ60
9 YEAR,6,GBP,GBP 0.75 06/21/2017 9 YR LCH 
10 YEAR,0,GBP,0.75
10 YEAR,1,GBP,57056D EU4
10 YEAR,2,GBP,US57056DEU46
10 YEAR,3,GBP,GBP 0.75 06/21/2017 10 YR CME 
10 YEAR,4,GBP,57056D BW3
10 YEAR,5,GBP,US57056DBW39
10 YEAR,6,GBP,GBP 0.75 06/21/2017 10 YR LCH 
12 YEAR,0,GBP,0.75
12 YEAR,1,GBP,57056D FA7
12 YEAR,2,GBP,US57056DFA72
12 YEAR,3,GBP,GBP 0.75 06/21/2017 12 YR CME 
12 YEAR,4,GBP,57056D CC6
12 YEAR,5,GBP,US57056DCC65
12 YEAR,6,GBP,GBP 0.75 06/21/2017 12 YR LCH 
15 YEAR,0,GBP,1
15 YEAR,1,GBP,57056D FG4
15 YEAR,2,GBP,US57056DFG43
15 YEAR,3,GBP,GBP 1.00 06/21/2017 15 YR CME 
15 YEAR,4,GBP,57056D CJ1
15 YEAR,5,GBP,US57056DCJ19
15 YEAR,6,GBP,GBP 1.00 06/21/2017 15 YR LCH 
20 YEAR,0,GBP,1
20 YEAR,1,GBP,57056D FN9
20 YEAR,2,GBP,US57056DFN93
20 YEAR,3,GBP,GBP 1.00 06/21/2017 20 YR CME 
20 YEAR,4,GBP,57056D CQ5
20 YEAR,5,GBP,US57056DCQ51
20 YEAR,6,GBP,GBP 1.00 06/21/2017 20 YR LCH 
30 YEAR,0,GBP,1
30 YEAR,1,GBP,57056D FT6
30 YEAR,2,GBP,US57056DFT63
30 YEAR,3,GBP,GBP 1.00 06/21/2017 30 YR CME 
30 YEAR,4,GBP,57056D CV4
30 YEAR,5,GBP,US57056DCV47
30 YEAR,6,GBP,GBP 1.00 06/21/2017 30 YR LCH 
1 YEAR,0,JPY,0
1 YEAR,1,JPY,57056D DB7
1 YEAR,2,JPY,US57056DDB73
1 YEAR,3,JPY,JPY 0.00 06/21/2017 1 YR CME 
1 YEAR,4,JPY,57056D AD6
1 YEAR,5,JPY,US57056DAD66
1 YEAR,6,JPY,JPY 0.00 06/21/2017 1 YR LCH 
2 YEAR,0,JPY,0
2 YEAR,1,JPY,57056D DH4
2 YEAR,2,JPY,US57056DDH44
2 YEAR,3,JPY,JPY 0.00 06/21/2017 2 YR CME 
2 YEAR,4,JPY,57056D AK0
2 YEAR,5,JPY,US57056DAK00
2 YEAR,6,JPY,JPY 0.00 06/21/2017 2 YR LCH 
3 YEAR,0,JPY,0
3 YEAR,1,JPY,57056D DP6
3 YEAR,2,JPY,US57056DDP69
3 YEAR,3,JPY,JPY 0.00 06/21/2017 3 YR CME 
3 YEAR,4,JPY,57056D AR5
3 YEAR,5,JPY,US57056DAR52
3 YEAR,6,JPY,JPY 0.00 06/21/2017 3 YR LCH 
4 YEAR,0,JPY,0
4 YEAR,1,JPY,57056D DV3
4 YEAR,2,JPY,US57056DDV38
4 YEAR,3,JPY,JPY 0.00 06/21/2017 4 YR CME 
4 YEAR,4,JPY,57056D AX2
4 YEAR,5,JPY,US57056DAX21
4 YEAR,6,JPY,JPY 0.00 06/21/2017 4 YR LCH 
5 YEAR,0,JPY,0
5 YEAR,1,JPY,57056D EB6
5 YEAR,2,JPY,US57056DEB64
5 YEAR,3,JPY,JPY 0.00 06/21/2017 5 YR CME 
5 YEAR,4,JPY,57056D BD5
5 YEAR,5,JPY,US57056DBD57
5 YEAR,6,JPY,JPY 0.00 06/21/2017 5 YR LCH 
7 YEAR,0,JPY,0
7 YEAR,1,JPY,57056D EH3
7 YEAR,2,JPY,US57056DEH35
7 YEAR,3,JPY,JPY 0.00 06/21/2017 7 YR CME 
7 YEAR,4,JPY,57056D BK9
7 YEAR,5,JPY,US57056DBK90
7 YEAR,6,JPY,JPY 0.00 06/21/2017 7 YR LCH 
9 YEAR,0,JPY,0
9 YEAR,1,JPY,57056D EP5
9 YEAR,2,JPY,US57056DEP50
9 YEAR,3,JPY,JPY 0.00 06/21/2017 9 YR CME 
9 YEAR,4,JPY,57056D BR4
9 YEAR,5,JPY,US57056DBR44
9 YEAR,6,JPY,JPY 0.00 06/21/2017 9 YR LCH 
10 YEAR,0,JPY,0
10 YEAR,1,JPY,57056D EV2
10 YEAR,2,JPY,US57056DEV29
10 YEAR,3,JPY,JPY 0.00 06/21/2017 10 YR CME 
10 YEAR,4,JPY,57056D BX1
10 YEAR,5,JPY,US57056DBX12
10 YEAR,6,JPY,JPY 0.00 06/21/2017 10 YR LCH 
12 YEAR,0,JPY,0.25
12 YEAR,1,JPY,57056D FB5
12 YEAR,2,JPY,US57056DFB55
12 YEAR,3,JPY,JPY 0.25 06/21/2017 12 YR CME 
12 YEAR,4,JPY,57056D CD4
12 YEAR,5,JPY,US57056DCD49
12 YEAR,6,JPY,JPY 0.25 06/21/2017 12 YR LCH 
15 YEAR,0,JPY,0.25
15 YEAR,1,JPY,57056D FH2
15 YEAR,2,JPY,US57056DFH26
15 YEAR,3,JPY,JPY 0.25 06/21/2017 15 YR CME 
15 YEAR,4,JPY,57056D CK8
15 YEAR,5,JPY,US57056DCK81
15 YEAR,6,JPY,JPY 0.25 06/21/2017 15 YR LCH 
20 YEAR,0,JPY,0.5
20 YEAR,1,JPY,57056D FP4
20 YEAR,2,JPY,US57056DFP42
20 YEAR,3,JPY,JPY 0.50 06/21/2017 20 YR CME 
20 YEAR,4,JPY,57056D CR3
20 YEAR,5,JPY,US57056DCR35
20 YEAR,6,JPY,JPY 0.50 06/21/2017 20 YR LCH 
30 YEAR,0,JPY,0.5
30 YEAR,1,JPY,57056D FU3
30 YEAR,2,JPY,US57056DFU37
30 YEAR,3,JPY,JPY 0.50 06/21/2017 30 YR CME 
30 YEAR,4,JPY,57056D CW2
30 YEAR,5,JPY,US57056DCW20
30 YEAR,6,JPY,JPY 0.50 06/21/2017 30 YR LCH 
1 YEAR,0,CAD,1
1 YEAR,1,CAD,57056D DC5
1 YEAR,2,CAD,US57056DDC56
1 YEAR,3,CAD,CAD 1.00 06/21/2017 1 YR CME 
1 YEAR,4,CAD,57056D AE4
1 YEAR,5,CAD,US57056DAE40
1 YEAR,6,CAD,CAD 1.00 06/21/2017 1 YR LCH 
2 YEAR,0,CAD,1
2 YEAR,1,CAD,57056D DJ0
2 YEAR,2,CAD,US57056DDJ00
2 YEAR,3,CAD,CAD 1.00 06/21/2017 2 YR CME 
2 YEAR,4,CAD,57056D AL8
2 YEAR,5,CAD,US57056DAL82
2 YEAR,6,CAD,CAD 1.00 06/21/2017 2 YR LCH 
3 YEAR,0,CAD,1
3 YEAR,1,CAD,57056D DQ4
3 YEAR,2,CAD,US57056DDQ43
3 YEAR,3,CAD,CAD 1.00 06/21/2017 3 YR CME 
3 YEAR,4,CAD,57056D AS3
3 YEAR,5,CAD,US57056DAS36
3 YEAR,6,CAD,CAD 1.00 06/21/2017 3 YR LCH 
4 YEAR,0,CAD,1
4 YEAR,1,CAD,57056D DW1
4 YEAR,2,CAD,US57056DDW11
4 YEAR,3,CAD,CAD 1.00 06/21/2017 4 YR CME 
4 YEAR,4,CAD,57056D AY0
4 YEAR,5,CAD,US57056DAY04
4 YEAR,6,CAD,CAD 1.00 06/21/2017 4 YR LCH 
5 YEAR,0,CAD,1
5 YEAR,1,CAD,57056D EC4
5 YEAR,2,CAD,US57056DEC48
5 YEAR,3,CAD,CAD 1.00 06/21/2017 5 YR CME 
5 YEAR,4,CAD,57056D BE3
5 YEAR,5,CAD,US57056DBE31
5 YEAR,6,CAD,CAD 1.00 06/21/2017 5 YR LCH 
7 YEAR,0,CAD,1
7 YEAR,1,CAD,57056D EJ9
7 YEAR,2,CAD,US57056DEJ90
7 YEAR,3,CAD,CAD 1.00 06/21/2017 7 YR CME 
7 YEAR,4,CAD,57056D BL7
7 YEAR,5,CAD,US57056DBL73
7 YEAR,6,CAD,CAD 1.00 06/21/2017 7 YR LCH 
9 YEAR,0,CAD,1.25
9 YEAR,1,CAD,57056D EQ3
9 YEAR,2,CAD,US57056DEQ34
9 YEAR,3,CAD,CAD 1.25 06/21/2017 9 YR CME 
9 YEAR,4,CAD,57056D BS2
9 YEAR,5,CAD,US57056DBS27
9 YEAR,6,CAD,CAD 1.25 06/21/2017 9 YR LCH 
10 YEAR,0,CAD,1.25
10 YEAR,1,CAD,57056D EW0
10 YEAR,2,CAD,US57056DEW02
10 YEAR,3,CAD,CAD 1.25 06/21/2017 10 YR CME 
10 YEAR,4,CAD,57056D BY9
10 YEAR,5,CAD,US57056DBY94
10 YEAR,6,CAD,CAD 1.25 06/21/2017 10 YR LCH 
12 YEAR,0,CAD,1.5
12 YEAR,1,CAD,57056D FC3
12 YEAR,2,CAD,US57056DFC39
12 YEAR,3,CAD,CAD 1.50 06/21/2017 12 YR CME 
12 YEAR,4,CAD,57056D CE2
12 YEAR,5,CAD,US57056DCE22
12 YEAR,6,CAD,CAD 1.50 06/21/2017 12 YR LCH 
15 YEAR,0,CAD,1.5
15 YEAR,1,CAD,57056D FJ8
15 YEAR,2,CAD,US57056DFJ81
15 YEAR,3,CAD,CAD 1.50 06/21/2017 15 YR CME 
15 YEAR,4,CAD,57056D CL6
15 YEAR,5,CAD,US57056DCL64
15 YEAR,6,CAD,CAD 1.50 06/21/2017 15 YR LCH 
20 YEAR,0,CAD,1.75
20 YEAR,1,CAD,57056D FQ2
20 YEAR,2,CAD,US57056DFQ25
20 YEAR,3,CAD,CAD 1.75 06/21/2017 20 YR CME 
20 YEAR,4,CAD,57056D CS1
20 YEAR,5,CAD,US57056DCS18
20 YEAR,6,CAD,CAD 1.75 06/21/2017 20 YR LCH 
30 YEAR,0,CAD,1.5
30 YEAR,1,CAD,57056D FV1
30 YEAR,2,CAD,US57056DFV10
30 YEAR,3,CAD,CAD 1.50 06/21/2017 30 YR CME 
30 YEAR,4,CAD,57056D CX0
30 YEAR,5,CAD,US57056DCX03
30 YEAR,6,CAD,CAD 1.50 06/21/2017 30 YR LCH 
1 YEAR,0,AUD,1.75
1 YEAR,1,AUD,57056D DD3
1 YEAR,2,AUD,US57056DDD30
1 YEAR,3,AUD,AUD 1.75 06/21/2017 1 YR CME 
1 YEAR,4,AUD,57056D AF1
1 YEAR,5,AUD,US57056DAF15
1 YEAR,6,AUD,AUD 1.75 06/21/2017 1 YR LCH 
2 YEAR,0,AUD,1.75
2 YEAR,1,AUD,57056D DK7
2 YEAR,2,AUD,US57056DDK72
2 YEAR,3,AUD,AUD 1.75 06/21/2017 2 YR CME 
2 YEAR,4,AUD,57056D AM6
2 YEAR,5,AUD,US57056DAM65
2 YEAR,6,AUD,AUD 1.75 06/21/2017 2 YR LCH 
3 YEAR,0,AUD,1.75
3 YEAR,1,AUD,57056D DR2
3 YEAR,2,AUD,US57056DDR26
3 YEAR,3,AUD,AUD 1.75 06/21/2017 3 YR CME 
3 YEAR,4,AUD,57056D AT1
3 YEAR,5,AUD,US57056DAT19
3 YEAR,6,AUD,AUD 1.75 06/21/2017 3 YR LCH 
4 YEAR,0,AUD,1.75
4 YEAR,1,AUD,57056D DX9
4 YEAR,2,AUD,US57056DDX93
4 YEAR,3,AUD,AUD 1.75 06/21/2017 4 YR CME 
4 YEAR,4,AUD,57056D AZ7
4 YEAR,5,AUD,US57056DAZ78
4 YEAR,6,AUD,AUD 1.75 06/21/2017 4 YR LCH 
5 YEAR,0,AUD,2
5 YEAR,1,AUD,57056D ED2
5 YEAR,2,AUD,US57056DED21
5 YEAR,3,AUD,AUD 2.00 06/21/2017 5 YR CME 
5 YEAR,4,AUD,57056D BF0
5 YEAR,5,AUD,US57056DBF06
5 YEAR,6,AUD,AUD 2.00 06/21/2017 5 YR LCH 
7 YEAR,0,AUD,2
7 YEAR,1,AUD,57056D EK6
7 YEAR,2,AUD,US57056DEK63
7 YEAR,3,AUD,AUD 2.00 06/21/2017 7 YR CME 
7 YEAR,4,AUD,57056D BM5
7 YEAR,5,AUD,US57056DBM56
7 YEAR,6,AUD,AUD 2.00 06/21/2017 7 YR LCH 
9 YEAR,0,AUD,2
9 YEAR,1,AUD,57056D ER1
9 YEAR,2,AUD,US57056DER17
9 YEAR,3,AUD,AUD 2.00 06/21/2017 9 YR CME 
9 YEAR,4,AUD,57056D BT0
9 YEAR,5,AUD,US57056DBT00
9 YEAR,6,AUD,AUD 2.00 06/21/2017 9 YR LCH 
10 YEAR,0,AUD,2
10 YEAR,1,AUD,57056D EX8
10 YEAR,2,AUD,US57056DEX84
10 YEAR,3,AUD,AUD 2.00 06/21/2017 10 YR CME 
10 YEAR,4,AUD,57056D BZ6
10 YEAR,5,AUD,US57056DBZ69
10 YEAR,6,AUD,AUD 2.00 06/21/2017 10 YR LCH 
12 YEAR,0,AUD,2.25
12 YEAR,1,AUD,57056D FD1
12 YEAR,2,AUD,US57056DFD12
12 YEAR,3,AUD,AUD 2.25 06/21/2017 12 YR CME 
12 YEAR,4,AUD,57056D CF9
12 YEAR,5,AUD,US57056DCF96
12 YEAR,6,AUD,AUD 2.25 06/21/2017 12 YR LCH 
15 YEAR,0,AUD,2.25
15 YEAR,1,AUD,57056D FK5
15 YEAR,2,AUD,US57056DFK54
15 YEAR,3,AUD,AUD 2.25 06/21/2017 15 YR CME 
15 YEAR,4,AUD,57056D CM4
15 YEAR,5,AUD,US57056DCM48
15 YEAR,6,AUD,AUD 2.25 06/21/2017 15 YR LCH 
20 YEAR,0,AUD,
20 YEAR,1,AUD,
20 YEAR,2,AUD,
20 YEAR,3,AUD,
20 YEAR,4,AUD,
20 YEAR,5,AUD,
20 YEAR,6,AUD,
30 YEAR,0,AUD,
30 YEAR,1,AUD,
30 YEAR,2,AUD,
30 YEAR,3,AUD,
30 YEAR,4,AUD,
30 YEAR,5,AUD,
30 YEAR,6,AUD,
