Tenor,Item,USD,EUR,GBP,JPY,CAD,AUD
,4,57056D BN3,57056D BP8,57056D BQ6,57056D BR4,57056D BS2,57056D BT0
,5,US57056DBN30,US57056DBP87,US57056DBQ60,US57056DBR44,US57056DBS27,US57056DBT00
,6,USD 1.50 06/21/2017 9 YR LCH ,EUR 0.25 06/21/2017 9 YR LCH ,GBP 0.75 06/21/2017 9 YR LCH ,JPY 0.00 06/21/2017 9 YR LCH ,CAD 1.25 06/21/2017 9 YR LCH ,AUD 2.00 06/21/2017 9 YR LCH 
10 YEAR,0,1.5,0.5,0.75,0,1.25,2
,1,57056D ES9,57056D ET7,57056D EU4,57056D EV2,57056D EW0,57056D EX8
,2,US57056DES99,US57056DET72,US57056DEU46,US57056DEV29,US57056DEW02,US57056DEX84
,3,USD 1.50 06/21/2017 10 YR CME ,EUR 0.50 06/21/2017 10 YR CME ,GBP 0.75 06/21/2017 10 YR CME ,JPY 0.00 06/21/2017 10 YR CME ,CAD 1.25 06/21/2017 10 YR CME ,AUD 2.00 06/21/2017 10 YR CME 
,4,57056D BU7,57056D BV5,57056D BW3,57056D BX1,57056D BY9,57056D BZ6
,5,US57056DBU72,US57056DBV55,US57056DBW39,US57056DBX12,US57056DBY94,US57056DBZ69
,6,USD 1.50 06/21/2017 10 YR LCH ,EUR 0.50 06/21/2017 10 YR LCH ,GBP 0.75 06/21/2017 10 YR LCH ,JPY 0.00 06/21/2017 10 YR LCH ,CAD 1.25 06/21/2017 10 YR LCH ,AUD 2.00 06/21/2017 10 YR LCH 
12 YEAR,0,1.5,0.5,0.75,0.25,1.5,2.25
,1,57056D EY6,57056D EZ3,57056D FA7,57056D FB5,57056D FC3,57056D FD1
,2,US57056DEY67,US57056DEZ33,US57056DFA72,US57056DFB55,US57056DFC39,US57056DFD12
,3,USD 1.50 06/21/2017 12 YR CME ,EUR 0.50 06/21/2017 12 YR CME ,GBP 0.75 06/21/2017 12 YR CME ,JPY 0.25 06/21/2017 12 YR CME ,CAD 1.50 06/21/2017 12 YR CME ,AUD 2.25 06/21/2017 12 YR CME 
,4,57056D CA0,57056D CB8,57056D CC6,57056D CD4,57056D CE2,57056D CF9
,5,US57056DCA00,US57056DCB82,US57056DCC65,US57056DCD49,US57056DCE22,US57056DCF96
,6,USD 1.50 06/21/2017 12 YR LCH ,EUR 0.50 06/21/2017 12 YR LCH ,GBP 0.75 06/21/2017 12 YR LCH ,JPY 0.25 06/21/2017 12 YR LCH ,CAD 1.50 06/21/2017 12 YR LCH ,AUD 2.25 06/21/2017 12 YR LCH 
15 YEAR,0,1.5,0.75,1,0.25,1.5,2.25
,1,57056D FE9,57056D FF6,57056D FG4,57056D FH2,57056D FJ8,57056D FK5
,2,US57056DFE94,US57056DFF69,US57056DFG43,US57056DFH26,US57056DFJ81,US57056DFK54
,3,USD 1.50 06/21/2017 15 YR CME ,EUR 0.75 06/21/2017 15 YR CME ,GBP 1.00 06/21/2017 15 YR CME ,JPY 0.25 06/21/2017 15 YR CME ,CAD 1.50 06/21/2017 15 YR CME ,AUD 2.25 06/21/2017 15 YR CME 
,4,57056D CG7,57056D CH5,57056D CJ1,57056D CK8,57056D CL6,57056D CM4
,5,US57056DCG79,US57056DCH52,US57056DCJ19,US57056DCK81,US57056DCL64,US57056DCM48
,6,USD 1.50 06/21/2017 15 YR LCH ,EUR 0.75 06/21/2017 15 YR LCH ,GBP 1.00 06/21/2017 15 YR LCH ,JPY 0.25 06/21/2017 15 YR LCH ,CAD 1.50 06/21/2017 15 YR LCH ,AUD 2.25 06/21/2017 15 YR LCH 
20 YEAR,0,1.75,0.75,1,0.5,1.75,
,1,57056D FL3,57056D FM1,57056D FN9,57056D FP4,57056D FQ2,
,2,US57056DFL38,US57056DFM11,US57056DFN93,US57056DFP42,US57056DFQ25,
,3,USD 1.75 06/21/2017 20 YR CME ,EUR 0.75 06/21/2017 20 YR CME ,GBP 1.00 06/21/2017 20 YR CME ,JPY 0.50 06/21/2017 20 YR CME ,CAD 1.75 06/21/2017 20 YR CME ,
,4,57056D CN2,57056D CP7,57056D CQ5,57056D CR3,57056D CS1,
,5,US57056DCN21,US57056DCP78,US57056DCQ51,US57056DCR35,US57056DCS18,
,6,USD 1.75 06/21/2017 20 YR LCH ,EUR 0.75 06/21/2017 20 YR LCH ,GBP 1.00 06/21/2017 20 YR LCH ,JPY 0.50 06/21/2017 20 YR LCH ,CAD 1.75 06/21/2017 20 YR LCH ,
30 YEAR,0,1.75,0.75,1,0.5,1.5,
,1,57056D FR0,57056D FS8,57056D FT6,57056D FU3,57056D FV1,
,2,US57056DFR08,US57056DFS80,US57056DFT63,US57056DFU37,US57056DFV10,
,3,USD 1.75 06/21/2017 30 YR CME ,EUR 0.75 06/21/2017 30 YR CME ,GBP 1.00 06/21/2017 30 YR CME ,JPY 0.50 06/21/2017 30 YR CME ,CAD 1.50 06/21/2017 30 YR CME ,
,4,57056D CT9,57056D CU6,57056D CV4,57056D CW2,57056D CX0,
,5,US57056DCT90,US57056DCU63,US57056DCV47,US57056DCW20,US57056DCX03,
,6,USD 1.75 06/21/2017 30 YR LCH ,EUR 0.75 06/21/2017 30 YR LCH ,GBP 1.00 06/21/2017 30 YR LCH ,JPY 0.50 06/21/2017 30 YR LCH ,CAD 1.50 06/21/2017 30 YR LCH ,
