Column1,"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
,44713.0,,ADX 171-A001,7,1,8,7,11,6,3,2.0,43696.0,43814.0
,44930.0,,ADX 170-A002,6,3,8,7,02:15 PM,8,4,2.0,43696.0,43814.0
,44931.0,,ADX 171-A002,7,1,8,7,3,9,4,2.0,43696.0,43814.0
,55240.0,,ADX 260-A001,8,3,3,0,9,10,5,2.0,43696.0,43814.0
,55299.0,,2,9,2,3,6,10,6,5,2.0,43696.0,43814.0
,55299.0,,2,9,2,5,0,10,6,5,2.0,43696.0,43814.0
,45008.0,,ADX 260-A0E1,8,3,3,8,12,5,6,2.0,43696.0,43814.0
,45009.0,,3,9,2,3,9,13,5,6,2.0,43696.0,43814.0
,45009.0,,3,9,2,5,8,6,6,6,2.0,43696.0,43814.0
,55348.0,,AUT 140-A001,10,3,9,7,14,10,5,2.0,43696.0,43814.0
,55363.0,,4,11,2,9,10,11,6,5,2.0,43696.0,43814.0
,55363.0,,4,11,2,7,7,11,6,5,2.0,43696.0,43814.0
,55363.0,,4,11,2,5,10,11,6,5,2.0,43696.0,43814.0
,44716.0,,5,10,3,3,11,15,5,6,2.0,43696.0,43814.0
,44716.0,,5,10,3,6,12,15,5,6,2.0,43696.0,43814.0
,44717.0,,6,11,2,3,13,16,6,6,2.0,43696.0,43814.0
,44717.0,,6,11,2,6,13,16,6,6,2.0,43696.0,43814.0
,44717.0,,6,11,2,5,12,16,6,6,2.0,43696.0,43814.0
,44717.0,,6,11,2,7,12,16,6,6,2.0,43696.0,43814.0
,55319.0,,AUT 240-A001,12,3,6,0,9,10,5,2.0,43696.0,43814.0
,55312.0,,7,13,2,6,6,10,10,5,2.0,43696.0,43814.0
,55312.0,,7,13,2,7,0,10,10,5,2.0,43696.0,43814.0
,44714.0,,AUT 240-A0E1,12,3,6,8,12,5,6,2.0,43696.0,43814.0
,44715.0,,8,13,2,6,9,6,6,6,2.0,43696.0,43814.0
,44715.0,,8,13,2,7,8,6,6,6,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,,
,44522.0,,AGR 101-A0Z1,Economics Food & Agriculture,3,1,1,1,1,7,1.0,43696.0,43814.0
,45356.0,,AGR 115-A001,Agriculture Maintenance,3,6,14,13,SE119,3,2.0,43696.0,43814.0
,44521.0,,AGR 125-A001,14,3,2,15,17,11,8,2.0,43696.0,43814.0
,44755.0,,AGR 125-A0L1,14,3,4,1,1,11,8,2.0,43696.0,43814.0
,45357.0,,AGR 135-A001,Herbaceous Plant Production,3,4,1,1,4,8,2.0,43696.0,43814.0
,45358.0,,AGR 145-A0Z1,Technology in Agriculture,3,1,1,1,1,9,1.0,43696.0,43814.0
,44520.0,,AGR 150-A086,15,3,2,15,18,OWCHCA,10,2.0,43696.0,43814.0
,44825.0,,AGR 150-A0L1,15,3,4,1,1,4,10,2.0,43696.0,43814.0
,44526.0,,AGR 190-A001,Agricultural Internship II,2,1,1,1,4,9,2.0,43696.0,43814.0
,44527.0,,AGR 200-A001,Agricultural Internship III,2,1,1,1,4,9,2.0,43696.0,43814.0
,45359.0,,AGR 205-A001,Forage Management,3,4,1,1,4,9,2.0,43696.0,43814.0
,45360.0,,AGR 215-A001,Weed Management,3,4,1,1,4,8,2.0,43696.0,43814.0
,44528.0,,AGR 240-A001,16,3,2,16,19,11,11,2.0,43696.0,43814.0
,44773.0,,AGR 240-A0L1,16,3,1,1,1,11,11,2.0,43696.0,43814.0
,45361.0,,AGR 275-A001,Value Added Production,3,4,1,1,4,9,2.0,43696.0,43814.0
,45362.0,,AGR 285-A0Z1,Farm Financial Management,3,1,1,1,1,9,1.0,43696.0,43814.0
ALLIED HEALTH,,,,,,,,,,,,,
,45363.0,,AHS 115-A0YE,17,3,7,17,13,12,Clouse,0.0,43696.0,43814.0
,44609.0,,AHS 115-A0Z1,17,3,1,1,1,1,12,1.0,43696.0,43814.0
,45018.0,,AHS 115-A0Z2,17,3,1,1,1,1,13,1.0,43696.0,43814.0
ART ,,,,,,,,,,,,,
,44474.0,0,ART 100-A001,18,3,2,10,20,13,14,2.0,43696.0,43814.0
,44475.0,0,ART 100-A0Z1,18,3,1,1,1,1,14,1.0,43696.0,43814.0
,44476.0,0,ART 105-A001,Ancient Through Mediev Art His,3,0,0,0,13,14,2.0,43696.0,43814.0
,44477.0,,ART 110-A001,Drawing I,3,2,10,21,14,15,2.0,43696.0,43814.0
,44478.0,,ART 113-A001,3-Dimensional Design,3,0,10,21,14,Schartung,2.0,43696.0,43814.0
,44809.0,,ART 220-A001,Painting I,3,0,18,22,14,14,2.0,43696.0,43814.0
,44810.0,,ART 221-A001,Painting II,3,0,18,22,15,14,2.0,43696.0,43814.0
,44479.0,,ART 240-A001,Ceramics I,3,2,5,23,14,15,2.0,43696.0,43814.0
,45124.0,,ART 241-A001,Ceramics II,3,2,5,24,15,15,2.0,43696.0,43814.0
ASTRONOMY,,,,,,,,,,,,,
,44912.0,1,AST 191-A0YE,The Solar System,3,3,9,25,12,16,0.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,,
,44602.0,,BAS 160-A001,19,3,2,15,17,16,17,2.0,43696.0,43814.0
,45092.0,,BAS 160-A0BY,19,3,0,19,22,16,18,0.0,43696.0,43751.0
,45093.0,,BAS 160-A0ZB,19,3,1,1,1,1,18,1.0,43696.0,43751.0
,44603.0,,BAS 212-A0Z1,Intro to Financial Management,3,1,1,1,1,0,1.0,43696.0,43814.0
,45115.0,,BAS 250-A0ZB,Business Employability Seminar,1,1,1,1,1,19,1.0,43759.0,43793.0
,44604.0,,BAS 267-A0Z1,Introduction to Business Law,3,1,1,1,1,Carter,1.0,43696.0,43814.0
,44605.0,,BAS 282-A001,20,3,0,0,0,16,17,2.0,43696.0,43814.0
,45104.0,,BAS 282-A0ZB,20,3,1,1,1,1,18,1.0,43759.0,43814.0
,45105.0,,BAS 283-A0BY,21,3,0,19,22,16,18,0.0,43759.0,43814.0
,45094.0,,BAS 283-A0ZB,21,3,1,1,1,1,18,1.0,43696.0,43751.0
,45106.0,,BAS 284-A0ZB,Applied Management Skills,3,1,1,1,1,18,1.0,43759.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,,,
,44432.0,1,BIO 112-A001,22,3,0,15,17,17,20,2.0,43696.0,43814.0
,44433.0,1,BIO 112-A002,22,3,0,10,20,18,21,2.0,43696.0,43814.0
,44434.0,1,BIO 112-A003,22,3,2,5,24,19,20,2.0,43696.0,43814.0
,44536.0,1,BIO 112-A004,22,3,2,19,23,18,22,2.0,43696.0,43814.0
,44537.0,1,BIO 112-A0Z1,22,3,1,1,1,1,23,1.0,43696.0,43814.0
,45365.0,1,BIO 112-A0ZB,22,3,1,1,1,1,23,1.0,43759.0,43814.0
,44538.0,1,BIO 113-A001,23,1,3,6,26,20,24,2.0,43696.0,43814.0
,44548.0,1,BIO 113-A002,23,1,5,5,27,20,24,2.0,43696.0,43814.0
,44967.0,1,BIO 113-A003,23,1,7,19,12:50 PM,20,20,2.0,43696.0,43814.0
,44944.0,1,BIO 113-A0E1,23,1,7,20,28,21,23,2.0,43696.0,43814.0
,44549.0,1,BIO 113-A0Z1,23,1,1,1,1,1,23,1.0,43696.0,43814.0
,44784.0,1,BIO 118-A0Z1,Microbes and Society,3,1,1,1,1,25,1.0,43696.0,43814.0
,44552.0,1,BIO 120-A001,24,3,2,15,17,19,24,2.0,43696.0,43814.0
,44550.0,1,BIO 120-A0Z1,24,3,1,1,1,1,24,1.0,43696.0,43814.0
,44553.0,1,BIO 121-A001,Introduction to Ecology Lab,1,6,6,26,20,24,2.0,43696.0,43814.0
,44916.0,2,BIO 135-A001,25,4,2,10,20,12,26,0.0,43696.0,43814.0
,44917.0,,BIO 135-A0L1,25,,6,14,5,21,26,2.0,43696.0,43814.0
,44914.0,2,BIO 135-A0Y1,25,4,1,1,1,1,25,0.0,43696.0,43814.0
,44915.0,,BIO 135-A0YL,25,,6,19,8,21,25,0.0,43696.0,43814.0
,44607.0,2,BIO 135-A0Z1,25,4,1,1,1,1,21,1.0,43696.0,43814.0
,44608.0,,BIO 135-A0ZL,25,,1,1,1,1,21,1.0,43696.0,43814.0
,44555.0,2,BIO 137-A001,26,4,0,5,24,18,27,2.0,43696.0,43814.0
,44556.0,,BIO 137-A0L1,26,,3,19,8,22,27,2.0,43696.0,43814.0
,44571.0,,BIO 137-A0L2,26,,5,19,8,22,27,2.0,43696.0,43814.0
,44918.0,2,BIO 137-A002,26,4,0,21,22,18,28,2.0,43696.0,43814.0
,44606.0,,BIO 137-A0L3,26,,3,5,27,21,28,2.0,43696.0,43814.0
,44919.0,,BIO 137-A0L4,26,,5,5,27,21,28,2.0,43696.0,43814.0
,45366.0,2,BIO 137-A003,26,4,2,0,0,18,25,2.0,43696.0,43814.0
,45367.0,,BIO 137-A0L5,26,,6,22,29,21,25,2.0,43696.0,43814.0
,45368.0,,BIO 137-A0L6,26,,7,22,29,21,25,2.0,43696.0,43814.0
,44945.0,2,BIO 137-A0E1,26,4,2,17,06:15 PM,23,29,2.0,43696.0,43814.0
,44946.0,,BIO 137-A0EL,26,,6,11,16,21,29,2.0,43696.0,43814.0
,44793.0,2,BIO 137-A0Y1,26,4,1,1,1,1,27,0.0,43696.0,43814.0
,44794.0,,BIO 137-A0YL,26,,3,20,28,21,27,1.0,43696.0,43814.0
,44561.0,2,BIO 137-A0Z1,26,4,1,1,1,1,28,1.0,43696.0,43814.0
,44563.0,,BIO 137-A0ZL,26,,1,1,1,1,28,1.0,43696.0,43814.0
,44558.0,2,BIO 139-A001,27,4,0,0,0,18,25,2.0,43696.0,43814.0
,44888.0,,BIO 139-A0L1,27,,5,22,29,22,25,2.0,43696.0,43814.0
,45025.0,2,BIO 139-A002,27,4,2,15,17,18,29,2.0,43696.0,43814.0
,45026.0,,BIO 139-A0L2,27,,7,6,26,22,29,2.0,43696.0,43814.0
,44819.0,2,BIO 139-A0Y1,27,4,1,1,1,1,27,0.0,43696.0,43814.0
,44820.0,,BIO 139-A0YL,27,,7,21,2,21,27,0.0,43696.0,43814.0
,44599.0,2,BIO 139-A0Y2,27,4,1,1,1,1,30,2.0,43696.0,43814.0
,44600.0,,BIO 139-A0LY,27,,6,21,2,22,30,2.0,43696.0,43814.0
,44566.0,2,BIO 139-A0Z1,27,4,1,1,1,1,28,1.0,43696.0,43814.0
,44568.0,,BIO 139-A0ZL,27,,1,1,1,1,28,1.0,43696.0,43814.0
,54060.0,2,BIO 141-A001,28,4,0,15,17,19,24,2.0,43696.0,43814.0
,54063.0,,BIO 141-A0L1,28,,3,10,03:50 PM,20,24,2.0,43696.0,43814.0
,44923.0,1,BIO 150-A001,Principles of Biology I,3,0,23,30,24,22,2.0,43696.0,43814.0
,44640.0,3,BIO 151-A001,Principles of Biology Lab I,2,0,15,14,24,22,2.0,43696.0,43814.0
,44447.0,2,BIO 225-A001,29,4,2,6,31,17,31,2.0,43696.0,43814.0
,44448.0,,BIO 225-A0L1,29,,2,24,32,25,31,2.0,43696.0,43814.0
,44449.0,,BIO 225-A0L2,29,,2,25,17,25,31,2.0,43696.0,43814.0
,44644.0,2,BIO 227-A001,30,5,0,26,32,24,22,2.0,43696.0,43814.0
,44646.0,,BIO 227-A0L1,30,,0,6,33,25,22,2.0,43696.0,43814.0
BLUEPRINT READING ,,,,,,,,,,,,,
,44460.0,,BRX 110-A0Z1,Basic Blueprint Read Machinist,2,1,1,1,1,32,1.0,43696.0,43814.0
COMPUTER AIDED DRAFTING,,,,,,,,,,,,,
,44836.0,,CAD 100-A0Z1,31,3,1,1,1,1,32,1.0,43696.0,43814.0
,44837.0,,CAD 100-A0ZL,31,,1,1,1,1,32,1.0,43696.0,43814.0
CHEMISTRY,,,,,,,,,,,,,
,44610.0,1,CHE 140-A001,Introductory General Chemistry,3,0,15,17,12,33,2.0,43696.0,43814.0
,44611.0,1,CHE 145-A001,Intro General Chemistry Lab,1,3,10,30,26,33,2.0,43696.0,43814.0
,44431.0,1,9,32,4,2,0,0,17,33,2.0,43696.0,43814.0
,44431.0,,9,32,,7,5,9,17,33,2.0,43696.0,43814.0
,45011.0,1,CHE 170-A0Z1,32,4,1,1,1,1,Mahajan,1.0,43696.0,43814.0
,44743.0,2,CHE 175-A001,Gen College Chemistry Lab I,1,6,5,33,26,33,2.0,43696.0,43814.0
CIS,,,,,,,,,,,,,
,44612.0,,CIT 105-A001,33,3,0,5,24,27,5,2.0,43696.0,43814.0
,44613.0,,CIT 105-A002,33,3,0,19,23,27,5,2.0,43696.0,43814.0
,44614.0,,CIT 105-A003,33,3,0,10,20,27,5,2.0,43696.0,43814.0
,44616.0,,CIT 105-A004,33,3,2,5,24,27,5,2.0,43696.0,43814.0
,44617.0,,CIT 105-A005,33,3,2,10,20,27,5,2.0,43696.0,43814.0
,44618.0,,CIT 105-A0E1,33,3,6,9,34,28,34,2.0,43696.0,43814.0
,44619.0,,CIT 105-A0E2,33,3,7,9,34,28,34,2.0,43696.0,43814.0
,44620.0,,CIT 105-A0Z1,33,3,1,1,1,1,Toms,1.0,43696.0,43814.0
,44621.0,,CIT 105-A0Z2,33,3,1,1,1,1,Papalouca,1.0,43696.0,43814.0
,44622.0,,CIT 105-A0Z3,33,3,1,1,1,1,19,1.0,43696.0,43751.0
,44932.0,,CIT 105-A0Z4,33,3,1,1,1,1,35,1.0,43696.0,43814.0
,45376.0,,CIT 105-A0ZB,33,3,1,1,1,1,19,1.0,43759.0,43814.0
,44623.0,,CIT 111-A001,34,4,0,15,35,29,36,2.0,43696.0,43814.0
,44624.0,,CIT 111-A002,34,4,2,26,36,29,36,2.0,43696.0,43814.0
,45393.0,,CIT 111-A003,34,4,2,15,35,29,36,2.0,43696.0,43814.0
,44625.0,,CIT 120-A001,35,3,0,5,24,28,37,2.0,43696.0,43814.0
,45394.0,,CIT 120-A002,35,3,2,19,23,28,37,2.0,43696.0,43814.0
,44808.0,,CIT 130-A0Z1,Productivity Software,3,1,1,1,1,5,1.0,43696.0,43814.0
,44949.0,,CIT 144-A001,Python I,3,0,10,20,28,37,2.0,43696.0,43814.0
,45095.0,,CIT 161-A0Y1,Introduction to Networks,4,6,14,05:10 PM,30,38,0.0,43696.0,43814.0
,44626.0,,CIT 170-A001,Database Design Fundamentals,3,0,19,23,28,37,2.0,43696.0,43814.0
,44627.0,,CIT 180-A0Z1,Security Fundamentals,3,1,1,1,1,38,1.0,43696.0,43814.0
,44628.0,,CIT 184-A0Z1,Attacks and Exploits,3,1,1,1,1,38,1.0,43696.0,43814.0
,45101.0,,CIT 213-A0B1,Microsoft Client Configuration,3,5,14,37,30,36,2.0,43696.0,43751.0
,44629.0,,CIT 217-A0Z1,UNIX/Linux Administration,3,1,1,1,1,38,1.0,43696.0,43814.0
,45396.0,,CIT 262-A0B2,MS Network Infrastructure,3,5,14,37,30,36,2.0,43759.0,43814.0
,44950.0,,CIT 271-A0Z1,SQL II	,3,1,1,1,1,37,1.0,43696.0,43814.0
,45397.0,,CIT 293-A0Z1,CIT Employability Studies,1,1,1,1,1,37,1.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,,
,44456.0,,CMM 114-A001,36,6,10,24,38,31,39,2.0,43696.0,43814.0
,44457.0,,CMM 114-A0L1,36,,10,09:10 AM,27,31,39,2.0,43696.0,43814.0
,44884.0,,CMM 124-A001,Applied Machining,6,10,24,31,ATC213,40,2.0,43696.0,43814.0
,44458.0,,CMM 134-A001,37,6,10,27,39,32,32,2.0,43696.0,43814.0
,44459.0,,CMM 134-A0L1,37,,10,28,03:10 PM,32,32,2.0,43696.0,43814.0
,44463.0,,CMM 214-A001,Industrial Machining,6,10,27,03:20 PM,31,39,2.0,43696.0,43814.0
,44464.0,,CMM 230-A001,Conversational Programming,6,10,24,11:10 AM,32,32,2.0,43696.0,43814.0
,44461.0,,CMM 298-A001,38,1,4,1,1,4,32,2.0,43696.0,43814.0
,44462.0,,CMM 299-A001,3,1,4,1,1,4,32,2.0,43696.0,43814.0
COOPERATIVE EDUCATION,,,,,,,,,,,,,
,44630.0,,COE 199-A001,Cooperative Education,1 - 8,1,1,1,4,41,2.0,43696.0,43814.0
,44786.0,,COED 198-A001,38,1 - 9,4,1,1,4,Miller,2.0,43696.0,43814.0
COMMUNICATIONS,,,,,,,,,,,,,
,44481.0,4,COM 181-A001,39,3,0,5,24,33,42,2.0,43696.0,43814.0
,44482.0,4,COM 181-A002,39,3,0,0,0,34,43,2.0,43696.0,43814.0
,44483.0,4,COM 181-A003,39,3,0,19,23,34,43,2.0,43696.0,43814.0
,44484.0,4,COM 181-A004,39,3,0,15,17,35,44,2.0,43696.0,43814.0
,44485.0,4,COM 181-A005,39,3,0,10,20,34,43,2.0,43696.0,43814.0
,44486.0,4,COM 181-A006,39,3,2,0,0,33,42,2.0,43696.0,43814.0
,44487.0,4,COM 181-A007,39,3,2,5,24,35,45,2.0,43696.0,43814.0
,44488.0,4,COM 181-A008,39,3,2,5,24,33,42,2.0,43696.0,43814.0
,44489.0,4,COM 181-A009,39,3,2,19,23,35,45,2.0,43696.0,43814.0
,44498.0,4,COM 181-A0Z1,39,3,1,1,1,1,Bryant,1.0,43696.0,43814.0
,44499.0,,COM 184-A001,40,1,1,1,1,36,42,2.0,43696.0,43814.0
,44506.0,4,COM 252-A001,41,3,0,5,24,35,45,2.0,43696.0,43814.0
,44508.0,4,COM 252-A002,41,3,0,15,17,37,45,2.0,43696.0,43814.0
,44509.0,4,COM 252-A003,41,3,2,15,17,38,43,2.0,43696.0,43814.0
,44511.0,4,COM 252-A004,41,3,2,5,24,38,43,2.0,43696.0,43814.0
,44513.0,4,COM 252-A0Z1,41,3,1,1,1,1,44,1.0,43696.0,43814.0
,44515.0,4,COM 254-A001,42,3,0,15,17,39,46,2.0,43696.0,43814.0
,44516.0,4,COM 254-A002,42,3,2,10,20,35,45,2.0,43696.0,43814.0
,44517.0,4,COM 254-A0Z1,42,3,1,1,1,1,44,1.0,43696.0,43814.0
,44821.0,,COM 284-A001,40,1,1,1,1,36,42,2.0,43696.0,43814.0
,44518.0,4,COM 287-A0Z1,Persuasive Speaking,3,1,1,1,1,42,1.0,43696.0,43814.0
CARDIOPULMONARY RESUSCITATION,,,,,,,,,,,,,
,45051.0,,CPR 100-A001,CPR Healthcare Professionals,1,4,1,1,4,47,2.0,43696.0,43814.0
CRIMINAL JUSTICE,,,,,,,,,,,,,
,44631.0,,CRJ 100-A001,Intro to Criminal Justice,3,2,5,24,40,48,2.0,43696.0,43814.0
,44632.0,,CRJ 204-A001,Criminal Investigations,3,2,19,23,40,48,2.0,43696.0,43814.0
,44811.0,,CRJ 216-A001,Criminal Law,3,0,19,23,40,48,2.0,43696.0,43814.0
,44812.0,,CRJ 217-A001,Criminal Procedures,3,0,5,24,40,48,2.0,43696.0,43814.0
,44633.0,,CRJ 290-A001,Internship in Criminal Justice,3,4,1,1,DCSO,Cain,2.0,43696.0,43814.0
,44634.0,,CRJ 295-A001,Criminal Justice Capstone,1,4,1,1,4,48,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,,,,,,,,,,,,,
,44719.0,,10,43,2,7,7,30,9,4,2.0,43696.0,43814.0
,44719.0,,10,43,,11,0,4,9,4,2.0,43696.0,43814.0
,44981.0,,DIT 140-A001,Hydraulics,3,3,0,9,8,4,2.0,43696.0,43814.0
,44982.0,,11,44,2,3,6,10,9,4,2.0,43696.0,43814.0
,44982.0,,11,44,,5,0,10,9,4,2.0,43696.0,43814.0
,44896.0,,DIT 152-A001,Powertrain Construction Equip,3,6,0,9,8,4,2.0,43696.0,43814.0
,44897.0,,12,45,2,6,6,4,9,4,2.0,43696.0,43814.0
,44897.0,,12,45,,7,0,10,9,4,2.0,43696.0,43814.0
ECONOMICS,,,,,,,,,,,,,
,45078.0,5,ECO 101-A0ZB,Contemporary Economic Issues,3,1,1,1,1,49,1.0,43759.0,43814.0
,44635.0,5,ECO 201-A001,46,3,0,10,20,16,17,2.0,43696.0,43814.0
,44636.0,5,ECO 201-A002,46,3,2,5,24,16,17,2.0,43696.0,43814.0
,44637.0,5,ECO 201-A0Z1,46,3,1,1,1,1,49,1.0,43696.0,43814.0
,44638.0,5,ECO 202-A001,47,3,0,5,24,41,17,2.0,43696.0,43814.0
,44639.0,5,ECO 202-A0Z1,47,3,1,1,1,1,49,1.0,43696.0,43814.0
EDUCATION,,,,,,,,,,,,,
,44641.0,,EDP 202-A001,Human Development & Learning,3,0,5,24,42,50,2.0,43696.0,43814.0
,44642.0,,EDU 201-A001,Intro to American Education,3,2,5,24,42,50,2.0,43696.0,43814.0
,44643.0,,EDU 270-A001,Elementary School Literature,3,2,19,23,42,50,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,,
,47227.0,,EET 127-A0Z1,Electrical Technology Capstone,1,1,1,1,1,51,1.0,43696.0,43814.0
,44441.0,,EET 150-A0Y1,Transformers,2,1,1,1,1,51,0.0,43696.0,43814.0
,44442.0,,EET 151-A0Y1,Transformers Lab,1,6,04:30 PM,13,43,51,0.0,43696.0,43814.0
,44410.0,,EET 250-A0Z1,National Electrical Code,4,1,1,1,1,52,1.0,43696.0,43814.0
,44423.0,,EET 254-A001,Electrical Construction,3,10,24,38,44,53,2.0,43696.0,43814.0
,44424.0,,EET 255-A001,Electrical Construction Lab,4,10,09:05 AM,40,45,53,2.0,43696.0,43814.0
,44435.0,,EET 264-A001,48,2,2,16,7,43,51,2.0,43696.0,43814.0
,44436.0,,EET 265-A001,49,2,2,22,4,45,51,2.0,43696.0,43814.0
,44437.0,,EET 264-A002,48,2,2,15,2,43,51,2.0,43696.0,43814.0
,44438.0,,EET 265-A002,49,2,2,3,3,45,51,2.0,43696.0,43814.0
,44425.0,,EET 274-A001,Electrical Motor Controls,3,10,27,39,44,53,2.0,43696.0,43814.0
,44426.0,,EET 275-A001,Electrical Motor Controls Lab,4,10,28,20,43,53,2.0,43696.0,43814.0
,44427.0,,EET 276-A001,Programmable Logic Controllers,2,0,16,7,43,51,2.0,43696.0,43814.0
,44428.0,,EET 277-A001,Programmable Logic Control Lab,2,0,22,4,43,51,2.0,43696.0,43814.0
,44841.0,,EET 281-A001,2,1,4,1,1,45,53,2.0,43696.0,43814.0
,44439.0,,EET 286-A0Y1,Program Logic Controllers II,2,4,1,1,1,51,0.0,43696.0,43814.0
,44440.0,,EET 287-A0Y1,Program Logic Control II Lab,2,11,24,23,43,51,0.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,,,,,,,,,,,,,
,44411.0,,ELT 110-A001,50,5,10,16,7,46,54,2.0,43696.0,43814.0
,44412.0,,ELT 110-A0L1,50,,10,5,36,46,54,2.0,43696.0,43814.0
,44413.0,,ELT 110-A002,50,5,10,15,2,46,54,2.0,43696.0,43814.0
,44414.0,,ELT 110-A0L2,50,,10,3,41,46,54,2.0,43696.0,43814.0
,44817.0,,ELT 110-A003,50,5,2,24,0,46,54,2.0,43696.0,43814.0
,44818.0,,ELT 110-A0L3,50,,2,09:45 AM,40,46,54,2.0,43696.0,43814.0
,44421.0,,ELT 110-A004,50,5,10,16,7,47,55,2.0,43696.0,43814.0
,44422.0,,ELT 110-A0L4,50,,10,5,36,47,55,2.0,43696.0,43814.0
,44868.0,,ELT 110-A005,50,5,10,15,2,47,56,2.0,43696.0,43814.0
,44869.0,,ELT 110-A0L5,50,,10,3,41,47,56,2.0,43696.0,43814.0
,44415.0,,ELT 110-A0E1,50,5,0,9,13,46,54,2.0,43696.0,43814.0
,44416.0,,ELT 110-A0L6,50,,0,11,08:30 PM,46,54,2.0,43696.0,43814.0
,44429.0,,ELT 114-A001,51,5,10,15,2,48,51,2.0,43696.0,43814.0
,44430.0,,ELT 114-A0L1,51,,10,3,41,48,51,2.0,43696.0,43814.0
,44417.0,,ELT 120-A001,52,3,2,16,7,47,52,2.0,43696.0,43814.0
,44418.0,,ELT 120-A0L1,52,,2,5,36,47,52,2.0,43696.0,43814.0
,44419.0,,ELT 210-A001,53,4,2,29,2,46,54,2.0,43696.0,43814.0
,44420.0,,ELT 210-A0L1,53,,2,3,41,46,54,2.0,43696.0,43814.0
,44445.0,,ELT 265-A001,54,3,0,15,2,49,40,2.0,43696.0,43814.0
,44446.0,,ELT 265-A0L1,54,,0,3,18,50,40,2.0,43696.0,43814.0
,44470.0,,ELT 265-A002,54,3,2,29,2,51,9,2.0,43696.0,43814.0
,44471.0,,ELT 265-A0L2,54,,2,3,02:20 PM,50,9,2.0,43696.0,43814.0
,44830.0,,ELT 265-A0E1,54,3,0,17,05:50 PM,49,40,2.0,43696.0,43814.0
,44831.0,,ELT 265-A0L3,54,,0,06:00 PM,6,50,40,2.0,43696.0,43814.0
