Index,1,2,3,4,5,6,7,8,9,10,11,12
1843,2.99,-3.51,-1.29,2.03,-0.49,-1.92,3.26,3.99,-0.58,-1.9,0.87,3.13
1844,0.2,0.11,1.09,3.91,-2.77,-0.12,0.36,-1.0,-1.53,-0.99,-0.02,-1.9
1845,1.17,0.06,-0.54,0.56,-0.97,2.07,-0.16,-0.29,-0.23,1.14,0.49,0.83
1846,2.26,0.63,1.75,-1.42,0.19,1.45,2.84,-0.3,-1.18,0.01,-0.59,-2.55
1847,0.03,0.1,-1.59,1.17,1.76,-0.26,0.75,1.13,-0.32,0.44,2.46,1.76
1848,-0.79,1.77,0.76,-1.02,0.69,-1.78,1.87,2.64,-2.55,-2.44,-0.84,2.55
1849,2.42,2.77,-0.56,-0.99,-0.52,-3.21,1.2,0.7,-2.23,-0.08,0.8,-1.24
1850,-0.16,4.13,-2.22,0.97,-1.16,0.4,0.31,0.15,-2.08,-2.7,2.39,2.36
1851,3.29,1.03,1.5,-1.66,-1.53,-1.62,-5.39,4.68,1.85,0.78,-1.77,1.74
1852,1.46,0.41,-2.5,-1.6,0.25,0.09,-1.13,2.94,-2.02,-1.65,-0.93,1.03
1853,1.31,-4.04,-0.32,0.76,-3.17,1.09,1.76,-2.36,-0.22,-0.47,0.51,-4.28
1854,1.28,1.72,2.67,0.88,0.04,-0.06,-1.92,-0.03,2.62,1.11,-1.56,2.42
1855,-1.84,-3.8,-0.05,0.99,-2.28,0.78,-2.61,3.81,0.79,-1.09,-2.42,-1.66
1856,-1.25,-0.1,-2.27,2.0,-0.7,2.03,-0.16,-0.44,-0.5,1.12,-1.69,-0.23
1857,-0.69,2.02,1.09,0.55,-0.17,-0.33,5.36,1.02,1.21,-0.2,-1.68,3.51
1858,2.26,-0.54,-1.24,1.24,0.53,-0.24,-1.58,0.06,2.33,-1.86,-4.41,3.01
1859,2.74,2.37,1.5,-1.12,-0.63,-0.06,2.24,1.82,0.11,-2.61,0.29,-1.31
1860,1.54,0.32,1.08,-0.37,-1.51,-2.32,-2.27,-0.16,-0.92,2.28,-3.44,-2.14
1861,-0.56,0.8,2.06,-1.86,-1.99,-1.04,0.73,2.91,-0.85,-0.8,-1.35,-1.5
1862,1.15,-1.26,-2.25,0.64,0.65,-0.22,-2.08,-1.43,-1.5,1.75,-0.49,2.92
1863,1.12,3.1,1.88,2.35,-1.49,-0.59,-0.43,0.1,2.46,-0.59,1.62,2.17
1864,2.03,-0.27,-1.78,0.23,-1.83,1.76,0.5,-0.21,1.12,-6.05,0.01,-0.77
1865,0.15,-0.42,-1.03,0.92,0.87,0.74,-0.07,-0.22,3.24,-2.66,-0.14,2.57
1866,2.06,0.7,-2.1,-0.88,-1.54,-0.18,0.29,0.77,1.52,-0.03,1.01,2.14
1867,-2.17,3.63,-3.03,3.08,-2.35,-1.2,-1.77,3.1,1.13,0.73,-1.51,-0.55
1868,1.46,3.95,2.94,2.52,1.35,2.1,1.21,3.02,-2.65,1.87,-0.83,2.01
1869,3.25,3.9,-1.91,2.62,-1.98,-0.71,0.29,1.15,0.62,-0.79,0.79,-0.69
1870,0.32,-1.98,-2.07,2.92,1.55,0.56,-0.36,-3.41,1.71,1.3,-2.04,-3.52
1871,0.67,1.71,1.15,-0.32,-2.5,-1.37,1.75,4.19,-1.93,-0.89,-3.72,-0.18
1872,1.15,0.45,-1.2,-0.73,0.02,-0.34,-3.61,-1.43,-2.53,-0.91,0.67,-1.09
1873,2.3,0.18,-0.39,-2.17,-0.93,0.78,-0.12,3.44,-0.57,-0.81,-2.23,2.01
1874,1.56,2.07,1.47,2.99,-1.85,-0.76,0.18,0.82,0.74,0.86,-0.34,-2.12
1875,2.06,-1.47,-0.61,-0.41,0.89,1.46,-1.44,1.71,-0.01,-0.75,-2.8,0.08
1876,1.1,0.75,-0.29,-0.67,-1.45,1.71,3.48,1.02,-2.62,-2.19,-2.35,-1.13
1877,2.39,1.96,-0.45,-2.3,-1.73,-0.32,1.18,-1.83,-3.74,1.25,2.06,2.16
1878,1.18,2.2,-0.01,0.45,0.28,-1.54,-1.93,-2.46,-0.95,-1.44,-3.47,-3.31
1879,-0.71,0.85,-0.08,0.1,0.63,-0.5,-1.57,-0.29,1.9,-1.88,-3.38,0.58
1880,0.42,1.92,0.06,1.66,-1.78,0.45,-1.9,-0.43,0.92,-3.2,1.19,0.52
1881,-3.6,-1.62,-0.51,-1.42,0.82,0.01,2.1,0.42,-0.25,-2.04,4.34,2.77
1882,3.07,3.2,3.61,-0.42,-0.68,-0.64,1.6,2.05,0.4,0.65,2.01,-1.69
1883,1.67,4.25,-3.04,0.88,-0.54,-1.75,-2.25,3.0,0.47,1.68,2.36,0.91
1884,3.32,1.48,0.19,-2.36,-0.17,0.5,-0.8,2.16,1.6,0.27,-1.16,1.94
1885,-0.8,0.09,-1.06,0.36,0.32,1.59,3.07,-1.03,1.4,-0.84,-0.76,-0.03
1886,-1.41,-0.39,0.56,-1.37,-0.67,-1.17,-1.59,2.43,-0.34,-0.55,0.55,0.12
1887,1.9,2.03,-0.85,-2.11,0.44,0.06,0.58,-1.19,-2.56,-1.14,-3.25,-1.62
1888,0.21,-2.25,-1.5,-2.25,0.97,-1.7,-0.0,4.0,-0.42,-0.89,2.7,1.25
1889,0.65,-0.2,0.11,1.05,-0.39,1.89,-1.03,3.78,-1.98,-1.23,2.7,2.3
1890,4.32,-1.37,0.5,-0.08,-1.14,1.23,0.3,0.99,2.5,0.85,1.9,-2.75
1891,0.27,2.81,-1.17,-0.92,-1.78,-3.74,-0.54,2.22,2.29,-0.46,-1.53,2.86
1892,-0.77,-2.21,-1.53,-1.14,-0.57,-0.47,0.18,1.16,1.61,-3.68,0.81,-1.05
1893,-1.61,2.54,-0.04,0.04,0.37,-0.56,-1.5,0.48,-0.97,0.32,-2.16,1.86
1894,1.4,3.95,1.12,1.98,-1.38,2.78,1.18,0.91,-2.19,-2.24,1.96,0.94
1895,-2.61,-4.14,-0.27,0.37,0.51,-0.2,1.21,1.72,1.15,-2.53,1.92,0.02
1896,-0.23,2.33,1.39,2.54,-0.89,-0.27,1.23,-1.02,0.6,-2.77,-0.55,1.86
1897,-2.36,3.32,2.31,4.28,-0.52,-1.42,-0.05,2.49,1.4,-0.6,0.02,1.35
1898,1.97,1.9,-2.33,3.46,-0.53,-0.84,-1.53,3.56,-0.17,-1.15,-1.14,3.14
1899,0.68,-0.17,-1.5,0.58,-1.03,-0.25,2.46,-1.13,-0.08,-0.12,1.94,-0.87
1900,1.38,-2.36,-3.12,2.61,-0.57,-1.23,-0.21,-0.06,0.98,-0.57,0.65,3.5
1901,0.98,-2.58,-0.91,2.53,-0.71,0.21,-1.83,1.14,-0.09,-0.47,-1.73,-1.38
1902,1.41,-1.4,0.5,-1.14,0.54,-3.25,-1.24,-0.18,-1.51,-0.12,-0.09,1.27
1903,1.28,4.86,4.05,-0.79,0.14,-2.8,0.43,3.67,0.22,-0.55,1.04,-1.09
1904,2.24,1.21,-0.7,2.64,1.75,-0.87,-0.04,0.61,-0.43,0.04,0.07,0.88
1905,1.81,2.09,2.23,-1.17,-0.72,-2.29,-0.05,0.97,-0.19,-3.1,-0.25,1.85
1906,2.64,1.26,-0.25,1.67,-1.75,-1.68,1.29,0.38,-1.33,0.4,0.7,0.03
1907,1.58,1.22,2.41,1.08,-1.42,0.76,-0.55,2.22,0.24,-1.59,-0.41,1.18
1908,0.64,1.98,0.74,-1.75,1.92,0.83,0.09,0.6,0.98,0.24,-0.21,1.47
1909,1.82,-0.54,-2.09,0.06,-0.92,-1.35,2.59,2.35,-1.29,0.59,-1.97,-0.48
1910,2.57,3.85,0.55,0.08,-1.5,-1.07,-1.64,0.31,-1.15,-1.56,-0.87,-0.1
1911,0.82,2.05,-1.4,-0.24,0.79,0.42,0.54,0.13,1.53,-1.88,-0.05,3.02
1912,-0.91,-0.17,2.22,-0.1,1.7,-0.98,-1.42,0.07,-2.51,0.42,1.21,3.0
1913,1.83,1.19,2.73,1.99,0.38,1.03,-0.99,0.65,-2.7,-1.48,4.62,1.23
1914,0.58,2.45,1.72,2.08,2.19,0.57,-1.11,0.97,0.43,-1.1,-1.41,2.23
1915,0.08,1.82,-1.91,2.91,-2.47,-2.3,-1.19,-1.29,-1.94,-0.99,-2.51,-0.65
1916,3.82,2.03,-3.84,0.77,-0.72,-3.03,-0.69,-0.57,-2.59,2.2,-0.58,-1.8
1917,-3.08,-1.59,-0.21,-0.92,-1.59,0.81,-0.21,-0.39,2.47,0.94,1.98,-2.8
1918,-0.48,3.87,0.37,-1.91,0.23,1.31,-1.97,1.76,-0.17,0.56,0.26,2.32
1919,-0.01,-0.49,-0.25,1.72,1.35,1.86,-1.33,4.03,-1.27,-2.24,-2.07,2.86
1920,2.84,1.39,3.08,0.09,0.76,-1.62,1.87,-1.22,0.41,-1.15,1.48,-0.46
1921,3.2,0.07,2.68,-0.09,-0.64,-1.6,-0.41,-0.65,-1.43,-0.22,-1.22,2.18
1922,0.64,2.97,-0.23,0.8,2.36,0.79,1.79,0.09,-0.43,-3.95,-0.05,1.47
1923,1.84,2.77,-0.1,-1.19,0.35,0.53,1.59,0.73,2.64,1.34,-1.97,1.25
1924,0.86,-1.62,-1.88,-0.94,-0.55,-2.09,0.65,0.55,0.71,0.5,-0.21,3.86
1925,4.23,1.95,-2.0,2.59,1.12,-2.2,1.37,1.43,-0.66,-0.98,-2.6,-0.72
1926,1.7,1.84,0.56,2.33,-1.19,-1.79,-0.69,2.06,0.92,-4.16,0.12,-0.51
1927,2.15,1.09,2.58,1.39,-2.03,-1.6,-0.16,1.6,-1.77,-2.04,-1.25,-3.14
1928,3.04,3.52,-0.94,1.09,-2.9,-1.89,2.21,-1.8,-1.93,0.15,1.68,0.44
1929,-1.26,0.27,-0.48,-3.8,0.67,-0.06,0.26,-0.07,0.25,0.29,2.15,3.8
1930,1.51,-0.6,-0.7,-2.13,1.84,-0.37,-1.3,1.81,-2.07,0.89,1.44,1.21
1931,-0.09,1.29,-2.18,-0.08,-0.62,-0.96,-0.13,-1.8,-2.73,-0.11,2.78,0.77
1932,3.47,-3.31,-1.57,0.13,-0.68,-1.46,-0.8,2.18,-0.93,0.05,0.98,1.22
1933,1.41,-1.81,1.26,-0.23,-0.55,-1.62,2.62,2.65,-2.03,-1.99,-2.97,-1.84
1934,3.27,0.49,0.3,-1.67,1.41,-2.49,-1.17,1.51,2.5,0.76,-1.22,1.32
1935,-0.5,2.7,0.39,-0.41,-3.21,1.34,2.03,-0.55,0.55,0.88,1.13,-1.37
1936,-1.22,-2.44,-1.09,-1.54,-2.34,0.76,1.34,2.67,-0.81,0.87,-0.17,2.37
1937,2.15,1.73,-2.02,2.19,2.31,0.49,0.19,0.28,-0.17,-2.41,-1.56,-1.09
1938,2.64,0.6,3.13,-1.68,-0.35,0.97,1.6,-0.37,-0.29,1.88,3.24,-0.39
1939,-0.69,2.91,-0.03,0.18,-0.9,-1.4,-0.44,0.8,-3.9,-2.51,1.53,-1.07
1940,-2.27,-0.93,-0.72,0.53,-0.25,-1.2,-1.21,0.3,-1.1,-1.89,1.3,1.46
1941,-3.5,-0.42,-1.29,-2.95,-0.54,0.24,1.08,-0.6,-0.97,-1.21,-0.09,1.44
1942,0.75,-3.1,-0.92,-0.95,0.82,-2.1,0.15,0.08,-0.25,-0.21,-2.11,1.47
1943,1.17,2.78,0.03,4.26,2.17,1.91,0.05,-0.18,-0.65,0.45,0.08,-0.39
1944,3.63,-1.59,-0.82,1.3,0.42,-2.78,-2.16,0.15,0.36,-0.83,0.81,0.26
1945,-2.12,4.67,2.51,1.15,-0.84,0.37,-0.4,-1.83,1.4,-0.22,-1.82,-0.25
1946,1.41,0.99,-0.39,0.65,-2.7,2.56,2.66,0.62,1.98,-2.04,-1.26,1.22
1947,0.39,-4.6,-1.28,6.66,-1.2,0.2,0.19,-1.08,1.18,-0.51,-0.25,-0.72
1948,1.53,0.66,3.48,-0.48,-1.23,-0.27,0.59,0.34,0.82,0.43,2.64,1.09
1949,1.5,4.01,-0.96,3.41,-1.39,-1.51,-0.93,1.38,-1.81,1.38,0.54,0.11
1950,0.55,3.31,0.82,1.61,-1.73,1.26,-0.87,-0.28,1.51,0.78,0.78,-1.88
1951,0.82,0.93,-2.01,-0.45,-2.11,-1.16,1.1,0.85,-0.22,-0.13,-0.97,2.54
1952,0.92,0.15,-1.14,2.79,-0.94,0.02,-0.79,-1.05,-3.02,0.42,-1.51,-0.31
1953,-0.02,0.54,1.25,-1.6,-0.75,-2.96,0.13,3.26,0.75,0.77,3.25,0.15
1954,0.1,0.57,-0.29,-0.26,-0.91,-0.94,0.88,-0.59,2.49,2.09,1.54,1.44
1955,-1.17,-2.21,-2.9,2.4,0.33,-0.18,-1.32,0.54,0.82,-2.35,-2.14,0.51
1956,-0.76,-2.96,0.01,-1.9,4.54,1.26,0.35,-3.15,-0.51,1.23,1.39,2.57
1957,2.53,1.08,0.42,-0.62,-0.84,-0.8,-0.48,0.7,-1.56,1.07,-1.59,-0.12
1958,0.37,-0.03,-1.28,1.79,1.1,-1.44,-0.2,0.98,-0.23,1.65,0.43,-1.7
1959,-1.15,2.46,1.82,1.51,-2.22,1.51,0.29,0.02,-1.81,1.51,-0.04,1.98
1960,-0.7,-1.0,-0.87,1.93,0.07,-0.41,0.18,-1.84,0.24,-3.08,1.4,0.46
1961,1.46,4.06,2.08,0.71,-0.94,2.13,0.63,3.38,2.01,1.0,-2.15,-1.72
1962,2.44,0.77,-3.78,0.74,-0.1,1.41,-2.1,2.28,0.02,-0.34,-2.23,-0.66
1963,-4.09,-1.9,2.79,-0.46,1.91,-1.77,-0.65,-0.96,0.94,2.79,-0.15,-3.09
1964,0.93,-0.13,-0.77,0.95,2.51,-1.85,2.44,-2.46,0.5,0.63,1.33,-1.24
1965,0.01,-3.03,0.23,2.14,-0.08,0.87,-1.71,1.59,-1.01,-1.26,-1.78,1.24
1966,-1.01,-0.38,1.05,1.18,1.51,0.82,-1.99,-2.03,-0.47,-2.89,-0.07,1.68
1967,0.04,1.7,3.0,-0.76,-0.46,1.96,1.44,-0.41,0.32,1.34,-0.91,-0.53
1968,1.65,-1.53,0.34,-0.71,-1.5,0.95,-1.96,-1.45,0.5,0.03,-2.0,-1.73
1969,-1.64,-3.16,-1.81,1.11,-0.23,-1.17,3.7,-1.62,0.38,0.7,-1.28,-0.26
1970,-1.16,1.1,-1.78,2.52,1.87,-0.11,0.27,-0.2,0.47,-0.0,0.76,-1.58
1971,-0.43,1.21,-1.76,-3.15,-0.62,-1.32,-1.04,0.07,-0.54,1.63,-1.46,0.76
1972,-0.52,-0.2,0.26,0.22,1.24,1.07,0.41,0.11,-4.11,-1.74,0.64,2.11
1973,1.37,1.22,1.04,-2.61,0.37,0.83,-1.85,2.32,-0.79,-1.03,-0.26,-1.65
1974,3.75,0.68,-0.81,-2.3,-0.01,-0.14,2.07,0.89,0.11,-1.44,1.27,3.06
1975,2.43,0.4,-1.26,-0.84,-2.42,0.18,0.63,0.08,1.75,0.39,0.86,-1.57
1976,0.75,1.29,1.87,-1.53,1.2,1.76,-0.57,0.62,-3.46,-0.64,1.5,-3.63
1977,-2.36,0.28,1.33,1.07,-1.62,-0.89,-1.14,-1.42,1.64,0.45,0.37,-0.25
1978,0.46,-1.99,3.1,-3.12,0.37,0.14,-0.33,0.05,1.96,0.02,3.91,-2.08
1979,-3.22,-0.62,0.54,-0.79,1.0,0.45,2.53,-0.85,1.12,-1.95,1.95,2.07
1980,-1.8,0.7,-0.68,0.03,-2.26,-0.21,-0.91,0.3,1.72,-0.87,-2.06,1.55
1981,1.0,1.04,0.01,-3.04,0.05,-1.57,1.74,1.01,0.27,-1.06,1.66,-2.2
1982,-0.72,2.25,1.66,-0.99,1.1,-1.86,-0.65,1.45,1.08,0.32,1.71,2.64
1983,4.82,-1.25,1.79,-1.01,-0.57,0.54,-0.75,0.56,-0.65,2.06,-2.28,0.83
1984,2.53,1.73,-2.12,0.33,-2.34,0.33,0.93,1.0,-1.31,1.66,-1.16,1.52
1985,-2.87,-0.24,0.07,0.34,-2.13,-1.08,1.09,2.33,0.0,0.14,-2.85,-0.43
1986,1.46,-4.02,2.86,-0.93,2.16,-1.29,0.88,-2.21,-1.34,2.27,3.41,3.42
1987,-2.12,-0.24,0.29,2.59,-0.81,-0.58,-1.25,-2.99,1.27,-0.8,-0.67,-0.81
1988,0.53,-0.11,0.78,-2.39,-1.24,-2.75,1.46,0.73,0.8,-2.02,-1.47,1.85
1989,3.53,3.61,2.45,-0.48,1.16,-0.53,0.58,1.76,-0.96,0.88,-2.97,-2.23
1990,3.5,5.11,3.11,1.77,-1.19,0.42,1.43,3.31,-0.99,-0.59,-1.48,0.34
1991,1.87,-0.02,-1.37,1.48,-0.04,-0.31,-0.28,2.71,-1.12,-1.77,1.68,1.24
1992,0.64,3.18,1.66,1.32,0.79,-1.74,1.04,3.97,0.99,-3.33,4.52,0.21
1993,3.91,0.11,1.47,0.83,-2.59,0.16,0.64,0.75,-2.6,-4.13,0.77,2.17
1994,1.28,0.07,3.68,1.38,-1.43,2.98,-0.09,-1.59,-2.85,-1.88,1.68,2.86
1995,2.7,3.13,1.06,-1.81,-0.36,-3.36,-0.96,-1.33,-1.55,1.22,-2.73,-3.33
1996,-3.27,-0.12,-2.57,-0.31,-1.5,1.43,1.47,-0.19,-2.23,-0.07,-0.05,-4.7
1997,-1.95,5.26,2.09,-0.97,-1.35,-4.05,1.18,1.78,-0.67,-2.26,-0.99,-0.2
1998,-0.28,2.44,1.24,-0.39,-1.26,-0.85,-0.57,1.8,-3.48,1.34,1.13,1.95
1999,0.9,1.8,-0.72,0.43,1.03,1.39,-1.85,-3.67,-0.51,-0.69,0.3,2.13
2000,0.35,4.37,0.54,-3.34,0.31,0.89,-2.99,0.78,-1.1,1.37,-0.24,-1.41
2001,0.02,0.07,-0.68,1.24,-0.09,-1.33,-1.12,1.64,-3.83,0.88,0.01,-2.25
2002,2.31,3.01,0.09,0.91,-0.05,0.9,-0.71,-0.61,-3.58,-1.5,-0.27,-0.98
2003,0.15,1.34,1.08,-1.74,1.17,-0.86,0.09,-0.99,0.35,-3.68,0.31,-0.85
2004,0.2,-1.23,1.07,1.08,-0.67,-0.38,-0.3,-0.76,2.51,-2.18,-0.55,1.27
2005,1.82,-2.25,-1.29,0.71,-0.13,-1.0,-0.08,0.94,0.5,-0.45,-1.01,-0.81
2006,-0.1,-1.24,-1.12,0.57,-0.22,-0.41,0.83,-2.47,-1.02,-1.97,2.0,3.03
2007,1.76,0.42,2.03,-0.1,0.62,-3.34,-1.05,-3.41,-1.18,-0.02,-1.67,1.36
2008,1.85,1.79,0.37,-2.02,-3.26,-1.62,-1.13,-0.21,-2.07,0.01,-1.3,-0.58
2009,0.6,-1.43,0.15,1.74,1.52,-3.05,-0.92,1.07,-0.63,-1.53,1.68,-3.73
2010,-2.38,-3.92,-0.8,-1.03,-1.66,-3.65,0.06,-2.01,-2.38,-2.41,-3.34,-4.61
2011,-1.38,2.79,-0.17,2.39,1.08,-1.58,-3.39,-2.41,2.97,1.31,0.74,3.2
2012,2.05,1.28,1.78,-2.36,-0.83,-2.58,-1.31,-0.44,-1.44,-3.21,-1.11,0.6
2013,1.08,-0.26,-3.75,0.03,1.23,1.4,2.52,2.16,-0.57,-0.36,0.04,3.54
2014,0.71,2.32,1.64,0.84,-0.08,-1.98,0.91,-1.14,-2.1,0.31,-2.17,1.89
2015,2.81,1.47,1.99,1.03,2.09,0.28,-2.16,1.47,-1.65,-1.13,3.54,4.22
2016,1.17,1.61,0.33,-2.06,-0.83,-1.27,2.19,2.14,2.45,-1.47,-1.61,2.1
2017,0.17,1.38,1.05,1.5,0.38,-0.55,0.1,-0.04,1.42,1.36,-0.9,1.0
2018,1.82,-0.1,-1.12,2.37,2.01,-1.4,3.83,1.26,0.45,-1.17,-1.28,1.93
2019,-0.36,1.9,2.39,1.7,2.05,-2.82,-2.79,0.1,-0.32,-1.11,-1.84,0.74
2020,3.11,4.7,0.36,-0.71,-0.09,-1.52,-1.23,-1.36,0.49,-0.19,1.25,-0.78
