Title,Type,Developer(s),Publisher(s),var,value
Napster,Music streaming,Napster,Nintendo,Regions released/Release date (PAL)(Europe),17-Nov-15
Netflix,Video on demand,Netflix,Netflix,Regions released/Release date (PAL)(Europe),30-Nov-12
Nico Nico,Video on demand,Niwango,Dwango,Regions released/Release date (PAL)(Europe),Unreleased
Rhapsody: Music & Radio,Music streaming,Rhapsody Team,Rhapsody Team,Regions released/Release date (PAL)(Europe),Unreleased
SDK Paint,Paint,Hullbreach Studios,Hullbreach Studios,Regions released/Release date (PAL)(Europe),26-Feb-15
SDK Spriter,Edutainment,Hullbreach Studios,Hullbreach Studios,Regions released/Release date (PAL)(Europe),29-Sep-16
Sense by Play.me,"Music streaming, internet radio",d-mobilelab,d-mobilelab,Regions released/Release date (PAL)(Europe),28-Jan-16
Uplay,Loyalty program,Ubisoft,Ubisoft,Regions released/Release date (PAL)(Europe),30-Nov-12
WatchUp: You're Daily News Cast,News,Watchup,Watchup,Regions released/Release date (PAL)(Europe),Unreleased
Wii Karaoke U,Karaoke,Tose,Nintendo,Regions released/Release date (PAL)(Europe),4-Oct-13
Wii Street U,"Map, street view","Google, Nintendo Software Technology",Nintendo,Regions released/Release date (PAL)(Europe),14-Feb-13
Wii U Panorama View,Panoramic video,Nintendo,Nintendo,Regions released/Release date (PAL)(Europe),27-Apr-13
YNN,Digital distribution,Yoshimoto Kogyo,Yoshimoto Kogyo,Regions released/Release date (PAL)(Europe),Unreleased
YouTube,Video on demand,YouTube,Google,Regions released/Release date (PAL)(Europe),30-Nov-12
